"Characteristic","need","variable","Category","Proportion","type"
"Second","Unmet need","Wealth","For limiting",4.1,"All women"
"Middle","Unmet need","Wealth","For spacing",5.8,"All women"
"Middle","Unmet need","Wealth","For limiting",4.2,"All women"
"Fourth","Unmet need","Wealth","For spacing",5.5,"All women"
"Fourth","Unmet need","Wealth","For limiting",3.5,"All women"
"Highest","Unmet need","Wealth","For spacing",4.1,"All women"
"Highest","Unmet need","Wealth","For limiting",2.8,"All women"
"15-19","Unmet need","Age","For spacing",30.8,"Sexually active unmarried"
"15-19","Unmet need","Age","For limiting",3.7,"Sexually active unmarried"
"20-24","Unmet need","Age","For spacing",19.6,"Sexually active unmarried"
"20-24","Unmet need","Age","For limiting",1.4,"Sexually active unmarried"
"25-29","Unmet need","Age","For spacing",12.5,"Sexually active unmarried"
"25-29","Unmet need","Age","For limiting",4,"Sexually active unmarried"
"30-34","Unmet need","Age","For spacing",3.6,"Sexually active unmarried"
"30-34","Unmet need","Age","For limiting",12.1,"Sexually active unmarried"
"35-39","Unmet need","Age","For spacing",0.2,"Sexually active unmarried"
"35-39","Unmet need","Age","For limiting",2.6,"Sexually active unmarried"
"40-44","Unmet need","Age","For spacing",5.9,"Sexually active unmarried"
"40-44","Unmet need","Age","For limiting",12.7,"Sexually active unmarried"
"45-49","Unmet need","Age","For spacing",NA,"Sexually active unmarried"
"45-49","Unmet need","Age","For limiting",NA,"Sexually active unmarried"
"Urban","Unmet need","Residence","For spacing",13,"Sexually active unmarried"
"Urban","Unmet need","Residence","For limiting",3.7,"Sexually active unmarried"
"Rural","Unmet need","Residence","For spacing",15.5,"Sexually active unmarried"
"Rural","Unmet need","Residence","For limiting",6.3,"Sexually active unmarried"
"No education","Unmet need","Education","For spacing",NA,"Sexually active unmarried"
"No education","Unmet need","Education","For limiting",NA,"Sexually active unmarried"
"Primary","Unmet need","Education","For spacing",11,"Sexually active unmarried"
"Primary","Unmet need","Education","For limiting",6.6,"Sexually active unmarried"
"Secondary","Unmet need","Education","For spacing",17.9,"Sexually active unmarried"
"Secondary","Unmet need","Education","For limiting",6.4,"Sexually active unmarried"
"More than secondary","Unmet need","Education","For spacing",13.2,"Sexually active unmarried"
"More than secondary","Unmet need","Education","For limiting",2.4,"Sexually active unmarried"
"Lowest","Unmet need","Wealth","For spacing",18.9,"Sexually active unmarried"
"Lowest","Unmet need","Wealth","For limiting",5.8,"Sexually active unmarried"
"Second","Unmet need","Wealth","For spacing",19.2,"Sexually active unmarried"
"Second","Unmet need","Wealth","For limiting",6.5,"Sexually active unmarried"
"Middle","Unmet need","Wealth","For spacing",14.2,"Sexually active unmarried"
"Middle","Unmet need","Wealth","For limiting",5.3,"Sexually active unmarried"
"Fourth","Unmet need","Wealth","For spacing",13.1,"Sexually active unmarried"
"Fourth","Unmet need","Wealth","For limiting",7,"Sexually active unmarried"
"Highest","Unmet need","Wealth","For spacing",11.7,"Sexually active unmarried"
"Highest","Unmet need","Wealth","For limiting",2.3,"Sexually active unmarried"
