County,Category,Proportion,Schooling level,Ratio,Names
Tharaka Nithi,Male,88.1,Primary,Net Attendance Ratio,"Tharaka Nithi, 88.1%"
Tharaka Nithi,Female,88.1,Primary,Net Attendance Ratio,"Tharaka Nithi, 88.1%"
Tharaka Nithi,Gender Parity Index,1,Primary,Net Attendance Ratio,"Tharaka Nithi, 1%"
Embu,Male,92.5,Primary,Net Attendance Ratio,"Embu, 92.5%"
Embu,Female,92.3,Primary,Net Attendance Ratio,"Embu, 92.3%"
Embu,Gender Parity Index,1,Primary,Net Attendance Ratio,"Embu, 1%"
Kitui,Male,92.1,Primary,Net Attendance Ratio,"Kitui, 92.1%"
Kitui,Female,92.9,Primary,Net Attendance Ratio,"Kitui, 92.9%"
Kitui,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Kitui, 1.01%"
Machakos,Male,93.5,Primary,Net Attendance Ratio,"Machakos, 93.5%"
Machakos,Female,91.8,Primary,Net Attendance Ratio,"Machakos, 91.8%"
Machakos,Gender Parity Index,0.98,Primary,Net Attendance Ratio,"Machakos, 0.98%"
Makueni,Male,92.9,Primary,Net Attendance Ratio,"Makueni, 92.9%"
Makueni,Female,89.9,Primary,Net Attendance Ratio,"Makueni, 89.9%"
Makueni,Gender Parity Index,0.97,Primary,Net Attendance Ratio,"Makueni, 0.97%"
Nyandarua,Male,95.3,Primary,Net Attendance Ratio,"Nyandarua, 95.3%"
Nyandarua,Female,95.4,Primary,Net Attendance Ratio,"Nyandarua, 95.4%"
Nyandarua,Gender Parity Index,1,Primary,Net Attendance Ratio,"Nyandarua, 1%"
Nyeri,Male,92.5,Primary,Net Attendance Ratio,"Nyeri, 92.5%"
Nyeri,Female,91.4,Primary,Net Attendance Ratio,"Nyeri, 91.4%"
Nyeri,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Nyeri, 0.99%"
Kirinyaga,Male,91.1,Primary,Net Attendance Ratio,"Kirinyaga, 91.1%"
Kirinyaga,Female,91.9,Primary,Net Attendance Ratio,"Kirinyaga, 91.9%"
Kirinyaga,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Kirinyaga, 1.01%"
Muranga,Male,93.7,Primary,Net Attendance Ratio,"Muranga, 93.7%"
Muranga,Female,92.7,Primary,Net Attendance Ratio,"Muranga, 92.7%"
Muranga,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Muranga, 0.99%"
Kiambu,Male,92.2,Primary,Net Attendance Ratio,"Kiambu, 92.2%"
Kiambu,Female,95,Primary,Net Attendance Ratio,"Kiambu, 95%"
Kiambu,Gender Parity Index,1.03,Primary,Net Attendance Ratio,"Kiambu, 1.03%"
Turkana,Male,44.6,Primary,Net Attendance Ratio,"Turkana, 44.6%"
Turkana,Female,43.4,Primary,Net Attendance Ratio,"Turkana, 43.4%"
Turkana,Gender Parity Index,0.97,Primary,Net Attendance Ratio,"Turkana, 0.97%"
West Pokot,Male,63.3,Primary,Net Attendance Ratio,"West Pokot, 63.3%"
West Pokot,Female,70.9,Primary,Net Attendance Ratio,"West Pokot, 70.9%"
West Pokot,Gender Parity Index,1.12,Primary,Net Attendance Ratio,"West Pokot, 1.12%"
Samburu,Male,57.2,Primary,Net Attendance Ratio,"Samburu, 57.2%"
Samburu,Female,60,Primary,Net Attendance Ratio,"Samburu, 60%"
Samburu,Gender Parity Index,1.05,Primary,Net Attendance Ratio,"Samburu, 1.05%"
Trans Nzoia,Male,89.9,Primary,Net Attendance Ratio,"Trans Nzoia, 89.9%"
Trans Nzoia,Female,90.5,Primary,Net Attendance Ratio,"Trans Nzoia, 90.5%"
Trans Nzoia,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Trans Nzoia, 1.01%"
Uasin Gishu,Male,84.9,Primary,Net Attendance Ratio,"Uasin Gishu, 84.9%"
Uasin Gishu,Female,92,Primary,Net Attendance Ratio,"Uasin Gishu, 92%"
Uasin Gishu,Gender Parity Index,1.08,Primary,Net Attendance Ratio,"Uasin Gishu, 1.08%"
Elgeyo Marakwet,Male,87.7,Primary,Net Attendance Ratio,"Elgeyo Marakwet, 87.7%"
Elgeyo Marakwet,Female,90.3,Primary,Net Attendance Ratio,"Elgeyo Marakwet, 90.3%"
Elgeyo Marakwet,Gender Parity Index,1.03,Primary,Net Attendance Ratio,"Elgeyo Marakwet, 1.03%"
Nandi,Male,90.7,Primary,Net Attendance Ratio,"Nandi, 90.7%"
Nandi,Female,88.1,Primary,Net Attendance Ratio,"Nandi, 88.1%"
Nandi,Gender Parity Index,0.97,Primary,Net Attendance Ratio,"Nandi, 0.97%"
Baringo,Male,81.2,Primary,Net Attendance Ratio,"Baringo, 81.2%"
Baringo,Female,87.5,Primary,Net Attendance Ratio,"Baringo, 87.5%"
Baringo,Gender Parity Index,1.08,Primary,Net Attendance Ratio,"Baringo, 1.08%"
Laikipia,Male,89.8,Primary,Net Attendance Ratio,"Laikipia, 89.8%"
Laikipia,Female,91.6,Primary,Net Attendance Ratio,"Laikipia, 91.6%"
Laikipia,Gender Parity Index,1.02,Primary,Net Attendance Ratio,"Laikipia, 1.02%"
Nakuru,Male,88.3,Primary,Net Attendance Ratio,"Nakuru, 88.3%"
Nakuru,Female,90.5,Primary,Net Attendance Ratio,"Nakuru, 90.5%"
Nakuru,Gender Parity Index,1.02,Primary,Net Attendance Ratio,"Nakuru, 1.02%"
Narok,Male,80.6,Primary,Net Attendance Ratio,"Narok, 80.6%"
Narok,Female,81.7,Primary,Net Attendance Ratio,"Narok, 81.7%"
Narok,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Narok, 1.01%"
Kajiado,Male,83.8,Primary,Net Attendance Ratio,"Kajiado, 83.8%"
Kajiado,Female,80.8,Primary,Net Attendance Ratio,"Kajiado, 80.8%"
Kajiado,Gender Parity Index,0.96,Primary,Net Attendance Ratio,"Kajiado, 0.96%"
Kericho,Male,91,Primary,Net Attendance Ratio,"Kericho, 91%"
Kericho,Female,89.9,Primary,Net Attendance Ratio,"Kericho, 89.9%"
Kericho,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Kericho, 0.99%"
Bomet,Male,91.7,Primary,Net Attendance Ratio,"Bomet, 91.7%"
Bomet,Female,92.7,Primary,Net Attendance Ratio,"Bomet, 92.7%"
Bomet,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Bomet, 1.01%"
Kakamega,Male,90.8,Primary,Net Attendance Ratio,"Kakamega, 90.8%"
Kakamega,Female,91.7,Primary,Net Attendance Ratio,"Kakamega, 91.7%"
Kakamega,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Kakamega, 1.01%"
Vihiga,Male,91.8,Primary,Net Attendance Ratio,"Vihiga, 91.8%"
Vihiga,Female,92.4,Primary,Net Attendance Ratio,"Vihiga, 92.4%"
Vihiga,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Vihiga, 1.01%"
Bungoma,Male,86.5,Primary,Net Attendance Ratio,"Bungoma, 86.5%"
Bungoma,Female,92,Primary,Net Attendance Ratio,"Bungoma, 92%"
Bungoma,Gender Parity Index,1.06,Primary,Net Attendance Ratio,"Bungoma, 1.06%"
Busia,Male,90.9,Primary,Net Attendance Ratio,"Busia, 90.9%"
Busia,Female,90.4,Primary,Net Attendance Ratio,"Busia, 90.4%"
Busia,Gender Parity Index,0.99,Primary,Net Attendance Ratio,"Busia, 0.99%"
Siaya,Male,91,Primary,Net Attendance Ratio,"Siaya, 91%"
Siaya,Female,91.1,Primary,Net Attendance Ratio,"Siaya, 91.1%"
Siaya,Gender Parity Index,1,Primary,Net Attendance Ratio,"Siaya, 1%"
Kisumu,Male,89.9,Primary,Net Attendance Ratio,"Kisumu, 89.9%"
Kisumu,Female,91.8,Primary,Net Attendance Ratio,"Kisumu, 91.8%"
Kisumu,Gender Parity Index,1.02,Primary,Net Attendance Ratio,"Kisumu, 1.02%"
Homa Bay,Male,85.7,Primary,Net Attendance Ratio,"Homa Bay, 85.7%"
Homa Bay,Female,86.6,Primary,Net Attendance Ratio,"Homa Bay, 86.6%"
Homa Bay,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Homa Bay, 1.01%"
Migori,Male,85.7,Primary,Net Attendance Ratio,"Migori, 85.7%"
Migori,Female,85.4,Primary,Net Attendance Ratio,"Migori, 85.4%"
Migori,Gender Parity Index,1,Primary,Net Attendance Ratio,"Migori, 1%"
Kisii,Male,91.2,Primary,Net Attendance Ratio,"Kisii, 91.2%"
Kisii,Female,92.6,Primary,Net Attendance Ratio,"Kisii, 92.6%"
Kisii,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Kisii, 1.01%"
Nyamira,Male,90.1,Primary,Net Attendance Ratio,"Nyamira, 90.1%"
Nyamira,Female,90.6,Primary,Net Attendance Ratio,"Nyamira, 90.6%"
Nyamira,Gender Parity Index,1.01,Primary,Net Attendance Ratio,"Nyamira, 1.01%"
Nairobi,Male,87.8,Primary,Net Attendance Ratio,"Nairobi, 87.8%"
Nairobi,Female,93.1,Primary,Net Attendance Ratio,"Nairobi, 93.1%"
Nairobi,Gender Parity Index,1.06,Primary,Net Attendance Ratio,"Nairobi, 1.06%"
Mombasa,Male,44.1,Secondary,Net Attendance Ratio,"Mombasa, 44.1%"
Mombasa,Female,45.7,Secondary,Net Attendance Ratio,"Mombasa, 45.7%"
Mombasa,Gender Parity Index,1.04,Secondary,Net Attendance Ratio,"Mombasa, 1.04%"
Kwale,Male,22,Secondary,Net Attendance Ratio,"Kwale, 22%"
Kwale,Female,26.2,Secondary,Net Attendance Ratio,"Kwale, 26.2%"
Kwale,Gender Parity Index,1.19,Secondary,Net Attendance Ratio,"Kwale, 1.19%"
Kilifi,Male,23.2,Secondary,Net Attendance Ratio,"Kilifi, 23.2%"
Kilifi,Female,14.7,Secondary,Net Attendance Ratio,"Kilifi, 14.7%"
Kilifi,Gender Parity Index,0.63,Secondary,Net Attendance Ratio,"Kilifi, 0.63%"
Tana River,Male,20,Secondary,Net Attendance Ratio,"Tana River, 20%"
Tana River,Female,13.7,Secondary,Net Attendance Ratio,"Tana River, 13.7%"
Tana River,Gender Parity Index,0.69,Secondary,Net Attendance Ratio,"Tana River, 0.69%"
Lamu,Male,31.5,Secondary,Net Attendance Ratio,"Lamu, 31.5%"
Lamu,Female,35.6,Secondary,Net Attendance Ratio,"Lamu, 35.6%"
Lamu,Gender Parity Index,1.13,Secondary,Net Attendance Ratio,"Lamu, 1.13%"
Taita Taveta,Male,57.3,Secondary,Net Attendance Ratio,"Taita Taveta, 57.3%"
Taita Taveta,Female,64.4,Secondary,Net Attendance Ratio,"Taita Taveta, 64.4%"
Taita Taveta,Gender Parity Index,1.12,Secondary,Net Attendance Ratio,"Taita Taveta, 1.12%"
Garissa,Male,22.5,Secondary,Net Attendance Ratio,"Garissa, 22.5%"
Garissa,Female,19.6,Secondary,Net Attendance Ratio,"Garissa, 19.6%"
Garissa,Gender Parity Index,0.87,Secondary,Net Attendance Ratio,"Garissa, 0.87%"
Wajir,Male,41.1,Secondary,Net Attendance Ratio,"Wajir, 41.1%"
Wajir,Female,35.3,Secondary,Net Attendance Ratio,"Wajir, 35.3%"
Wajir,Gender Parity Index,0.86,Secondary,Net Attendance Ratio,"Wajir, 0.86%"
Mandera,Male,28.7,Secondary,Net Attendance Ratio,"Mandera, 28.7%"
Mandera,Female,19.9,Secondary,Net Attendance Ratio,"Mandera, 19.9%"
Mandera,Gender Parity Index,0.69,Secondary,Net Attendance Ratio,"Mandera, 0.69%"
Marsabit,Male,39.6,Secondary,Net Attendance Ratio,"Marsabit, 39.6%"
Marsabit,Female,30.6,Secondary,Net Attendance Ratio,"Marsabit, 30.6%"
Marsabit,Gender Parity Index,0.77,Secondary,Net Attendance Ratio,"Marsabit, 0.77%"
Isiolo,Male,42.2,Secondary,Net Attendance Ratio,"Isiolo, 42.2%"
Isiolo,Female,47.8,Secondary,Net Attendance Ratio,"Isiolo, 47.8%"
Isiolo,Gender Parity Index,1.13,Secondary,Net Attendance Ratio,"Isiolo, 1.13%"
Meru,Male,45.8,Secondary,Net Attendance Ratio,"Meru, 45.8%"
Meru,Female,50.3,Secondary,Net Attendance Ratio,"Meru, 50.3%"
Meru,Gender Parity Index,1.1,Secondary,Net Attendance Ratio,"Meru, 1.1%"
Tharaka Nithi,Male,38.4,Secondary,Net Attendance Ratio,"Tharaka Nithi, 38.4%"
Tharaka Nithi,Female,50.1,Secondary,Net Attendance Ratio,"Tharaka Nithi, 50.1%"
Tharaka Nithi,Gender Parity Index,1.31,Secondary,Net Attendance Ratio,"Tharaka Nithi, 1.31%"
Embu,Male,58,Secondary,Net Attendance Ratio,"Embu, 58%"
Embu,Female,64.8,Secondary,Net Attendance Ratio,"Embu, 64.8%"
Embu,Gender Parity Index,1.12,Secondary,Net Attendance Ratio,"Embu, 1.12%"
Kitui,Male,40.8,Secondary,Net Attendance Ratio,"Kitui, 40.8%"
Kitui,Female,51.6,Secondary,Net Attendance Ratio,"Kitui, 51.6%"
Kitui,Gender Parity Index,1.27,Secondary,Net Attendance Ratio,"Kitui, 1.27%"
Machakos,Male,62.6,Secondary,Net Attendance Ratio,"Machakos, 62.6%"
Machakos,Female,76.8,Secondary,Net Attendance Ratio,"Machakos, 76.8%"
Machakos,Gender Parity Index,1.23,Secondary,Net Attendance Ratio,"Machakos, 1.23%"
Makueni,Male,52,Secondary,Net Attendance Ratio,"Makueni, 52%"
Makueni,Female,56.7,Secondary,Net Attendance Ratio,"Makueni, 56.7%"
Makueni,Gender Parity Index,1.09,Secondary,Net Attendance Ratio,"Makueni, 1.09%"
Nyandarua,Male,60.1,Secondary,Net Attendance Ratio,"Nyandarua, 60.1%"
Nyandarua,Female,67.5,Secondary,Net Attendance Ratio,"Nyandarua, 67.5%"
Nyandarua,Gender Parity Index,1.12,Secondary,Net Attendance Ratio,"Nyandarua, 1.12%"
Nyeri,Male,60.8,Secondary,Net Attendance Ratio,"Nyeri, 60.8%"
Nyeri,Female,78.9,Secondary,Net Attendance Ratio,"Nyeri, 78.9%"
Nyeri,Gender Parity Index,1.3,Secondary,Net Attendance Ratio,"Nyeri, 1.3%"
Kirinyaga,Male,75.6,Secondary,Net Attendance Ratio,"Kirinyaga, 75.6%"
Kirinyaga,Female,70.1,Secondary,Net Attendance Ratio,"Kirinyaga, 70.1%"
Kirinyaga,Gender Parity Index,0.93,Secondary,Net Attendance Ratio,"Kirinyaga, 0.93%"
Muranga,Male,62.4,Secondary,Net Attendance Ratio,"Muranga, 62.4%"
Muranga,Female,78.7,Secondary,Net Attendance Ratio,"Muranga, 78.7%"
Muranga,Gender Parity Index,1.26,Secondary,Net Attendance Ratio,"Muranga, 1.26%"
Kiambu,Male,69.3,Secondary,Net Attendance Ratio,"Kiambu, 69.3%"
Kiambu,Female,72.6,Secondary,Net Attendance Ratio,"Kiambu, 72.6%"
Kiambu,Gender Parity Index,1.05,Secondary,Net Attendance Ratio,"Kiambu, 1.05%"
Turkana,Male,23.7,Secondary,Net Attendance Ratio,"Turkana, 23.7%"
Turkana,Female,17.1,Secondary,Net Attendance Ratio,"Turkana, 17.1%"
Turkana,Gender Parity Index,0.72,Secondary,Net Attendance Ratio,"Turkana, 0.72%"
West Pokot,Male,39.9,Secondary,Net Attendance Ratio,"West Pokot, 39.9%"
West Pokot,Female,38.1,Secondary,Net Attendance Ratio,"West Pokot, 38.1%"
West Pokot,Gender Parity Index,0.96,Secondary,Net Attendance Ratio,"West Pokot, 0.96%"
Samburu,Male,36.7,Secondary,Net Attendance Ratio,"Samburu, 36.7%"
Samburu,Female,27.8,Secondary,Net Attendance Ratio,"Samburu, 27.8%"
Samburu,Gender Parity Index,0.76,Secondary,Net Attendance Ratio,"Samburu, 0.76%"
Trans Nzoia,Male,45.6,Secondary,Net Attendance Ratio,"Trans Nzoia, 45.6%"
Trans Nzoia,Female,54.8,Secondary,Net Attendance Ratio,"Trans Nzoia, 54.8%"
Trans Nzoia,Gender Parity Index,1.2,Secondary,Net Attendance Ratio,"Trans Nzoia, 1.2%"
Uasin Gishu,Male,44.4,Secondary,Net Attendance Ratio,"Uasin Gishu, 44.4%"
Uasin Gishu,Female,58.3,Secondary,Net Attendance Ratio,"Uasin Gishu, 58.3%"
Uasin Gishu,Gender Parity Index,1.31,Secondary,Net Attendance Ratio,"Uasin Gishu, 1.31%"
Elgeyo Marakwet,Male,46.3,Secondary,Net Attendance Ratio,"Elgeyo Marakwet, 46.3%"
Elgeyo Marakwet,Female,55.6,Secondary,Net Attendance Ratio,"Elgeyo Marakwet, 55.6%"
Elgeyo Marakwet,Gender Parity Index,1.2,Secondary,Net Attendance Ratio,"Elgeyo Marakwet, 1.2%"
Nandi,Male,44.4,Secondary,Net Attendance Ratio,"Nandi, 44.4%"
Nandi,Female,42.2,Secondary,Net Attendance Ratio,"Nandi, 42.2%"
Nandi,Gender Parity Index,0.95,Secondary,Net Attendance Ratio,"Nandi, 0.95%"
Baringo,Male,37.7,Secondary,Net Attendance Ratio,"Baringo, 37.7%"
Baringo,Female,44.4,Secondary,Net Attendance Ratio,"Baringo, 44.4%"
Baringo,Gender Parity Index,1.18,Secondary,Net Attendance Ratio,"Baringo, 1.18%"
Laikipia,Male,62.5,Secondary,Net Attendance Ratio,"Laikipia, 62.5%"
Laikipia,Female,68.1,Secondary,Net Attendance Ratio,"Laikipia, 68.1%"
Laikipia,Gender Parity Index,1.09,Secondary,Net Attendance Ratio,"Laikipia, 1.09%"
Nakuru,Male,51.5,Secondary,Net Attendance Ratio,"Nakuru, 51.5%"
Nakuru,Female,58.7,Secondary,Net Attendance Ratio,"Nakuru, 58.7%"
Nakuru,Gender Parity Index,1.14,Secondary,Net Attendance Ratio,"Nakuru, 1.14%"
Narok,Male,16.6,Secondary,Net Attendance Ratio,"Narok, 16.6%"
Narok,Female,36,Secondary,Net Attendance Ratio,"Narok, 36%"
Narok,Gender Parity Index,2.17,Secondary,Net Attendance Ratio,"Narok, 2.17%"
Kajiado,Male,50.4,Secondary,Net Attendance Ratio,"Kajiado, 50.4%"
Kajiado,Female,47.7,Secondary,Net Attendance Ratio,"Kajiado, 47.7%"
Kajiado,Gender Parity Index,0.95,Secondary,Net Attendance Ratio,"Kajiado, 0.95%"
Kericho,Male,59.4,Secondary,Net Attendance Ratio,"Kericho, 59.4%"
Kericho,Female,71.8,Secondary,Net Attendance Ratio,"Kericho, 71.8%"
Kericho,Gender Parity Index,1.21,Secondary,Net Attendance Ratio,"Kericho, 1.21%"
Bomet,Male,35.7,Secondary,Net Attendance Ratio,"Bomet, 35.7%"
Bomet,Female,52.5,Secondary,Net Attendance Ratio,"Bomet, 52.5%"
Bomet,Gender Parity Index,1.47,Secondary,Net Attendance Ratio,"Bomet, 1.47%"
Kakamega,Male,43.5,Secondary,Net Attendance Ratio,"Kakamega, 43.5%"
Kakamega,Female,50.5,Secondary,Net Attendance Ratio,"Kakamega, 50.5%"
Kakamega,Gender Parity Index,1.16,Secondary,Net Attendance Ratio,"Kakamega, 1.16%"
Vihiga,Male,45,Secondary,Net Attendance Ratio,"Vihiga, 45%"
Vihiga,Female,48.9,Secondary,Net Attendance Ratio,"Vihiga, 48.9%"
Vihiga,Gender Parity Index,1.09,Secondary,Net Attendance Ratio,"Vihiga, 1.09%"
Bungoma,Male,35.4,Secondary,Net Attendance Ratio,"Bungoma, 35.4%"
Bungoma,Female,51.4,Secondary,Net Attendance Ratio,"Bungoma, 51.4%"
Bungoma,Gender Parity Index,1.45,Secondary,Net Attendance Ratio,"Bungoma, 1.45%"
Busia,Male,35,Secondary,Net Attendance Ratio,"Busia, 35%"
Busia,Female,45.7,Secondary,Net Attendance Ratio,"Busia, 45.7%"
Busia,Gender Parity Index,1.3,Secondary,Net Attendance Ratio,"Busia, 1.3%"
Siaya,Male,47,Secondary,Net Attendance Ratio,"Siaya, 47%"
Siaya,Female,67.3,Secondary,Net Attendance Ratio,"Siaya, 67.3%"
Siaya,Gender Parity Index,1.43,Secondary,Net Attendance Ratio,"Siaya, 1.43%"
Kisumu,Male,52.7,Secondary,Net Attendance Ratio,"Kisumu, 52.7%"
Kisumu,Female,61.5,Secondary,Net Attendance Ratio,"Kisumu, 61.5%"
Kisumu,Gender Parity Index,1.17,Secondary,Net Attendance Ratio,"Kisumu, 1.17%"
Homa Bay,Male,40.7,Secondary,Net Attendance Ratio,"Homa Bay, 40.7%"
Homa Bay,Female,58.9,Secondary,Net Attendance Ratio,"Homa Bay, 58.9%"
Homa Bay,Gender Parity Index,1.45,Secondary,Net Attendance Ratio,"Homa Bay, 1.45%"
Migori,Male,33.5,Secondary,Net Attendance Ratio,"Migori, 33.5%"
Migori,Female,40.1,Secondary,Net Attendance Ratio,"Migori, 40.1%"
Migori,Gender Parity Index,1.2,Secondary,Net Attendance Ratio,"Migori, 1.2%"
Kisii,Male,44.8,Secondary,Net Attendance Ratio,"Kisii, 44.8%"
Kisii,Female,59.3,Secondary,Net Attendance Ratio,"Kisii, 59.3%"
Kisii,Gender Parity Index,1.32,Secondary,Net Attendance Ratio,"Kisii, 1.32%"
Nyamira,Male,43.4,Secondary,Net Attendance Ratio,"Nyamira, 43.4%"
Nyamira,Female,58.9,Secondary,Net Attendance Ratio,"Nyamira, 58.9%"
Nyamira,Gender Parity Index,1.36,Secondary,Net Attendance Ratio,"Nyamira, 1.36%"
Nairobi,Male,60.4,Secondary,Net Attendance Ratio,"Nairobi, 60.4%"
Nairobi,Female,62.6,Secondary,Net Attendance Ratio,"Nairobi, 62.6%"
Nairobi,Gender Parity Index,1.04,Secondary,Net Attendance Ratio,"Nairobi, 1.04%"
Mombasa,Male,115.2,Primary,Gross Attendance Ratio,"Mombasa, 115.2%"
Mombasa,Female,107.1,Primary,Gross Attendance Ratio,"Mombasa, 107.1%"
Mombasa,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Mombasa, 0.93%"
Kwale,Male,109.6,Primary,Gross Attendance Ratio,"Kwale, 109.6%"
Kwale,Female,104.5,Primary,Gross Attendance Ratio,"Kwale, 104.5%"
Kwale,Gender Parity Index,0.95,Primary,Gross Attendance Ratio,"Kwale, 0.95%"
Kilifi,Male,122,Primary,Gross Attendance Ratio,"Kilifi, 122%"
Kilifi,Female,121.5,Primary,Gross Attendance Ratio,"Kilifi, 121.5%"
Kilifi,Gender Parity Index,1,Primary,Gross Attendance Ratio,"Kilifi, 1%"
Tana River,Male,72.5,Primary,Gross Attendance Ratio,"Tana River, 72.5%"
Tana River,Female,71.6,Primary,Gross Attendance Ratio,"Tana River, 71.6%"
Tana River,Gender Parity Index,0.99,Primary,Gross Attendance Ratio,"Tana River, 0.99%"
Lamu,Male,107.4,Primary,Gross Attendance Ratio,"Lamu, 107.4%"
Lamu,Female,106.7,Primary,Gross Attendance Ratio,"Lamu, 106.7%"
Lamu,Gender Parity Index,0.99,Primary,Gross Attendance Ratio,"Lamu, 0.99%"
Taita Taveta,Male,108.3,Primary,Gross Attendance Ratio,"Taita Taveta, 108.3%"
Taita Taveta,Female,103.1,Primary,Gross Attendance Ratio,"Taita Taveta, 103.1%"
Taita Taveta,Gender Parity Index,0.95,Primary,Gross Attendance Ratio,"Taita Taveta, 0.95%"
Garissa,Male,62.6,Primary,Gross Attendance Ratio,"Garissa, 62.6%"
Garissa,Female,66,Primary,Gross Attendance Ratio,"Garissa, 66%"
Garissa,Gender Parity Index,1.05,Primary,Gross Attendance Ratio,"Garissa, 1.05%"
Wajir,Male,74.7,Primary,Gross Attendance Ratio,"Wajir, 74.7%"
Wajir,Female,74.6,Primary,Gross Attendance Ratio,"Wajir, 74.6%"
Wajir,Gender Parity Index,1,Primary,Gross Attendance Ratio,"Wajir, 1%"
Mandera,Male,78.9,Primary,Gross Attendance Ratio,"Mandera, 78.9%"
Mandera,Female,65.9,Primary,Gross Attendance Ratio,"Mandera, 65.9%"
Mandera,Gender Parity Index,0.84,Primary,Gross Attendance Ratio,"Mandera, 0.84%"
Marsabit,Male,88.7,Primary,Gross Attendance Ratio,"Marsabit, 88.7%"
Marsabit,Female,78.6,Primary,Gross Attendance Ratio,"Marsabit, 78.6%"
Marsabit,Gender Parity Index,0.89,Primary,Gross Attendance Ratio,"Marsabit, 0.89%"
Isiolo,Male,92.1,Primary,Gross Attendance Ratio,"Isiolo, 92.1%"
Isiolo,Female,93.6,Primary,Gross Attendance Ratio,"Isiolo, 93.6%"
Isiolo,Gender Parity Index,1.02,Primary,Gross Attendance Ratio,"Isiolo, 1.02%"
Meru,Male,112.8,Primary,Gross Attendance Ratio,"Meru, 112.8%"
Meru,Female,105.1,Primary,Gross Attendance Ratio,"Meru, 105.1%"
Meru,Gender Parity Index,0.93,Primary,Gross Attendance Ratio,"Meru, 0.93%"
