County,Health Insurance Type,Proportion,Names
Mandera,None/Don't know,93.9,"Mandera, 93.9%"
Mandera,Any,6.1,"Mandera, 6.1%"
Marsabit,NHIF,7.2,"Marsabit, 7.2%"
Marsabit,Private/commercial,0.7,"Marsabit, 0.7%"
Marsabit,Community-based,0,"Marsabit, 0%"
Marsabit,Other,0,"Marsabit, 0%"
Marsabit,None/Don't know,92.7,"Marsabit, 92.7%"
Marsabit,Any,7.3,"Marsabit, 7.3%"
Isiolo,NHIF,19,"Isiolo, 19%"
Isiolo,Private/commercial,12.8,"Isiolo, 12.8%"
Isiolo,Community-based,0.3,"Isiolo, 0.3%"
Isiolo,Other,0,"Isiolo, 0%"
Isiolo,None/Don't know,70.5,"Isiolo, 70.5%"
Isiolo,Any,29.5,"Isiolo, 29.5%"
Meru,NHIF,21.4,"Meru, 21.4%"
Meru,Private/commercial,5.1,"Meru, 5.1%"
Meru,Community-based,0,"Meru, 0%"
Meru,Other,0,"Meru, 0%"
Meru,None/Don't know,76.9,"Meru, 76.9%"
Meru,Any,23.1,"Meru, 23.1%"
Tharaka Nithi,NHIF,23,"Tharaka Nithi, 23%"
Tharaka Nithi,Private/commercial,3.4,"Tharaka Nithi, 3.4%"
Tharaka Nithi,Community-based,1,"Tharaka Nithi, 1%"
Tharaka Nithi,Other,0,"Tharaka Nithi, 0%"
Tharaka Nithi,None/Don't know,75.4,"Tharaka Nithi, 75.4%"
Tharaka Nithi,Any,24.6,"Tharaka Nithi, 24.6%"
Embu,NHIF,38.7,"Embu, 38.7%"
Embu,Private/commercial,3.2,"Embu, 3.2%"
Embu,Community-based,0,"Embu, 0%"
Embu,Other,0,"Embu, 0%"
Embu,None/Don't know,60.5,"Embu, 60.5%"
Embu,Any,39.5,"Embu, 39.5%"
Kitui,NHIF,10.3,"Kitui, 10.3%"
Kitui,Private/commercial,1.4,"Kitui, 1.4%"
Kitui,Community-based,0.7,"Kitui, 0.7%"
Kitui,Other,0,"Kitui, 0%"
Kitui,None/Don't know,88.3,"Kitui, 88.3%"
Kitui,Any,11.7,"Kitui, 11.7%"
Machakos,NHIF,26.6,"Machakos, 26.6%"
Machakos,Private/commercial,6.1,"Machakos, 6.1%"
Machakos,Community-based,3.7,"Machakos, 3.7%"
Machakos,Other,0,"Machakos, 0%"
Machakos,None/Don't know,67.3,"Machakos, 67.3%"
Machakos,Any,32.7,"Machakos, 32.7%"
Makueni,NHIF,10.7,"Makueni, 10.7%"
Makueni,Private/commercial,3,"Makueni, 3%"
Makueni,Community-based,4.1,"Makueni, 4.1%"
Makueni,Other,0,"Makueni, 0%"
Makueni,None/Don't know,83.8,"Makueni, 83.8%"
Makueni,Any,16.2,"Makueni, 16.2%"
Nyandarua,NHIF,34.9,"Nyandarua, 34.9%"
Nyandarua,Private/commercial,1.7,"Nyandarua, 1.7%"
Nyandarua,Community-based,0.5,"Nyandarua, 0.5%"
Nyandarua,Other,0,"Nyandarua, 0%"
Nyandarua,None/Don't know,64.2,"Nyandarua, 64.2%"
Nyandarua,Any,35.8,"Nyandarua, 35.8%"
Nyeri,NHIF,40.2,"Nyeri, 40.2%"
Nyeri,Private/commercial,7.1,"Nyeri, 7.1%"
Nyeri,Community-based,1.1,"Nyeri, 1.1%"
Nyeri,Other,0,"Nyeri, 0%"
Nyeri,None/Don't know,56.8,"Nyeri, 56.8%"
Nyeri,Any,43.2,"Nyeri, 43.2%"
Kirinyaga,NHIF,34.7,"Kirinyaga, 34.7%"
Kirinyaga,Private/commercial,5.2,"Kirinyaga, 5.2%"
Kirinyaga,Community-based,0.6,"Kirinyaga, 0.6%"
Kirinyaga,Other,0,"Kirinyaga, 0%"
Kirinyaga,None/Don't know,61.8,"Kirinyaga, 61.8%"
Kirinyaga,Any,38.2,"Kirinyaga, 38.2%"
Muranga,NHIF,22.2,"Muranga, 22.2%"
Muranga,Private/commercial,6.5,"Muranga, 6.5%"
Muranga,Community-based,1.1,"Muranga, 1.1%"
Muranga,Other,0,"Muranga, 0%"
Muranga,None/Don't know,73.4,"Muranga, 73.4%"
Muranga,Any,26.6,"Muranga, 26.6%"
Kiambu,NHIF,39.1,"Kiambu, 39.1%"
Kiambu,Private/commercial,5.7,"Kiambu, 5.7%"
Kiambu,Community-based,0.2,"Kiambu, 0.2%"
Kiambu,Other,0,"Kiambu, 0%"
Kiambu,None/Don't know,58.7,"Kiambu, 58.7%"
Kiambu,Any,41.3,"Kiambu, 41.3%"
Turkana,NHIF,7.6,"Turkana, 7.6%"
Turkana,Private/commercial,2.9,"Turkana, 2.9%"
Turkana,Community-based,14.9,"Turkana, 14.9%"
Turkana,Other,0,"Turkana, 0%"
Turkana,None/Don't know,77.1,"Turkana, 77.1%"
Turkana,Any,22.9,"Turkana, 22.9%"
West Pokot,NHIF,6.7,"West Pokot, 6.7%"
West Pokot,Private/commercial,1.2,"West Pokot, 1.2%"
West Pokot,Community-based,0.2,"West Pokot, 0.2%"
West Pokot,Other,0,"West Pokot, 0%"
West Pokot,None/Don't know,92.4,"West Pokot, 92.4%"
West Pokot,Any,7.6,"West Pokot, 7.6%"
Samburu,NHIF,12,"Samburu, 12%"
Samburu,Private/commercial,5.2,"Samburu, 5.2%"
Samburu,Community-based,0,"Samburu, 0%"
Samburu,Other,0.1,"Samburu, 0.1%"
Samburu,None/Don't know,86.1,"Samburu, 86.1%"
Samburu,Any,13.9,"Samburu, 13.9%"
Trans Nzoia,NHIF,15.6,"Trans Nzoia, 15.6%"
Trans Nzoia,Private/commercial,2.8,"Trans Nzoia, 2.8%"
Trans Nzoia,Community-based,0.1,"Trans Nzoia, 0.1%"
Trans Nzoia,Other,0,"Trans Nzoia, 0%"
Trans Nzoia,None/Don't know,83.3,"Trans Nzoia, 83.3%"
Trans Nzoia,Any,16.7,"Trans Nzoia, 16.7%"
Uasin Gishu,NHIF,35,"Uasin Gishu, 35%"
Uasin Gishu,Private/commercial,3.7,"Uasin Gishu, 3.7%"
Uasin Gishu,Community-based,0,"Uasin Gishu, 0%"
Uasin Gishu,Other,0,"Uasin Gishu, 0%"
Uasin Gishu,None/Don't know,63.5,"Uasin Gishu, 63.5%"
Uasin Gishu,Any,36.5,"Uasin Gishu, 36.5%"
Elgeyo Marakwet,NHIF,27.3,"Elgeyo Marakwet, 27.3%"
Elgeyo Marakwet,Private/commercial,6.1,"Elgeyo Marakwet, 6.1%"
Elgeyo Marakwet,Community-based,0.1,"Elgeyo Marakwet, 0.1%"
Elgeyo Marakwet,Other,0,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,None/Don't know,72.6,"Elgeyo Marakwet, 72.6%"
Elgeyo Marakwet,Any,27.4,"Elgeyo Marakwet, 27.4%"
Nandi,NHIF,18.6,"Nandi, 18.6%"
Nandi,Private/commercial,1.9,"Nandi, 1.9%"
Nandi,Community-based,0.1,"Nandi, 0.1%"
Nandi,Other,0,"Nandi, 0%"
Nandi,None/Don't know,80,"Nandi, 80%"
Nandi,Any,20,"Nandi, 20%"
Baringo,NHIF,21,"Baringo, 21%"
Baringo,Private/commercial,2.3,"Baringo, 2.3%"
Baringo,Community-based,0.1,"Baringo, 0.1%"
Baringo,Other,0,"Baringo, 0%"
Baringo,None/Don't know,77.7,"Baringo, 77.7%"
Baringo,Any,22.3,"Baringo, 22.3%"
Laikipia,NHIF,42.8,"Laikipia, 42.8%"
Laikipia,Private/commercial,3.8,"Laikipia, 3.8%"
Laikipia,Community-based,1.2,"Laikipia, 1.2%"
Laikipia,Other,0.1,"Laikipia, 0.1%"
Laikipia,None/Don't know,55.8,"Laikipia, 55.8%"
Laikipia,Any,44.2,"Laikipia, 44.2%"
Nakuru,NHIF,31.6,"Nakuru, 31.6%"
Nakuru,Private/commercial,2.3,"Nakuru, 2.3%"
Nakuru,Community-based,0.1,"Nakuru, 0.1%"
Nakuru,Other,0,"Nakuru, 0%"
Nakuru,None/Don't know,66.8,"Nakuru, 66.8%"
Nakuru,Any,33.2,"Nakuru, 33.2%"
Narok,NHIF,14.3,"Narok, 14.3%"
Narok,Private/commercial,1,"Narok, 1%"
Narok,Community-based,0,"Narok, 0%"
Narok,Other,0,"Narok, 0%"
Narok,None/Don't know,85,"Narok, 85%"
Narok,Any,15,"Narok, 15%"
Kajiado,NHIF,29.5,"Kajiado, 29.5%"
Kajiado,Private/commercial,6.7,"Kajiado, 6.7%"
Kajiado,Community-based,0.1,"Kajiado, 0.1%"
Kajiado,Other,0,"Kajiado, 0%"
Kajiado,None/Don't know,66.4,"Kajiado, 66.4%"
Kajiado,Any,33.6,"Kajiado, 33.6%"
Kericho,NHIF,32.5,"Kericho, 32.5%"
Kericho,Private/commercial,3.7,"Kericho, 3.7%"
Kericho,Community-based,0.2,"Kericho, 0.2%"
Kericho,Other,0,"Kericho, 0%"
Kericho,None/Don't know,64.7,"Kericho, 64.7%"
Kericho,Any,35.3,"Kericho, 35.3%"
Bomet,NHIF,32,"Bomet, 32%"
Bomet,Private/commercial,6.4,"Bomet, 6.4%"
Bomet,Community-based,0,"Bomet, 0%"
Bomet,Other,0,"Bomet, 0%"
Bomet,None/Don't know,64.6,"Bomet, 64.6%"
Bomet,Any,35.4,"Bomet, 35.4%"
Kakamega,NHIF,18.5,"Kakamega, 18.5%"
Kakamega,Private/commercial,1.6,"Kakamega, 1.6%"
Kakamega,Community-based,0.1,"Kakamega, 0.1%"
Kakamega,Other,0,"Kakamega, 0%"
Kakamega,None/Don't know,80.2,"Kakamega, 80.2%"
Kakamega,Any,19.8,"Kakamega, 19.8%"
Vihiga,NHIF,17.2,"Vihiga, 17.2%"
Vihiga,Private/commercial,1,"Vihiga, 1%"
Vihiga,Community-based,0.5,"Vihiga, 0.5%"
Vihiga,Other,0,"Vihiga, 0%"
Vihiga,None/Don't know,82,"Vihiga, 82%"
Vihiga,Any,18,"Vihiga, 18%"
Bungoma,NHIF,16.9,"Bungoma, 16.9%"
Bungoma,Private/commercial,2.7,"Bungoma, 2.7%"
Bungoma,Community-based,0,"Bungoma, 0%"
Bungoma,Other,0,"Bungoma, 0%"
Bungoma,None/Don't know,81.9,"Bungoma, 81.9%"
Bungoma,Any,18.1,"Bungoma, 18.1%"
Busia,NHIF,12.8,"Busia, 12.8%"
Busia,Private/commercial,1.3,"Busia, 1.3%"
Busia,Community-based,0.2,"Busia, 0.2%"
Busia,Other,0,"Busia, 0%"
Busia,None/Don't know,86.4,"Busia, 86.4%"
Busia,Any,13.6,"Busia, 13.6%"
Siaya,NHIF,9.2,"Siaya, 9.2%"
Siaya,Private/commercial,1.5,"Siaya, 1.5%"
Siaya,Community-based,0,"Siaya, 0%"
Siaya,Other,0,"Siaya, 0%"
Siaya,None/Don't know,90.6,"Siaya, 90.6%"
Siaya,Any,9.4,"Siaya, 9.4%"
Kisumu,NHIF,18,"Kisumu, 18%"
Kisumu,Private/commercial,2,"Kisumu, 2%"
Kisumu,Community-based,0.6,"Kisumu, 0.6%"
Kisumu,Other,1.6,"Kisumu, 1.6%"
Kisumu,None/Don't know,78.7,"Kisumu, 78.7%"
Kisumu,Any,21.3,"Kisumu, 21.3%"
Homa Bay,NHIF,15.9,"Homa Bay, 15.9%"
Homa Bay,Private/commercial,1.2,"Homa Bay, 1.2%"
Homa Bay,Community-based,0.6,"Homa Bay, 0.6%"
Homa Bay,Other,0,"Homa Bay, 0%"
Homa Bay,None/Don't know,83.3,"Homa Bay, 83.3%"
Homa Bay,Any,16.7,"Homa Bay, 16.7%"
Migori,NHIF,13.1,"Migori, 13.1%"
Migori,Private/commercial,1.6,"Migori, 1.6%"
Migori,Community-based,0,"Migori, 0%"
Migori,Other,0,"Migori, 0%"
Migori,None/Don't know,85.6,"Migori, 85.6%"
Migori,Any,14.4,"Migori, 14.4%"
Kisii,NHIF,25.7,"Kisii, 25.7%"
Kisii,Private/commercial,1.4,"Kisii, 1.4%"
Kisii,Community-based,0.1,"Kisii, 0.1%"
Kisii,Other,0,"Kisii, 0%"
Kisii,None/Don't know,73.6,"Kisii, 73.6%"
Kisii,Any,26.4,"Kisii, 26.4%"
Nyamira,NHIF,16.5,"Nyamira, 16.5%"
Nyamira,Private/commercial,1.6,"Nyamira, 1.6%"
Nyamira,Community-based,0.5,"Nyamira, 0.5%"
Nyamira,Other,0,"Nyamira, 0%"
Nyamira,None/Don't know,82.5,"Nyamira, 82.5%"
Nyamira,Any,17.5,"Nyamira, 17.5%"
Nairobi,NHIF,40.5,"Nairobi, 40.5%"
Nairobi,Private/commercial,11.7,"Nairobi, 11.7%"
Nairobi,Community-based,0,"Nairobi, 0%"
Nairobi,Other,0,"Nairobi, 0%"
Nairobi,None/Don't know,53.7,"Nairobi, 53.7%"
Nairobi,Any,46.3,"Nairobi, 46.3%"
