"","County","Category","Proportion","Participants","Names"
"126","Machakos","Vaccinated",66.1,"Households","Machakos, 66.1%"
"127","Makueni","Tested",20.7,"Households","Makueni, 20.7%"
"128","Makueni","Vaccinated",64.1,"Households","Makueni, 64.1%"
"129","Nyandarua","Tested",22.4,"Households","Nyandarua, 22.4%"
"130","Nyandarua","Vaccinated",62.2,"Households","Nyandarua, 62.2%"
"131","Nyeri","Tested",38.9,"Households","Nyeri, 38.9%"
"132","Nyeri","Vaccinated",75.8,"Households","Nyeri, 75.8%"
"133","Kirinyaga","Tested",18.5,"Households","Kirinyaga, 18.5%"
"134","Kirinyaga","Vaccinated",76.7,"Households","Kirinyaga, 76.7%"
"135","Muranga","Tested",23.5,"Households","Muranga, 23.5%"
"136","Muranga","Vaccinated",67.6,"Households","Muranga, 67.6%"
"137","Kiambu","Tested",33.6,"Households","Kiambu, 33.6%"
"138","Kiambu","Vaccinated",67.8,"Households","Kiambu, 67.8%"
"139","Turkana","Tested",9.1,"Households","Turkana, 9.1%"
"140","Turkana","Vaccinated",51,"Households","Turkana, 51%"
"141","West Pokot","Tested",10,"Households","West Pokot, 10%"
"142","West Pokot","Vaccinated",31.9,"Households","West Pokot, 31.9%"
"143","Samburu","Tested",27.5,"Households","Samburu, 27.5%"
"144","Samburu","Vaccinated",44.4,"Households","Samburu, 44.4%"
"145","Trans Nzoia","Tested",20.3,"Households","Trans Nzoia, 20.3%"
"146","Trans Nzoia","Vaccinated",67.8,"Households","Trans Nzoia, 67.8%"
"147","Uasin Gishu","Tested",30.1,"Households","Uasin Gishu, 30.1%"
"148","Uasin Gishu","Vaccinated",64.5,"Households","Uasin Gishu, 64.5%"
"149","Elgeyo Marakwet","Tested",9.6,"Households","Elgeyo Marakwet, 9.6%"
"150","Elgeyo Marakwet","Vaccinated",62.6,"Households","Elgeyo Marakwet, 62.6%"
"151","Nandi","Tested",22.5,"Households","Nandi, 22.5%"
"152","Nandi","Vaccinated",54.3,"Households","Nandi, 54.3%"
"153","Baringo","Tested",24.7,"Households","Baringo, 24.7%"
"154","Baringo","Vaccinated",61.9,"Households","Baringo, 61.9%"
"155","Laikipia","Tested",20.7,"Households","Laikipia, 20.7%"
"156","Laikipia","Vaccinated",69.4,"Households","Laikipia, 69.4%"
"157","Nakuru","Tested",26.6,"Households","Nakuru, 26.6%"
"158","Nakuru","Vaccinated",65.1,"Households","Nakuru, 65.1%"
"159","Narok","Tested",13.7,"Households","Narok, 13.7%"
"160","Narok","Vaccinated",53.3,"Households","Narok, 53.3%"
"161","Kajiado","Tested",47.3,"Households","Kajiado, 47.3%"
"162","Kajiado","Vaccinated",62.2,"Households","Kajiado, 62.2%"
"163","Kericho","Tested",21.9,"Households","Kericho, 21.9%"
"164","Kericho","Vaccinated",71.1,"Households","Kericho, 71.1%"
"165","Bomet","Tested",14.2,"Households","Bomet, 14.2%"
"166","Bomet","Vaccinated",55.7,"Households","Bomet, 55.7%"
"167","Kakamega","Tested",19.4,"Households","Kakamega, 19.4%"
"168","Kakamega","Vaccinated",76.8,"Households","Kakamega, 76.8%"
"169","Vihiga","Tested",11.7,"Households","Vihiga, 11.7%"
"170","Vihiga","Vaccinated",75.7,"Households","Vihiga, 75.7%"
"171","Bungoma","Tested",19.8,"Households","Bungoma, 19.8%"
"172","Bungoma","Vaccinated",66.4,"Households","Bungoma, 66.4%"
"173","Busia","Tested",17.2,"Households","Busia, 17.2%"
"174","Busia","Vaccinated",69.9,"Households","Busia, 69.9%"
"175","Siaya","Tested",19.8,"Households","Siaya, 19.8%"
"176","Siaya","Vaccinated",72.5,"Households","Siaya, 72.5%"
"177","Kisumu","Tested",42,"Households","Kisumu, 42%"
"178","Kisumu","Vaccinated",76.3,"Households","Kisumu, 76.3%"
"179","Homa Bay","Tested",32.5,"Households","Homa Bay, 32.5%"
"180","Homa Bay","Vaccinated",71.5,"Households","Homa Bay, 71.5%"
"181","Migori","Tested",25.2,"Households","Migori, 25.2%"
"182","Migori","Vaccinated",69.9,"Households","Migori, 69.9%"
"183","Kisii","Tested",16.4,"Households","Kisii, 16.4%"
"184","Kisii","Vaccinated",62.2,"Households","Kisii, 62.2%"
"185","Nyamira","Tested",17,"Households","Nyamira, 17%"
"186","Nyamira","Vaccinated",64,"Households","Nyamira, 64%"
"187","Nairobi","Tested",48.4,"Households","Nairobi, 48.4%"
"188","Nairobi","Vaccinated",67.2,"Households","Nairobi, 67.2%"
