"","County","weighted_perc","weighted_no","unweighted_no","group","names"
"85","Vihiga",1.1,"156",290,"Men","Vihiga, 1.1%"
"86","Bungoma",3.3,"448",328,"Men","Bungoma, 3.3%"
"87","Busia",1.9,"262",296,"Men","Busia, 1.9%"
"88","Siaya",1.7,"227",282,"Men","Siaya, 1.7%"
"89","Kisumu",2.5,"345",356,"Men","Kisumu, 2.5%"
"90","Homa Bay",1.9,"258",263,"Men","Homa Bay, 1.9%"
"91","Migori",1.8,"246",296,"Men","Migori, 1.8%"
"92","Kisii",2.4,"326",300,"Men","Kisii, 2.4%"
"93","Nyamira",1,"133",246,"Men","Nyamira, 1%"
"94","Nairobi",13,"1,777",356,"Men","Nairobi, 13%"
