County,Category,Proportion,Participants,Names
Samburu,Tested,27.5,Households,"Samburu, 27.5%"
Samburu,Vaccinated,44.4,Households,"Samburu, 44.4%"
Trans Nzoia,Tested,20.3,Households,"Trans Nzoia, 20.3%"
Trans Nzoia,Vaccinated,67.8,Households,"Trans Nzoia, 67.8%"
Uasin Gishu,Tested,30.1,Households,"Uasin Gishu, 30.1%"
Uasin Gishu,Vaccinated,64.5,Households,"Uasin Gishu, 64.5%"
Elgeyo Marakwet,Tested,9.6,Households,"Elgeyo Marakwet, 9.6%"
Elgeyo Marakwet,Vaccinated,62.6,Households,"Elgeyo Marakwet, 62.6%"
Nandi,Tested,22.5,Households,"Nandi, 22.5%"
Nandi,Vaccinated,54.3,Households,"Nandi, 54.3%"
Baringo,Tested,24.7,Households,"Baringo, 24.7%"
Baringo,Vaccinated,61.9,Households,"Baringo, 61.9%"
Laikipia,Tested,20.7,Households,"Laikipia, 20.7%"
Laikipia,Vaccinated,69.4,Households,"Laikipia, 69.4%"
Nakuru,Tested,26.6,Households,"Nakuru, 26.6%"
Nakuru,Vaccinated,65.1,Households,"Nakuru, 65.1%"
Narok,Tested,13.7,Households,"Narok, 13.7%"
Narok,Vaccinated,53.3,Households,"Narok, 53.3%"
Kajiado,Tested,47.3,Households,"Kajiado, 47.3%"
Kajiado,Vaccinated,62.2,Households,"Kajiado, 62.2%"
Kericho,Tested,21.9,Households,"Kericho, 21.9%"
Kericho,Vaccinated,71.1,Households,"Kericho, 71.1%"
Bomet,Tested,14.2,Households,"Bomet, 14.2%"
Bomet,Vaccinated,55.7,Households,"Bomet, 55.7%"
Kakamega,Tested,19.4,Households,"Kakamega, 19.4%"
Kakamega,Vaccinated,76.8,Households,"Kakamega, 76.8%"
Vihiga,Tested,11.7,Households,"Vihiga, 11.7%"
Vihiga,Vaccinated,75.7,Households,"Vihiga, 75.7%"
Bungoma,Tested,19.8,Households,"Bungoma, 19.8%"
Bungoma,Vaccinated,66.4,Households,"Bungoma, 66.4%"
Busia,Tested,17.2,Households,"Busia, 17.2%"
Busia,Vaccinated,69.9,Households,"Busia, 69.9%"
Siaya,Tested,19.8,Households,"Siaya, 19.8%"
Siaya,Vaccinated,72.5,Households,"Siaya, 72.5%"
Kisumu,Tested,42,Households,"Kisumu, 42%"
Kisumu,Vaccinated,76.3,Households,"Kisumu, 76.3%"
Homa Bay,Tested,32.5,Households,"Homa Bay, 32.5%"
Homa Bay,Vaccinated,71.5,Households,"Homa Bay, 71.5%"
Migori,Tested,25.2,Households,"Migori, 25.2%"
Migori,Vaccinated,69.9,Households,"Migori, 69.9%"
Kisii,Tested,16.4,Households,"Kisii, 16.4%"
Kisii,Vaccinated,62.2,Households,"Kisii, 62.2%"
Nyamira,Tested,17,Households,"Nyamira, 17%"
Nyamira,Vaccinated,64,Households,"Nyamira, 64%"
Nairobi,Tested,48.4,Households,"Nairobi, 48.4%"
Nairobi,Vaccinated,67.2,Households,"Nairobi, 67.2%"
Mombasa,Tested,21.5,Population,"Mombasa, 21.5%"
Mombasa,Vaccinated,27.7,Population,"Mombasa, 27.7%"
Kwale,Tested,11.5,Population,"Kwale, 11.5%"
Kwale,Vaccinated,11.8,Population,"Kwale, 11.8%"
Kilifi,Tested,4.7,Population,"Kilifi, 4.7%"
Kilifi,Vaccinated,14.3,Population,"Kilifi, 14.3%"
Tana River,Tested,3.2,Population,"Tana River, 3.2%"
Tana River,Vaccinated,4.9,Population,"Tana River, 4.9%"
Lamu,Tested,7.4,Population,"Lamu, 7.4%"
Lamu,Vaccinated,13.3,Population,"Lamu, 13.3%"
Taita Taveta,Tested,10.9,Population,"Taita Taveta, 10.9%"
Taita Taveta,Vaccinated,37,Population,"Taita Taveta, 37%"
Garissa,Tested,6.6,Population,"Garissa, 6.6%"
Garissa,Vaccinated,5.3,Population,"Garissa, 5.3%"
Wajir,Tested,3.3,Population,"Wajir, 3.3%"
Wajir,Vaccinated,10.6,Population,"Wajir, 10.6%"
Mandera,Tested,2.9,Population,"Mandera, 2.9%"
Mandera,Vaccinated,7.7,Population,"Mandera, 7.7%"
Marsabit,Tested,8.3,Population,"Marsabit, 8.3%"
Marsabit,Vaccinated,8.1,Population,"Marsabit, 8.1%"
Isiolo,Tested,10,Population,"Isiolo, 10%"
Isiolo,Vaccinated,8.3,Population,"Isiolo, 8.3%"
Meru,Tested,4.7,Population,"Meru, 4.7%"
Meru,Vaccinated,36.4,Population,"Meru, 36.4%"
Tharaka Nithi,Tested,11.5,Population,"Tharaka Nithi, 11.5%"
Tharaka Nithi,Vaccinated,34.1,Population,"Tharaka Nithi, 34.1%"
Embu,Tested,7.4,Population,"Embu, 7.4%"
Embu,Vaccinated,39.2,Population,"Embu, 39.2%"
Kitui,Tested,13.6,Population,"Kitui, 13.6%"
Kitui,Vaccinated,17.2,Population,"Kitui, 17.2%"
Machakos,Tested,8.9,Population,"Machakos, 8.9%"
Machakos,Vaccinated,35.5,Population,"Machakos, 35.5%"
Makueni,Tested,9,Population,"Makueni, 9%"
Makueni,Vaccinated,31.5,Population,"Makueni, 31.5%"
Nyandarua,Tested,11.7,Population,"Nyandarua, 11.7%"
Nyandarua,Vaccinated,33.2,Population,"Nyandarua, 33.2%"
Nyeri,Tested,23.1,Population,"Nyeri, 23.1%"
Nyeri,Vaccinated,49,Population,"Nyeri, 49%"
Kirinyaga,Tested,9.5,Population,"Kirinyaga, 9.5%"
Kirinyaga,Vaccinated,48.7,Population,"Kirinyaga, 48.7%"
Muranga,Tested,12.9,Population,"Muranga, 12.9%"
Muranga,Vaccinated,37.2,Population,"Muranga, 37.2%"
Kiambu,Tested,18.3,Population,"Kiambu, 18.3%"
Kiambu,Vaccinated,39.5,Population,"Kiambu, 39.5%"
Turkana,Tested,3.7,Population,"Turkana, 3.7%"
Turkana,Vaccinated,18.8,Population,"Turkana, 18.8%"
West Pokot,Tested,3.5,Population,"West Pokot, 3.5%"
West Pokot,Vaccinated,9.7,Population,"West Pokot, 9.7%"
Samburu,Tested,11.4,Population,"Samburu, 11.4%"
Samburu,Vaccinated,16.7,Population,"Samburu, 16.7%"
Trans Nzoia,Tested,7.8,Population,"Trans Nzoia, 7.8%"
Trans Nzoia,Vaccinated,30.3,Population,"Trans Nzoia, 30.3%"
Uasin Gishu,Tested,13.8,Population,"Uasin Gishu, 13.8%"
Uasin Gishu,Vaccinated,34.4,Population,"Uasin Gishu, 34.4%"
Elgeyo Marakwet,Tested,3.8,Population,"Elgeyo Marakwet, 3.8%"
Elgeyo Marakwet,Vaccinated,24,Population,"Elgeyo Marakwet, 24%"
Nandi,Tested,9.7,Population,"Nandi, 9.7%"
Nandi,Vaccinated,23.3,Population,"Nandi, 23.3%"
Baringo,Tested,9.6,Population,"Baringo, 9.6%"
Baringo,Vaccinated,24,Population,"Baringo, 24%"
Laikipia,Tested,9.1,Population,"Laikipia, 9.1%"
Laikipia,Vaccinated,38.4,Population,"Laikipia, 38.4%"
Nakuru,Tested,13,Population,"Nakuru, 13%"
Nakuru,Vaccinated,35.3,Population,"Nakuru, 35.3%"
Narok,Tested,4.7,Population,"Narok, 4.7%"
Narok,Vaccinated,19.4,Population,"Narok, 19.4%"
Kajiado,Tested,24.3,Population,"Kajiado, 24.3%"
Kajiado,Vaccinated,33.4,Population,"Kajiado, 33.4%"
Kericho,Tested,9.5,Population,"Kericho, 9.5%"
Kericho,Vaccinated,35,Population,"Kericho, 35%"
Bomet,Tested,5.1,Population,"Bomet, 5.1%"
Bomet,Vaccinated,23.4,Population,"Bomet, 23.4%"
Kakamega,Tested,8.5,Population,"Kakamega, 8.5%"
Kakamega,Vaccinated,37.9,Population,"Kakamega, 37.9%"
Vihiga,Tested,5.4,Population,"Vihiga, 5.4%"
Vihiga,Vaccinated,37.4,Population,"Vihiga, 37.4%"
Bungoma,Tested,7.2,Population,"Bungoma, 7.2%"
Bungoma,Vaccinated,31.9,Population,"Bungoma, 31.9%"
Busia,Tested,5.9,Population,"Busia, 5.9%"
Busia,Vaccinated,31,Population,"Busia, 31%"
Siaya,Tested,8.7,Population,"Siaya, 8.7%"
Siaya,Vaccinated,36.9,Population,"Siaya, 36.9%"
Kisumu,Tested,20.8,Population,"Kisumu, 20.8%"
Kisumu,Vaccinated,37.6,Population,"Kisumu, 37.6%"
Homa Bay,Tested,15.2,Population,"Homa Bay, 15.2%"
Homa Bay,Vaccinated,30.8,Population,"Homa Bay, 30.8%"
Migori,Tested,9.9,Population,"Migori, 9.9%"
Migori,Vaccinated,29.4,Population,"Migori, 29.4%"
Kisii,Tested,6.5,Population,"Kisii, 6.5%"
Kisii,Vaccinated,28.8,Population,"Kisii, 28.8%"
Nyamira,Tested,8.1,Population,"Nyamira, 8.1%"
Nyamira,Vaccinated,29.7,Population,"Nyamira, 29.7%"
Nairobi,Tested,28.8,Population,"Nairobi, 28.8%"
Nairobi,Vaccinated,40.6,Population,"Nairobi, 40.6%"
