County,Reason For Assistance,Proportion,Names
Taita Taveta,COVID-19 relief,13,"Taita Taveta, 13%"
Taita Taveta,Other,38.2,"Taita Taveta, 38.2%"
Garissa,Receiving cash/social assistance,12.7,"Garissa, 12.7%"
Garissa,Orphaned children(<=18),2.9,"Garissa, 2.9%"
Garissa,Elderly person,16.5,"Garissa, 16.5%"
Garissa,Person with severe disability,0,"Garissa, 0%"
Garissa,Urban food subsidy,0.6,"Garissa, 0.6%"
Garissa,Food aid for ASALs,19.4,"Garissa, 19.4%"
Garissa,Health voucher,0,"Garissa, 0%"
Garissa,Food/cash for work,21.3,"Garissa, 21.3%"
Garissa,School feeding,0,"Garissa, 0%"
Garissa,Hunger safety net program,26.7,"Garissa, 26.7%"
Garissa,COVID-19 relief,23.9,"Garissa, 23.9%"
Garissa,Other,6.3,"Garissa, 6.3%"
Wajir,Receiving cash/social assistance,21.8,"Wajir, 21.8%"
Wajir,Orphaned children(<=18),9.5,"Wajir, 9.5%"
Wajir,Elderly person,19.6,"Wajir, 19.6%"
Wajir,Person with severe disability,0,"Wajir, 0%"
Wajir,Urban food subsidy,0,"Wajir, 0%"
Wajir,Food aid for ASALs,14,"Wajir, 14%"
Wajir,Health voucher,0,"Wajir, 0%"
Wajir,Food/cash for work,0.8,"Wajir, 0.8%"
Wajir,School feeding,0,"Wajir, 0%"
Wajir,Hunger safety net program,61.2,"Wajir, 61.2%"
Wajir,COVID-19 relief,0,"Wajir, 0%"
Wajir,Other,4.3,"Wajir, 4.3%"
Mandera,Receiving cash/social assistance,10.2,"Mandera, 10.2%"
Mandera,Orphaned children(<=18),12.1,"Mandera, 12.1%"
Mandera,Elderly person,5,"Mandera, 5%"
Mandera,Person with severe disability,2.3,"Mandera, 2.3%"
Mandera,Urban food subsidy,2.3,"Mandera, 2.3%"
Mandera,Food aid for ASALs,20.4,"Mandera, 20.4%"
Mandera,Health voucher,0,"Mandera, 0%"
Mandera,Food/cash for work,3.8,"Mandera, 3.8%"
Mandera,School feeding,0,"Mandera, 0%"
Mandera,Hunger safety net program,63.1,"Mandera, 63.1%"
Mandera,COVID-19 relief,0,"Mandera, 0%"
Mandera,Other,4,"Mandera, 4%"
Marsabit,Receiving cash/social assistance,30.1,"Marsabit, 30.1%"
Marsabit,Orphaned children(<=18),4.7,"Marsabit, 4.7%"
Marsabit,Elderly person,9.4,"Marsabit, 9.4%"
Marsabit,Person with severe disability,1.2,"Marsabit, 1.2%"
Marsabit,Urban food subsidy,2,"Marsabit, 2%"
Marsabit,Food aid for ASALs,48.7,"Marsabit, 48.7%"
Marsabit,Health voucher,0.3,"Marsabit, 0.3%"
Marsabit,Food/cash for work,2.8,"Marsabit, 2.8%"
Marsabit,School feeding,0.6,"Marsabit, 0.6%"
Marsabit,Hunger safety net program,45,"Marsabit, 45%"
Marsabit,COVID-19 relief,0.3,"Marsabit, 0.3%"
Marsabit,Other,4,"Marsabit, 4%"
Isiolo,Receiving cash/social assistance,15.3,"Isiolo, 15.3%"
Isiolo,Orphaned children(<=18),12.2,"Isiolo, 12.2%"
Isiolo,Elderly person,17.5,"Isiolo, 17.5%"
Isiolo,Person with severe disability,1.1,"Isiolo, 1.1%"
Isiolo,Urban food subsidy,1.1,"Isiolo, 1.1%"
Isiolo,Food aid for ASALs,34.2,"Isiolo, 34.2%"
Isiolo,Health voucher,0,"Isiolo, 0%"
Isiolo,Food/cash for work,9.5,"Isiolo, 9.5%"
Isiolo,School feeding,0,"Isiolo, 0%"
Isiolo,Hunger safety net program,20.9,"Isiolo, 20.9%"
Isiolo,COVID-19 relief,2,"Isiolo, 2%"
Isiolo,Other,10.3,"Isiolo, 10.3%"
Meru,Receiving cash/social assistance,15.3,"Meru, 15.3%"
Meru,Orphaned children(<=18),2.1,"Meru, 2.1%"
Meru,Elderly person,32.3,"Meru, 32.3%"
Meru,Person with severe disability,3,"Meru, 3%"
Meru,Urban food subsidy,0,"Meru, 0%"
Meru,Food aid for ASALs,0,"Meru, 0%"
Meru,Health voucher,2.3,"Meru, 2.3%"
Meru,Food/cash for work,6,"Meru, 6%"
Meru,School feeding,8.6,"Meru, 8.6%"
Meru,Hunger safety net program,1,"Meru, 1%"
Meru,COVID-19 relief,4.3,"Meru, 4.3%"
Meru,Other,49.9,"Meru, 49.9%"
Tharaka Nithi,Receiving cash/social assistance,29.7,"Tharaka Nithi, 29.7%"
Tharaka Nithi,Orphaned children(<=18),3.7,"Tharaka Nithi, 3.7%"
Tharaka Nithi,Elderly person,24.4,"Tharaka Nithi, 24.4%"
Tharaka Nithi,Person with severe disability,0.8,"Tharaka Nithi, 0.8%"
Tharaka Nithi,Urban food subsidy,7.2,"Tharaka Nithi, 7.2%"
Tharaka Nithi,Food aid for ASALs,5.1,"Tharaka Nithi, 5.1%"
Tharaka Nithi,Health voucher,5.7,"Tharaka Nithi, 5.7%"
Tharaka Nithi,Food/cash for work,17.2,"Tharaka Nithi, 17.2%"
Tharaka Nithi,School feeding,9.3,"Tharaka Nithi, 9.3%"
Tharaka Nithi,Hunger safety net program,2.6,"Tharaka Nithi, 2.6%"
Tharaka Nithi,COVID-19 relief,0.4,"Tharaka Nithi, 0.4%"
Tharaka Nithi,Other,42,"Tharaka Nithi, 42%"
Embu,Receiving cash/social assistance,14.6,"Embu, 14.6%"
Embu,Orphaned children(<=18),1.6,"Embu, 1.6%"
Embu,Elderly person,23.9,"Embu, 23.9%"
Embu,Person with severe disability,3.2,"Embu, 3.2%"
Embu,Urban food subsidy,1.5,"Embu, 1.5%"
Embu,Food aid for ASALs,0,"Embu, 0%"
Embu,Health voucher,0,"Embu, 0%"
Embu,Food/cash for work,8.6,"Embu, 8.6%"
Embu,School feeding,1.7,"Embu, 1.7%"
Embu,Hunger safety net program,2.1,"Embu, 2.1%"
Embu,COVID-19 relief,5.4,"Embu, 5.4%"
Embu,Other,58.7,"Embu, 58.7%"
Kitui,Receiving cash/social assistance,15.9,"Kitui, 15.9%"
Kitui,Orphaned children(<=18),1.6,"Kitui, 1.6%"
Kitui,Elderly person,46.4,"Kitui, 46.4%"
Kitui,Person with severe disability,1.7,"Kitui, 1.7%"
Kitui,Urban food subsidy,0,"Kitui, 0%"
Kitui,Food aid for ASALs,8.1,"Kitui, 8.1%"
Kitui,Health voucher,1.1,"Kitui, 1.1%"
Kitui,Food/cash for work,4.3,"Kitui, 4.3%"
Kitui,School feeding,24.3,"Kitui, 24.3%"
Kitui,Hunger safety net program,1.6,"Kitui, 1.6%"
Kitui,COVID-19 relief,0,"Kitui, 0%"
Kitui,Other,15.7,"Kitui, 15.7%"
Machakos,Receiving cash/social assistance,20.5,"Machakos, 20.5%"
Machakos,Orphaned children(<=18),2.1,"Machakos, 2.1%"
Machakos,Elderly person,30.2,"Machakos, 30.2%"
Machakos,Person with severe disability,2.3,"Machakos, 2.3%"
Machakos,Urban food subsidy,2.4,"Machakos, 2.4%"
Machakos,Food aid for ASALs,0,"Machakos, 0%"
Machakos,Health voucher,0.7,"Machakos, 0.7%"
Machakos,Food/cash for work,13.1,"Machakos, 13.1%"
Machakos,School feeding,23.4,"Machakos, 23.4%"
Machakos,Hunger safety net program,0.6,"Machakos, 0.6%"
Machakos,COVID-19 relief,0,"Machakos, 0%"
Machakos,Other,28.5,"Machakos, 28.5%"
Makueni,Receiving cash/social assistance,17.4,"Makueni, 17.4%"
Makueni,Orphaned children(<=18),5.4,"Makueni, 5.4%"
Makueni,Elderly person,48.6,"Makueni, 48.6%"
Makueni,Person with severe disability,0.8,"Makueni, 0.8%"
Makueni,Urban food subsidy,0.9,"Makueni, 0.9%"
Makueni,Food aid for ASALs,11,"Makueni, 11%"
Makueni,Health voucher,1.2,"Makueni, 1.2%"
Makueni,Food/cash for work,2,"Makueni, 2%"
Makueni,School feeding,12.4,"Makueni, 12.4%"
Makueni,Hunger safety net program,1.3,"Makueni, 1.3%"
Makueni,COVID-19 relief,0,"Makueni, 0%"
Makueni,Other,23.4,"Makueni, 23.4%"
Nyandarua,Receiving cash/social assistance,19.7,"Nyandarua, 19.7%"
Nyandarua,Orphaned children(<=18),2.7,"Nyandarua, 2.7%"
Nyandarua,Elderly person,35.8,"Nyandarua, 35.8%"
Nyandarua,Person with severe disability,0,"Nyandarua, 0%"
Nyandarua,Urban food subsidy,0.7,"Nyandarua, 0.7%"
Nyandarua,Food aid for ASALs,2,"Nyandarua, 2%"
Nyandarua,Health voucher,2.9,"Nyandarua, 2.9%"
Nyandarua,Food/cash for work,3.6,"Nyandarua, 3.6%"
Nyandarua,School feeding,16.1,"Nyandarua, 16.1%"
Nyandarua,Hunger safety net program,0,"Nyandarua, 0%"
Nyandarua,COVID-19 relief,0,"Nyandarua, 0%"
Nyandarua,Other,42.8,"Nyandarua, 42.8%"
Nyeri,Receiving cash/social assistance,24.5,"Nyeri, 24.5%"
Nyeri,Orphaned children(<=18),0,"Nyeri, 0%"
Nyeri,Elderly person,20.4,"Nyeri, 20.4%"
Nyeri,Person with severe disability,1.7,"Nyeri, 1.7%"
Nyeri,Urban food subsidy,0,"Nyeri, 0%"
Nyeri,Food aid for ASALs,0,"Nyeri, 0%"
Nyeri,Health voucher,1,"Nyeri, 1%"
Nyeri,Food/cash for work,19.3,"Nyeri, 19.3%"
Nyeri,School feeding,2.3,"Nyeri, 2.3%"
Nyeri,Hunger safety net program,0,"Nyeri, 0%"
Nyeri,COVID-19 relief,0.5,"Nyeri, 0.5%"
Nyeri,Other,61.8,"Nyeri, 61.8%"
Kirinyaga,Receiving cash/social assistance,14.9,"Kirinyaga, 14.9%"
Kirinyaga,Orphaned children(<=18),5.3,"Kirinyaga, 5.3%"
Kirinyaga,Elderly person,26.2,"Kirinyaga, 26.2%"
Kirinyaga,Person with severe disability,1.6,"Kirinyaga, 1.6%"
Kirinyaga,Urban food subsidy,0,"Kirinyaga, 0%"
Kirinyaga,Food aid for ASALs,0.7,"Kirinyaga, 0.7%"
Kirinyaga,Health voucher,0,"Kirinyaga, 0%"
Kirinyaga,Food/cash for work,1.2,"Kirinyaga, 1.2%"
Kirinyaga,School feeding,39.2,"Kirinyaga, 39.2%"
Kirinyaga,Hunger safety net program,0,"Kirinyaga, 0%"
Kirinyaga,COVID-19 relief,1.6,"Kirinyaga, 1.6%"
Kirinyaga,Other,26.6,"Kirinyaga, 26.6%"
Muranga,Receiving cash/social assistance,30,"Muranga, 30%"
Muranga,Orphaned children(<=18),2.6,"Muranga, 2.6%"
Muranga,Elderly person,34.8,"Muranga, 34.8%"
Muranga,Person with severe disability,1.4,"Muranga, 1.4%"
Muranga,Urban food subsidy,0.7,"Muranga, 0.7%"
Muranga,Food aid for ASALs,0,"Muranga, 0%"
Muranga,Health voucher,0.4,"Muranga, 0.4%"
Muranga,Food/cash for work,2.5,"Muranga, 2.5%"
Muranga,School feeding,12.5,"Muranga, 12.5%"
Muranga,Hunger safety net program,19.2,"Muranga, 19.2%"
Muranga,COVID-19 relief,0.5,"Muranga, 0.5%"
Muranga,Other,39.6,"Muranga, 39.6%"
Kiambu,Receiving cash/social assistance,19,"Kiambu, 19%"
Kiambu,Orphaned children(<=18),1.5,"Kiambu, 1.5%"
Kiambu,Elderly person,14.4,"Kiambu, 14.4%"
Kiambu,Person with severe disability,0.8,"Kiambu, 0.8%"
Kiambu,Urban food subsidy,3.2,"Kiambu, 3.2%"
Kiambu,Food aid for ASALs,1.5,"Kiambu, 1.5%"
Kiambu,Health voucher,9.1,"Kiambu, 9.1%"
Kiambu,Food/cash for work,15.3,"Kiambu, 15.3%"
Kiambu,School feeding,4.4,"Kiambu, 4.4%"
Kiambu,Hunger safety net program,0.9,"Kiambu, 0.9%"
Kiambu,COVID-19 relief,0,"Kiambu, 0%"
Kiambu,Other,56.4,"Kiambu, 56.4%"
Turkana,Receiving cash/social assistance,61.4,"Turkana, 61.4%"
Turkana,Orphaned children(<=18),3,"Turkana, 3%"
Turkana,Elderly person,8.4,"Turkana, 8.4%"
Turkana,Person with severe disability,1.2,"Turkana, 1.2%"
Turkana,Urban food subsidy,0,"Turkana, 0%"
Turkana,Food aid for ASALs,73.2,"Turkana, 73.2%"
Turkana,Health voucher,0.9,"Turkana, 0.9%"
Turkana,Food/cash for work,0.7,"Turkana, 0.7%"
Turkana,School feeding,3.6,"Turkana, 3.6%"
Turkana,Hunger safety net program,47.3,"Turkana, 47.3%"
Turkana,COVID-19 relief,36.8,"Turkana, 36.8%"
Turkana,Other,9.1,"Turkana, 9.1%"
West Pokot,Receiving cash/social assistance,8.8,"West Pokot, 8.8%"
West Pokot,Orphaned children(<=18),13.6,"West Pokot, 13.6%"
West Pokot,Elderly person,41.4,"West Pokot, 41.4%"
West Pokot,Person with severe disability,3.2,"West Pokot, 3.2%"
West Pokot,Urban food subsidy,0,"West Pokot, 0%"
West Pokot,Food aid for ASALs,8.3,"West Pokot, 8.3%"
West Pokot,Health voucher,2.3,"West Pokot, 2.3%"
West Pokot,Food/cash for work,4.9,"West Pokot, 4.9%"
West Pokot,School feeding,16.5,"West Pokot, 16.5%"
West Pokot,Hunger safety net program,5.6,"West Pokot, 5.6%"
West Pokot,COVID-19 relief,1.2,"West Pokot, 1.2%"
West Pokot,Other,9.9,"West Pokot, 9.9%"
Samburu,Receiving cash/social assistance,17.9,"Samburu, 17.9%"
Samburu,Orphaned children(<=18),12.1,"Samburu, 12.1%"
Samburu,Elderly person,21.2,"Samburu, 21.2%"
Samburu,Person with severe disability,4.2,"Samburu, 4.2%"
Samburu,Urban food subsidy,1.5,"Samburu, 1.5%"
Samburu,Food aid for ASALs,12,"Samburu, 12%"
Samburu,Health voucher,0,"Samburu, 0%"
Samburu,Food/cash for work,29.2,"Samburu, 29.2%"
Samburu,School feeding,0.4,"Samburu, 0.4%"
Samburu,Hunger safety net program,10.5,"Samburu, 10.5%"
Samburu,COVID-19 relief,0,"Samburu, 0%"
Samburu,Other,15.7,"Samburu, 15.7%"
Trans Nzoia,Receiving cash/social assistance,15.4,"Trans Nzoia, 15.4%"
Trans Nzoia,Orphaned children(<=18),6.5,"Trans Nzoia, 6.5%"
Trans Nzoia,Elderly person,24,"Trans Nzoia, 24%"
Trans Nzoia,Person with severe disability,2.3,"Trans Nzoia, 2.3%"
Trans Nzoia,Urban food subsidy,0.5,"Trans Nzoia, 0.5%"
Trans Nzoia,Food aid for ASALs,0.4,"Trans Nzoia, 0.4%"
Trans Nzoia,Health voucher,3,"Trans Nzoia, 3%"
Trans Nzoia,Food/cash for work,24.1,"Trans Nzoia, 24.1%"
Trans Nzoia,School feeding,19.5,"Trans Nzoia, 19.5%"
Trans Nzoia,Hunger safety net program,0.5,"Trans Nzoia, 0.5%"
Trans Nzoia,COVID-19 relief,1,"Trans Nzoia, 1%"
Trans Nzoia,Other,28.9,"Trans Nzoia, 28.9%"
Uasin Gishu,Receiving cash/social assistance,24.9,"Uasin Gishu, 24.9%"
Uasin Gishu,Orphaned children(<=18),3.2,"Uasin Gishu, 3.2%"
Uasin Gishu,Elderly person,10.4,"Uasin Gishu, 10.4%"
Uasin Gishu,Person with severe disability,1.3,"Uasin Gishu, 1.3%"
Uasin Gishu,Urban food subsidy,0,"Uasin Gishu, 0%"
Uasin Gishu,Food aid for ASALs,0,"Uasin Gishu, 0%"
Uasin Gishu,Health voucher,7.2,"Uasin Gishu, 7.2%"
Uasin Gishu,Food/cash for work,21.7,"Uasin Gishu, 21.7%"
Uasin Gishu,School feeding,12.5,"Uasin Gishu, 12.5%"
Uasin Gishu,Hunger safety net program,0,"Uasin Gishu, 0%"
Uasin Gishu,COVID-19 relief,2.6,"Uasin Gishu, 2.6%"
Uasin Gishu,Other,57,"Uasin Gishu, 57%"
Elgeyo Marakwet,Receiving cash/social assistance,16.1,"Elgeyo Marakwet, 16.1%"
Elgeyo Marakwet,Orphaned children(<=18),3.5,"Elgeyo Marakwet, 3.5%"
Elgeyo Marakwet,Elderly person,32.6,"Elgeyo Marakwet, 32.6%"
Elgeyo Marakwet,Person with severe disability,1.2,"Elgeyo Marakwet, 1.2%"
Elgeyo Marakwet,Urban food subsidy,0.9,"Elgeyo Marakwet, 0.9%"
Elgeyo Marakwet,Food aid for ASALs,0,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Health voucher,0,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Food/cash for work,16.8,"Elgeyo Marakwet, 16.8%"
Elgeyo Marakwet,School feeding,3.4,"Elgeyo Marakwet, 3.4%"
Elgeyo Marakwet,Hunger safety net program,0,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,COVID-19 relief,0,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Other,43.4,"Elgeyo Marakwet, 43.4%"
Nandi,Receiving cash/social assistance,15,"Nandi, 15%"
Nandi,Orphaned children(<=18),0,"Nandi, 0%"
Nandi,Elderly person,26.3,"Nandi, 26.3%"
Nandi,Person with severe disability,1.1,"Nandi, 1.1%"
Nandi,Urban food subsidy,1,"Nandi, 1%"
Nandi,Food aid for ASALs,0,"Nandi, 0%"
Nandi,Health voucher,0.9,"Nandi, 0.9%"
Nandi,Food/cash for work,16.8,"Nandi, 16.8%"
Nandi,School feeding,7.1,"Nandi, 7.1%"
Nandi,Hunger safety net program,0,"Nandi, 0%"
Nandi,COVID-19 relief,1.8,"Nandi, 1.8%"
Nandi,Other,56.2,"Nandi, 56.2%"
Baringo,Receiving cash/social assistance,17.4,"Baringo, 17.4%"
Baringo,Orphaned children(<=18),7.3,"Baringo, 7.3%"
Baringo,Elderly person,31.5,"Baringo, 31.5%"
Baringo,Person with severe disability,2.2,"Baringo, 2.2%"
Baringo,Urban food subsidy,0.7,"Baringo, 0.7%"
Baringo,Food aid for ASALs,25.7,"Baringo, 25.7%"
Baringo,Health voucher,7.6,"Baringo, 7.6%"
Baringo,Food/cash for work,7.8,"Baringo, 7.8%"
Baringo,School feeding,10.1,"Baringo, 10.1%"
Baringo,Hunger safety net program,9.4,"Baringo, 9.4%"
Baringo,COVID-19 relief,0,"Baringo, 0%"
Baringo,Other,11.7,"Baringo, 11.7%"
Laikipia,Receiving cash/social assistance,15.7,"Laikipia, 15.7%"
Laikipia,Orphaned children(<=18),3.8,"Laikipia, 3.8%"
Laikipia,Elderly person,36.1,"Laikipia, 36.1%"
Laikipia,Person with severe disability,1.8,"Laikipia, 1.8%"
Laikipia,Urban food subsidy,1.5,"Laikipia, 1.5%"
Laikipia,Food aid for ASALs,1.4,"Laikipia, 1.4%"
Laikipia,Health voucher,1,"Laikipia, 1%"
Laikipia,Food/cash for work,3.2,"Laikipia, 3.2%"
Laikipia,School feeding,0.7,"Laikipia, 0.7%"
Laikipia,Hunger safety net program,3.2,"Laikipia, 3.2%"
Laikipia,COVID-19 relief,0,"Laikipia, 0%"
Laikipia,Other,52.1,"Laikipia, 52.1%"
Nakuru,Receiving cash/social assistance,8.5,"Nakuru, 8.5%"
Nakuru,Orphaned children(<=18),3.3,"Nakuru, 3.3%"
Nakuru,Elderly person,39.5,"Nakuru, 39.5%"
Nakuru,Person with severe disability,3.7,"Nakuru, 3.7%"
Nakuru,Urban food subsidy,1.3,"Nakuru, 1.3%"
Nakuru,Food aid for ASALs,0,"Nakuru, 0%"
Nakuru,Health voucher,1.8,"Nakuru, 1.8%"
Nakuru,Food/cash for work,8.4,"Nakuru, 8.4%"
Nakuru,School feeding,4.1,"Nakuru, 4.1%"
Nakuru,Hunger safety net program,1.1,"Nakuru, 1.1%"
Nakuru,COVID-19 relief,2.3,"Nakuru, 2.3%"
Nakuru,Other,38.1,"Nakuru, 38.1%"
Narok,Receiving cash/social assistance,14.5,"Narok, 14.5%"
Narok,Orphaned children(<=18),3,"Narok, 3%"
Narok,Elderly person,9.6,"Narok, 9.6%"
Narok,Person with severe disability,1.1,"Narok, 1.1%"
Narok,Urban food subsidy,0,"Narok, 0%"
Narok,Food aid for ASALs,2,"Narok, 2%"
Narok,Health voucher,0.3,"Narok, 0.3%"
Narok,Food/cash for work,31.2,"Narok, 31.2%"
Narok,School feeding,4.4,"Narok, 4.4%"
Narok,Hunger safety net program,16.8,"Narok, 16.8%"
Narok,COVID-19 relief,10.7,"Narok, 10.7%"
Narok,Other,37.8,"Narok, 37.8%"
Kajiado,Receiving cash/social assistance,11.8,"Kajiado, 11.8%"
Kajiado,Orphaned children(<=18),2.7,"Kajiado, 2.7%"
Kajiado,Elderly person,12.9,"Kajiado, 12.9%"
Kajiado,Person with severe disability,3.2,"Kajiado, 3.2%"
Kajiado,Urban food subsidy,4.9,"Kajiado, 4.9%"
Kajiado,Food aid for ASALs,19.5,"Kajiado, 19.5%"
Kajiado,Health voucher,1.1,"Kajiado, 1.1%"
Kajiado,Food/cash for work,26.6,"Kajiado, 26.6%"
Kajiado,School feeding,1.1,"Kajiado, 1.1%"
Kajiado,Hunger safety net program,14.1,"Kajiado, 14.1%"
Kajiado,COVID-19 relief,0,"Kajiado, 0%"
Kajiado,Other,28.2,"Kajiado, 28.2%"
Kericho,Receiving cash/social assistance,15.3,"Kericho, 15.3%"
Kericho,Orphaned children(<=18),4.2,"Kericho, 4.2%"
Kericho,Elderly person,31.4,"Kericho, 31.4%"
Kericho,Person with severe disability,2.4,"Kericho, 2.4%"
Kericho,Urban food subsidy,0,"Kericho, 0%"
Kericho,Food aid for ASALs,0,"Kericho, 0%"
Kericho,Health voucher,2.7,"Kericho, 2.7%"
Kericho,Food/cash for work,4.1,"Kericho, 4.1%"
Kericho,School feeding,16.2,"Kericho, 16.2%"
Kericho,Hunger safety net program,0,"Kericho, 0%"
Kericho,COVID-19 relief,0,"Kericho, 0%"
Kericho,Other,44.4,"Kericho, 44.4%"
Bomet,Receiving cash/social assistance,30.1,"Bomet, 30.1%"
Bomet,Orphaned children(<=18),2,"Bomet, 2%"
Bomet,Elderly person,15.8,"Bomet, 15.8%"
Bomet,Person with severe disability,0.4,"Bomet, 0.4%"
Bomet,Urban food subsidy,0.1,"Bomet, 0.1%"
Bomet,Food aid for ASALs,0,"Bomet, 0%"
Bomet,Health voucher,0.6,"Bomet, 0.6%"
Bomet,Food/cash for work,5.1,"Bomet, 5.1%"
Bomet,School feeding,6.8,"Bomet, 6.8%"
Bomet,Hunger safety net program,0.5,"Bomet, 0.5%"
Bomet,COVID-19 relief,0,"Bomet, 0%"
Bomet,Other,74.1,"Bomet, 74.1%"
Kakamega,Receiving cash/social assistance,13.1,"Kakamega, 13.1%"
Kakamega,Orphaned children(<=18),3.2,"Kakamega, 3.2%"
Kakamega,Elderly person,40.6,"Kakamega, 40.6%"
Kakamega,Person with severe disability,1.8,"Kakamega, 1.8%"
Kakamega,Urban food subsidy,0,"Kakamega, 0%"
Kakamega,Food aid for ASALs,0.4,"Kakamega, 0.4%"
Kakamega,Health voucher,4,"Kakamega, 4%"
Kakamega,Food/cash for work,19.4,"Kakamega, 19.4%"
Kakamega,School feeding,12.1,"Kakamega, 12.1%"
Kakamega,Hunger safety net program,2.7,"Kakamega, 2.7%"
Kakamega,COVID-19 relief,1.5,"Kakamega, 1.5%"
Kakamega,Other,22.8,"Kakamega, 22.8%"
Vihiga,Receiving cash/social assistance,18.3,"Vihiga, 18.3%"
Vihiga,Orphaned children(<=18),5.2,"Vihiga, 5.2%"
Vihiga,Elderly person,49.5,"Vihiga, 49.5%"
Vihiga,Person with severe disability,3.9,"Vihiga, 3.9%"
Vihiga,Urban food subsidy,0,"Vihiga, 0%"
