County,Age_category,Category,Proportion,Names
Garissa,6-59 months,Vit. A last 6 months,33.9,"Garissa, 33.9%"
Garissa,12-59 months,Deworming last 6 months,26.7,"Garissa, 26.7%"
Wajir,6-59 months,Iron tablets/syrups last 12 months,6.4,"Wajir, 6.4%"
Wajir,6-59 months,Micronutrient powders last 12 months,0.9,"Wajir, 0.9%"
Wajir,6-59 months,Iron supplements last 6 months,6.5,"Wajir, 6.5%"
Wajir,6-59 months,Vit. A last 6 months,33.1,"Wajir, 33.1%"
Wajir,12-59 months,Deworming last 6 months,24,"Wajir, 24%"
Mandera,6-59 months,Iron tablets/syrups last 12 months,9,"Mandera, 9%"
Mandera,6-59 months,Micronutrient powders last 12 months,3.7,"Mandera, 3.7%"
Mandera,6-59 months,Iron supplements last 6 months,10.5,"Mandera, 10.5%"
Mandera,6-59 months,Vit. A last 6 months,16.4,"Mandera, 16.4%"
Mandera,12-59 months,Deworming last 6 months,15.2,"Mandera, 15.2%"
Marsabit,6-59 months,Iron tablets/syrups last 12 months,16.3,"Marsabit, 16.3%"
Marsabit,6-59 months,Micronutrient powders last 12 months,10.9,"Marsabit, 10.9%"
Marsabit,6-59 months,Iron supplements last 6 months,17.1,"Marsabit, 17.1%"
Marsabit,6-59 months,Vit. A last 6 months,59.5,"Marsabit, 59.5%"
Marsabit,12-59 months,Deworming last 6 months,35.1,"Marsabit, 35.1%"
Isiolo,6-59 months,Iron tablets/syrups last 12 months,32.4,"Isiolo, 32.4%"
Isiolo,6-59 months,Micronutrient powders last 12 months,27.7,"Isiolo, 27.7%"
Isiolo,6-59 months,Iron supplements last 6 months,33.7,"Isiolo, 33.7%"
Isiolo,6-59 months,Vit. A last 6 months,52.7,"Isiolo, 52.7%"
Isiolo,12-59 months,Deworming last 6 months,41.9,"Isiolo, 41.9%"
Meru,6-59 months,Iron tablets/syrups last 12 months,2.9,"Meru, 2.9%"
Meru,6-59 months,Micronutrient powders last 12 months,2.3,"Meru, 2.3%"
Meru,6-59 months,Iron supplements last 6 months,4.8,"Meru, 4.8%"
Meru,6-59 months,Vit. A last 6 months,49.3,"Meru, 49.3%"
Meru,12-59 months,Deworming last 6 months,57.8,"Meru, 57.8%"
Tharaka Nithi,6-59 months,Iron tablets/syrups last 12 months,12.4,"Tharaka Nithi, 12.4%"
Tharaka Nithi,6-59 months,Micronutrient powders last 12 months,8.3,"Tharaka Nithi, 8.3%"
Tharaka Nithi,6-59 months,Iron supplements last 6 months,14.7,"Tharaka Nithi, 14.7%"
Tharaka Nithi,6-59 months,Vit. A last 6 months,74.4,"Tharaka Nithi, 74.4%"
Tharaka Nithi,12-59 months,Deworming last 6 months,65.5,"Tharaka Nithi, 65.5%"
Embu,6-59 months,Iron tablets/syrups last 12 months,48.4,"Embu, 48.4%"
Embu,6-59 months,Micronutrient powders last 12 months,49.8,"Embu, 49.8%"
Embu,6-59 months,Iron supplements last 6 months,51.4,"Embu, 51.4%"
Embu,6-59 months,Vit. A last 6 months,80.2,"Embu, 80.2%"
Embu,12-59 months,Deworming last 6 months,86.3,"Embu, 86.3%"
Kitui,6-59 months,Iron tablets/syrups last 12 months,21,"Kitui, 21%"
Kitui,6-59 months,Micronutrient powders last 12 months,16.7,"Kitui, 16.7%"
Kitui,6-59 months,Iron supplements last 6 months,22.1,"Kitui, 22.1%"
Kitui,6-59 months,Vit. A last 6 months,53.9,"Kitui, 53.9%"
Kitui,12-59 months,Deworming last 6 months,45.7,"Kitui, 45.7%"
Machakos,6-59 months,Iron tablets/syrups last 12 months,13.9,"Machakos, 13.9%"
Machakos,6-59 months,Micronutrient powders last 12 months,15.3,"Machakos, 15.3%"
Machakos,6-59 months,Iron supplements last 6 months,21.4,"Machakos, 21.4%"
Machakos,6-59 months,Vit. A last 6 months,70.6,"Machakos, 70.6%"
Machakos,12-59 months,Deworming last 6 months,71.9,"Machakos, 71.9%"
Makueni,6-59 months,Iron tablets/syrups last 12 months,12.7,"Makueni, 12.7%"
Makueni,6-59 months,Micronutrient powders last 12 months,11.2,"Makueni, 11.2%"
Makueni,6-59 months,Iron supplements last 6 months,14,"Makueni, 14%"
Makueni,6-59 months,Vit. A last 6 months,50.8,"Makueni, 50.8%"
Makueni,12-59 months,Deworming last 6 months,48.7,"Makueni, 48.7%"
Nyandarua,6-59 months,Iron tablets/syrups last 12 months,9.9,"Nyandarua, 9.9%"
Nyandarua,6-59 months,Micronutrient powders last 12 months,4.4,"Nyandarua, 4.4%"
Nyandarua,6-59 months,Iron supplements last 6 months,11.8,"Nyandarua, 11.8%"
Nyandarua,6-59 months,Vit. A last 6 months,42.7,"Nyandarua, 42.7%"
Nyandarua,12-59 months,Deworming last 6 months,69.9,"Nyandarua, 69.9%"
Nyeri,6-59 months,Iron tablets/syrups last 12 months,23.7,"Nyeri, 23.7%"
Nyeri,6-59 months,Micronutrient powders last 12 months,5.7,"Nyeri, 5.7%"
Nyeri,6-59 months,Iron supplements last 6 months,24.3,"Nyeri, 24.3%"
Nyeri,6-59 months,Vit. A last 6 months,73.9,"Nyeri, 73.9%"
Nyeri,12-59 months,Deworming last 6 months,85.2,"Nyeri, 85.2%"
Kirinyaga,6-59 months,Iron tablets/syrups last 12 months,14.5,"Kirinyaga, 14.5%"
Kirinyaga,6-59 months,Micronutrient powders last 12 months,12.3,"Kirinyaga, 12.3%"
Kirinyaga,6-59 months,Iron supplements last 6 months,21.5,"Kirinyaga, 21.5%"
Kirinyaga,6-59 months,Vit. A last 6 months,70,"Kirinyaga, 70%"
Kirinyaga,12-59 months,Deworming last 6 months,78.2,"Kirinyaga, 78.2%"
Muranga,6-59 months,Iron tablets/syrups last 12 months,21.7,"Muranga, 21.7%"
Muranga,6-59 months,Micronutrient powders last 12 months,20.4,"Muranga, 20.4%"
Muranga,6-59 months,Iron supplements last 6 months,27.7,"Muranga, 27.7%"
Muranga,6-59 months,Vit. A last 6 months,78.9,"Muranga, 78.9%"
Muranga,12-59 months,Deworming last 6 months,80.9,"Muranga, 80.9%"
Kiambu,6-59 months,Iron tablets/syrups last 12 months,18.1,"Kiambu, 18.1%"
Kiambu,6-59 months,Micronutrient powders last 12 months,9.3,"Kiambu, 9.3%"
Kiambu,6-59 months,Iron supplements last 6 months,20.8,"Kiambu, 20.8%"
Kiambu,6-59 months,Vit. A last 6 months,77.4,"Kiambu, 77.4%"
Kiambu,12-59 months,Deworming last 6 months,83.2,"Kiambu, 83.2%"
Turkana,6-59 months,Iron tablets/syrups last 12 months,26.8,"Turkana, 26.8%"
Turkana,6-59 months,Micronutrient powders last 12 months,15.9,"Turkana, 15.9%"
Turkana,6-59 months,Iron supplements last 6 months,30,"Turkana, 30%"
Turkana,6-59 months,Vit. A last 6 months,68.1,"Turkana, 68.1%"
Turkana,12-59 months,Deworming last 6 months,63.6,"Turkana, 63.6%"
West Pokot,6-59 months,Iron tablets/syrups last 12 months,36.2,"West Pokot, 36.2%"
West Pokot,6-59 months,Micronutrient powders last 12 months,40.5,"West Pokot, 40.5%"
West Pokot,6-59 months,Iron supplements last 6 months,43,"West Pokot, 43%"
West Pokot,6-59 months,Vit. A last 6 months,48.3,"West Pokot, 48.3%"
West Pokot,12-59 months,Deworming last 6 months,29,"West Pokot, 29%"
Samburu,6-59 months,Iron tablets/syrups last 12 months,4.1,"Samburu, 4.1%"
Samburu,6-59 months,Micronutrient powders last 12 months,1.9,"Samburu, 1.9%"
Samburu,6-59 months,Iron supplements last 6 months,4.3,"Samburu, 4.3%"
Samburu,6-59 months,Vit. A last 6 months,41.2,"Samburu, 41.2%"
Samburu,12-59 months,Deworming last 6 months,34.4,"Samburu, 34.4%"
Trans Nzoia,6-59 months,Iron tablets/syrups last 12 months,32.6,"Trans Nzoia, 32.6%"
Trans Nzoia,6-59 months,Micronutrient powders last 12 months,15.6,"Trans Nzoia, 15.6%"
Trans Nzoia,6-59 months,Iron supplements last 6 months,34.2,"Trans Nzoia, 34.2%"
Trans Nzoia,6-59 months,Vit. A last 6 months,80.1,"Trans Nzoia, 80.1%"
Trans Nzoia,12-59 months,Deworming last 6 months,80.2,"Trans Nzoia, 80.2%"
Uasin Gishu,6-59 months,Iron tablets/syrups last 12 months,25.1,"Uasin Gishu, 25.1%"
Uasin Gishu,6-59 months,Micronutrient powders last 12 months,9.4,"Uasin Gishu, 9.4%"
Uasin Gishu,6-59 months,Iron supplements last 6 months,27.6,"Uasin Gishu, 27.6%"
Uasin Gishu,6-59 months,Vit. A last 6 months,70.2,"Uasin Gishu, 70.2%"
Uasin Gishu,12-59 months,Deworming last 6 months,76,"Uasin Gishu, 76%"
Elgeyo Marakwet,6-59 months,Iron tablets/syrups last 12 months,32.4,"Elgeyo Marakwet, 32.4%"
Elgeyo Marakwet,6-59 months,Micronutrient powders last 12 months,24.8,"Elgeyo Marakwet, 24.8%"
Elgeyo Marakwet,6-59 months,Iron supplements last 6 months,38.4,"Elgeyo Marakwet, 38.4%"
Elgeyo Marakwet,6-59 months,Vit. A last 6 months,56.4,"Elgeyo Marakwet, 56.4%"
Elgeyo Marakwet,12-59 months,Deworming last 6 months,48,"Elgeyo Marakwet, 48%"
Nandi,6-59 months,Iron tablets/syrups last 12 months,10,"Nandi, 10%"
Nandi,6-59 months,Micronutrient powders last 12 months,3.1,"Nandi, 3.1%"
Nandi,6-59 months,Iron supplements last 6 months,12.1,"Nandi, 12.1%"
Nandi,6-59 months,Vit. A last 6 months,50,"Nandi, 50%"
Nandi,12-59 months,Deworming last 6 months,72.6,"Nandi, 72.6%"
Baringo,6-59 months,Iron tablets/syrups last 12 months,10.4,"Baringo, 10.4%"
Baringo,6-59 months,Micronutrient powders last 12 months,16,"Baringo, 16%"
Baringo,6-59 months,Iron supplements last 6 months,19.5,"Baringo, 19.5%"
Baringo,6-59 months,Vit. A last 6 months,64.8,"Baringo, 64.8%"
Baringo,12-59 months,Deworming last 6 months,61.6,"Baringo, 61.6%"
Laikipia,6-59 months,Iron tablets/syrups last 12 months,1.1,"Laikipia, 1.1%"
Laikipia,6-59 months,Micronutrient powders last 12 months,0.7,"Laikipia, 0.7%"
Laikipia,6-59 months,Iron supplements last 6 months,1.5,"Laikipia, 1.5%"
Laikipia,6-59 months,Vit. A last 6 months,70.6,"Laikipia, 70.6%"
Laikipia,12-59 months,Deworming last 6 months,74.7,"Laikipia, 74.7%"
Nakuru,6-59 months,Iron tablets/syrups last 12 months,13,"Nakuru, 13%"
Nakuru,6-59 months,Micronutrient powders last 12 months,6.1,"Nakuru, 6.1%"
Nakuru,6-59 months,Iron supplements last 6 months,15,"Nakuru, 15%"
Nakuru,6-59 months,Vit. A last 6 months,58.3,"Nakuru, 58.3%"
Nakuru,12-59 months,Deworming last 6 months,73,"Nakuru, 73%"
Narok,6-59 months,Iron tablets/syrups last 12 months,3.8,"Narok, 3.8%"
Narok,6-59 months,Micronutrient powders last 12 months,2.5,"Narok, 2.5%"
Narok,6-59 months,Iron supplements last 6 months,4.7,"Narok, 4.7%"
Narok,6-59 months,Vit. A last 6 months,46.2,"Narok, 46.2%"
Narok,12-59 months,Deworming last 6 months,59.7,"Narok, 59.7%"
Kajiado,6-59 months,Iron tablets/syrups last 12 months,18.7,"Kajiado, 18.7%"
Kajiado,6-59 months,Micronutrient powders last 12 months,7.9,"Kajiado, 7.9%"
Kajiado,6-59 months,Iron supplements last 6 months,21.9,"Kajiado, 21.9%"
Kajiado,6-59 months,Vit. A last 6 months,60.6,"Kajiado, 60.6%"
Kajiado,12-59 months,Deworming last 6 months,58.9,"Kajiado, 58.9%"
Kericho,6-59 months,Iron tablets/syrups last 12 months,32.5,"Kericho, 32.5%"
Kericho,6-59 months,Micronutrient powders last 12 months,32.3,"Kericho, 32.3%"
Kericho,6-59 months,Iron supplements last 6 months,34.1,"Kericho, 34.1%"
Kericho,6-59 months,Vit. A last 6 months,77.5,"Kericho, 77.5%"
Kericho,12-59 months,Deworming last 6 months,77.4,"Kericho, 77.4%"
Bomet,6-59 months,Iron tablets/syrups last 12 months,3.2,"Bomet, 3.2%"
Bomet,6-59 months,Micronutrient powders last 12 months,3.8,"Bomet, 3.8%"
Bomet,6-59 months,Iron supplements last 6 months,4.7,"Bomet, 4.7%"
Bomet,6-59 months,Vit. A last 6 months,69.9,"Bomet, 69.9%"
Bomet,12-59 months,Deworming last 6 months,83.2,"Bomet, 83.2%"
Kakamega,6-59 months,Iron tablets/syrups last 12 months,30,"Kakamega, 30%"
Kakamega,6-59 months,Micronutrient powders last 12 months,10.6,"Kakamega, 10.6%"
Kakamega,6-59 months,Iron supplements last 6 months,33.8,"Kakamega, 33.8%"
Kakamega,6-59 months,Vit. A last 6 months,77.8,"Kakamega, 77.8%"
Kakamega,12-59 months,Deworming last 6 months,74,"Kakamega, 74%"
Vihiga,6-59 months,Iron tablets/syrups last 12 months,19.5,"Vihiga, 19.5%"
Vihiga,6-59 months,Micronutrient powders last 12 months,10.7,"Vihiga, 10.7%"
Vihiga,6-59 months,Iron supplements last 6 months,20.4,"Vihiga, 20.4%"
Vihiga,6-59 months,Vit. A last 6 months,59.4,"Vihiga, 59.4%"
Vihiga,12-59 months,Deworming last 6 months,77.4,"Vihiga, 77.4%"
Bungoma,6-59 months,Iron tablets/syrups last 12 months,27.2,"Bungoma, 27.2%"
Bungoma,6-59 months,Micronutrient powders last 12 months,7.5,"Bungoma, 7.5%"
Bungoma,6-59 months,Iron supplements last 6 months,28.6,"Bungoma, 28.6%"
Bungoma,6-59 months,Vit. A last 6 months,72.9,"Bungoma, 72.9%"
Bungoma,12-59 months,Deworming last 6 months,81.5,"Bungoma, 81.5%"
Busia,6-59 months,Iron tablets/syrups last 12 months,9.2,"Busia, 9.2%"
Busia,6-59 months,Micronutrient powders last 12 months,7.2,"Busia, 7.2%"
Busia,6-59 months,Iron supplements last 6 months,13,"Busia, 13%"
Busia,6-59 months,Vit. A last 6 months,54.9,"Busia, 54.9%"
Busia,12-59 months,Deworming last 6 months,48.1,"Busia, 48.1%"
Siaya,6-59 months,Iron tablets/syrups last 12 months,35.8,"Siaya, 35.8%"
Siaya,6-59 months,Micronutrient powders last 12 months,28.4,"Siaya, 28.4%"
Siaya,6-59 months,Iron supplements last 6 months,36.1,"Siaya, 36.1%"
Siaya,6-59 months,Vit. A last 6 months,60.3,"Siaya, 60.3%"
Siaya,12-59 months,Deworming last 6 months,48.3,"Siaya, 48.3%"
Kisumu,6-59 months,Iron tablets/syrups last 12 months,15.1,"Kisumu, 15.1%"
Kisumu,6-59 months,Micronutrient powders last 12 months,9.4,"Kisumu, 9.4%"
Kisumu,6-59 months,Iron supplements last 6 months,17,"Kisumu, 17%"
Kisumu,6-59 months,Vit. A last 6 months,59.1,"Kisumu, 59.1%"
Kisumu,12-59 months,Deworming last 6 months,51.3,"Kisumu, 51.3%"
Homa Bay,6-59 months,Iron tablets/syrups last 12 months,14.4,"Homa Bay, 14.4%"
Homa Bay,6-59 months,Micronutrient powders last 12 months,14.3,"Homa Bay, 14.3%"
Homa Bay,6-59 months,Iron supplements last 6 months,18.1,"Homa Bay, 18.1%"
Homa Bay,6-59 months,Vit. A last 6 months,67,"Homa Bay, 67%"
Homa Bay,12-59 months,Deworming last 6 months,58.2,"Homa Bay, 58.2%"
Migori,6-59 months,Iron tablets/syrups last 12 months,11.6,"Migori, 11.6%"
Migori,6-59 months,Micronutrient powders last 12 months,4.2,"Migori, 4.2%"
Migori,6-59 months,Iron supplements last 6 months,13.2,"Migori, 13.2%"
Migori,6-59 months,Vit. A last 6 months,54.8,"Migori, 54.8%"
Migori,12-59 months,Deworming last 6 months,51,"Migori, 51%"
Kisii,6-59 months,Iron tablets/syrups last 12 months,28.7,"Kisii, 28.7%"
Kisii,6-59 months,Micronutrient powders last 12 months,13.6,"Kisii, 13.6%"
Kisii,6-59 months,Iron supplements last 6 months,31.1,"Kisii, 31.1%"
Kisii,6-59 months,Vit. A last 6 months,49,"Kisii, 49%"
Kisii,12-59 months,Deworming last 6 months,51.4,"Kisii, 51.4%"
Nyamira,6-59 months,Iron tablets/syrups last 12 months,7.9,"Nyamira, 7.9%"
Nyamira,6-59 months,Micronutrient powders last 12 months,5.2,"Nyamira, 5.2%"
Nyamira,6-59 months,Iron supplements last 6 months,10.2,"Nyamira, 10.2%"
Nyamira,6-59 months,Vit. A last 6 months,74.5,"Nyamira, 74.5%"
Nyamira,12-59 months,Deworming last 6 months,66.9,"Nyamira, 66.9%"
Nairobi,6-59 months,Iron tablets/syrups last 12 months,19.8,"Nairobi, 19.8%"
Nairobi,6-59 months,Micronutrient powders last 12 months,16.7,"Nairobi, 16.7%"
Nairobi,6-59 months,Iron supplements last 6 months,25.5,"Nairobi, 25.5%"
Nairobi,6-59 months,Vit. A last 6 months,69.9,"Nairobi, 69.9%"
Nairobi,12-59 months,Deworming last 6 months,75.4,"Nairobi, 75.4%"
