Characteristic,Variable,category,proportion,type
4-5,Birth order,Blood preassure measured,95,All women
4-5,Birth order,Urine sample taken,92.6,All women
4-5,Birth order,Blood sample taken,94.4,All women
4-5,Birth order,Baby heartbeat listened,94.6,All women
4-5,Birth order,Counseled about diet,79.8,All women
4-5,Birth order,Counseled about breastfeeding,77.6,All women
4-5,Birth order,Asked about vaginal bleeding,74.7,All women
6+,Birth order,Blood preassure measured,90.7,All women
6+,Birth order,Urine sample taken,86.5,All women
6+,Birth order,Blood sample taken,88.5,All women
6+,Birth order,Baby heartbeat listened,89.9,All women
6+,Birth order,Counseled about diet,73.5,All women
6+,Birth order,Counseled about breastfeeding,67.5,All women
6+,Birth order,Asked about vaginal bleeding,66.1,All women
Urban,Residence,Blood preassure measured,98.1,All women
Urban,Residence,Urine sample taken,97.3,All women
Urban,Residence,Blood sample taken,97.6,All women
Urban,Residence,Baby heartbeat listened,97.2,All women
Urban,Residence,Counseled about diet,88,All women
Urban,Residence,Counseled about breastfeeding,87.2,All women
Urban,Residence,Asked about vaginal bleeding,81,All women
Rural,Residence,Blood preassure measured,94.9,All women
Rural,Residence,Urine sample taken,92.3,All women
Rural,Residence,Blood sample taken,94.3,All women
Rural,Residence,Baby heartbeat listened,94.9,All women
Rural,Residence,Counseled about diet,78.9,All women
Rural,Residence,Counseled about breastfeeding,75.5,All women
Rural,Residence,Asked about vaginal bleeding,71.1,All women
No education,Education,Blood preassure measured,87.2,All women
No education,Education,Urine sample taken,80.3,All women
No education,Education,Blood sample taken,84.5,All women
No education,Education,Baby heartbeat listened,83.6,All women
No education,Education,Counseled about diet,68.4,All women
No education,Education,Counseled about breastfeeding,63,All women
No education,Education,Asked about vaginal bleeding,59.4,All women
Primary,Education,Blood preassure measured,96.1,All women
Primary,Education,Urine sample taken,93.8,All women
Primary,Education,Blood sample taken,95.6,All women
Primary,Education,Baby heartbeat listened,96.4,All women
Primary,Education,Counseled about diet,79.6,All women
Primary,Education,Counseled about breastfeeding,77.7,All women
Primary,Education,Asked about vaginal bleeding,72,All women
Secondary,Education,Blood preassure measured,97.1,All women
Secondary,Education,Urine sample taken,96.1,All women
Secondary,Education,Blood sample taken,96.6,All women
Secondary,Education,Baby heartbeat listened,96.7,All women
Secondary,Education,Counseled about diet,83.9,All women
Secondary,Education,Counseled about breastfeeding,82.4,All women
Secondary,Education,Asked about vaginal bleeding,77.7,All women
More than secondary,Education,Blood preassure measured,98.6,All women
More than secondary,Education,Urine sample taken,97.8,All women
More than secondary,Education,Blood sample taken,98.6,All women
More than secondary,Education,Baby heartbeat listened,98.6,All women
More than secondary,Education,Counseled about diet,90.8,All women
More than secondary,Education,Counseled about breastfeeding,86.9,All women
More than secondary,Education,Asked about vaginal bleeding,81.7,All women
Lowest,Wealth,Blood preassure measured,91.6,All women
Lowest,Wealth,Urine sample taken,87.1,All women
Lowest,Wealth,Blood sample taken,91,All women
Lowest,Wealth,Baby heartbeat listened,91.2,All women
Lowest,Wealth,Counseled about diet,72.8,All women
Lowest,Wealth,Counseled about breastfeeding,68.7,All women
Lowest,Wealth,Asked about vaginal bleeding,63.4,All women
Second,Wealth,Blood preassure measured,96.1,All women
Second,Wealth,Urine sample taken,93.8,All women
Second,Wealth,Blood sample taken,94.9,All women
Second,Wealth,Baby heartbeat listened,95.3,All women
Second,Wealth,Counseled about diet,78.1,All women
Second,Wealth,Counseled about breastfeeding,76.3,All women
Second,Wealth,Asked about vaginal bleeding,73,All women
Middle,Wealth,Blood preassure measured,96.4,All women
Middle,Wealth,Urine sample taken,95.3,All women
Middle,Wealth,Blood sample taken,96.3,All women
Middle,Wealth,Baby heartbeat listened,96.6,All women
Middle,Wealth,Counseled about diet,84,All women
Middle,Wealth,Counseled about breastfeeding,81.3,All women
Middle,Wealth,Asked about vaginal bleeding,76.2,All women
Fourth,Wealth,Blood preassure measured,97.6,All women
Fourth,Wealth,Urine sample taken,95.9,All women
Fourth,Wealth,Blood sample taken,97,All women
Fourth,Wealth,Baby heartbeat listened,97.1,All women
Fourth,Wealth,Counseled about diet,87.3,All women
Fourth,Wealth,Counseled about breastfeeding,84.6,All women
Fourth,Wealth,Asked about vaginal bleeding,77.1,All women
Highest,Wealth,Blood preassure measured,99,All women
Highest,Wealth,Urine sample taken,99,All women
Highest,Wealth,Blood sample taken,98.5,All women
Highest,Wealth,Baby heartbeat listened,98.9,All women
Highest,Wealth,Counseled about diet,89.4,All women
Highest,Wealth,Counseled about breastfeeding,88.5,All women
Highest,Wealth,Asked about vaginal bleeding,84.7,All women
