Characteristic,Variable,Type,category,proportion
Secondary,Education,Timing of ANC visits,4-7,NA
Secondary,Education,Timing of ANC visits,8+,NA
Secondary,Education,Timing of ANC visits,<4,26.9
Secondary,Education,Timing of ANC visits,4-6,63
Secondary,Education,Timing of ANC visits,7+,9.2
More than secondary,Education,Timing of ANC visits,None,NA
More than secondary,Education,Timing of ANC visits,1,NA
More than secondary,Education,Timing of ANC visits,4-7,NA
More than secondary,Education,Timing of ANC visits,8+,NA
More than secondary,Education,Timing of ANC visits,<4,46.5
More than secondary,Education,Timing of ANC visits,4-6,50
More than secondary,Education,Timing of ANC visits,7+,3.1
Lowest,Wealth,Number of ANC visits,None,4.5
Lowest,Wealth,Number of ANC visits,1,5
Lowest,Wealth,Number of ANC visits,4-7,51.6
Lowest,Wealth,Number of ANC visits,8+,2.3
Lowest,Wealth,Number of ANC visits,<4,NA
Lowest,Wealth,Number of ANC visits,4-6,NA
Lowest,Wealth,Number of ANC visits,7+,NA
Second,Wealth,Number of ANC visits,None,2
Second,Wealth,Number of ANC visits,1,3.5
Second,Wealth,Number of ANC visits,4-7,56.2
Second,Wealth,Number of ANC visits,8+,3.3
Second,Wealth,Number of ANC visits,<4,NA
Second,Wealth,Number of ANC visits,4-6,NA
Second,Wealth,Number of ANC visits,7+,NA
Middle,Wealth,Number of ANC visits,None,1.6
Middle,Wealth,Number of ANC visits,1,2
Middle,Wealth,Number of ANC visits,4-7,62
Middle,Wealth,Number of ANC visits,8+,3.2
Middle,Wealth,Number of ANC visits,<4,NA
Middle,Wealth,Number of ANC visits,4-6,NA
Middle,Wealth,Number of ANC visits,7+,NA
Fourth,Wealth,Number of ANC visits,None,1.2
Fourth,Wealth,Number of ANC visits,1,2.1
Fourth,Wealth,Number of ANC visits,4-7,66.3
Fourth,Wealth,Number of ANC visits,8+,3.4
Fourth,Wealth,Number of ANC visits,<4,NA
Fourth,Wealth,Number of ANC visits,4-6,NA
Fourth,Wealth,Number of ANC visits,7+,NA
Highest,Wealth,Number of ANC visits,None,0.3
Highest,Wealth,Number of ANC visits,1,0.6
Highest,Wealth,Number of ANC visits,4-7,74.1
Highest,Wealth,Number of ANC visits,8+,8
Highest,Wealth,Number of ANC visits,<4,NA
Highest,Wealth,Number of ANC visits,4-6,NA
Highest,Wealth,Number of ANC visits,7+,NA
Lowest,Wealth,Number of ANC visits,None,NA
Lowest,Wealth,Number of ANC visits,1,NA
Lowest,Wealth,Number of ANC visits,4-7,NA
Lowest,Wealth,Number of ANC visits,8+,NA
Lowest,Wealth,Number of ANC visits,<4,20.8
Lowest,Wealth,Number of ANC visits,4-6,63.3
Lowest,Wealth,Number of ANC visits,7+,11.4
Second,Wealth,Number of ANC visits,None,NA
Second,Wealth,Number of ANC visits,1,NA
Second,Wealth,Number of ANC visits,4-7,NA
Second,Wealth,Number of ANC visits,8+,NA
Second,Wealth,Number of ANC visits,<4,26.2
Second,Wealth,Number of ANC visits,4-6,59.7
Second,Wealth,Number of ANC visits,7+,12
Middle,Wealth,Number of ANC visits,None,NA
Middle,Wealth,Number of ANC visits,1,NA
Middle,Wealth,Number of ANC visits,4-7,NA
Middle,Wealth,Number of ANC visits,8+,NA
Middle,Wealth,Number of ANC visits,<4,26.8
Middle,Wealth,Number of ANC visits,4-6,61.1
Middle,Wealth,Number of ANC visits,7+,10.4
Fourth,Wealth,Number of ANC visits,None,NA
Fourth,Wealth,Number of ANC visits,1,NA
Fourth,Wealth,Number of ANC visits,4-7,NA
Fourth,Wealth,Number of ANC visits,8+,NA
Fourth,Wealth,Number of ANC visits,<4,27.2
Fourth,Wealth,Number of ANC visits,4-6,61.8
Fourth,Wealth,Number of ANC visits,7+,9.8
Highest,Wealth,Number of ANC visits,None,NA
Highest,Wealth,Number of ANC visits,1,NA
Highest,Wealth,Number of ANC visits,4-7,NA
Highest,Wealth,Number of ANC visits,8+,NA
Highest,Wealth,Number of ANC visits,<4,42.3
Highest,Wealth,Number of ANC visits,4-6,54.3
Highest,Wealth,Number of ANC visits,7+,3.1
