"Grouping","Weighted_percent","Weighted_number","Unweighted_number","Participants","Indicator","Indicator1","label"
"Living together",3,351,393,"Men","Marital_Status","Marital Status","3%"
"Divorced/separated",6,771,748,"Men","Marital_Status","Marital Status","6%"
"Widowed",0.4,49,48,"Men","Marital_Status","Marital Status","<1%"
"Urban",41,13143,12386,"Women","Residence","Residence","41%"
"Rural",59,19013,19770,"Women","Residence","Residence","59%"
"Urban",39,5382,5003,"Men","Residence","Residence","39%"
"Rural",61,8270,8666,"Men","Residence","Residence","61%"
"No education",6,1770,3836,"Women","Education_Status","Education Status","6%"
"Primary",36,11687,11807,"Women","Education_Status","Education Status","36%"
"Secondary",38,12204,11311,"Women","Education_Status","Education Status","38%"
"Vocational",1,345,323,"Women","Education_Status","Education Status","1%"
"More than secondary",19,6150,4879,"Women","Education_Status","Education Status","19%"
"No education",3,369,774,"Men","Education_Status","Education Status","3%"
"Primary",36,4894,5150,"Men","Education_Status","Education Status","36%"
"Secondary",40,5386,5195,"Men","Education_Status","Education Status","40%"
"Vocational",2,206,204,"Men","Education_Status","Education Status","2%"
"More than secondary",20,2797,2346,"Men","Education_Status","Education Status","20%"
"Lowest",16,5019,7073,"Women","Wealth_Quintile","Wealth Quintile","16%"
"Second",18,5698,5742,"Women","Wealth_Quintile","Wealth Quintile","18%"
"Middle",19,6069,6345,"Women","Wealth_Quintile","Wealth Quintile","19%"
"Fourth",22,7139,7160,"Women","Wealth_Quintile","Wealth Quintile","22%"
"Highest",26,8231,5836,"Women","Wealth_Quintile","Wealth Quintile","26%"
"Lowest",15,2062,2881,"Men","Wealth_Quintile","Wealth Quintile","15%"
"Second",19,2584,2660,"Men","Wealth_Quintile","Wealth Quintile","19%"
"Middle",20,2754,2873,"Men","Wealth_Quintile","Wealth Quintile","20%"
"Fourth",24,3325,3138,"Men","Wealth_Quintile","Wealth Quintile","24%"
"Highest",21,2927,2117,"Men","Wealth_Quintile","Wealth Quintile","21%"
"Nairobi City",13,4235,944,"Women","County","County","13%"
"Nairobi City",13,1777,356,"Men","County","County","13%"
"Kiambu",7,911,267,"Men","County","County","7%"
"Kiambu",6,2094,668,"Women","County","County","6%"
"Nakuru",5,1658,782,"Women","County","County","5%"
"Nakuru",5,670,327,"Men","County","County","5%"
"Kakamega",4,1283,810,"Women","County","County","4%"
"Kakamega",4,532,341,"Men","County","County","4%"
"Meru",4,489,305,"Men","County","County","4%"
"Bungoma",4,1138,841,"Women","County","County","4%"
"Machakos",4,480,354,"Men","County","County","4%"
"Uasin Gishu",3,451,342,"Men","County","County","3%"
"Bungoma",3,448,328,"Men","County","County","3%"
"Mombasa",3,442,372,"Men","County","County","3%"
"Machakos",3,992,699,"Women","County","County","3%"
"Uasin Gishu",3,983,731,"Women","County","County","3%"
"Meru",3,979,602,"Women","County","County","3%"
"Kilifi",3,405,319,"Men","County","County","3%"
"Mombasa",3,947,749,"Women","County","County","3%"
"Kilifi",3,928,742,"Women","County","County","3%"
"Kajiado",3,887,660,"Women","County","County","3%"
"Kisii",3,831,708,"Women","County","County","3%"
"Kajiado",2,339,228,"Men","County","County","2%"
"Kisumu",2,345,356,"Men","County","County","2%"
"Kisumu",2,771,761,"Women","County","County","2%"
"Kericho",2,330,368,"Men","County","County","2%"
"Kisii",2,326,300,"Men","County","County","2%"
"Kitui",2,735,671,"Women","County","County","2%"
"Kericho",2,729,779,"Women","County","County","2%"
"Kitui",2,312,296,"Men","County","County","2%"
"Narok",2,313,320,"Men","County","County","2%"
"Murang’a",2,692,557,"Women","County","County","2%"
"Narok",2,718,744,"Women","County","County","2%"
"Murang’a",2,297,253,"Men","County","County","2%"
"Makueni",2,683,720,"Women","County","County","2%"
"Trans Nzoia",2,675,713,"Women","County","County","2%"
"Homa Bay",2,662,712,"Women","County","County","2%"
"Migori",2,674,777,"Women","County","County","2%"
"Bomet",2,650,778,"Women","County","County","2%"
"Makueni",2,279,308,"Men","County","County","2%"
"Trans Nzoia",2,272,308,"Men","County","County","2%"
"Bomet",2,268,353,"Men","County","County","2%"
"Nandi",2,622,721,"Women","County","County","2%"
"Busia",2,622,768,"Women","County","County","2%"
"Nandi",2,265,334,"Men","County","County","2%"
"Busia",2,262,296,"Men","County","County","2%"
"Homa Bay",2,258,263,"Men","County","County","2%"
"Migori",2,246,296,"Men","County","County","2%"
"Siaya",2,537,674,"Women","County","County","2%"
"Nyeri",2,235,267,"Men","County","County","2%"
"Siaya",2,227,282,"Men","County","County","2%"
"Nyeri",2,501,529,"Women","County","County","2%"
"Kwale",2,498,711,"Women","County","County","2%"
"Kirinyaga",2,481,605,"Women","County","County","2%"
"Kwale",2,209,320,"Men","County","County","2%"
"Kirinyaga",1,191,254,"Men","County","County","1%"
"Nyandarua",1,409,590,"Women","County","County","1%"
"Embu",1,176,280,"Men","County","County","1%"
"West Pokot",1,384,756,"Women","County","County","1%"
"Baringo",1,378,687,"Women","County","County","1%"
"Vihiga",1,371,721,"Women","County","County","1%"
"Nyandarua",1,168,255,"Men","County","County","1%"
"Baringo",1,165,300,"Men","County","County","1%"
"Embu",1,358,584,"Women","County","County","1%"
"West Pokot",1,150,288,"Men","County","County","1%"
"Laikipia",1,145,243,"Men","County","County","1%"
"Vihiga",1,156,290,"Men","County","County","1%"
"Turkana",1,331,644,"Women","County","County","1%"
"Laikipia",1,332,576,"Women","County","County","1%"
"Nyamira",1,327,635,"Women","County","County","1%"
"Tharaka-Nithi",1,137,279,"Men","County","County","1%"
"Nyamira",1,133,246,"Men","County","County","1%"
"Garissa",1,290,641,"Women","County","County","1%"
"Garissa",1,117,282,"Men","County","County","1%"
"Tharaka-Nithi",1,271,535,"Women","County","County","1%"
"Taita/Taveta",1,103,192,"Men","County","County","1%"
"Turkana",1,111,225,"Men","County","County","1%"
"Elgeyo/Marakwet",1,110,296,"Men","County","County","1%"
"Taita/Taveta",1,234,483,"Women","County","County","1%"
"Elgeyo/Marakwet",1,228,591,"Women","County","County","1%"
"Mandera",1,206,723,"Women","County","County","1%"
"Mandera",1,81,293,"Men","County","County","1%"
"Tana River",0.5,149,641,"Women","County","County","0%"
"Wajir",0.5,160,745,"Women","County","County","0%"
"Samburu",0.5,156,615,"Women","County","County","0%"
"Tana River",0.5,64,293,"Men","County","County","0%"
"Wajir",0.5,63,314,"Men","County","County","0%"
"Marsabit",0.4,129,535,"Women","County","County","<1%"
"Isiolo",0.4,137,623,"Women","County","County","<1%"
"Isiolo",0.4,55,253,"Men","County","County","<1%"
"Samburu",0.4,51,182,"Men","County","County","<1%"
"Lamu",0.3,101,675,"Women","County","County","<1%"
"Lamu",0.3,41,253,"Men","County","County","<1%"
"Marsabit",0.3,45,192,"Men","County","County","<1%"
