"County","Reason For Assistance","Proportion","Names","cat"
"Mandera","Urban food subsidy",2.3,"Mandera, 2.3%","0.7-2.5"
"Mandera","Food aid for ASALs",20.4,"Mandera, 20.4%",">19.9"
"Mandera","Health voucher",0,"Mandera, 0%","<0.7"
"Mandera","Food/cash for work",3.8,"Mandera, 3.8%","2.6-8.0"
"Mandera","School feeding",0,"Mandera, 0%","<0.7"
"Mandera","Hunger safety net program",63.1,"Mandera, 63.1%",">19.9"
"Mandera","COVID-19 relief",0,"Mandera, 0%","<0.7"
"Mandera","Other",4,"Mandera, 4%","2.6-8.0"
"Marsabit","Receiving cash/social assistance",30.1,"Marsabit, 30.1%",">19.9"
"Marsabit","Orphaned children(<=18)",4.7,"Marsabit, 4.7%","2.6-8.0"
"Marsabit","Elderly person",9.4,"Marsabit, 9.4%","8.1-19.9"
"Marsabit","Person with severe disability",1.2,"Marsabit, 1.2%","0.7-2.5"
"Marsabit","Urban food subsidy",2,"Marsabit, 2%","0.7-2.5"
"Marsabit","Food aid for ASALs",48.7,"Marsabit, 48.7%",">19.9"
"Marsabit","Health voucher",0.3,"Marsabit, 0.3%","<0.7"
"Marsabit","Food/cash for work",2.8,"Marsabit, 2.8%","2.6-8.0"
"Marsabit","School feeding",0.6,"Marsabit, 0.6%","<0.7"
"Marsabit","Hunger safety net program",45,"Marsabit, 45%",">19.9"
"Marsabit","COVID-19 relief",0.3,"Marsabit, 0.3%","<0.7"
"Marsabit","Other",4,"Marsabit, 4%","2.6-8.0"
"Isiolo","Receiving cash/social assistance",15.3,"Isiolo, 15.3%","8.1-19.9"
"Isiolo","Orphaned children(<=18)",12.2,"Isiolo, 12.2%","8.1-19.9"
"Isiolo","Elderly person",17.5,"Isiolo, 17.5%","8.1-19.9"
"Isiolo","Person with severe disability",1.1,"Isiolo, 1.1%","0.7-2.5"
"Isiolo","Urban food subsidy",1.1,"Isiolo, 1.1%","0.7-2.5"
"Isiolo","Food aid for ASALs",34.2,"Isiolo, 34.2%",">19.9"
"Isiolo","Health voucher",0,"Isiolo, 0%","<0.7"
"Isiolo","Food/cash for work",9.5,"Isiolo, 9.5%","8.1-19.9"
"Isiolo","School feeding",0,"Isiolo, 0%","<0.7"
"Isiolo","Hunger safety net program",20.9,"Isiolo, 20.9%",">19.9"
"Isiolo","COVID-19 relief",2,"Isiolo, 2%","0.7-2.5"
"Isiolo","Other",10.3,"Isiolo, 10.3%","8.1-19.9"
"Meru","Receiving cash/social assistance",15.3,"Meru, 15.3%","8.1-19.9"
"Meru","Orphaned children(<=18)",2.1,"Meru, 2.1%","0.7-2.5"
"Meru","Elderly person",32.3,"Meru, 32.3%",">19.9"
"Meru","Person with severe disability",3,"Meru, 3%","2.6-8.0"
"Meru","Urban food subsidy",0,"Meru, 0%","<0.7"
"Meru","Food aid for ASALs",0,"Meru, 0%","<0.7"
"Meru","Health voucher",2.3,"Meru, 2.3%","0.7-2.5"
"Meru","Food/cash for work",6,"Meru, 6%","2.6-8.0"
"Meru","School feeding",8.6,"Meru, 8.6%","8.1-19.9"
"Meru","Hunger safety net program",1,"Meru, 1%","0.7-2.5"
"Meru","COVID-19 relief",4.3,"Meru, 4.3%","2.6-8.0"
"Meru","Other",49.9,"Meru, 49.9%",">19.9"
"Tharaka Nithi","Receiving cash/social assistance",29.7,"Tharaka Nithi, 29.7%",">19.9"
"Tharaka Nithi","Orphaned children(<=18)",3.7,"Tharaka Nithi, 3.7%","2.6-8.0"
"Tharaka Nithi","Elderly person",24.4,"Tharaka Nithi, 24.4%",">19.9"
"Tharaka Nithi","Person with severe disability",0.8,"Tharaka Nithi, 0.8%","0.7-2.5"
"Tharaka Nithi","Urban food subsidy",7.2,"Tharaka Nithi, 7.2%","2.6-8.0"
"Tharaka Nithi","Food aid for ASALs",5.1,"Tharaka Nithi, 5.1%","2.6-8.0"
"Tharaka Nithi","Health voucher",5.7,"Tharaka Nithi, 5.7%","2.6-8.0"
"Tharaka Nithi","Food/cash for work",17.2,"Tharaka Nithi, 17.2%","8.1-19.9"
"Tharaka Nithi","School feeding",9.3,"Tharaka Nithi, 9.3%","8.1-19.9"
"Tharaka Nithi","Hunger safety net program",2.6,"Tharaka Nithi, 2.6%","2.6-8.0"
"Tharaka Nithi","COVID-19 relief",0.4,"Tharaka Nithi, 0.4%","<0.7"
"Tharaka Nithi","Other",42,"Tharaka Nithi, 42%",">19.9"
"Embu","Receiving cash/social assistance",14.6,"Embu, 14.6%","8.1-19.9"
"Embu","Orphaned children(<=18)",1.6,"Embu, 1.6%","0.7-2.5"
"Embu","Elderly person",23.9,"Embu, 23.9%",">19.9"
"Embu","Person with severe disability",3.2,"Embu, 3.2%","2.6-8.0"
"Embu","Urban food subsidy",1.5,"Embu, 1.5%","0.7-2.5"
"Embu","Food aid for ASALs",0,"Embu, 0%","<0.7"
"Embu","Health voucher",0,"Embu, 0%","<0.7"
"Embu","Food/cash for work",8.6,"Embu, 8.6%","8.1-19.9"
"Embu","School feeding",1.7,"Embu, 1.7%","0.7-2.5"
"Embu","Hunger safety net program",2.1,"Embu, 2.1%","0.7-2.5"
"Embu","COVID-19 relief",5.4,"Embu, 5.4%","2.6-8.0"
"Embu","Other",58.7,"Embu, 58.7%",">19.9"
"Kitui","Receiving cash/social assistance",15.9,"Kitui, 15.9%","8.1-19.9"
"Kitui","Orphaned children(<=18)",1.6,"Kitui, 1.6%","0.7-2.5"
"Kitui","Elderly person",46.4,"Kitui, 46.4%",">19.9"
"Kitui","Person with severe disability",1.7,"Kitui, 1.7%","0.7-2.5"
"Kitui","Urban food subsidy",0,"Kitui, 0%","<0.7"
"Kitui","Food aid for ASALs",8.1,"Kitui, 8.1%","8.1-19.9"
"Kitui","Health voucher",1.1,"Kitui, 1.1%","0.7-2.5"
"Kitui","Food/cash for work",4.3,"Kitui, 4.3%","2.6-8.0"
"Kitui","School feeding",24.3,"Kitui, 24.3%",">19.9"
"Kitui","Hunger safety net program",1.6,"Kitui, 1.6%","0.7-2.5"
"Kitui","COVID-19 relief",0,"Kitui, 0%","<0.7"
"Kitui","Other",15.7,"Kitui, 15.7%","8.1-19.9"
"Machakos","Receiving cash/social assistance",20.5,"Machakos, 20.5%",">19.9"
"Machakos","Orphaned children(<=18)",2.1,"Machakos, 2.1%","0.7-2.5"
"Machakos","Elderly person",30.2,"Machakos, 30.2%",">19.9"
"Machakos","Person with severe disability",2.3,"Machakos, 2.3%","0.7-2.5"
"Machakos","Urban food subsidy",2.4,"Machakos, 2.4%","0.7-2.5"
"Machakos","Food aid for ASALs",0,"Machakos, 0%","<0.7"
"Machakos","Health voucher",0.7,"Machakos, 0.7%","0.7-2.5"
"Machakos","Food/cash for work",13.1,"Machakos, 13.1%","8.1-19.9"
"Machakos","School feeding",23.4,"Machakos, 23.4%",">19.9"
"Machakos","Hunger safety net program",0.6,"Machakos, 0.6%","<0.7"
"Machakos","COVID-19 relief",0,"Machakos, 0%","<0.7"
"Machakos","Other",28.5,"Machakos, 28.5%",">19.9"
"Makueni","Receiving cash/social assistance",17.4,"Makueni, 17.4%","8.1-19.9"
"Makueni","Orphaned children(<=18)",5.4,"Makueni, 5.4%","2.6-8.0"
"Makueni","Elderly person",48.6,"Makueni, 48.6%",">19.9"
"Makueni","Person with severe disability",0.8,"Makueni, 0.8%","0.7-2.5"
"Makueni","Urban food subsidy",0.9,"Makueni, 0.9%","0.7-2.5"
"Makueni","Food aid for ASALs",11,"Makueni, 11%","8.1-19.9"
"Makueni","Health voucher",1.2,"Makueni, 1.2%","0.7-2.5"
"Makueni","Food/cash for work",2,"Makueni, 2%","0.7-2.5"
"Makueni","School feeding",12.4,"Makueni, 12.4%","8.1-19.9"
"Makueni","Hunger safety net program",1.3,"Makueni, 1.3%","0.7-2.5"
"Makueni","COVID-19 relief",0,"Makueni, 0%","<0.7"
"Makueni","Other",23.4,"Makueni, 23.4%",">19.9"
"Nyandarua","Receiving cash/social assistance",19.7,"Nyandarua, 19.7%","8.1-19.9"
"Nyandarua","Orphaned children(<=18)",2.7,"Nyandarua, 2.7%","2.6-8.0"
"Nyandarua","Elderly person",35.8,"Nyandarua, 35.8%",">19.9"
"Nyandarua","Person with severe disability",0,"Nyandarua, 0%","<0.7"
"Nyandarua","Urban food subsidy",0.7,"Nyandarua, 0.7%","0.7-2.5"
"Nyandarua","Food aid for ASALs",2,"Nyandarua, 2%","0.7-2.5"
"Nyandarua","Health voucher",2.9,"Nyandarua, 2.9%","2.6-8.0"
"Nyandarua","Food/cash for work",3.6,"Nyandarua, 3.6%","2.6-8.0"
"Nyandarua","School feeding",16.1,"Nyandarua, 16.1%","8.1-19.9"
"Nyandarua","Hunger safety net program",0,"Nyandarua, 0%","<0.7"
"Nyandarua","COVID-19 relief",0,"Nyandarua, 0%","<0.7"
"Nyandarua","Other",42.8,"Nyandarua, 42.8%",">19.9"
"Nyeri","Receiving cash/social assistance",24.5,"Nyeri, 24.5%",">19.9"
"Nyeri","Orphaned children(<=18)",0,"Nyeri, 0%","<0.7"
"Nyeri","Elderly person",20.4,"Nyeri, 20.4%",">19.9"
"Nyeri","Person with severe disability",1.7,"Nyeri, 1.7%","0.7-2.5"
"Nyeri","Urban food subsidy",0,"Nyeri, 0%","<0.7"
"Nyeri","Food aid for ASALs",0,"Nyeri, 0%","<0.7"
"Nyeri","Health voucher",1,"Nyeri, 1%","0.7-2.5"
"Nyeri","Food/cash for work",19.3,"Nyeri, 19.3%","8.1-19.9"
"Nyeri","School feeding",2.3,"Nyeri, 2.3%","0.7-2.5"
"Nyeri","Hunger safety net program",0,"Nyeri, 0%","<0.7"
"Nyeri","COVID-19 relief",0.5,"Nyeri, 0.5%","<0.7"
"Nyeri","Other",61.8,"Nyeri, 61.8%",">19.9"
"Kirinyaga","Receiving cash/social assistance",14.9,"Kirinyaga, 14.9%","8.1-19.9"
"Kirinyaga","Orphaned children(<=18)",5.3,"Kirinyaga, 5.3%","2.6-8.0"
"Kirinyaga","Elderly person",26.2,"Kirinyaga, 26.2%",">19.9"
"Kirinyaga","Person with severe disability",1.6,"Kirinyaga, 1.6%","0.7-2.5"
"Kirinyaga","Urban food subsidy",0,"Kirinyaga, 0%","<0.7"
"Kirinyaga","Food aid for ASALs",0.7,"Kirinyaga, 0.7%","0.7-2.5"
"Kirinyaga","Health voucher",0,"Kirinyaga, 0%","<0.7"
"Kirinyaga","Food/cash for work",1.2,"Kirinyaga, 1.2%","0.7-2.5"
"Kirinyaga","School feeding",39.2,"Kirinyaga, 39.2%",">19.9"
"Kirinyaga","Hunger safety net program",0,"Kirinyaga, 0%","<0.7"
"Kirinyaga","COVID-19 relief",1.6,"Kirinyaga, 1.6%","0.7-2.5"
"Kirinyaga","Other",26.6,"Kirinyaga, 26.6%",">19.9"
"Muranga","Receiving cash/social assistance",30,"Muranga, 30%",">19.9"
"Muranga","Orphaned children(<=18)",2.6,"Muranga, 2.6%","2.6-8.0"
"Muranga","Elderly person",34.8,"Muranga, 34.8%",">19.9"
"Muranga","Person with severe disability",1.4,"Muranga, 1.4%","0.7-2.5"
"Muranga","Urban food subsidy",0.7,"Muranga, 0.7%","0.7-2.5"
"Muranga","Food aid for ASALs",0,"Muranga, 0%","<0.7"
"Muranga","Health voucher",0.4,"Muranga, 0.4%","<0.7"
"Muranga","Food/cash for work",2.5,"Muranga, 2.5%","0.7-2.5"
"Muranga","School feeding",12.5,"Muranga, 12.5%","8.1-19.9"
"Muranga","Hunger safety net program",19.2,"Muranga, 19.2%","8.1-19.9"
"Muranga","COVID-19 relief",0.5,"Muranga, 0.5%","<0.7"
"Muranga","Other",39.6,"Muranga, 39.6%",">19.9"
"Kiambu","Receiving cash/social assistance",19,"Kiambu, 19%","8.1-19.9"
"Kiambu","Orphaned children(<=18)",1.5,"Kiambu, 1.5%","0.7-2.5"
"Kiambu","Elderly person",14.4,"Kiambu, 14.4%","8.1-19.9"
"Kiambu","Person with severe disability",0.8,"Kiambu, 0.8%","0.7-2.5"
"Kiambu","Urban food subsidy",3.2,"Kiambu, 3.2%","2.6-8.0"
"Kiambu","Food aid for ASALs",1.5,"Kiambu, 1.5%","0.7-2.5"
"Kiambu","Health voucher",9.1,"Kiambu, 9.1%","8.1-19.9"
"Kiambu","Food/cash for work",15.3,"Kiambu, 15.3%","8.1-19.9"
"Kiambu","School feeding",4.4,"Kiambu, 4.4%","2.6-8.0"
"Kiambu","Hunger safety net program",0.9,"Kiambu, 0.9%","0.7-2.5"
"Kiambu","COVID-19 relief",0,"Kiambu, 0%","<0.7"
"Kiambu","Other",56.4,"Kiambu, 56.4%",">19.9"
"Turkana","Receiving cash/social assistance",61.4,"Turkana, 61.4%",">19.9"
"Turkana","Orphaned children(<=18)",3,"Turkana, 3%","2.6-8.0"
"Turkana","Elderly person",8.4,"Turkana, 8.4%","8.1-19.9"
"Turkana","Person with severe disability",1.2,"Turkana, 1.2%","0.7-2.5"
"Turkana","Urban food subsidy",0,"Turkana, 0%","<0.7"
"Turkana","Food aid for ASALs",73.2,"Turkana, 73.2%",">19.9"
"Turkana","Health voucher",0.9,"Turkana, 0.9%","0.7-2.5"
"Turkana","Food/cash for work",0.7,"Turkana, 0.7%","0.7-2.5"
"Turkana","School feeding",3.6,"Turkana, 3.6%","2.6-8.0"
"Turkana","Hunger safety net program",47.3,"Turkana, 47.3%",">19.9"
"Turkana","COVID-19 relief",36.8,"Turkana, 36.8%",">19.9"
"Turkana","Other",9.1,"Turkana, 9.1%","8.1-19.9"
"West Pokot","Receiving cash/social assistance",8.8,"West Pokot, 8.8%","8.1-19.9"
"West Pokot","Orphaned children(<=18)",13.6,"West Pokot, 13.6%","8.1-19.9"
"West Pokot","Elderly person",41.4,"West Pokot, 41.4%",">19.9"
"West Pokot","Person with severe disability",3.2,"West Pokot, 3.2%","2.6-8.0"
"West Pokot","Urban food subsidy",0,"West Pokot, 0%","<0.7"
"West Pokot","Food aid for ASALs",8.3,"West Pokot, 8.3%","8.1-19.9"
"West Pokot","Health voucher",2.3,"West Pokot, 2.3%","0.7-2.5"
"West Pokot","Food/cash for work",4.9,"West Pokot, 4.9%","2.6-8.0"
"West Pokot","School feeding",16.5,"West Pokot, 16.5%","8.1-19.9"
"West Pokot","Hunger safety net program",5.6,"West Pokot, 5.6%","2.6-8.0"
"West Pokot","COVID-19 relief",1.2,"West Pokot, 1.2%","0.7-2.5"
"West Pokot","Other",9.9,"West Pokot, 9.9%","8.1-19.9"
"Samburu","Receiving cash/social assistance",17.9,"Samburu, 17.9%","8.1-19.9"
"Samburu","Orphaned children(<=18)",12.1,"Samburu, 12.1%","8.1-19.9"
"Samburu","Elderly person",21.2,"Samburu, 21.2%",">19.9"
"Samburu","Person with severe disability",4.2,"Samburu, 4.2%","2.6-8.0"
"Samburu","Urban food subsidy",1.5,"Samburu, 1.5%","0.7-2.5"
"Samburu","Food aid for ASALs",12,"Samburu, 12%","8.1-19.9"
"Samburu","Health voucher",0,"Samburu, 0%","<0.7"
"Samburu","Food/cash for work",29.2,"Samburu, 29.2%",">19.9"
"Samburu","School feeding",0.4,"Samburu, 0.4%","<0.7"
"Samburu","Hunger safety net program",10.5,"Samburu, 10.5%","8.1-19.9"
"Samburu","COVID-19 relief",0,"Samburu, 0%","<0.7"
"Samburu","Other",15.7,"Samburu, 15.7%","8.1-19.9"
"Trans Nzoia","Receiving cash/social assistance",15.4,"Trans Nzoia, 15.4%","8.1-19.9"
"Trans Nzoia","Orphaned children(<=18)",6.5,"Trans Nzoia, 6.5%","2.6-8.0"
"Trans Nzoia","Elderly person",24,"Trans Nzoia, 24%",">19.9"
"Trans Nzoia","Person with severe disability",2.3,"Trans Nzoia, 2.3%","0.7-2.5"
"Trans Nzoia","Urban food subsidy",0.5,"Trans Nzoia, 0.5%","<0.7"
"Trans Nzoia","Food aid for ASALs",0.4,"Trans Nzoia, 0.4%","<0.7"
"Trans Nzoia","Health voucher",3,"Trans Nzoia, 3%","2.6-8.0"
"Trans Nzoia","Food/cash for work",24.1,"Trans Nzoia, 24.1%",">19.9"
"Trans Nzoia","School feeding",19.5,"Trans Nzoia, 19.5%","8.1-19.9"
"Trans Nzoia","Hunger safety net program",0.5,"Trans Nzoia, 0.5%","<0.7"
"Trans Nzoia","COVID-19 relief",1,"Trans Nzoia, 1%","0.7-2.5"
"Trans Nzoia","Other",28.9,"Trans Nzoia, 28.9%",">19.9"
"Uasin Gishu","Receiving cash/social assistance",24.9,"Uasin Gishu, 24.9%",">19.9"
"Uasin Gishu","Orphaned children(<=18)",3.2,"Uasin Gishu, 3.2%","2.6-8.0"
"Uasin Gishu","Elderly person",10.4,"Uasin Gishu, 10.4%","8.1-19.9"
"Uasin Gishu","Person with severe disability",1.3,"Uasin Gishu, 1.3%","0.7-2.5"
"Uasin Gishu","Urban food subsidy",0,"Uasin Gishu, 0%","<0.7"
"Uasin Gishu","Food aid for ASALs",0,"Uasin Gishu, 0%","<0.7"
"Uasin Gishu","Health voucher",7.2,"Uasin Gishu, 7.2%","2.6-8.0"
"Uasin Gishu","Food/cash for work",21.7,"Uasin Gishu, 21.7%",">19.9"
"Uasin Gishu","School feeding",12.5,"Uasin Gishu, 12.5%","8.1-19.9"
"Uasin Gishu","Hunger safety net program",0,"Uasin Gishu, 0%","<0.7"
"Uasin Gishu","COVID-19 relief",2.6,"Uasin Gishu, 2.6%","2.6-8.0"
"Uasin Gishu","Other",57,"Uasin Gishu, 57%",">19.9"
"Elgeyo Marakwet","Receiving cash/social assistance",16.1,"Elgeyo Marakwet, 16.1%","8.1-19.9"
"Elgeyo Marakwet","Orphaned children(<=18)",3.5,"Elgeyo Marakwet, 3.5%","2.6-8.0"
"Elgeyo Marakwet","Elderly person",32.6,"Elgeyo Marakwet, 32.6%",">19.9"
"Elgeyo Marakwet","Person with severe disability",1.2,"Elgeyo Marakwet, 1.2%","0.7-2.5"
"Elgeyo Marakwet","Urban food subsidy",0.9,"Elgeyo Marakwet, 0.9%","0.7-2.5"
"Elgeyo Marakwet","Food aid for ASALs",0,"Elgeyo Marakwet, 0%","<0.7"
"Elgeyo Marakwet","Health voucher",0,"Elgeyo Marakwet, 0%","<0.7"
"Elgeyo Marakwet","Food/cash for work",16.8,"Elgeyo Marakwet, 16.8%","8.1-19.9"
"Elgeyo Marakwet","School feeding",3.4,"Elgeyo Marakwet, 3.4%","2.6-8.0"
"Elgeyo Marakwet","Hunger safety net program",0,"Elgeyo Marakwet, 0%","<0.7"
"Elgeyo Marakwet","COVID-19 relief",0,"Elgeyo Marakwet, 0%","<0.7"
"Elgeyo Marakwet","Other",43.4,"Elgeyo Marakwet, 43.4%",">19.9"
"Nandi","Receiving cash/social assistance",15,"Nandi, 15%","8.1-19.9"
"Nandi","Orphaned children(<=18)",0,"Nandi, 0%","<0.7"
"Nandi","Elderly person",26.3,"Nandi, 26.3%",">19.9"
"Nandi","Person with severe disability",1.1,"Nandi, 1.1%","0.7-2.5"
"Nandi","Urban food subsidy",1,"Nandi, 1%","0.7-2.5"
"Nandi","Food aid for ASALs",0,"Nandi, 0%","<0.7"
"Nandi","Health voucher",0.9,"Nandi, 0.9%","0.7-2.5"
"Nandi","Food/cash for work",16.8,"Nandi, 16.8%","8.1-19.9"
"Nandi","School feeding",7.1,"Nandi, 7.1%","2.6-8.0"
"Nandi","Hunger safety net program",0,"Nandi, 0%","<0.7"
"Nandi","COVID-19 relief",1.8,"Nandi, 1.8%","0.7-2.5"
"Nandi","Other",56.2,"Nandi, 56.2%",">19.9"
"Baringo","Receiving cash/social assistance",17.4,"Baringo, 17.4%","8.1-19.9"
"Baringo","Orphaned children(<=18)",7.3,"Baringo, 7.3%","2.6-8.0"
"Baringo","Elderly person",31.5,"Baringo, 31.5%",">19.9"
"Baringo","Person with severe disability",2.2,"Baringo, 2.2%","0.7-2.5"
"Baringo","Urban food subsidy",0.7,"Baringo, 0.7%","0.7-2.5"
"Baringo","Food aid for ASALs",25.7,"Baringo, 25.7%",">19.9"
"Baringo","Health voucher",7.6,"Baringo, 7.6%","2.6-8.0"
"Baringo","Food/cash for work",7.8,"Baringo, 7.8%","2.6-8.0"
