County,Category,Proportion,Classification
Elgeyo Marakwet,3+ Doses of SP/Fansidar,0.3,IPTp not implemented
Nandi,1+ Doses of SP/Fansidar,21.9,IPTp not implemented
Nandi,2+ Doses of SP/Fansidar,20.5,IPTp not implemented
Nandi,3+ Doses of SP/Fansidar,20.5,IPTp not implemented
Baringo,1+ Doses of SP/Fansidar,12.5,IPTp not implemented
Baringo,2+ Doses of SP/Fansidar,5.0,IPTp not implemented
Baringo,3+ Doses of SP/Fansidar,3.5,IPTp not implemented
Laikipia,1+ Doses of SP/Fansidar,6.5,IPTp not implemented
Laikipia,2+ Doses of SP/Fansidar,1.6,IPTp not implemented
Laikipia,3+ Doses of SP/Fansidar,1.6,IPTp not implemented
Nakuru,1+ Doses of SP/Fansidar,12.0,IPTp not implemented
Nakuru,2+ Doses of SP/Fansidar,8.4,IPTp not implemented
Nakuru,3+ Doses of SP/Fansidar,2.2,IPTp not implemented
Narok,1+ Doses of SP/Fansidar,4.4,IPTp not implemented
Narok,2+ Doses of SP/Fansidar,1.9,IPTp not implemented
Narok,3+ Doses of SP/Fansidar,0.0,IPTp not implemented
Kajiado,1+ Doses of SP/Fansidar,11.7,IPTp not implemented
Kajiado,2+ Doses of SP/Fansidar,9.6,IPTp not implemented
Kajiado,3+ Doses of SP/Fansidar,7.2,IPTp not implemented
Kericho,1+ Doses of SP/Fansidar,11.1,IPTp not implemented
Kericho,2+ Doses of SP/Fansidar,9.8,IPTp not implemented
Kericho,3+ Doses of SP/Fansidar,5.2,IPTp not implemented
Bomet,1+ Doses of SP/Fansidar,5.1,IPTp not implemented
Bomet,2+ Doses of SP/Fansidar,1.5,IPTp not implemented
Bomet,3+ Doses of SP/Fansidar,1.5,IPTp not implemented
Kisii,1+ Doses of SP/Fansidar,16.6,IPTp not implemented
Kisii,2+ Doses of SP/Fansidar,12.5,IPTp not implemented
Kisii,3+ Doses of SP/Fansidar,11.2,IPTp not implemented
Nyamira,1+ Doses of SP/Fansidar,6.8,IPTp not implemented
Nyamira,2+ Doses of SP/Fansidar,2.1,IPTp not implemented
Nyamira,3+ Doses of SP/Fansidar,2.1,IPTp not implemented
Nairobi,1+ Doses of SP/Fansidar,18.1,IPTp not implemented
Nairobi,2+ Doses of SP/Fansidar,9.8,IPTp not implemented
Nairobi,3+ Doses of SP/Fansidar,5.9,IPTp not implemented
