County,Reason For Migration,Proportion,Participants,Names
Machakos,Education/training,6.9,Women,"Machakos, 6.9%"
Machakos,Marriage formation,38.5,Women,"Machakos, 38.5%"
Machakos,Family reasons,22.4,Women,"Machakos, 22.4%"
Machakos,Forced displacment,0,Women,"Machakos, 0%"
Machakos,Other,6.3,Women,"Machakos, 6.3%"
Makueni,Employment,24.3,Women,"Makueni, 24.3%"
Makueni,Education/training,5.9,Women,"Makueni, 5.9%"
Makueni,Marriage formation,52.7,Women,"Makueni, 52.7%"
Makueni,Family reasons,14.9,Women,"Makueni, 14.9%"
Makueni,Forced displacment,0.3,Women,"Makueni, 0.3%"
Makueni,Other,1.9,Women,"Makueni, 1.9%"
Nyandarua,Employment,35.5,Women,"Nyandarua, 35.5%"
Nyandarua,Education/training,1.1,Women,"Nyandarua, 1.1%"
Nyandarua,Marriage formation,31.9,Women,"Nyandarua, 31.9%"
Nyandarua,Family reasons,23.1,Women,"Nyandarua, 23.1%"
Nyandarua,Forced displacment,6.3,Women,"Nyandarua, 6.3%"
Nyandarua,Other,2.1,Women,"Nyandarua, 2.1%"
Nyeri,Employment,35.8,Women,"Nyeri, 35.8%"
Nyeri,Education/training,16.5,Women,"Nyeri, 16.5%"
Nyeri,Marriage formation,23.3,Women,"Nyeri, 23.3%"
Nyeri,Family reasons,22,Women,"Nyeri, 22%"
Nyeri,Forced displacment,0.3,Women,"Nyeri, 0.3%"
Nyeri,Other,2,Women,"Nyeri, 2%"
Kirinyaga,Employment,33.2,Women,"Kirinyaga, 33.2%"
Kirinyaga,Education/training,0.7,Women,"Kirinyaga, 0.7%"
Kirinyaga,Marriage formation,30.5,Women,"Kirinyaga, 30.5%"
Kirinyaga,Family reasons,32.6,Women,"Kirinyaga, 32.6%"
Kirinyaga,Forced displacment,0.4,Women,"Kirinyaga, 0.4%"
Kirinyaga,Other,2.5,Women,"Kirinyaga, 2.5%"
Muranga,Employment,31.9,Women,"Muranga, 31.9%"
Muranga,Education/training,3.7,Women,"Muranga, 3.7%"
Muranga,Marriage formation,33.4,Women,"Muranga, 33.4%"
Muranga,Family reasons,26.2,Women,"Muranga, 26.2%"
Muranga,Forced displacment,2.1,Women,"Muranga, 2.1%"
Muranga,Other,2.7,Women,"Muranga, 2.7%"
Kiambu,Employment,39.9,Women,"Kiambu, 39.9%"
Kiambu,Education/training,9.9,Women,"Kiambu, 9.9%"
Kiambu,Marriage formation,19.9,Women,"Kiambu, 19.9%"
Kiambu,Family reasons,22.8,Women,"Kiambu, 22.8%"
Kiambu,Forced displacment,0.2,Women,"Kiambu, 0.2%"
Kiambu,Other,7.3,Women,"Kiambu, 7.3%"
Turkana,Employment,31.9,Women,"Turkana, 31.9%"
Turkana,Education/training,6,Women,"Turkana, 6%"
Turkana,Marriage formation,38.3,Women,"Turkana, 38.3%"
Turkana,Family reasons,21.1,Women,"Turkana, 21.1%"
Turkana,Forced displacment,2.4,Women,"Turkana, 2.4%"
Turkana,Other,0.3,Women,"Turkana, 0.3%"
West Pokot,Employment,44.8,Women,"West Pokot, 44.8%"
West Pokot,Education/training,4.7,Women,"West Pokot, 4.7%"
West Pokot,Marriage formation,36.4,Women,"West Pokot, 36.4%"
West Pokot,Family reasons,13.7,Women,"West Pokot, 13.7%"
West Pokot,Forced displacment,0.3,Women,"West Pokot, 0.3%"
West Pokot,Other,0,Women,"West Pokot, 0%"
Samburu,Employment,21,Women,"Samburu, 21%"
Samburu,Education/training,2.5,Women,"Samburu, 2.5%"
Samburu,Marriage formation,39.5,Women,"Samburu, 39.5%"
Samburu,Family reasons,28.1,Women,"Samburu, 28.1%"
Samburu,Forced displacment,7.5,Women,"Samburu, 7.5%"
Samburu,Other,1.2,Women,"Samburu, 1.2%"
Trans Nzoia,Employment,37.7,Women,"Trans Nzoia, 37.7%"
Trans Nzoia,Education/training,4.9,Women,"Trans Nzoia, 4.9%"
Trans Nzoia,Marriage formation,23.5,Women,"Trans Nzoia, 23.5%"
Trans Nzoia,Family reasons,28.6,Women,"Trans Nzoia, 28.6%"
Trans Nzoia,Forced displacment,1.9,Women,"Trans Nzoia, 1.9%"
Trans Nzoia,Other,3.4,Women,"Trans Nzoia, 3.4%"
Uasin Gishu,Employment,30.2,Women,"Uasin Gishu, 30.2%"
Uasin Gishu,Education/training,14.8,Women,"Uasin Gishu, 14.8%"
Uasin Gishu,Marriage formation,22.7,Women,"Uasin Gishu, 22.7%"
Uasin Gishu,Family reasons,30.9,Women,"Uasin Gishu, 30.9%"
Uasin Gishu,Forced displacment,1.2,Women,"Uasin Gishu, 1.2%"
Uasin Gishu,Other,0.4,Women,"Uasin Gishu, 0.4%"
Elgeyo Marakwet,Employment,25.1,Women,"Elgeyo Marakwet, 25.1%"
Elgeyo Marakwet,Education/training,5.4,Women,"Elgeyo Marakwet, 5.4%"
Elgeyo Marakwet,Marriage formation,40,Women,"Elgeyo Marakwet, 40%"
Elgeyo Marakwet,Family reasons,27.2,Women,"Elgeyo Marakwet, 27.2%"
Elgeyo Marakwet,Forced displacment,2.1,Women,"Elgeyo Marakwet, 2.1%"
Elgeyo Marakwet,Other,0.2,Women,"Elgeyo Marakwet, 0.2%"
Nandi,Employment,24.1,Women,"Nandi, 24.1%"
Nandi,Education/training,13.3,Women,"Nandi, 13.3%"
Nandi,Marriage formation,44.2,Women,"Nandi, 44.2%"
Nandi,Family reasons,15.9,Women,"Nandi, 15.9%"
Nandi,Forced displacment,1.7,Women,"Nandi, 1.7%"
Nandi,Other,0.8,Women,"Nandi, 0.8%"
Baringo,Employment,30.1,Women,"Baringo, 30.1%"
Baringo,Education/training,2.7,Women,"Baringo, 2.7%"
Baringo,Marriage formation,54.7,Women,"Baringo, 54.7%"
Baringo,Family reasons,12.1,Women,"Baringo, 12.1%"
Baringo,Forced displacment,0.4,Women,"Baringo, 0.4%"
Baringo,Other,0,Women,"Baringo, 0%"
Laikipia,Employment,35.5,Women,"Laikipia, 35.5%"
Laikipia,Education/training,5.5,Women,"Laikipia, 5.5%"
Laikipia,Marriage formation,20,Women,"Laikipia, 20%"
Laikipia,Family reasons,30.6,Women,"Laikipia, 30.6%"
Laikipia,Forced displacment,6.7,Women,"Laikipia, 6.7%"
Laikipia,Other,1.7,Women,"Laikipia, 1.7%"
Nakuru,Employment,42.1,Women,"Nakuru, 42.1%"
Nakuru,Education/training,8.1,Women,"Nakuru, 8.1%"
Nakuru,Marriage formation,22,Women,"Nakuru, 22%"
Nakuru,Family reasons,24.2,Women,"Nakuru, 24.2%"
Nakuru,Forced displacment,2.7,Women,"Nakuru, 2.7%"
Nakuru,Other,0.9,Women,"Nakuru, 0.9%"
Narok,Employment,31.4,Women,"Narok, 31.4%"
Narok,Education/training,4.4,Women,"Narok, 4.4%"
Narok,Marriage formation,46.8,Women,"Narok, 46.8%"
Narok,Family reasons,14.7,Women,"Narok, 14.7%"
Narok,Forced displacment,2,Women,"Narok, 2%"
Narok,Other,0.7,Women,"Narok, 0.7%"
Kajiado,Employment,50.5,Women,"Kajiado, 50.5%"
Kajiado,Education/training,4,Women,"Kajiado, 4%"
Kajiado,Marriage formation,9.9,Women,"Kajiado, 9.9%"
Kajiado,Family reasons,33.2,Women,"Kajiado, 33.2%"
Kajiado,Forced displacment,0.9,Women,"Kajiado, 0.9%"
Kajiado,Other,1.6,Women,"Kajiado, 1.6%"
Kericho,Employment,21.9,Women,"Kericho, 21.9%"
Kericho,Education/training,9.3,Women,"Kericho, 9.3%"
Kericho,Marriage formation,62.1,Women,"Kericho, 62.1%"
Kericho,Family reasons,5.6,Women,"Kericho, 5.6%"
Kericho,Forced displacment,0,Women,"Kericho, 0%"
Kericho,Other,1.1,Women,"Kericho, 1.1%"
Bomet,Employment,20.4,Women,"Bomet, 20.4%"
Bomet,Education/training,3.7,Women,"Bomet, 3.7%"
Bomet,Marriage formation,60.3,Women,"Bomet, 60.3%"
Bomet,Family reasons,14.8,Women,"Bomet, 14.8%"
Bomet,Forced displacment,0.4,Women,"Bomet, 0.4%"
Bomet,Other,0.4,Women,"Bomet, 0.4%"
Kakamega,Employment,11.5,Women,"Kakamega, 11.5%"
Kakamega,Education/training,4.5,Women,"Kakamega, 4.5%"
Kakamega,Marriage formation,57.5,Women,"Kakamega, 57.5%"
Kakamega,Family reasons,23.3,Women,"Kakamega, 23.3%"
Kakamega,Forced displacment,0.4,Women,"Kakamega, 0.4%"
Kakamega,Other,2.9,Women,"Kakamega, 2.9%"
Vihiga,Employment,16,Women,"Vihiga, 16%"
Vihiga,Education/training,6.9,Women,"Vihiga, 6.9%"
Vihiga,Marriage formation,34.1,Women,"Vihiga, 34.1%"
Vihiga,Family reasons,35.7,Women,"Vihiga, 35.7%"
Vihiga,Forced displacment,0.1,Women,"Vihiga, 0.1%"
Vihiga,Other,7.1,Women,"Vihiga, 7.1%"
Bungoma,Employment,16.8,Women,"Bungoma, 16.8%"
Bungoma,Education/training,4.9,Women,"Bungoma, 4.9%"
Bungoma,Marriage formation,47,Women,"Bungoma, 47%"
Bungoma,Family reasons,29.5,Women,"Bungoma, 29.5%"
Bungoma,Forced displacment,1.5,Women,"Bungoma, 1.5%"
Bungoma,Other,0.3,Women,"Bungoma, 0.3%"
Busia,Employment,14.6,Women,"Busia, 14.6%"
Busia,Education/training,1.7,Women,"Busia, 1.7%"
Busia,Marriage formation,57.4,Women,"Busia, 57.4%"
Busia,Family reasons,24.9,Women,"Busia, 24.9%"
Busia,Forced displacment,0.8,Women,"Busia, 0.8%"
Busia,Other,0.5,Women,"Busia, 0.5%"
Siaya,Employment,11.4,Women,"Siaya, 11.4%"
Siaya,Education/training,8.7,Women,"Siaya, 8.7%"
Siaya,Marriage formation,59.5,Women,"Siaya, 59.5%"
Siaya,Family reasons,20.1,Women,"Siaya, 20.1%"
Siaya,Forced displacment,0.3,Women,"Siaya, 0.3%"
Siaya,Other,0,Women,"Siaya, 0%"
Kisumu,Employment,27.5,Women,"Kisumu, 27.5%"
Kisumu,Education/training,10.1,Women,"Kisumu, 10.1%"
Kisumu,Marriage formation,49.2,Women,"Kisumu, 49.2%"
Kisumu,Family reasons,11.1,Women,"Kisumu, 11.1%"
Kisumu,Forced displacment,0.7,Women,"Kisumu, 0.7%"
Kisumu,Other,1.4,Women,"Kisumu, 1.4%"
Homa Bay,Employment,11.9,Women,"Homa Bay, 11.9%"
Homa Bay,Education/training,7.7,Women,"Homa Bay, 7.7%"
Homa Bay,Marriage formation,40.7,Women,"Homa Bay, 40.7%"
Homa Bay,Family reasons,37.7,Women,"Homa Bay, 37.7%"
Homa Bay,Forced displacment,1.2,Women,"Homa Bay, 1.2%"
Homa Bay,Other,0.8,Women,"Homa Bay, 0.8%"
Migori,Employment,12.7,Women,"Migori, 12.7%"
Migori,Education/training,4.3,Women,"Migori, 4.3%"
Migori,Marriage formation,60.1,Women,"Migori, 60.1%"
Migori,Family reasons,20,Women,"Migori, 20%"
Migori,Forced displacment,0.6,Women,"Migori, 0.6%"
Migori,Other,2.3,Women,"Migori, 2.3%"
Kisii,Employment,14.5,Women,"Kisii, 14.5%"
Kisii,Education/training,7.6,Women,"Kisii, 7.6%"
Kisii,Marriage formation,63.1,Women,"Kisii, 63.1%"
Kisii,Family reasons,13.6,Women,"Kisii, 13.6%"
Kisii,Forced displacment,0.4,Women,"Kisii, 0.4%"
Kisii,Other,0.8,Women,"Kisii, 0.8%"
Nyamira,Employment,12,Women,"Nyamira, 12%"
Nyamira,Education/training,2.1,Women,"Nyamira, 2.1%"
Nyamira,Marriage formation,59,Women,"Nyamira, 59%"
Nyamira,Family reasons,21.1,Women,"Nyamira, 21.1%"
Nyamira,Forced displacment,4.8,Women,"Nyamira, 4.8%"
Nyamira,Other,0.9,Women,"Nyamira, 0.9%"
Nairobi,Employment,53.1,Women,"Nairobi, 53.1%"
Nairobi,Education/training,18.6,Women,"Nairobi, 18.6%"
Nairobi,Marriage formation,10.8,Women,"Nairobi, 10.8%"
Nairobi,Family reasons,16.2,Women,"Nairobi, 16.2%"
Nairobi,Forced displacment,0.6,Women,"Nairobi, 0.6%"
Nairobi,Other,0.6,Women,"Nairobi, 0.6%"
Mombasa,Employment,66.1,Men,"Mombasa, 66.1%"
Mombasa,Education/training,14.7,Men,"Mombasa, 14.7%"
Mombasa,Marriage formation,0,Men,"Mombasa, 0%"
Mombasa,Family reasons,18.8,Men,"Mombasa, 18.8%"
Mombasa,Forced displacment,0,Men,"Mombasa, 0%"
Mombasa,Other,0.3,Men,"Mombasa, 0.3%"
Kwale,Employment,58.9,Men,"Kwale, 58.9%"
Kwale,Education/training,9.2,Men,"Kwale, 9.2%"
Kwale,Marriage formation,0,Men,"Kwale, 0%"
Kwale,Family reasons,32,Men,"Kwale, 32%"
Kwale,Forced displacment,0,Men,"Kwale, 0%"
Kwale,Other,0,Men,"Kwale, 0%"
Kilifi,Employment,63.7,Men,"Kilifi, 63.7%"
Kilifi,Education/training,18.7,Men,"Kilifi, 18.7%"
Kilifi,Marriage formation,0,Men,"Kilifi, 0%"
Kilifi,Family reasons,16.4,Men,"Kilifi, 16.4%"
Kilifi,Forced displacment,0,Men,"Kilifi, 0%"
Kilifi,Other,1.2,Men,"Kilifi, 1.2%"
Tana River,Employment,80.5,Men,"Tana River, 80.5%"
Tana River,Education/training,3.1,Men,"Tana River, 3.1%"
Tana River,Marriage formation,0,Men,"Tana River, 0%"
Tana River,Family reasons,16.4,Men,"Tana River, 16.4%"
Tana River,Forced displacment,0,Men,"Tana River, 0%"
Tana River,Other,0,Men,"Tana River, 0%"
Lamu,Employment,61,Men,"Lamu, 61%"
Lamu,Education/training,6.3,Men,"Lamu, 6.3%"
Lamu,Marriage formation,0.8,Men,"Lamu, 0.8%"
Lamu,Family reasons,31.9,Men,"Lamu, 31.9%"
Lamu,Forced displacment,0,Men,"Lamu, 0%"
Lamu,Other,0,Men,"Lamu, 0%"
Taita Taveta,Employment,56.9,Men,"Taita Taveta, 56.9%"
Taita Taveta,Education/training,5.3,Men,"Taita Taveta, 5.3%"
Taita Taveta,Marriage formation,0,Men,"Taita Taveta, 0%"
Taita Taveta,Family reasons,32.3,Men,"Taita Taveta, 32.3%"
Taita Taveta,Forced displacment,1.5,Men,"Taita Taveta, 1.5%"
Taita Taveta,Other,3.9,Men,"Taita Taveta, 3.9%"
Garissa,Employment,86.9,Men,"Garissa, 86.9%"
Garissa,Education/training,6.1,Men,"Garissa, 6.1%"
Garissa,Marriage formation,0,Men,"Garissa, 0%"
Garissa,Family reasons,7,Men,"Garissa, 7%"
Garissa,Forced displacment,0,Men,"Garissa, 0%"
Garissa,Other,0,Men,"Garissa, 0%"
Wajir,Employment,29.9,Men,"Wajir, 29.9%"
Wajir,Education/training,22.5,Men,"Wajir, 22.5%"
Wajir,Marriage formation,0.4,Men,"Wajir, 0.4%"
Wajir,Family reasons,31.5,Men,"Wajir, 31.5%"
Wajir,Forced displacment,10.5,Men,"Wajir, 10.5%"
Wajir,Other,5.2,Men,"Wajir, 5.2%"
Mandera,Employment,NA,Men,"Mandera, NA%"
Mandera,Education/training,NA,Men,"Mandera, NA%"
Mandera,Marriage formation,NA,Men,"Mandera, NA%"
Mandera,Family reasons,NA,Men,"Mandera, NA%"
Mandera,Forced displacment,NA,Men,"Mandera, NA%"
Mandera,Other,NA,Men,"Mandera, NA%"
Marsabit,Employment,NA,Men,"Marsabit, NA%"
Marsabit,Education/training,NA,Men,"Marsabit, NA%"
Marsabit,Marriage formation,NA,Men,"Marsabit, NA%"
Marsabit,Family reasons,NA,Men,"Marsabit, NA%"
Marsabit,Forced displacment,NA,Men,"Marsabit, NA%"
Marsabit,Other,NA,Men,"Marsabit, NA%"
Isiolo,Employment,69.8,Men,"Isiolo, 69.8%"
Isiolo,Education/training,10.8,Men,"Isiolo, 10.8%"
Isiolo,Marriage formation,0.9,Men,"Isiolo, 0.9%"
Isiolo,Family reasons,16.8,Men,"Isiolo, 16.8%"
Isiolo,Forced displacment,1.7,Men,"Isiolo, 1.7%"
Isiolo,Other,0,Men,"Isiolo, 0%"
Meru,Employment,55.1,Men,"Meru, 55.1%"
Meru,Education/training,14.8,Men,"Meru, 14.8%"
Meru,Marriage formation,0,Men,"Meru, 0%"
Meru,Family reasons,30.1,Men,"Meru, 30.1%"
Meru,Forced displacment,0,Men,"Meru, 0%"
Meru,Other,0,Men,"Meru, 0%"
Tharaka Nithi,Employment,43.2,Men,"Tharaka Nithi, 43.2%"
Tharaka Nithi,Education/training,17.6,Men,"Tharaka Nithi, 17.6%"
Tharaka Nithi,Marriage formation,0,Men,"Tharaka Nithi, 0%"
Tharaka Nithi,Family reasons,37.2,Men,"Tharaka Nithi, 37.2%"
Tharaka Nithi,Forced displacment,0,Men,"Tharaka Nithi, 0%"
Tharaka Nithi,Other,2,Men,"Tharaka Nithi, 2%"
Embu,Employment,60.3,Men,"Embu, 60.3%"
Embu,Education/training,2.7,Men,"Embu, 2.7%"
Embu,Marriage formation,2.6,Men,"Embu, 2.6%"
Embu,Family reasons,34.4,Men,"Embu, 34.4%"
Embu,Forced displacment,0,Men,"Embu, 0%"
Embu,Other,0,Men,"Embu, 0%"
Kitui,Employment,36.3,Men,"Kitui, 36.3%"
Kitui,Education/training,51.7,Men,"Kitui, 51.7%"
Kitui,Marriage formation,0,Men,"Kitui, 0%"
Kitui,Family reasons,8.8,Men,"Kitui, 8.8%"
Kitui,Forced displacment,0,Men,"Kitui, 0%"
Kitui,Other,3.3,Men,"Kitui, 3.3%"
Machakos,Employment,50.4,Men,"Machakos, 50.4%"
Machakos,Education/training,15.6,Men,"Machakos, 15.6%"
Machakos,Marriage formation,0.7,Men,"Machakos, 0.7%"
Machakos,Family reasons,31.9,Men,"Machakos, 31.9%"
Machakos,Forced displacment,0.8,Men,"Machakos, 0.8%"
Machakos,Other,0.6,Men,"Machakos, 0.6%"
Makueni,Employment,52.4,Men,"Makueni, 52.4%"
Makueni,Education/training,20.5,Men,"Makueni, 20.5%"
Makueni,Marriage formation,0,Men,"Makueni, 0%"
Makueni,Family reasons,25.4,Men,"Makueni, 25.4%"
Makueni,Forced displacment,0,Men,"Makueni, 0%"
Makueni,Other,1.7,Men,"Makueni, 1.7%"
Nyandarua,Employment,36.3,Men,"Nyandarua, 36.3%"
Nyandarua,Education/training,8.5,Men,"Nyandarua, 8.5%"
Nyandarua,Marriage formation,1.6,Men,"Nyandarua, 1.6%"
Nyandarua,Family reasons,39.3,Men,"Nyandarua, 39.3%"
Nyandarua,Forced displacment,14.2,Men,"Nyandarua, 14.2%"
Nyandarua,Other,0,Men,"Nyandarua, 0%"
Nyeri,Employment,60.3,Men,"Nyeri, 60.3%"
Nyeri,Education/training,10.7,Men,"Nyeri, 10.7%"
Nyeri,Marriage formation,0,Men,"Nyeri, 0%"
Nyeri,Family reasons,27.3,Men,"Nyeri, 27.3%"
Nyeri,Forced displacment,1.7,Men,"Nyeri, 1.7%"
Nyeri,Other,0,Men,"Nyeri, 0%"
Kirinyaga,Employment,76.3,Men,"Kirinyaga, 76.3%"
Kirinyaga,Education/training,2.6,Men,"Kirinyaga, 2.6%"
Kirinyaga,Marriage formation,0,Men,"Kirinyaga, 0%"
Kirinyaga,Family reasons,21.1,Men,"Kirinyaga, 21.1%"
Kirinyaga,Forced displacment,0,Men,"Kirinyaga, 0%"
Kirinyaga,Other,0,Men,"Kirinyaga, 0%"
Muranga,Employment,68.7,Men,"Muranga, 68.7%"
Muranga,Education/training,5.7,Men,"Muranga, 5.7%"
Muranga,Marriage formation,1.3,Men,"Muranga, 1.3%"
Muranga,Family reasons,17.6,Men,"Muranga, 17.6%"
Muranga,Forced displacment,1.4,Men,"Muranga, 1.4%"
Muranga,Other,5.3,Men,"Muranga, 5.3%"
Kiambu,Employment,68.9,Men,"Kiambu, 68.9%"
Kiambu,Education/training,11.4,Men,"Kiambu, 11.4%"
Kiambu,Marriage formation,0,Men,"Kiambu, 0%"
Kiambu,Family reasons,18.2,Men,"Kiambu, 18.2%"
Kiambu,Forced displacment,0,Men,"Kiambu, 0%"
Kiambu,Other,1.6,Men,"Kiambu, 1.6%"
Turkana,Employment,69.9,Men,"Turkana, 69.9%"
Turkana,Education/training,17.8,Men,"Turkana, 17.8%"
Turkana,Marriage formation,0,Men,"Turkana, 0%"
Turkana,Family reasons,12.3,Men,"Turkana, 12.3%"
Turkana,Forced displacment,0,Men,"Turkana, 0%"
Turkana,Other,0,Men,"Turkana, 0%"
West Pokot,Employment,84.3,Men,"West Pokot, 84.3%"
West Pokot,Education/training,5.5,Men,"West Pokot, 5.5%"
West Pokot,Marriage formation,0,Men,"West Pokot, 0%"
West Pokot,Family reasons,9.4,Men,"West Pokot, 9.4%"
West Pokot,Forced displacment,0,Men,"West Pokot, 0%"
West Pokot,Other,0.8,Men,"West Pokot, 0.8%"
Samburu,Employment,72.2,Men,"Samburu, 72.2%"
Samburu,Education/training,15.9,Men,"Samburu, 15.9%"
Samburu,Marriage formation,0,Men,"Samburu, 0%"
Samburu,Family reasons,10.3,Men,"Samburu, 10.3%"
Samburu,Forced displacment,0,Men,"Samburu, 0%"
Samburu,Other,1.6,Men,"Samburu, 1.6%"
Trans Nzoia,Employment,NA,Men,"Trans Nzoia, NA%"
Trans Nzoia,Education/training,NA,Men,"Trans Nzoia, NA%"
Trans Nzoia,Marriage formation,NA,Men,"Trans Nzoia, NA%"
Trans Nzoia,Family reasons,NA,Men,"Trans Nzoia, NA%"
Trans Nzoia,Forced displacment,NA,Men,"Trans Nzoia, NA%"
Trans Nzoia,Other,NA,Men,"Trans Nzoia, NA%"
Uasin Gishu,Employment,48.6,Men,"Uasin Gishu, 48.6%"
Uasin Gishu,Education/training,16.5,Men,"Uasin Gishu, 16.5%"
Uasin Gishu,Marriage formation,0,Men,"Uasin Gishu, 0%"
Uasin Gishu,Family reasons,34.1,Men,"Uasin Gishu, 34.1%"
Uasin Gishu,Forced displacment,0.8,Men,"Uasin Gishu, 0.8%"
Uasin Gishu,Other,0,Men,"Uasin Gishu, 0%"
Elgeyo Marakwet,Employment,74.4,Men,"Elgeyo Marakwet, 74.4%"
