County,Category,Proportion,Participants,Names
Taita Taveta,Skilled Farm & Wildlife Related Workers,16.5,Women,"Taita Taveta, 16.5%"
Taita Taveta,Craft & Related Trades Workers,2.1,Women,"Taita Taveta, 2.1%"
Taita Taveta,Plant & Machine Operators,0.3,Women,"Taita Taveta, 0.3%"
Taita Taveta,Elementary Occupations,30.4,Women,"Taita Taveta, 30.4%"
Garissa,"Legislators, Administrators & Managers",9.1,Women,"Garissa, 9.1%"
Garissa,Professionals,6.7,Women,"Garissa, 6.7%"
Garissa,Technicians & Associate Professionals,10.5,Women,"Garissa, 10.5%"
Garissa,Secretarial & Clerical Services,1.7,Women,"Garissa, 1.7%"
Garissa,Service Workers,22.1,Women,"Garissa, 22.1%"
Garissa,Skilled Farm & Wildlife Related Workers,0,Women,"Garissa, 0%"
Garissa,Craft & Related Trades Workers,1.3,Women,"Garissa, 1.3%"
Garissa,Plant & Machine Operators,4.1,Women,"Garissa, 4.1%"
Garissa,Elementary Occupations,39.9,Women,"Garissa, 39.9%"
Wajir,"Legislators, Administrators & Managers",24.5,Women,"Wajir, 24.5%"
Wajir,Professionals,7.4,Women,"Wajir, 7.4%"
Wajir,Technicians & Associate Professionals,6.3,Women,"Wajir, 6.3%"
Wajir,Secretarial & Clerical Services,0.9,Women,"Wajir, 0.9%"
Wajir,Service Workers,24.4,Women,"Wajir, 24.4%"
Wajir,Skilled Farm & Wildlife Related Workers,6.3,Women,"Wajir, 6.3%"
Wajir,Craft & Related Trades Workers,2.5,Women,"Wajir, 2.5%"
Wajir,Plant & Machine Operators,0,Women,"Wajir, 0%"
Wajir,Elementary Occupations,24.6,Women,"Wajir, 24.6%"
Mandera,"Legislators, Administrators & Managers",NA,Women,"Mandera, NA%"
Mandera,Professionals,NA,Women,"Mandera, NA%"
Mandera,Technicians & Associate Professionals,NA,Women,"Mandera, NA%"
Mandera,Secretarial & Clerical Services,NA,Women,"Mandera, NA%"
Mandera,Service Workers,NA,Women,"Mandera, NA%"
Mandera,Skilled Farm & Wildlife Related Workers,NA,Women,"Mandera, NA%"
Mandera,Craft & Related Trades Workers,NA,Women,"Mandera, NA%"
Mandera,Plant & Machine Operators,NA,Women,"Mandera, NA%"
Mandera,Elementary Occupations,NA,Women,"Mandera, NA%"
Marsabit,"Legislators, Administrators & Managers",NA,Women,"Marsabit, NA%"
Marsabit,Professionals,NA,Women,"Marsabit, NA%"
Marsabit,Technicians & Associate Professionals,NA,Women,"Marsabit, NA%"
Marsabit,Secretarial & Clerical Services,NA,Women,"Marsabit, NA%"
Marsabit,Service Workers,NA,Women,"Marsabit, NA%"
Marsabit,Skilled Farm & Wildlife Related Workers,NA,Women,"Marsabit, NA%"
Marsabit,Craft & Related Trades Workers,NA,Women,"Marsabit, NA%"
Marsabit,Plant & Machine Operators,NA,Women,"Marsabit, NA%"
Marsabit,Elementary Occupations,NA,Women,"Marsabit, NA%"
Isiolo,"Legislators, Administrators & Managers",18,Women,"Isiolo, 18%"
Isiolo,Professionals,6.5,Women,"Isiolo, 6.5%"
Isiolo,Technicians & Associate Professionals,11.6,Women,"Isiolo, 11.6%"
Isiolo,Secretarial & Clerical Services,2.4,Women,"Isiolo, 2.4%"
Isiolo,Service Workers,19,Women,"Isiolo, 19%"
Isiolo,Skilled Farm & Wildlife Related Workers,6.8,Women,"Isiolo, 6.8%"
Isiolo,Craft & Related Trades Workers,0.3,Women,"Isiolo, 0.3%"
Isiolo,Plant & Machine Operators,0.6,Women,"Isiolo, 0.6%"
Isiolo,Elementary Occupations,34.3,Women,"Isiolo, 34.3%"
Meru,"Legislators, Administrators & Managers",7.7,Women,"Meru, 7.7%"
Meru,Professionals,3.9,Women,"Meru, 3.9%"
Meru,Technicians & Associate Professionals,5.5,Women,"Meru, 5.5%"
Meru,Secretarial & Clerical Services,1.1,Women,"Meru, 1.1%"
Meru,Service Workers,14.8,Women,"Meru, 14.8%"
Meru,Skilled Farm & Wildlife Related Workers,45.2,Women,"Meru, 45.2%"
Meru,Craft & Related Trades Workers,0.1,Women,"Meru, 0.1%"
Meru,Plant & Machine Operators,0.8,Women,"Meru, 0.8%"
Meru,Elementary Occupations,20.2,Women,"Meru, 20.2%"
Tharaka Nithi,"Legislators, Administrators & Managers",7.1,Women,"Tharaka Nithi, 7.1%"
Tharaka Nithi,Professionals,3.7,Women,"Tharaka Nithi, 3.7%"
Tharaka Nithi,Technicians & Associate Professionals,8.9,Women,"Tharaka Nithi, 8.9%"
Tharaka Nithi,Secretarial & Clerical Services,1.8,Women,"Tharaka Nithi, 1.8%"
Tharaka Nithi,Service Workers,19.8,Women,"Tharaka Nithi, 19.8%"
Tharaka Nithi,Skilled Farm & Wildlife Related Workers,35.7,Women,"Tharaka Nithi, 35.7%"
Tharaka Nithi,Craft & Related Trades Workers,0.5,Women,"Tharaka Nithi, 0.5%"
Tharaka Nithi,Plant & Machine Operators,0.3,Women,"Tharaka Nithi, 0.3%"
Tharaka Nithi,Elementary Occupations,20,Women,"Tharaka Nithi, 20%"
Embu,"Legislators, Administrators & Managers",27,Women,"Embu, 27%"
Embu,Professionals,5,Women,"Embu, 5%"
Embu,Technicians & Associate Professionals,6.3,Women,"Embu, 6.3%"
Embu,Secretarial & Clerical Services,2.5,Women,"Embu, 2.5%"
Embu,Service Workers,8.6,Women,"Embu, 8.6%"
Embu,Skilled Farm & Wildlife Related Workers,32.4,Women,"Embu, 32.4%"
Embu,Craft & Related Trades Workers,0.2,Women,"Embu, 0.2%"
Embu,Plant & Machine Operators,0.7,Women,"Embu, 0.7%"
Embu,Elementary Occupations,15.2,Women,"Embu, 15.2%"
Kitui,"Legislators, Administrators & Managers",16.3,Women,"Kitui, 16.3%"
Kitui,Professionals,7.4,Women,"Kitui, 7.4%"
Kitui,Technicians & Associate Professionals,10.3,Women,"Kitui, 10.3%"
Kitui,Secretarial & Clerical Services,4.7,Women,"Kitui, 4.7%"
Kitui,Service Workers,19.5,Women,"Kitui, 19.5%"
Kitui,Skilled Farm & Wildlife Related Workers,15.3,Women,"Kitui, 15.3%"
Kitui,Craft & Related Trades Workers,0.6,Women,"Kitui, 0.6%"
Kitui,Plant & Machine Operators,0,Women,"Kitui, 0%"
Kitui,Elementary Occupations,24.9,Women,"Kitui, 24.9%"
Machakos,"Legislators, Administrators & Managers",19.8,Women,"Machakos, 19.8%"
Machakos,Professionals,7.3,Women,"Machakos, 7.3%"
Machakos,Technicians & Associate Professionals,9.4,Women,"Machakos, 9.4%"
Machakos,Secretarial & Clerical Services,2.4,Women,"Machakos, 2.4%"
Machakos,Service Workers,25,Women,"Machakos, 25%"
Machakos,Skilled Farm & Wildlife Related Workers,7.2,Women,"Machakos, 7.2%"
Machakos,Craft & Related Trades Workers,0.5,Women,"Machakos, 0.5%"
Machakos,Plant & Machine Operators,1.8,Women,"Machakos, 1.8%"
Machakos,Elementary Occupations,24,Women,"Machakos, 24%"
Makueni,"Legislators, Administrators & Managers",15.2,Women,"Makueni, 15.2%"
Makueni,Professionals,4,Women,"Makueni, 4%"
Makueni,Technicians & Associate Professionals,11.5,Women,"Makueni, 11.5%"
Makueni,Secretarial & Clerical Services,2.4,Women,"Makueni, 2.4%"
Makueni,Service Workers,24.5,Women,"Makueni, 24.5%"
Makueni,Skilled Farm & Wildlife Related Workers,6.3,Women,"Makueni, 6.3%"
Makueni,Craft & Related Trades Workers,0.2,Women,"Makueni, 0.2%"
Makueni,Plant & Machine Operators,0.1,Women,"Makueni, 0.1%"
Makueni,Elementary Occupations,34.3,Women,"Makueni, 34.3%"
Nyandarua,"Legislators, Administrators & Managers",10.3,Women,"Nyandarua, 10.3%"
Nyandarua,Professionals,3.4,Women,"Nyandarua, 3.4%"
Nyandarua,Technicians & Associate Professionals,4.3,Women,"Nyandarua, 4.3%"
Nyandarua,Secretarial & Clerical Services,0.5,Women,"Nyandarua, 0.5%"
Nyandarua,Service Workers,12,Women,"Nyandarua, 12%"
Nyandarua,Skilled Farm & Wildlife Related Workers,52.3,Women,"Nyandarua, 52.3%"
Nyandarua,Craft & Related Trades Workers,0.4,Women,"Nyandarua, 0.4%"
Nyandarua,Plant & Machine Operators,0.3,Women,"Nyandarua, 0.3%"
Nyandarua,Elementary Occupations,15.9,Women,"Nyandarua, 15.9%"
Nyeri,"Legislators, Administrators & Managers",16.6,Women,"Nyeri, 16.6%"
Nyeri,Professionals,6.7,Women,"Nyeri, 6.7%"
Nyeri,Technicians & Associate Professionals,9.8,Women,"Nyeri, 9.8%"
Nyeri,Secretarial & Clerical Services,3,Women,"Nyeri, 3%"
Nyeri,Service Workers,16.6,Women,"Nyeri, 16.6%"
Nyeri,Skilled Farm & Wildlife Related Workers,23.2,Women,"Nyeri, 23.2%"
Nyeri,Craft & Related Trades Workers,1.3,Women,"Nyeri, 1.3%"
Nyeri,Plant & Machine Operators,0.3,Women,"Nyeri, 0.3%"
Nyeri,Elementary Occupations,19.8,Women,"Nyeri, 19.8%"
Kirinyaga,"Legislators, Administrators & Managers",10.9,Women,"Kirinyaga, 10.9%"
Kirinyaga,Professionals,4.7,Women,"Kirinyaga, 4.7%"
Kirinyaga,Technicians & Associate Professionals,6,Women,"Kirinyaga, 6%"
Kirinyaga,Secretarial & Clerical Services,2.8,Women,"Kirinyaga, 2.8%"
Kirinyaga,Service Workers,21.7,Women,"Kirinyaga, 21.7%"
Kirinyaga,Skilled Farm & Wildlife Related Workers,19.8,Women,"Kirinyaga, 19.8%"
Kirinyaga,Craft & Related Trades Workers,1.3,Women,"Kirinyaga, 1.3%"
Kirinyaga,Plant & Machine Operators,0,Women,"Kirinyaga, 0%"
Kirinyaga,Elementary Occupations,31,Women,"Kirinyaga, 31%"
Muranga,"Legislators, Administrators & Managers",6.4,Women,"Muranga, 6.4%"
Muranga,Professionals,5.7,Women,"Muranga, 5.7%"
Muranga,Technicians & Associate Professionals,5.5,Women,"Muranga, 5.5%"
Muranga,Secretarial & Clerical Services,0.8,Women,"Muranga, 0.8%"
Muranga,Service Workers,17.9,Women,"Muranga, 17.9%"
Muranga,Skilled Farm & Wildlife Related Workers,31.6,Women,"Muranga, 31.6%"
Muranga,Craft & Related Trades Workers,1.3,Women,"Muranga, 1.3%"
Muranga,Plant & Machine Operators,0.3,Women,"Muranga, 0.3%"
Muranga,Elementary Occupations,29.1,Women,"Muranga, 29.1%"
Kiambu,"Legislators, Administrators & Managers",9.2,Women,"Kiambu, 9.2%"
Kiambu,Professionals,5.2,Women,"Kiambu, 5.2%"
Kiambu,Technicians & Associate Professionals,7.5,Women,"Kiambu, 7.5%"
Kiambu,Secretarial & Clerical Services,1.8,Women,"Kiambu, 1.8%"
Kiambu,Service Workers,23.1,Women,"Kiambu, 23.1%"
Kiambu,Skilled Farm & Wildlife Related Workers,14.3,Women,"Kiambu, 14.3%"
Kiambu,Craft & Related Trades Workers,1.7,Women,"Kiambu, 1.7%"
Kiambu,Plant & Machine Operators,0.7,Women,"Kiambu, 0.7%"
Kiambu,Elementary Occupations,31.9,Women,"Kiambu, 31.9%"
Turkana,"Legislators, Administrators & Managers",7.7,Women,"Turkana, 7.7%"
Turkana,Professionals,2.1,Women,"Turkana, 2.1%"
Turkana,Technicians & Associate Professionals,7,Women,"Turkana, 7%"
Turkana,Secretarial & Clerical Services,0.2,Women,"Turkana, 0.2%"
Turkana,Service Workers,39.2,Women,"Turkana, 39.2%"
Turkana,Skilled Farm & Wildlife Related Workers,9.4,Women,"Turkana, 9.4%"
Turkana,Craft & Related Trades Workers,4.2,Women,"Turkana, 4.2%"
Turkana,Plant & Machine Operators,5.6,Women,"Turkana, 5.6%"
Turkana,Elementary Occupations,22.8,Women,"Turkana, 22.8%"
West Pokot,"Legislators, Administrators & Managers",10.9,Women,"West Pokot, 10.9%"
West Pokot,Professionals,5.1,Women,"West Pokot, 5.1%"
West Pokot,Technicians & Associate Professionals,15.2,Women,"West Pokot, 15.2%"
West Pokot,Secretarial & Clerical Services,1.6,Women,"West Pokot, 1.6%"
West Pokot,Service Workers,21.3,Women,"West Pokot, 21.3%"
West Pokot,Skilled Farm & Wildlife Related Workers,40.4,Women,"West Pokot, 40.4%"
West Pokot,Craft & Related Trades Workers,0.7,Women,"West Pokot, 0.7%"
West Pokot,Plant & Machine Operators,0.5,Women,"West Pokot, 0.5%"
West Pokot,Elementary Occupations,3.8,Women,"West Pokot, 3.8%"
Samburu,"Legislators, Administrators & Managers",22.2,Women,"Samburu, 22.2%"
Samburu,Professionals,2.7,Women,"Samburu, 2.7%"
Samburu,Technicians & Associate Professionals,9.1,Women,"Samburu, 9.1%"
Samburu,Secretarial & Clerical Services,1.6,Women,"Samburu, 1.6%"
Samburu,Service Workers,24.9,Women,"Samburu, 24.9%"
Samburu,Skilled Farm & Wildlife Related Workers,2.9,Women,"Samburu, 2.9%"
Samburu,Craft & Related Trades Workers,3.2,Women,"Samburu, 3.2%"
Samburu,Plant & Machine Operators,0.9,Women,"Samburu, 0.9%"
Samburu,Elementary Occupations,32.2,Women,"Samburu, 32.2%"
Trans Nzoia,"Legislators, Administrators & Managers",6.1,Women,"Trans Nzoia, 6.1%"
Trans Nzoia,Professionals,5.9,Women,"Trans Nzoia, 5.9%"
Trans Nzoia,Technicians & Associate Professionals,11.6,Women,"Trans Nzoia, 11.6%"
Trans Nzoia,Secretarial & Clerical Services,1.6,Women,"Trans Nzoia, 1.6%"
Trans Nzoia,Service Workers,19.6,Women,"Trans Nzoia, 19.6%"
Trans Nzoia,Skilled Farm & Wildlife Related Workers,7.8,Women,"Trans Nzoia, 7.8%"
Trans Nzoia,Craft & Related Trades Workers,0.6,Women,"Trans Nzoia, 0.6%"
Trans Nzoia,Plant & Machine Operators,1.3,Women,"Trans Nzoia, 1.3%"
Trans Nzoia,Elementary Occupations,43.4,Women,"Trans Nzoia, 43.4%"
Uasin Gishu,"Legislators, Administrators & Managers",9.3,Women,"Uasin Gishu, 9.3%"
Uasin Gishu,Professionals,7.5,Women,"Uasin Gishu, 7.5%"
Uasin Gishu,Technicians & Associate Professionals,10.5,Women,"Uasin Gishu, 10.5%"
Uasin Gishu,Secretarial & Clerical Services,5,Women,"Uasin Gishu, 5%"
Uasin Gishu,Service Workers,23.3,Women,"Uasin Gishu, 23.3%"
Uasin Gishu,Skilled Farm & Wildlife Related Workers,14.6,Women,"Uasin Gishu, 14.6%"
Uasin Gishu,Craft & Related Trades Workers,2,Women,"Uasin Gishu, 2%"
Uasin Gishu,Plant & Machine Operators,1.3,Women,"Uasin Gishu, 1.3%"
Uasin Gishu,Elementary Occupations,22.7,Women,"Uasin Gishu, 22.7%"
Elgeyo Marakwet,"Legislators, Administrators & Managers",9.9,Women,"Elgeyo Marakwet, 9.9%"
Elgeyo Marakwet,Professionals,4.7,Women,"Elgeyo Marakwet, 4.7%"
Elgeyo Marakwet,Technicians & Associate Professionals,18.4,Women,"Elgeyo Marakwet, 18.4%"
Elgeyo Marakwet,Secretarial & Clerical Services,0.7,Women,"Elgeyo Marakwet, 0.7%"
Elgeyo Marakwet,Service Workers,9.6,Women,"Elgeyo Marakwet, 9.6%"
Elgeyo Marakwet,Skilled Farm & Wildlife Related Workers,43.6,Women,"Elgeyo Marakwet, 43.6%"
Elgeyo Marakwet,Craft & Related Trades Workers,0,Women,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Plant & Machine Operators,0,Women,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Elementary Occupations,13.1,Women,"Elgeyo Marakwet, 13.1%"
Nandi,"Legislators, Administrators & Managers",8.3,Women,"Nandi, 8.3%"
Nandi,Professionals,2.9,Women,"Nandi, 2.9%"
Nandi,Technicians & Associate Professionals,7.8,Women,"Nandi, 7.8%"
Nandi,Secretarial & Clerical Services,0.8,Women,"Nandi, 0.8%"
Nandi,Service Workers,15.8,Women,"Nandi, 15.8%"
Nandi,Skilled Farm & Wildlife Related Workers,53.3,Women,"Nandi, 53.3%"
Nandi,Craft & Related Trades Workers,0.6,Women,"Nandi, 0.6%"
Nandi,Plant & Machine Operators,0,Women,"Nandi, 0%"
Nandi,Elementary Occupations,10.5,Women,"Nandi, 10.5%"
Baringo,"Legislators, Administrators & Managers",19.9,Women,"Baringo, 19.9%"
Baringo,Professionals,3,Women,"Baringo, 3%"
Baringo,Technicians & Associate Professionals,10,Women,"Baringo, 10%"
Baringo,Secretarial & Clerical Services,0.3,Women,"Baringo, 0.3%"
Baringo,Service Workers,12.7,Women,"Baringo, 12.7%"
Baringo,Skilled Farm & Wildlife Related Workers,26.8,Women,"Baringo, 26.8%"
Baringo,Craft & Related Trades Workers,0.6,Women,"Baringo, 0.6%"
Baringo,Plant & Machine Operators,0.4,Women,"Baringo, 0.4%"
Baringo,Elementary Occupations,24.4,Women,"Baringo, 24.4%"
Laikipia,"Legislators, Administrators & Managers",3.9,Women,"Laikipia, 3.9%"
Laikipia,Professionals,2.2,Women,"Laikipia, 2.2%"
Laikipia,Technicians & Associate Professionals,5.5,Women,"Laikipia, 5.5%"
Laikipia,Secretarial & Clerical Services,1.7,Women,"Laikipia, 1.7%"
Laikipia,Service Workers,24,Women,"Laikipia, 24%"
Laikipia,Skilled Farm & Wildlife Related Workers,27.9,Women,"Laikipia, 27.9%"
Laikipia,Craft & Related Trades Workers,1.1,Women,"Laikipia, 1.1%"
Laikipia,Plant & Machine Operators,0.3,Women,"Laikipia, 0.3%"
Laikipia,Elementary Occupations,29.8,Women,"Laikipia, 29.8%"
Nakuru,"Legislators, Administrators & Managers",8.9,Women,"Nakuru, 8.9%"
Nakuru,Professionals,6.4,Women,"Nakuru, 6.4%"
Nakuru,Technicians & Associate Professionals,6.5,Women,"Nakuru, 6.5%"
Nakuru,Secretarial & Clerical Services,2.3,Women,"Nakuru, 2.3%"
Nakuru,Service Workers,21.8,Women,"Nakuru, 21.8%"
Nakuru,Skilled Farm & Wildlife Related Workers,20.9,Women,"Nakuru, 20.9%"
Nakuru,Craft & Related Trades Workers,0.6,Women,"Nakuru, 0.6%"
Nakuru,Plant & Machine Operators,0.2,Women,"Nakuru, 0.2%"
Nakuru,Elementary Occupations,28.3,Women,"Nakuru, 28.3%"
Narok,"Legislators, Administrators & Managers",12.5,Women,"Narok, 12.5%"
Narok,Professionals,3.7,Women,"Narok, 3.7%"
Narok,Technicians & Associate Professionals,10.7,Women,"Narok, 10.7%"
Narok,Secretarial & Clerical Services,0.8,Women,"Narok, 0.8%"
Narok,Service Workers,17.4,Women,"Narok, 17.4%"
Narok,Skilled Farm & Wildlife Related Workers,32.4,Women,"Narok, 32.4%"
Narok,Craft & Related Trades Workers,2.5,Women,"Narok, 2.5%"
Narok,Plant & Machine Operators,0,Women,"Narok, 0%"
Narok,Elementary Occupations,19.2,Women,"Narok, 19.2%"
Kajiado,"Legislators, Administrators & Managers",14.7,Women,"Kajiado, 14.7%"
Kajiado,Professionals,8.9,Women,"Kajiado, 8.9%"
Kajiado,Technicians & Associate Professionals,10.4,Women,"Kajiado, 10.4%"
Kajiado,Secretarial & Clerical Services,2.6,Women,"Kajiado, 2.6%"
Kajiado,Service Workers,24.9,Women,"Kajiado, 24.9%"
Kajiado,Skilled Farm & Wildlife Related Workers,3.7,Women,"Kajiado, 3.7%"
Kajiado,Craft & Related Trades Workers,1.7,Women,"Kajiado, 1.7%"
Kajiado,Plant & Machine Operators,0.5,Women,"Kajiado, 0.5%"
Kajiado,Elementary Occupations,30,Women,"Kajiado, 30%"
Kericho,"Legislators, Administrators & Managers",11.1,Women,"Kericho, 11.1%"
Kericho,Professionals,2.1,Women,"Kericho, 2.1%"
Kericho,Technicians & Associate Professionals,7.7,Women,"Kericho, 7.7%"
Kericho,Secretarial & Clerical Services,1.4,Women,"Kericho, 1.4%"
Kericho,Service Workers,4.5,Women,"Kericho, 4.5%"
Kericho,Skilled Farm & Wildlife Related Workers,61.7,Women,"Kericho, 61.7%"
Kericho,Craft & Related Trades Workers,0.1,Women,"Kericho, 0.1%"
Kericho,Plant & Machine Operators,0,Women,"Kericho, 0%"
Kericho,Elementary Occupations,8.8,Women,"Kericho, 8.8%"
Bomet,"Legislators, Administrators & Managers",2.8,Women,"Bomet, 2.8%"
Bomet,Professionals,3.5,Women,"Bomet, 3.5%"
Bomet,Technicians & Associate Professionals,7.1,Women,"Bomet, 7.1%"
Bomet,Secretarial & Clerical Services,0.9,Women,"Bomet, 0.9%"
Bomet,Service Workers,9.3,Women,"Bomet, 9.3%"
Bomet,Skilled Farm & Wildlife Related Workers,60.5,Women,"Bomet, 60.5%"
Bomet,Craft & Related Trades Workers,0.9,Women,"Bomet, 0.9%"
Bomet,Plant & Machine Operators,0.6,Women,"Bomet, 0.6%"
Bomet,Elementary Occupations,13.4,Women,"Bomet, 13.4%"
Kakamega,"Legislators, Administrators & Managers",6.3,Women,"Kakamega, 6.3%"
Kakamega,Professionals,15.5,Women,"Kakamega, 15.5%"
Kakamega,Technicians & Associate Professionals,8.4,Women,"Kakamega, 8.4%"
Kakamega,Secretarial & Clerical Services,2.1,Women,"Kakamega, 2.1%"
Kakamega,Service Workers,14.1,Women,"Kakamega, 14.1%"
Kakamega,Skilled Farm & Wildlife Related Workers,22.2,Women,"Kakamega, 22.2%"
Kakamega,Craft & Related Trades Workers,1.3,Women,"Kakamega, 1.3%"
Kakamega,Plant & Machine Operators,1.1,Women,"Kakamega, 1.1%"
Kakamega,Elementary Occupations,26.7,Women,"Kakamega, 26.7%"
Vihiga,"Legislators, Administrators & Managers",4.7,Women,"Vihiga, 4.7%"
Vihiga,Professionals,4,Women,"Vihiga, 4%"
Vihiga,Technicians & Associate Professionals,9.2,Women,"Vihiga, 9.2%"
Vihiga,Secretarial & Clerical Services,0.4,Women,"Vihiga, 0.4%"
Vihiga,Service Workers,16.6,Women,"Vihiga, 16.6%"
Vihiga,Skilled Farm & Wildlife Related Workers,15.5,Women,"Vihiga, 15.5%"
Vihiga,Craft & Related Trades Workers,2.5,Women,"Vihiga, 2.5%"
Vihiga,Plant & Machine Operators,0.3,Women,"Vihiga, 0.3%"
Vihiga,Elementary Occupations,45.8,Women,"Vihiga, 45.8%"
Bungoma,"Legislators, Administrators & Managers",8,Women,"Bungoma, 8%"
Bungoma,Professionals,5.4,Women,"Bungoma, 5.4%"
Bungoma,Technicians & Associate Professionals,9.9,Women,"Bungoma, 9.9%"
Bungoma,Secretarial & Clerical Services,1.1,Women,"Bungoma, 1.1%"
Bungoma,Service Workers,18.1,Women,"Bungoma, 18.1%"
Bungoma,Skilled Farm & Wildlife Related Workers,21,Women,"Bungoma, 21%"
Bungoma,Craft & Related Trades Workers,0.9,Women,"Bungoma, 0.9%"
Bungoma,Plant & Machine Operators,0.4,Women,"Bungoma, 0.4%"
Bungoma,Elementary Occupations,33.6,Women,"Bungoma, 33.6%"
Busia,"Legislators, Administrators & Managers",9.5,Women,"Busia, 9.5%"
Busia,Professionals,2.6,Women,"Busia, 2.6%"
Busia,Technicians & Associate Professionals,5.2,Women,"Busia, 5.2%"
Busia,Secretarial & Clerical Services,0.5,Women,"Busia, 0.5%"
Busia,Service Workers,16.3,Women,"Busia, 16.3%"
Busia,Skilled Farm & Wildlife Related Workers,44.6,Women,"Busia, 44.6%"
Busia,Craft & Related Trades Workers,2.9,Women,"Busia, 2.9%"
Busia,Plant & Machine Operators,0.3,Women,"Busia, 0.3%"
Busia,Elementary Occupations,17.5,Women,"Busia, 17.5%"
Siaya,"Legislators, Administrators & Managers",6.2,Women,"Siaya, 6.2%"
Siaya,Professionals,11.4,Women,"Siaya, 11.4%"
Siaya,Technicians & Associate Professionals,10.2,Women,"Siaya, 10.2%"
Siaya,Secretarial & Clerical Services,1.7,Women,"Siaya, 1.7%"
Siaya,Service Workers,20.7,Women,"Siaya, 20.7%"
Siaya,Skilled Farm & Wildlife Related Workers,19.4,Women,"Siaya, 19.4%"
Siaya,Craft & Related Trades Workers,3.4,Women,"Siaya, 3.4%"
Siaya,Plant & Machine Operators,1,Women,"Siaya, 1%"
Siaya,Elementary Occupations,26,Women,"Siaya, 26%"
