"","County","Category","Proportion","Participants","Names"
"95","Isiolo","Service Workers",19,"Women","Isiolo, 19%"
"96","Isiolo","Skilled Farm & Wildlife Related Workers",6.8,"Women","Isiolo, 6.8%"
"97","Isiolo","Craft & Related Trades Workers",0.3,"Women","Isiolo, 0.3%"
"98","Isiolo","Plant & Machine Operators",0.6,"Women","Isiolo, 0.6%"
"99","Isiolo","Elementary Occupations",34.3,"Women","Isiolo, 34.3%"
"100","Meru","Legislators, Administrators & Managers",7.7,"Women","Meru, 7.7%"
"101","Meru","Professionals",3.9,"Women","Meru, 3.9%"
"102","Meru","Technicians & Associate Professionals",5.5,"Women","Meru, 5.5%"
"103","Meru","Secretarial & Clerical Services",1.1,"Women","Meru, 1.1%"
"104","Meru","Service Workers",14.8,"Women","Meru, 14.8%"
"105","Meru","Skilled Farm & Wildlife Related Workers",45.2,"Women","Meru, 45.2%"
"106","Meru","Craft & Related Trades Workers",0.1,"Women","Meru, 0.1%"
"107","Meru","Plant & Machine Operators",0.8,"Women","Meru, 0.8%"
"108","Meru","Elementary Occupations",20.2,"Women","Meru, 20.2%"
"109","Tharaka Nithi","Legislators, Administrators & Managers",7.1,"Women","Tharaka Nithi, 7.1%"
"110","Tharaka Nithi","Professionals",3.7,"Women","Tharaka Nithi, 3.7%"
"111","Tharaka Nithi","Technicians & Associate Professionals",8.9,"Women","Tharaka Nithi, 8.9%"
"112","Tharaka Nithi","Secretarial & Clerical Services",1.8,"Women","Tharaka Nithi, 1.8%"
"113","Tharaka Nithi","Service Workers",19.8,"Women","Tharaka Nithi, 19.8%"
"114","Tharaka Nithi","Skilled Farm & Wildlife Related Workers",35.7,"Women","Tharaka Nithi, 35.7%"
"115","Tharaka Nithi","Craft & Related Trades Workers",0.5,"Women","Tharaka Nithi, 0.5%"
"116","Tharaka Nithi","Plant & Machine Operators",0.3,"Women","Tharaka Nithi, 0.3%"
"117","Tharaka Nithi","Elementary Occupations",20,"Women","Tharaka Nithi, 20%"
"118","Embu","Legislators, Administrators & Managers",27,"Women","Embu, 27%"
"119","Embu","Professionals",5,"Women","Embu, 5%"
"120","Embu","Technicians & Associate Professionals",6.3,"Women","Embu, 6.3%"
"121","Embu","Secretarial & Clerical Services",2.5,"Women","Embu, 2.5%"
"122","Embu","Service Workers",8.6,"Women","Embu, 8.6%"
"123","Embu","Skilled Farm & Wildlife Related Workers",32.4,"Women","Embu, 32.4%"
"124","Embu","Craft & Related Trades Workers",0.2,"Women","Embu, 0.2%"
"125","Embu","Plant & Machine Operators",0.7,"Women","Embu, 0.7%"
"126","Embu","Elementary Occupations",15.2,"Women","Embu, 15.2%"
"127","Kitui","Legislators, Administrators & Managers",16.3,"Women","Kitui, 16.3%"
"128","Kitui","Professionals",7.4,"Women","Kitui, 7.4%"
"129","Kitui","Technicians & Associate Professionals",10.3,"Women","Kitui, 10.3%"
"130","Kitui","Secretarial & Clerical Services",4.7,"Women","Kitui, 4.7%"
"131","Kitui","Service Workers",19.5,"Women","Kitui, 19.5%"
"132","Kitui","Skilled Farm & Wildlife Related Workers",15.3,"Women","Kitui, 15.3%"
"133","Kitui","Craft & Related Trades Workers",0.6,"Women","Kitui, 0.6%"
"134","Kitui","Plant & Machine Operators",0,"Women","Kitui, 0%"
"135","Kitui","Elementary Occupations",24.9,"Women","Kitui, 24.9%"
"136","Machakos","Legislators, Administrators & Managers",19.8,"Women","Machakos, 19.8%"
"137","Machakos","Professionals",7.3,"Women","Machakos, 7.3%"
"138","Machakos","Technicians & Associate Professionals",9.4,"Women","Machakos, 9.4%"
"139","Machakos","Secretarial & Clerical Services",2.4,"Women","Machakos, 2.4%"
"140","Machakos","Service Workers",25,"Women","Machakos, 25%"
"141","Machakos","Skilled Farm & Wildlife Related Workers",7.2,"Women","Machakos, 7.2%"
"142","Machakos","Craft & Related Trades Workers",0.5,"Women","Machakos, 0.5%"
"143","Machakos","Plant & Machine Operators",1.8,"Women","Machakos, 1.8%"
"144","Machakos","Elementary Occupations",24,"Women","Machakos, 24%"
"145","Makueni","Legislators, Administrators & Managers",15.2,"Women","Makueni, 15.2%"
"146","Makueni","Professionals",4,"Women","Makueni, 4%"
"147","Makueni","Technicians & Associate Professionals",11.5,"Women","Makueni, 11.5%"
"148","Makueni","Secretarial & Clerical Services",2.4,"Women","Makueni, 2.4%"
"149","Makueni","Service Workers",24.5,"Women","Makueni, 24.5%"
"150","Makueni","Skilled Farm & Wildlife Related Workers",6.3,"Women","Makueni, 6.3%"
"151","Makueni","Craft & Related Trades Workers",0.2,"Women","Makueni, 0.2%"
"152","Makueni","Plant & Machine Operators",0.1,"Women","Makueni, 0.1%"
"153","Makueni","Elementary Occupations",34.3,"Women","Makueni, 34.3%"
"154","Nyandarua","Legislators, Administrators & Managers",10.3,"Women","Nyandarua, 10.3%"
"155","Nyandarua","Professionals",3.4,"Women","Nyandarua, 3.4%"
"156","Nyandarua","Technicians & Associate Professionals",4.3,"Women","Nyandarua, 4.3%"
"157","Nyandarua","Secretarial & Clerical Services",0.5,"Women","Nyandarua, 0.5%"
"158","Nyandarua","Service Workers",12,"Women","Nyandarua, 12%"
"159","Nyandarua","Skilled Farm & Wildlife Related Workers",52.3,"Women","Nyandarua, 52.3%"
"160","Nyandarua","Craft & Related Trades Workers",0.4,"Women","Nyandarua, 0.4%"
"161","Nyandarua","Plant & Machine Operators",0.3,"Women","Nyandarua, 0.3%"
"162","Nyandarua","Elementary Occupations",15.9,"Women","Nyandarua, 15.9%"
"163","Nyeri","Legislators, Administrators & Managers",16.6,"Women","Nyeri, 16.6%"
"164","Nyeri","Professionals",6.7,"Women","Nyeri, 6.7%"
"165","Nyeri","Technicians & Associate Professionals",9.8,"Women","Nyeri, 9.8%"
"166","Nyeri","Secretarial & Clerical Services",3,"Women","Nyeri, 3%"
"167","Nyeri","Service Workers",16.6,"Women","Nyeri, 16.6%"
"168","Nyeri","Skilled Farm & Wildlife Related Workers",23.2,"Women","Nyeri, 23.2%"
"169","Nyeri","Craft & Related Trades Workers",1.3,"Women","Nyeri, 1.3%"
"170","Nyeri","Plant & Machine Operators",0.3,"Women","Nyeri, 0.3%"
"171","Nyeri","Elementary Occupations",19.8,"Women","Nyeri, 19.8%"
"172","Kirinyaga","Legislators, Administrators & Managers",10.9,"Women","Kirinyaga, 10.9%"
"173","Kirinyaga","Professionals",4.7,"Women","Kirinyaga, 4.7%"
"174","Kirinyaga","Technicians & Associate Professionals",6,"Women","Kirinyaga, 6%"
"175","Kirinyaga","Secretarial & Clerical Services",2.8,"Women","Kirinyaga, 2.8%"
"176","Kirinyaga","Service Workers",21.7,"Women","Kirinyaga, 21.7%"
"177","Kirinyaga","Skilled Farm & Wildlife Related Workers",19.8,"Women","Kirinyaga, 19.8%"
"178","Kirinyaga","Craft & Related Trades Workers",1.3,"Women","Kirinyaga, 1.3%"
"179","Kirinyaga","Plant & Machine Operators",0,"Women","Kirinyaga, 0%"
"180","Kirinyaga","Elementary Occupations",31,"Women","Kirinyaga, 31%"
"181","Muranga","Legislators, Administrators & Managers",6.4,"Women","Muranga, 6.4%"
"182","Muranga","Professionals",5.7,"Women","Muranga, 5.7%"
"183","Muranga","Technicians & Associate Professionals",5.5,"Women","Muranga, 5.5%"
"184","Muranga","Secretarial & Clerical Services",0.8,"Women","Muranga, 0.8%"
"185","Muranga","Service Workers",17.9,"Women","Muranga, 17.9%"
"186","Muranga","Skilled Farm & Wildlife Related Workers",31.6,"Women","Muranga, 31.6%"
"187","Muranga","Craft & Related Trades Workers",1.3,"Women","Muranga, 1.3%"
"188","Muranga","Plant & Machine Operators",0.3,"Women","Muranga, 0.3%"
"189","Muranga","Elementary Occupations",29.1,"Women","Muranga, 29.1%"
"190","Kiambu","Legislators, Administrators & Managers",9.2,"Women","Kiambu, 9.2%"
"191","Kiambu","Professionals",5.2,"Women","Kiambu, 5.2%"
"192","Kiambu","Technicians & Associate Professionals",7.5,"Women","Kiambu, 7.5%"
"193","Kiambu","Secretarial & Clerical Services",1.8,"Women","Kiambu, 1.8%"
"194","Kiambu","Service Workers",23.1,"Women","Kiambu, 23.1%"
"195","Kiambu","Skilled Farm & Wildlife Related Workers",14.3,"Women","Kiambu, 14.3%"
"196","Kiambu","Craft & Related Trades Workers",1.7,"Women","Kiambu, 1.7%"
"197","Kiambu","Plant & Machine Operators",0.7,"Women","Kiambu, 0.7%"
"198","Kiambu","Elementary Occupations",31.9,"Women","Kiambu, 31.9%"
"199","Turkana","Legislators, Administrators & Managers",7.7,"Women","Turkana, 7.7%"
"200","Turkana","Professionals",2.1,"Women","Turkana, 2.1%"
"201","Turkana","Technicians & Associate Professionals",7,"Women","Turkana, 7%"
"202","Turkana","Secretarial & Clerical Services",0.2,"Women","Turkana, 0.2%"
"203","Turkana","Service Workers",39.2,"Women","Turkana, 39.2%"
"204","Turkana","Skilled Farm & Wildlife Related Workers",9.4,"Women","Turkana, 9.4%"
"205","Turkana","Craft & Related Trades Workers",4.2,"Women","Turkana, 4.2%"
"206","Turkana","Plant & Machine Operators",5.6,"Women","Turkana, 5.6%"
"207","Turkana","Elementary Occupations",22.8,"Women","Turkana, 22.8%"
"208","West Pokot","Legislators, Administrators & Managers",10.9,"Women","West Pokot, 10.9%"
"209","West Pokot","Professionals",5.1,"Women","West Pokot, 5.1%"
"210","West Pokot","Technicians & Associate Professionals",15.2,"Women","West Pokot, 15.2%"
"211","West Pokot","Secretarial & Clerical Services",1.6,"Women","West Pokot, 1.6%"
"212","West Pokot","Service Workers",21.3,"Women","West Pokot, 21.3%"
"213","West Pokot","Skilled Farm & Wildlife Related Workers",40.4,"Women","West Pokot, 40.4%"
"214","West Pokot","Craft & Related Trades Workers",0.7,"Women","West Pokot, 0.7%"
"215","West Pokot","Plant & Machine Operators",0.5,"Women","West Pokot, 0.5%"
"216","West Pokot","Elementary Occupations",3.8,"Women","West Pokot, 3.8%"
"217","Samburu","Legislators, Administrators & Managers",22.2,"Women","Samburu, 22.2%"
"218","Samburu","Professionals",2.7,"Women","Samburu, 2.7%"
"219","Samburu","Technicians & Associate Professionals",9.1,"Women","Samburu, 9.1%"
"220","Samburu","Secretarial & Clerical Services",1.6,"Women","Samburu, 1.6%"
"221","Samburu","Service Workers",24.9,"Women","Samburu, 24.9%"
"222","Samburu","Skilled Farm & Wildlife Related Workers",2.9,"Women","Samburu, 2.9%"
"223","Samburu","Craft & Related Trades Workers",3.2,"Women","Samburu, 3.2%"
"224","Samburu","Plant & Machine Operators",0.9,"Women","Samburu, 0.9%"
"225","Samburu","Elementary Occupations",32.2,"Women","Samburu, 32.2%"
"226","Trans Nzoia","Legislators, Administrators & Managers",6.1,"Women","Trans Nzoia, 6.1%"
"227","Trans Nzoia","Professionals",5.9,"Women","Trans Nzoia, 5.9%"
"228","Trans Nzoia","Technicians & Associate Professionals",11.6,"Women","Trans Nzoia, 11.6%"
"229","Trans Nzoia","Secretarial & Clerical Services",1.6,"Women","Trans Nzoia, 1.6%"
"230","Trans Nzoia","Service Workers",19.6,"Women","Trans Nzoia, 19.6%"
"231","Trans Nzoia","Skilled Farm & Wildlife Related Workers",7.8,"Women","Trans Nzoia, 7.8%"
"232","Trans Nzoia","Craft & Related Trades Workers",0.6,"Women","Trans Nzoia, 0.6%"
"233","Trans Nzoia","Plant & Machine Operators",1.3,"Women","Trans Nzoia, 1.3%"
"234","Trans Nzoia","Elementary Occupations",43.4,"Women","Trans Nzoia, 43.4%"
"235","Uasin Gishu","Legislators, Administrators & Managers",9.3,"Women","Uasin Gishu, 9.3%"
"236","Uasin Gishu","Professionals",7.5,"Women","Uasin Gishu, 7.5%"
"237","Uasin Gishu","Technicians & Associate Professionals",10.5,"Women","Uasin Gishu, 10.5%"
"238","Uasin Gishu","Secretarial & Clerical Services",5,"Women","Uasin Gishu, 5%"
"239","Uasin Gishu","Service Workers",23.3,"Women","Uasin Gishu, 23.3%"
"240","Uasin Gishu","Skilled Farm & Wildlife Related Workers",14.6,"Women","Uasin Gishu, 14.6%"
"241","Uasin Gishu","Craft & Related Trades Workers",2,"Women","Uasin Gishu, 2%"
"242","Uasin Gishu","Plant & Machine Operators",1.3,"Women","Uasin Gishu, 1.3%"
"243","Uasin Gishu","Elementary Occupations",22.7,"Women","Uasin Gishu, 22.7%"
"244","Elgeyo Marakwet","Legislators, Administrators & Managers",9.9,"Women","Elgeyo Marakwet, 9.9%"
"245","Elgeyo Marakwet","Professionals",4.7,"Women","Elgeyo Marakwet, 4.7%"
"246","Elgeyo Marakwet","Technicians & Associate Professionals",18.4,"Women","Elgeyo Marakwet, 18.4%"
"247","Elgeyo Marakwet","Secretarial & Clerical Services",0.7,"Women","Elgeyo Marakwet, 0.7%"
"248","Elgeyo Marakwet","Service Workers",9.6,"Women","Elgeyo Marakwet, 9.6%"
"249","Elgeyo Marakwet","Skilled Farm & Wildlife Related Workers",43.6,"Women","Elgeyo Marakwet, 43.6%"
"250","Elgeyo Marakwet","Craft & Related Trades Workers",0,"Women","Elgeyo Marakwet, 0%"
"251","Elgeyo Marakwet","Plant & Machine Operators",0,"Women","Elgeyo Marakwet, 0%"
"252","Elgeyo Marakwet","Elementary Occupations",13.1,"Women","Elgeyo Marakwet, 13.1%"
"253","Nandi","Legislators, Administrators & Managers",8.3,"Women","Nandi, 8.3%"
"254","Nandi","Professionals",2.9,"Women","Nandi, 2.9%"
"255","Nandi","Technicians & Associate Professionals",7.8,"Women","Nandi, 7.8%"
"256","Nandi","Secretarial & Clerical Services",0.8,"Women","Nandi, 0.8%"
"257","Nandi","Service Workers",15.8,"Women","Nandi, 15.8%"
"258","Nandi","Skilled Farm & Wildlife Related Workers",53.3,"Women","Nandi, 53.3%"
"259","Nandi","Craft & Related Trades Workers",0.6,"Women","Nandi, 0.6%"
"260","Nandi","Plant & Machine Operators",0,"Women","Nandi, 0%"
"261","Nandi","Elementary Occupations",10.5,"Women","Nandi, 10.5%"
"262","Baringo","Legislators, Administrators & Managers",19.9,"Women","Baringo, 19.9%"
"263","Baringo","Professionals",3,"Women","Baringo, 3%"
"264","Baringo","Technicians & Associate Professionals",10,"Women","Baringo, 10%"
"265","Baringo","Secretarial & Clerical Services",0.3,"Women","Baringo, 0.3%"
"266","Baringo","Service Workers",12.7,"Women","Baringo, 12.7%"
"267","Baringo","Skilled Farm & Wildlife Related Workers",26.8,"Women","Baringo, 26.8%"
"268","Baringo","Craft & Related Trades Workers",0.6,"Women","Baringo, 0.6%"
"269","Baringo","Plant & Machine Operators",0.4,"Women","Baringo, 0.4%"
"270","Baringo","Elementary Occupations",24.4,"Women","Baringo, 24.4%"
"271","Laikipia","Legislators, Administrators & Managers",3.9,"Women","Laikipia, 3.9%"
"272","Laikipia","Professionals",2.2,"Women","Laikipia, 2.2%"
"273","Laikipia","Technicians & Associate Professionals",5.5,"Women","Laikipia, 5.5%"
"274","Laikipia","Secretarial & Clerical Services",1.7,"Women","Laikipia, 1.7%"
"275","Laikipia","Service Workers",24,"Women","Laikipia, 24%"
"276","Laikipia","Skilled Farm & Wildlife Related Workers",27.9,"Women","Laikipia, 27.9%"
"277","Laikipia","Craft & Related Trades Workers",1.1,"Women","Laikipia, 1.1%"
"278","Laikipia","Plant & Machine Operators",0.3,"Women","Laikipia, 0.3%"
"279","Laikipia","Elementary Occupations",29.8,"Women","Laikipia, 29.8%"
"280","Nakuru","Legislators, Administrators & Managers",8.9,"Women","Nakuru, 8.9%"
"281","Nakuru","Professionals",6.4,"Women","Nakuru, 6.4%"
"282","Nakuru","Technicians & Associate Professionals",6.5,"Women","Nakuru, 6.5%"
"283","Nakuru","Secretarial & Clerical Services",2.3,"Women","Nakuru, 2.3%"
"284","Nakuru","Service Workers",21.8,"Women","Nakuru, 21.8%"
"285","Nakuru","Skilled Farm & Wildlife Related Workers",20.9,"Women","Nakuru, 20.9%"
"286","Nakuru","Craft & Related Trades Workers",0.6,"Women","Nakuru, 0.6%"
"287","Nakuru","Plant & Machine Operators",0.2,"Women","Nakuru, 0.2%"
"288","Nakuru","Elementary Occupations",28.3,"Women","Nakuru, 28.3%"
"289","Narok","Legislators, Administrators & Managers",12.5,"Women","Narok, 12.5%"
"290","Narok","Professionals",3.7,"Women","Narok, 3.7%"
"291","Narok","Technicians & Associate Professionals",10.7,"Women","Narok, 10.7%"
"292","Narok","Secretarial & Clerical Services",0.8,"Women","Narok, 0.8%"
"293","Narok","Service Workers",17.4,"Women","Narok, 17.4%"
"294","Narok","Skilled Farm & Wildlife Related Workers",32.4,"Women","Narok, 32.4%"
"295","Narok","Craft & Related Trades Workers",2.5,"Women","Narok, 2.5%"
"296","Narok","Plant & Machine Operators",0,"Women","Narok, 0%"
"297","Narok","Elementary Occupations",19.2,"Women","Narok, 19.2%"
"298","Kajiado","Legislators, Administrators & Managers",14.7,"Women","Kajiado, 14.7%"
"299","Kajiado","Professionals",8.9,"Women","Kajiado, 8.9%"
"300","Kajiado","Technicians & Associate Professionals",10.4,"Women","Kajiado, 10.4%"
"301","Kajiado","Secretarial & Clerical Services",2.6,"Women","Kajiado, 2.6%"
"302","Kajiado","Service Workers",24.9,"Women","Kajiado, 24.9%"
"303","Kajiado","Skilled Farm & Wildlife Related Workers",3.7,"Women","Kajiado, 3.7%"
"304","Kajiado","Craft & Related Trades Workers",1.7,"Women","Kajiado, 1.7%"
"305","Kajiado","Plant & Machine Operators",0.5,"Women","Kajiado, 0.5%"
"306","Kajiado","Elementary Occupations",30,"Women","Kajiado, 30%"
"307","Kericho","Legislators, Administrators & Managers",11.1,"Women","Kericho, 11.1%"
"308","Kericho","Professionals",2.1,"Women","Kericho, 2.1%"
"309","Kericho","Technicians & Associate Professionals",7.7,"Women","Kericho, 7.7%"
"310","Kericho","Secretarial & Clerical Services",1.4,"Women","Kericho, 1.4%"
"311","Kericho","Service Workers",4.5,"Women","Kericho, 4.5%"
"312","Kericho","Skilled Farm & Wildlife Related Workers",61.7,"Women","Kericho, 61.7%"
"313","Kericho","Craft & Related Trades Workers",0.1,"Women","Kericho, 0.1%"
"314","Kericho","Plant & Machine Operators",0,"Women","Kericho, 0%"
"315","Kericho","Elementary Occupations",8.8,"Women","Kericho, 8.8%"
"316","Bomet","Legislators, Administrators & Managers",2.8,"Women","Bomet, 2.8%"
"317","Bomet","Professionals",3.5,"Women","Bomet, 3.5%"
"318","Bomet","Technicians & Associate Professionals",7.1,"Women","Bomet, 7.1%"
"319","Bomet","Secretarial & Clerical Services",0.9,"Women","Bomet, 0.9%"
"320","Bomet","Service Workers",9.3,"Women","Bomet, 9.3%"
"321","Bomet","Skilled Farm & Wildlife Related Workers",60.5,"Women","Bomet, 60.5%"
"322","Bomet","Craft & Related Trades Workers",0.9,"Women","Bomet, 0.9%"
"323","Bomet","Plant & Machine Operators",0.6,"Women","Bomet, 0.6%"
"324","Bomet","Elementary Occupations",13.4,"Women","Bomet, 13.4%"
"325","Kakamega","Legislators, Administrators & Managers",6.3,"Women","Kakamega, 6.3%"
"326","Kakamega","Professionals",15.5,"Women","Kakamega, 15.5%"
"327","Kakamega","Technicians & Associate Professionals",8.4,"Women","Kakamega, 8.4%"
"328","Kakamega","Secretarial & Clerical Services",2.1,"Women","Kakamega, 2.1%"
"329","Kakamega","Service Workers",14.1,"Women","Kakamega, 14.1%"
"330","Kakamega","Skilled Farm & Wildlife Related Workers",22.2,"Women","Kakamega, 22.2%"
"331","Kakamega","Craft & Related Trades Workers",1.3,"Women","Kakamega, 1.3%"
"332","Kakamega","Plant & Machine Operators",1.1,"Women","Kakamega, 1.1%"
"333","Kakamega","Elementary Occupations",26.7,"Women","Kakamega, 26.7%"
"334","Vihiga","Legislators, Administrators & Managers",4.7,"Women","Vihiga, 4.7%"
"335","Vihiga","Professionals",4,"Women","Vihiga, 4%"
"336","Vihiga","Technicians & Associate Professionals",9.2,"Women","Vihiga, 9.2%"
"337","Vihiga","Secretarial & Clerical Services",0.4,"Women","Vihiga, 0.4%"
"338","Vihiga","Service Workers",16.6,"Women","Vihiga, 16.6%"
"339","Vihiga","Skilled Farm & Wildlife Related Workers",15.5,"Women","Vihiga, 15.5%"
"340","Vihiga","Craft & Related Trades Workers",2.5,"Women","Vihiga, 2.5%"
"341","Vihiga","Plant & Machine Operators",0.3,"Women","Vihiga, 0.3%"
"342","Vihiga","Elementary Occupations",45.8,"Women","Vihiga, 45.8%"
