Value,Reason For Migration,Proportion,Participants,Background characteristics
Urban to rural,Employment,30.1,Women,Type of migration
Urban to rural,Education/training,6.2,Women,Type of migration
Urban to rural,Marriage formation,24.2,Women,Type of migration
Urban to rural,Family reasons,35.6,Women,Type of migration
Urban to rural,Forced displacment,0.7,Women,Type of migration
Urban to rural,Other,3.3,Women,Type of migration
Rural to urban,Employment,51.2,Women,Type of migration
Rural to urban,Education/training,16.7,Women,Type of migration
Rural to urban,Marriage formation,13.7,Women,Type of migration
Rural to urban,Family reasons,16.6,Women,Type of migration
Rural to urban,Forced displacment,0.5,Women,Type of migration
Rural to urban,Other,1.3,Women,Type of migration
Rural to rural,Employment,22.9,Women,Type of migration
Rural to rural,Education/training,7.6,Women,Type of migration
Rural to rural,Marriage formation,39.7,Women,Type of migration
Rural to rural,Family reasons,26.8,Women,Type of migration
Rural to rural,Forced displacment,0.8,Women,Type of migration
Rural to rural,Other,2.1,Women,Type of migration
Urban to urban,Employment,70.9,Men,Type of migration
Urban to urban,Education/training,14.0,Men,Type of migration
Urban to urban,Marriage formation,0.3,Men,Type of migration
Urban to urban,Family reasons,13.2,Men,Type of migration
Urban to urban,Forced displacment,0.0,Men,Type of migration
Urban to urban,Other,1.5,Men,Type of migration
Urban to rural,Employment,55.1,Men,Type of migration
Urban to rural,Education/training,9.6,Men,Type of migration
Urban to rural,Marriage formation,0.3,Men,Type of migration
Urban to rural,Family reasons,32.6,Men,Type of migration
Urban to rural,Forced displacment,0.3,Men,Type of migration
Urban to rural,Other,2.1,Men,Type of migration
Rural to urban,Employment,76.6,Men,Type of migration
Rural to urban,Education/training,17.3,Men,Type of migration
Rural to urban,Marriage formation,0.0,Men,Type of migration
Rural to urban,Family reasons,5.8,Men,Type of migration
Rural to urban,Forced displacment,0.0,Men,Type of migration
Rural to urban,Other,0.3,Men,Type of migration
Rural to rural,Employment,58.0,Men,Type of migration
Rural to rural,Education/training,19.9,Men,Type of migration
Rural to rural,Marriage formation,0.0,Men,Type of migration
Rural to rural,Family reasons,19.9,Men,Type of migration
Rural to rural,Forced displacment,1.2,Men,Type of migration
Rural to rural,Other,0.9,Men,Type of migration
Urban,Employment,48.5,Women,Residence
Urban,Education/training,13.8,Women,Residence
Urban,Marriage formation,15.4,Women,Residence
Urban,Family reasons,19.1,Women,Residence
Urban,Forced displacment,0.9,Women,Residence
Urban,Other,2.3,Women,Residence
Rural,Employment,16.9,Women,Residence
Rural,Education/training,4.2,Women,Residence
Rural,Marriage formation,52.3,Women,Residence
Rural,Family reasons,23.8,Women,Residence
Rural,Forced displacment,1.1,Women,Residence
Rural,Other,1.8,Women,Residence
Urban,Employment,65.9,Men,Residence
Urban,Education/training,15.1,Men,Residence
Urban,Marriage formation,0.2,Men,Residence
Urban,Family reasons,15.0,Men,Residence
Urban,Forced displacment,0.5,Men,Residence
Urban,Other,3.2,Men,Residence
Rural,Employment,46.5,Men,Residence
Rural,Education/training,10.2,Men,Residence
Rural,Marriage formation,0.4,Men,Residence
Rural,Family reasons,39.0,Men,Residence
Rural,Forced displacment,2.4,Men,Residence
Rural,Other,1.6,Men,Residence
Lowest,Employment,7.0,Women,Wealth quintile
Lowest,Education/training,2.0,Women,Wealth quintile
Lowest,Marriage formation,66.8,Women,Wealth quintile
Lowest,Family reasons,21.3,Women,Wealth quintile
Lowest,Forced displacment,1.6,Women,Wealth quintile
Lowest,Other,1.3,Women,Wealth quintile
Second,Employment,12.0,Women,Wealth quintile
Second,Education/training,3.6,Women,Wealth quintile
Second,Marriage formation,57.9,Women,Wealth quintile
Second,Family reasons,23.3,Women,Wealth quintile
Second,Forced displacment,1.6,Women,Wealth quintile
Second,Other,1.5,Women,Wealth quintile
Middle,Employment,22.3,Women,Wealth quintile
Middle,Education/training,5.3,Women,Wealth quintile
Middle,Marriage formation,45.6,Women,Wealth quintile
Middle,Family reasons,23.6,Women,Wealth quintile
Middle,Forced displacment,1.0,Women,Wealth quintile
Middle,Other,2.2,Women,Wealth quintile
Fourth,Employment,42.1,Women,Wealth quintile
Fourth,Education/training,9.8,Women,Wealth quintile
Fourth,Marriage formation,24.5,Women,Wealth quintile
Fourth,Family reasons,21.6,Women,Wealth quintile
Fourth,Forced displacment,0.7,Women,Wealth quintile
Fourth,Other,1.2,Women,Wealth quintile
Highest,Employment,48.4,Women,Wealth quintile
Highest,Education/training,15.0,Women,Wealth quintile
Highest,Marriage formation,13.6,Women,Wealth quintile
Highest,Family reasons,19.3,Women,Wealth quintile
Highest,Forced displacment,0.8,Women,Wealth quintile
Highest,Other,3.0,Women,Wealth quintile
Lowest,Employment,37.9,Men,Wealth quintile
Lowest,Education/training,6.3,Men,Wealth quintile
Lowest,Marriage formation,0.2,Men,Wealth quintile
Lowest,Family reasons,49.2,Men,Wealth quintile
Lowest,Forced displacment,4.2,Men,Wealth quintile
Lowest,Other,2.2,Men,Wealth quintile
Second,Employment,43.4,Men,Wealth quintile
Second,Education/training,6.3,Men,Wealth quintile
Second,Marriage formation,0.6,Men,Wealth quintile
Second,Family reasons,45.8,Men,Wealth quintile
Second,Forced displacment,2.6,Men,Wealth quintile
Second,Other,1.3,Men,Wealth quintile
Middle,Employment,56.6,Men,Wealth quintile
Middle,Education/training,11.3,Men,Wealth quintile
Middle,Marriage formation,0.1,Men,Wealth quintile
Middle,Family reasons,29.4,Men,Wealth quintile
Middle,Forced displacment,1.5,Men,Wealth quintile
Middle,Other,0.9,Men,Wealth quintile
Fourth,Employment,69.7,Men,Wealth quintile
Fourth,Education/training,11.6,Men,Wealth quintile
Fourth,Marriage formation,0.1,Men,Wealth quintile
Fourth,Family reasons,16.0,Men,Wealth quintile
Fourth,Forced displacment,1.1,Men,Wealth quintile
Fourth,Other,1.5,Men,Wealth quintile
Highest,Employment,58.4,Men,Wealth quintile
Highest,Education/training,18.9,Men,Wealth quintile
Highest,Marriage formation,0.3,Men,Wealth quintile
Highest,Family reasons,17.3,Men,Wealth quintile
Highest,Forced displacment,0.2,Men,Wealth quintile
Highest,Other,4.9,Men,Wealth quintile
