"","County","Reason.For.Migration","Proportion","Participants","Names"
"90","Kitui","Other",0.2,"Women","Kitui, 0.2%"
"91","Machakos","Employment",26.1,"Women","Machakos, 26.1%"
"92","Machakos","Education/training",6.9,"Women","Machakos, 6.9%"
"93","Machakos","Marriage formation",38.5,"Women","Machakos, 38.5%"
"94","Machakos","Family reasons",22.4,"Women","Machakos, 22.4%"
"95","Machakos","Forced displacment",0,"Women","Machakos, 0%"
"96","Machakos","Other",6.3,"Women","Machakos, 6.3%"
"97","Makueni","Employment",24.3,"Women","Makueni, 24.3%"
"98","Makueni","Education/training",5.9,"Women","Makueni, 5.9%"
"99","Makueni","Marriage formation",52.7,"Women","Makueni, 52.7%"
"100","Makueni","Family reasons",14.9,"Women","Makueni, 14.9%"
"101","Makueni","Forced displacment",0.3,"Women","Makueni, 0.3%"
"102","Makueni","Other",1.9,"Women","Makueni, 1.9%"
"103","Nyandarua","Employment",35.5,"Women","Nyandarua, 35.5%"
"104","Nyandarua","Education/training",1.1,"Women","Nyandarua, 1.1%"
"105","Nyandarua","Marriage formation",31.9,"Women","Nyandarua, 31.9%"
"106","Nyandarua","Family reasons",23.1,"Women","Nyandarua, 23.1%"
"107","Nyandarua","Forced displacment",6.3,"Women","Nyandarua, 6.3%"
"108","Nyandarua","Other",2.1,"Women","Nyandarua, 2.1%"
"109","Nyeri","Employment",35.8,"Women","Nyeri, 35.8%"
"110","Nyeri","Education/training",16.5,"Women","Nyeri, 16.5%"
"111","Nyeri","Marriage formation",23.3,"Women","Nyeri, 23.3%"
"112","Nyeri","Family reasons",22,"Women","Nyeri, 22%"
"113","Nyeri","Forced displacment",0.3,"Women","Nyeri, 0.3%"
"114","Nyeri","Other",2,"Women","Nyeri, 2%"
"115","Kirinyaga","Employment",33.2,"Women","Kirinyaga, 33.2%"
"116","Kirinyaga","Education/training",0.7,"Women","Kirinyaga, 0.7%"
"117","Kirinyaga","Marriage formation",30.5,"Women","Kirinyaga, 30.5%"
"118","Kirinyaga","Family reasons",32.6,"Women","Kirinyaga, 32.6%"
"119","Kirinyaga","Forced displacment",0.4,"Women","Kirinyaga, 0.4%"
"120","Kirinyaga","Other",2.5,"Women","Kirinyaga, 2.5%"
"121","Muranga","Employment",31.9,"Women","Muranga, 31.9%"
"122","Muranga","Education/training",3.7,"Women","Muranga, 3.7%"
"123","Muranga","Marriage formation",33.4,"Women","Muranga, 33.4%"
"124","Muranga","Family reasons",26.2,"Women","Muranga, 26.2%"
"125","Muranga","Forced displacment",2.1,"Women","Muranga, 2.1%"
"126","Muranga","Other",2.7,"Women","Muranga, 2.7%"
"127","Kiambu","Employment",39.9,"Women","Kiambu, 39.9%"
"128","Kiambu","Education/training",9.9,"Women","Kiambu, 9.9%"
"129","Kiambu","Marriage formation",19.9,"Women","Kiambu, 19.9%"
"130","Kiambu","Family reasons",22.8,"Women","Kiambu, 22.8%"
"131","Kiambu","Forced displacment",0.2,"Women","Kiambu, 0.2%"
"132","Kiambu","Other",7.3,"Women","Kiambu, 7.3%"
"133","Turkana","Employment",31.9,"Women","Turkana, 31.9%"
"134","Turkana","Education/training",6,"Women","Turkana, 6%"
"135","Turkana","Marriage formation",38.3,"Women","Turkana, 38.3%"
"136","Turkana","Family reasons",21.1,"Women","Turkana, 21.1%"
"137","Turkana","Forced displacment",2.4,"Women","Turkana, 2.4%"
"138","Turkana","Other",0.3,"Women","Turkana, 0.3%"
"139","West Pokot","Employment",44.8,"Women","West Pokot, 44.8%"
"140","West Pokot","Education/training",4.7,"Women","West Pokot, 4.7%"
"141","West Pokot","Marriage formation",36.4,"Women","West Pokot, 36.4%"
"142","West Pokot","Family reasons",13.7,"Women","West Pokot, 13.7%"
"143","West Pokot","Forced displacment",0.3,"Women","West Pokot, 0.3%"
"144","West Pokot","Other",0,"Women","West Pokot, 0%"
"145","Samburu","Employment",21,"Women","Samburu, 21%"
"146","Samburu","Education/training",2.5,"Women","Samburu, 2.5%"
"147","Samburu","Marriage formation",39.5,"Women","Samburu, 39.5%"
"148","Samburu","Family reasons",28.1,"Women","Samburu, 28.1%"
"149","Samburu","Forced displacment",7.5,"Women","Samburu, 7.5%"
"150","Samburu","Other",1.2,"Women","Samburu, 1.2%"
"151","Trans Nzoia","Employment",37.7,"Women","Trans Nzoia, 37.7%"
"152","Trans Nzoia","Education/training",4.9,"Women","Trans Nzoia, 4.9%"
"153","Trans Nzoia","Marriage formation",23.5,"Women","Trans Nzoia, 23.5%"
"154","Trans Nzoia","Family reasons",28.6,"Women","Trans Nzoia, 28.6%"
"155","Trans Nzoia","Forced displacment",1.9,"Women","Trans Nzoia, 1.9%"
"156","Trans Nzoia","Other",3.4,"Women","Trans Nzoia, 3.4%"
"157","Uasin Gishu","Employment",30.2,"Women","Uasin Gishu, 30.2%"
"158","Uasin Gishu","Education/training",14.8,"Women","Uasin Gishu, 14.8%"
"159","Uasin Gishu","Marriage formation",22.7,"Women","Uasin Gishu, 22.7%"
"160","Uasin Gishu","Family reasons",30.9,"Women","Uasin Gishu, 30.9%"
"161","Uasin Gishu","Forced displacment",1.2,"Women","Uasin Gishu, 1.2%"
"162","Uasin Gishu","Other",0.4,"Women","Uasin Gishu, 0.4%"
"163","Elgeyo Marakwet","Employment",25.1,"Women","Elgeyo Marakwet, 25.1%"
"164","Elgeyo Marakwet","Education/training",5.4,"Women","Elgeyo Marakwet, 5.4%"
"165","Elgeyo Marakwet","Marriage formation",40,"Women","Elgeyo Marakwet, 40%"
"166","Elgeyo Marakwet","Family reasons",27.2,"Women","Elgeyo Marakwet, 27.2%"
"167","Elgeyo Marakwet","Forced displacment",2.1,"Women","Elgeyo Marakwet, 2.1%"
"168","Elgeyo Marakwet","Other",0.2,"Women","Elgeyo Marakwet, 0.2%"
"169","Nandi","Employment",24.1,"Women","Nandi, 24.1%"
"170","Nandi","Education/training",13.3,"Women","Nandi, 13.3%"
"171","Nandi","Marriage formation",44.2,"Women","Nandi, 44.2%"
"172","Nandi","Family reasons",15.9,"Women","Nandi, 15.9%"
"173","Nandi","Forced displacment",1.7,"Women","Nandi, 1.7%"
"174","Nandi","Other",0.8,"Women","Nandi, 0.8%"
"175","Baringo","Employment",30.1,"Women","Baringo, 30.1%"
"176","Baringo","Education/training",2.7,"Women","Baringo, 2.7%"
"177","Baringo","Marriage formation",54.7,"Women","Baringo, 54.7%"
"178","Baringo","Family reasons",12.1,"Women","Baringo, 12.1%"
"179","Baringo","Forced displacment",0.4,"Women","Baringo, 0.4%"
"180","Baringo","Other",0,"Women","Baringo, 0%"
"181","Laikipia","Employment",35.5,"Women","Laikipia, 35.5%"
"182","Laikipia","Education/training",5.5,"Women","Laikipia, 5.5%"
"183","Laikipia","Marriage formation",20,"Women","Laikipia, 20%"
"184","Laikipia","Family reasons",30.6,"Women","Laikipia, 30.6%"
"185","Laikipia","Forced displacment",6.7,"Women","Laikipia, 6.7%"
"186","Laikipia","Other",1.7,"Women","Laikipia, 1.7%"
"187","Nakuru","Employment",42.1,"Women","Nakuru, 42.1%"
"188","Nakuru","Education/training",8.1,"Women","Nakuru, 8.1%"
"189","Nakuru","Marriage formation",22,"Women","Nakuru, 22%"
"190","Nakuru","Family reasons",24.2,"Women","Nakuru, 24.2%"
"191","Nakuru","Forced displacment",2.7,"Women","Nakuru, 2.7%"
"192","Nakuru","Other",0.9,"Women","Nakuru, 0.9%"
"193","Narok","Employment",31.4,"Women","Narok, 31.4%"
"194","Narok","Education/training",4.4,"Women","Narok, 4.4%"
"195","Narok","Marriage formation",46.8,"Women","Narok, 46.8%"
"196","Narok","Family reasons",14.7,"Women","Narok, 14.7%"
"197","Narok","Forced displacment",2,"Women","Narok, 2%"
"198","Narok","Other",0.7,"Women","Narok, 0.7%"
"199","Kajiado","Employment",50.5,"Women","Kajiado, 50.5%"
"200","Kajiado","Education/training",4,"Women","Kajiado, 4%"
"201","Kajiado","Marriage formation",9.9,"Women","Kajiado, 9.9%"
"202","Kajiado","Family reasons",33.2,"Women","Kajiado, 33.2%"
"203","Kajiado","Forced displacment",0.9,"Women","Kajiado, 0.9%"
"204","Kajiado","Other",1.6,"Women","Kajiado, 1.6%"
"205","Kericho","Employment",21.9,"Women","Kericho, 21.9%"
"206","Kericho","Education/training",9.3,"Women","Kericho, 9.3%"
"207","Kericho","Marriage formation",62.1,"Women","Kericho, 62.1%"
"208","Kericho","Family reasons",5.6,"Women","Kericho, 5.6%"
"209","Kericho","Forced displacment",0,"Women","Kericho, 0%"
"210","Kericho","Other",1.1,"Women","Kericho, 1.1%"
"211","Bomet","Employment",20.4,"Women","Bomet, 20.4%"
"212","Bomet","Education/training",3.7,"Women","Bomet, 3.7%"
"213","Bomet","Marriage formation",60.3,"Women","Bomet, 60.3%"
"214","Bomet","Family reasons",14.8,"Women","Bomet, 14.8%"
"215","Bomet","Forced displacment",0.4,"Women","Bomet, 0.4%"
"216","Bomet","Other",0.4,"Women","Bomet, 0.4%"
"217","Kakamega","Employment",11.5,"Women","Kakamega, 11.5%"
"218","Kakamega","Education/training",4.5,"Women","Kakamega, 4.5%"
"219","Kakamega","Marriage formation",57.5,"Women","Kakamega, 57.5%"
"220","Kakamega","Family reasons",23.3,"Women","Kakamega, 23.3%"
"221","Kakamega","Forced displacment",0.4,"Women","Kakamega, 0.4%"
"222","Kakamega","Other",2.9,"Women","Kakamega, 2.9%"
"223","Vihiga","Employment",16,"Women","Vihiga, 16%"
"224","Vihiga","Education/training",6.9,"Women","Vihiga, 6.9%"
"225","Vihiga","Marriage formation",34.1,"Women","Vihiga, 34.1%"
"226","Vihiga","Family reasons",35.7,"Women","Vihiga, 35.7%"
"227","Vihiga","Forced displacment",0.1,"Women","Vihiga, 0.1%"
"228","Vihiga","Other",7.1,"Women","Vihiga, 7.1%"
"229","Bungoma","Employment",16.8,"Women","Bungoma, 16.8%"
"230","Bungoma","Education/training",4.9,"Women","Bungoma, 4.9%"
"231","Bungoma","Marriage formation",47,"Women","Bungoma, 47%"
"232","Bungoma","Family reasons",29.5,"Women","Bungoma, 29.5%"
"233","Bungoma","Forced displacment",1.5,"Women","Bungoma, 1.5%"
"234","Bungoma","Other",0.3,"Women","Bungoma, 0.3%"
"235","Busia","Employment",14.6,"Women","Busia, 14.6%"
"236","Busia","Education/training",1.7,"Women","Busia, 1.7%"
"237","Busia","Marriage formation",57.4,"Women","Busia, 57.4%"
"238","Busia","Family reasons",24.9,"Women","Busia, 24.9%"
"239","Busia","Forced displacment",0.8,"Women","Busia, 0.8%"
"240","Busia","Other",0.5,"Women","Busia, 0.5%"
"241","Siaya","Employment",11.4,"Women","Siaya, 11.4%"
"242","Siaya","Education/training",8.7,"Women","Siaya, 8.7%"
"243","Siaya","Marriage formation",59.5,"Women","Siaya, 59.5%"
"244","Siaya","Family reasons",20.1,"Women","Siaya, 20.1%"
"245","Siaya","Forced displacment",0.3,"Women","Siaya, 0.3%"
"246","Siaya","Other",0,"Women","Siaya, 0%"
"247","Kisumu","Employment",27.5,"Women","Kisumu, 27.5%"
"248","Kisumu","Education/training",10.1,"Women","Kisumu, 10.1%"
"249","Kisumu","Marriage formation",49.2,"Women","Kisumu, 49.2%"
"250","Kisumu","Family reasons",11.1,"Women","Kisumu, 11.1%"
"251","Kisumu","Forced displacment",0.7,"Women","Kisumu, 0.7%"
"252","Kisumu","Other",1.4,"Women","Kisumu, 1.4%"
"253","Homa Bay","Employment",11.9,"Women","Homa Bay, 11.9%"
"254","Homa Bay","Education/training",7.7,"Women","Homa Bay, 7.7%"
"255","Homa Bay","Marriage formation",40.7,"Women","Homa Bay, 40.7%"
"256","Homa Bay","Family reasons",37.7,"Women","Homa Bay, 37.7%"
"257","Homa Bay","Forced displacment",1.2,"Women","Homa Bay, 1.2%"
"258","Homa Bay","Other",0.8,"Women","Homa Bay, 0.8%"
"259","Migori","Employment",12.7,"Women","Migori, 12.7%"
"260","Migori","Education/training",4.3,"Women","Migori, 4.3%"
"261","Migori","Marriage formation",60.1,"Women","Migori, 60.1%"
"262","Migori","Family reasons",20,"Women","Migori, 20%"
"263","Migori","Forced displacment",0.6,"Women","Migori, 0.6%"
"264","Migori","Other",2.3,"Women","Migori, 2.3%"
"265","Kisii","Employment",14.5,"Women","Kisii, 14.5%"
"266","Kisii","Education/training",7.6,"Women","Kisii, 7.6%"
"267","Kisii","Marriage formation",63.1,"Women","Kisii, 63.1%"
"268","Kisii","Family reasons",13.6,"Women","Kisii, 13.6%"
"269","Kisii","Forced displacment",0.4,"Women","Kisii, 0.4%"
"270","Kisii","Other",0.8,"Women","Kisii, 0.8%"
"271","Nyamira","Employment",12,"Women","Nyamira, 12%"
"272","Nyamira","Education/training",2.1,"Women","Nyamira, 2.1%"
"273","Nyamira","Marriage formation",59,"Women","Nyamira, 59%"
"274","Nyamira","Family reasons",21.1,"Women","Nyamira, 21.1%"
"275","Nyamira","Forced displacment",4.8,"Women","Nyamira, 4.8%"
"276","Nyamira","Other",0.9,"Women","Nyamira, 0.9%"
"277","Nairobi","Employment",53.1,"Women","Nairobi, 53.1%"
"278","Nairobi","Education/training",18.6,"Women","Nairobi, 18.6%"
"279","Nairobi","Marriage formation",10.8,"Women","Nairobi, 10.8%"
"280","Nairobi","Family reasons",16.2,"Women","Nairobi, 16.2%"
"281","Nairobi","Forced displacment",0.6,"Women","Nairobi, 0.6%"
"282","Nairobi","Other",0.6,"Women","Nairobi, 0.6%"
"283","Mombasa","Employment",66.1,"Men","Mombasa, 66.1%"
"284","Mombasa","Education/training",14.7,"Men","Mombasa, 14.7%"
"285","Mombasa","Marriage formation",0,"Men","Mombasa, 0%"
"286","Mombasa","Family reasons",18.8,"Men","Mombasa, 18.8%"
"287","Mombasa","Forced displacment",0,"Men","Mombasa, 0%"
"288","Mombasa","Other",0.3,"Men","Mombasa, 0.3%"
"289","Kwale","Employment",58.9,"Men","Kwale, 58.9%"
"290","Kwale","Education/training",9.2,"Men","Kwale, 9.2%"
"291","Kwale","Marriage formation",0,"Men","Kwale, 0%"
"292","Kwale","Family reasons",32,"Men","Kwale, 32%"
"293","Kwale","Forced displacment",0,"Men","Kwale, 0%"
"294","Kwale","Other",0,"Men","Kwale, 0%"
"295","Kilifi","Employment",63.7,"Men","Kilifi, 63.7%"
"296","Kilifi","Education/training",18.7,"Men","Kilifi, 18.7%"
"297","Kilifi","Marriage formation",0,"Men","Kilifi, 0%"
"298","Kilifi","Family reasons",16.4,"Men","Kilifi, 16.4%"
"299","Kilifi","Forced displacment",0,"Men","Kilifi, 0%"
"300","Kilifi","Other",1.2,"Men","Kilifi, 1.2%"
"301","Tana River","Employment",80.5,"Men","Tana River, 80.5%"
"302","Tana River","Education/training",3.1,"Men","Tana River, 3.1%"
"303","Tana River","Marriage formation",0,"Men","Tana River, 0%"
"304","Tana River","Family reasons",16.4,"Men","Tana River, 16.4%"
"305","Tana River","Forced displacment",0,"Men","Tana River, 0%"
"306","Tana River","Other",0,"Men","Tana River, 0%"
"307","Lamu","Employment",61,"Men","Lamu, 61%"
"308","Lamu","Education/training",6.3,"Men","Lamu, 6.3%"
"309","Lamu","Marriage formation",0.8,"Men","Lamu, 0.8%"
"310","Lamu","Family reasons",31.9,"Men","Lamu, 31.9%"
"311","Lamu","Forced displacment",0,"Men","Lamu, 0%"
"312","Lamu","Other",0,"Men","Lamu, 0%"
"313","Taita Taveta","Employment",56.9,"Men","Taita Taveta, 56.9%"
"314","Taita Taveta","Education/training",5.3,"Men","Taita Taveta, 5.3%"
"315","Taita Taveta","Marriage formation",0,"Men","Taita Taveta, 0%"
"316","Taita Taveta","Family reasons",32.3,"Men","Taita Taveta, 32.3%"
"317","Taita Taveta","Forced displacment",1.5,"Men","Taita Taveta, 1.5%"
"318","Taita Taveta","Other",3.9,"Men","Taita Taveta, 3.9%"
"319","Garissa","Employment",86.9,"Men","Garissa, 86.9%"
"320","Garissa","Education/training",6.1,"Men","Garissa, 6.1%"
"321","Garissa","Marriage formation",0,"Men","Garissa, 0%"
"322","Garissa","Family reasons",7,"Men","Garissa, 7%"
"323","Garissa","Forced displacment",0,"Men","Garissa, 0%"
"324","Garissa","Other",0,"Men","Garissa, 0%"
"325","Wajir","Employment",29.9,"Men","Wajir, 29.9%"
"326","Wajir","Education/training",22.5,"Men","Wajir, 22.5%"
"327","Wajir","Marriage formation",0.4,"Men","Wajir, 0.4%"
"328","Wajir","Family reasons",31.5,"Men","Wajir, 31.5%"
"329","Wajir","Forced displacment",10.5,"Men","Wajir, 10.5%"
"330","Wajir","Other",5.2,"Men","Wajir, 5.2%"
"331","Mandera","Employment",NA,"Men","Mandera, NA%"
"332","Mandera","Education/training",NA,"Men","Mandera, NA%"
"333","Mandera","Marriage formation",NA,"Men","Mandera, NA%"
"334","Mandera","Family reasons",NA,"Men","Mandera, NA%"
"335","Mandera","Forced displacment",NA,"Men","Mandera, NA%"
"336","Mandera","Other",NA,"Men","Mandera, NA%"
"337","Marsabit","Employment",NA,"Men","Marsabit, NA%"
"338","Marsabit","Education/training",NA,"Men","Marsabit, NA%"
"339","Marsabit","Marriage formation",NA,"Men","Marsabit, NA%"
"340","Marsabit","Family reasons",NA,"Men","Marsabit, NA%"
"341","Marsabit","Forced displacment",NA,"Men","Marsabit, NA%"
"342","Marsabit","Other",NA,"Men","Marsabit, NA%"
"343","Isiolo","Employment",69.8,"Men","Isiolo, 69.8%"
"344","Isiolo","Education/training",10.8,"Men","Isiolo, 10.8%"
"345","Isiolo","Marriage formation",0.9,"Men","Isiolo, 0.9%"
"346","Isiolo","Family reasons",16.8,"Men","Isiolo, 16.8%"
"347","Isiolo","Forced displacment",1.7,"Men","Isiolo, 1.7%"
"348","Isiolo","Other",0,"Men","Isiolo, 0%"
"349","Meru","Employment",55.1,"Men","Meru, 55.1%"
"350","Meru","Education/training",14.8,"Men","Meru, 14.8%"
"351","Meru","Marriage formation",0,"Men","Meru, 0%"
"352","Meru","Family reasons",30.1,"Men","Meru, 30.1%"
"353","Meru","Forced displacment",0,"Men","Meru, 0%"
"354","Meru","Other",0,"Men","Meru, 0%"
"355","Tharaka Nithi","Employment",43.2,"Men","Tharaka Nithi, 43.2%"
"356","Tharaka Nithi","Education/training",17.6,"Men","Tharaka Nithi, 17.6%"
"357","Tharaka Nithi","Marriage formation",0,"Men","Tharaka Nithi, 0%"
"358","Tharaka Nithi","Family reasons",37.2,"Men","Tharaka Nithi, 37.2%"
"359","Tharaka Nithi","Forced displacment",0,"Men","Tharaka Nithi, 0%"
"360","Tharaka Nithi","Other",2,"Men","Tharaka Nithi, 2%"
"361","Embu","Employment",60.3,"Men","Embu, 60.3%"
"362","Embu","Education/training",2.7,"Men","Embu, 2.7%"
"363","Embu","Marriage formation",2.6,"Men","Embu, 2.6%"
"364","Embu","Family reasons",34.4,"Men","Embu, 34.4%"
"365","Embu","Forced displacment",0,"Men","Embu, 0%"
"366","Embu","Other",0,"Men","Embu, 0%"
"367","Kitui","Employment",36.3,"Men","Kitui, 36.3%"
"368","Kitui","Education/training",51.7,"Men","Kitui, 51.7%"
"369","Kitui","Marriage formation",0,"Men","Kitui, 0%"
"370","Kitui","Family reasons",8.8,"Men","Kitui, 8.8%"
"371","Kitui","Forced displacment",0,"Men","Kitui, 0%"
"372","Kitui","Other",3.3,"Men","Kitui, 3.3%"
"373","Machakos","Employment",50.4,"Men","Machakos, 50.4%"
"374","Machakos","Education/training",15.6,"Men","Machakos, 15.6%"
"375","Machakos","Marriage formation",0.7,"Men","Machakos, 0.7%"
"376","Machakos","Family reasons",31.9,"Men","Machakos, 31.9%"
"377","Machakos","Forced displacment",0.8,"Men","Machakos, 0.8%"
"378","Machakos","Other",0.6,"Men","Machakos, 0.6%"
"379","Makueni","Employment",52.4,"Men","Makueni, 52.4%"
"380","Makueni","Education/training",20.5,"Men","Makueni, 20.5%"
"381","Makueni","Marriage formation",0,"Men","Makueni, 0%"
"382","Makueni","Family reasons",25.4,"Men","Makueni, 25.4%"
"383","Makueni","Forced displacment",0,"Men","Makueni, 0%"
"384","Makueni","Other",1.7,"Men","Makueni, 1.7%"
"385","Nyandarua","Employment",36.3,"Men","Nyandarua, 36.3%"
"386","Nyandarua","Education/training",8.5,"Men","Nyandarua, 8.5%"
"387","Nyandarua","Marriage formation",1.6,"Men","Nyandarua, 1.6%"
"388","Nyandarua","Family reasons",39.3,"Men","Nyandarua, 39.3%"
"389","Nyandarua","Forced displacment",14.2,"Men","Nyandarua, 14.2%"
"390","Nyandarua","Other",0,"Men","Nyandarua, 0%"
"391","Nyeri","Employment",60.3,"Men","Nyeri, 60.3%"
"392","Nyeri","Education/training",10.7,"Men","Nyeri, 10.7%"
"393","Nyeri","Marriage formation",0,"Men","Nyeri, 0%"
"394","Nyeri","Family reasons",27.3,"Men","Nyeri, 27.3%"
"395","Nyeri","Forced displacment",1.7,"Men","Nyeri, 1.7%"
"396","Nyeri","Other",0,"Men","Nyeri, 0%"
"397","Kirinyaga","Employment",76.3,"Men","Kirinyaga, 76.3%"
"398","Kirinyaga","Education/training",2.6,"Men","Kirinyaga, 2.6%"
"399","Kirinyaga","Marriage formation",0,"Men","Kirinyaga, 0%"
"400","Kirinyaga","Family reasons",21.1,"Men","Kirinyaga, 21.1%"
"401","Kirinyaga","Forced displacment",0,"Men","Kirinyaga, 0%"
"402","Kirinyaga","Other",0,"Men","Kirinyaga, 0%"
"403","Muranga","Employment",68.7,"Men","Muranga, 68.7%"
"404","Muranga","Education/training",5.7,"Men","Muranga, 5.7%"
"405","Muranga","Marriage formation",1.3,"Men","Muranga, 1.3%"
"406","Muranga","Family reasons",17.6,"Men","Muranga, 17.6%"
"407","Muranga","Forced displacment",1.4,"Men","Muranga, 1.4%"
