County,Category,Proportion,Characteristics
Uasin Gishu,3/+doses of SP/Fansidar,3.8,IPTp implementation not done
Elgeyo Marakwet,1/+doses of SP/Fansidar,9.4,IPTp implementation not done
Elgeyo Marakwet,2/+doses of SP/Fansidar,1.8,IPTp implementation not done
Elgeyo Marakwet,3/+doses of SP/Fansidar,0.3,IPTp implementation not done
Nandi,1/+doses of SP/Fansidar,21.9,IPTp implementation not done
Nandi,2/+doses of SP/Fansidar,20.5,IPTp implementation not done
Nandi,3/+doses of SP/Fansidar,20.5,IPTp implementation not done
Baringo,1/+doses of SP/Fansidar,12.5,IPTp implementation not done
Baringo,2/+doses of SP/Fansidar,5,IPTp implementation not done
Baringo,3/+doses of SP/Fansidar,3.5,IPTp implementation not done
Laikipia,1/+doses of SP/Fansidar,6.5,IPTp implementation not done
Laikipia,2/+doses of SP/Fansidar,1.6,IPTp implementation not done
Laikipia,3/+doses of SP/Fansidar,1.6,IPTp implementation not done
Nakuru,1/+doses of SP/Fansidar,12,IPTp implementation not done
Nakuru,2/+doses of SP/Fansidar,8.4,IPTp implementation not done
Nakuru,3/+doses of SP/Fansidar,2.2,IPTp implementation not done
Narok,1/+doses of SP/Fansidar,4.4,IPTp implementation not done
Narok,2/+doses of SP/Fansidar,1.9,IPTp implementation not done
Narok,3/+doses of SP/Fansidar,0,IPTp implementation not done
Kajiado,1/+doses of SP/Fansidar,11.7,IPTp implementation not done
Kajiado,2/+doses of SP/Fansidar,9.6,IPTp implementation not done
Kajiado,3/+doses of SP/Fansidar,7.2,IPTp implementation not done
Kericho,1/+doses of SP/Fansidar,11.1,IPTp implementation not done
Kericho,2/+doses of SP/Fansidar,9.8,IPTp implementation not done
Kericho,3/+doses of SP/Fansidar,5.2,IPTp implementation not done
Bomet,1/+doses of SP/Fansidar,5.1,IPTp implementation not done
Bomet,2/+doses of SP/Fansidar,1.5,IPTp implementation not done
Bomet,3/+doses of SP/Fansidar,1.5,IPTp implementation not done
Kisii,1/+doses of SP/Fansidar,16.6,IPTp implementation not done
Kisii,2/+doses of SP/Fansidar,12.5,IPTp implementation not done
Kisii,3/+doses of SP/Fansidar,11.2,IPTp implementation not done
Nyamira,1/+doses of SP/Fansidar,6.8,IPTp implementation not done
Nyamira,2/+doses of SP/Fansidar,2.1,IPTp implementation not done
Nyamira,3/+doses of SP/Fansidar,2.1,IPTp implementation not done
Nairobi,1/+doses of SP/Fansidar,18.1,IPTp implementation not done
Nairobi,2/+doses of SP/Fansidar,9.8,IPTp implementation not done
Nairobi,3/+doses of SP/Fansidar,5.9,IPTp implementation not done
