"","County","Reason","Proportion","Names","proportion_groups"
"35","Mandera","No mosquitoes/malaria",NA,"Mandera, NA%",NA
"36","Mandera","Extra net/saving for later",NA,"Mandera, NA%",NA
"37","Marsabit","Too hot",44.8,"Marsabit, 44.8%",">10"
"38","Marsabit","User didn't sleep in household",0,"Marsabit, 0%","< 1"
"39","Marsabit","No mosquitoes/malaria",44,"Marsabit, 44%",">10"
"40","Marsabit","Extra net/saving for later",7.4,"Marsabit, 7.4%",">2-10"
"41","Isiolo","Too hot",7.2,"Isiolo, 7.2%",">2-10"
"42","Isiolo","User didn't sleep in household",16.5,"Isiolo, 16.5%",">10"
"43","Isiolo","No mosquitoes/malaria",41.9,"Isiolo, 41.9%",">10"
"44","Isiolo","Extra net/saving for later",18,"Isiolo, 18%",">10"
"45","Meru","Too hot",4.5,"Meru, 4.5%",">2-10"
"46","Meru","User didn't sleep in household",20.9,"Meru, 20.9%",">10"
"47","Meru","No mosquitoes/malaria",22.3,"Meru, 22.3%",">10"
"48","Meru","Extra net/saving for later",26.3,"Meru, 26.3%",">10"
"49","Tharaka Nithi","Too hot",4.9,"Tharaka Nithi, 4.9%",">2-10"
"50","Tharaka Nithi","User didn't sleep in household",29.2,"Tharaka Nithi, 29.2%",">10"
"51","Tharaka Nithi","No mosquitoes/malaria",8,"Tharaka Nithi, 8%",">2-10"
"52","Tharaka Nithi","Extra net/saving for later",34.3,"Tharaka Nithi, 34.3%",">10"
"53","Embu","Too hot",6,"Embu, 6%",">2-10"
"54","Embu","User didn't sleep in household",37.8,"Embu, 37.8%",">10"
"55","Embu","No mosquitoes/malaria",15.3,"Embu, 15.3%",">10"
"56","Embu","Extra net/saving for later",32.9,"Embu, 32.9%",">10"
"57","Kitui","Too hot",24.2,"Kitui, NA%",NA
"58","Kitui","User didn't sleep in household",9.2,"Kitui, NA%",NA
"59","Kitui","No mosquitoes/malaria",28.2,"Kitui, NA%",NA
"60","Kitui","Extra net/saving for later",21.1,"Kitui, NA%",NA
"61","Machakos","Too hot",5.7,"Machakos, 5.7%",">2-10"
"62","Machakos","User didn't sleep in household",32.3,"Machakos, 32.3%",">10"
"63","Machakos","No mosquitoes/malaria",20.6,"Machakos, 20.6%",">10"
"64","Machakos","Extra net/saving for later",37.7,"Machakos, 37.7%",">10"
"65","Makueni","Too hot",10.4,"Makueni, 10.4%",">10"
"66","Makueni","User didn't sleep in household",26.6,"Makueni, 26.6%",">10"
"67","Makueni","No mosquitoes/malaria",30.1,"Makueni, 30.1%",">10"
"68","Makueni","Extra net/saving for later",24.8,"Makueni, 24.8%",">10"
"69","Nyandarua","Too hot",0,"Nyandarua, 0%","< 1"
"70","Nyandarua","User didn't sleep in household",11.5,"Nyandarua, 11.5%",">10"
"71","Nyandarua","No mosquitoes/malaria",34.9,"Nyandarua, 34.9%",">10"
"72","Nyandarua","Extra net/saving for later",25.1,"Nyandarua, 25.1%",">10"
"73","Nyeri","Too hot",6,"Nyeri, 6%",">2-10"
"74","Nyeri","User didn't sleep in household",8,"Nyeri, 8%",">2-10"
"75","Nyeri","No mosquitoes/malaria",54.8,"Nyeri, 54.8%",">10"
"76","Nyeri","Extra net/saving for later",11.9,"Nyeri, 11.9%",">10"
"77","Kirinyaga","Too hot",4.3,"Kirinyaga, 4.3%",">2-10"
"78","Kirinyaga","User didn't sleep in household",9.1,"Kirinyaga, 9.1%",">2-10"
"79","Kirinyaga","No mosquitoes/malaria",14.9,"Kirinyaga, 14.9%",">10"
"80","Kirinyaga","Extra net/saving for later",65.1,"Kirinyaga, 65.1%",">10"
"81","Muranga","Too hot",5.4,"Muranga, 5.4%",">2-10"
"82","Muranga","User didn't sleep in household",12.7,"Muranga, 12.7%",">10"
"83","Muranga","No mosquitoes/malaria",37.8,"Muranga, 37.8%",">10"
"84","Muranga","Extra net/saving for later",33.6,"Muranga, 33.6%",">10"
"85","Kiambu","Too hot",5.2,"Kiambu, 5.2%",">2-10"
"86","Kiambu","User didn't sleep in household",12.5,"Kiambu, 12.5%",">10"
"87","Kiambu","No mosquitoes/malaria",31.6,"Kiambu, 31.6%",">10"
"88","Kiambu","Extra net/saving for later",29.5,"Kiambu, 29.5%",">10"
"89","Turkana","Too hot",7.1,"Turkana, 7.1%",">2-10"
"90","Turkana","User didn't sleep in household",11.4,"Turkana, 11.4%",">10"
"91","Turkana","No mosquitoes/malaria",37.9,"Turkana, 37.9%",">10"
"92","Turkana","Extra net/saving for later",26.7,"Turkana, 26.7%",">10"
"93","West Pokot","Too hot",6.5,"West Pokot, 6.5%",">2-10"
"94","West Pokot","User didn't sleep in household",9.1,"West Pokot, 9.1%",">2-10"
"95","West Pokot","No mosquitoes/malaria",15.1,"West Pokot, 15.1%",">10"
"96","West Pokot","Extra net/saving for later",43.4,"West Pokot, 43.4%",">10"
"97","Samburu","Too hot",17.7,"Samburu, 17.7%",">10"
"98","Samburu","User didn't sleep in household",11.3,"Samburu, 11.3%",">10"
"99","Samburu","No mosquitoes/malaria",49.1,"Samburu, 49.1%",">10"
"100","Samburu","Extra net/saving for later",2.2,"Samburu, 2.2%",">2-10"
"101","Trans Nzoia","Too hot",2.4,"Trans Nzoia, 2.4%",">2-10"
"102","Trans Nzoia","User didn't sleep in household",7.7,"Trans Nzoia, 7.7%",">2-10"
"103","Trans Nzoia","No mosquitoes/malaria",3.9,"Trans Nzoia, 3.9%",">2-10"
"104","Trans Nzoia","Extra net/saving for later",69.3,"Trans Nzoia, 69.3%",">10"
"105","Uasin Gishu","Too hot",1.8,"Uasin Gishu, 1.8%","1-2"
"106","Uasin Gishu","User didn't sleep in household",12.3,"Uasin Gishu, 12.3%",">10"
"107","Uasin Gishu","No mosquitoes/malaria",9.5,"Uasin Gishu, 9.5%",">2-10"
"108","Uasin Gishu","Extra net/saving for later",65.8,"Uasin Gishu, 65.8%",">10"
"109","Elgeyo Marakwet","Too hot",9.1,"Elgeyo Marakwet, 9.1%",">2-10"
"110","Elgeyo Marakwet","User didn't sleep in household",12.3,"Elgeyo Marakwet, 12.3%",">10"
"111","Elgeyo Marakwet","No mosquitoes/malaria",56.4,"Elgeyo Marakwet, 56.4%",">10"
"112","Elgeyo Marakwet","Extra net/saving for later",15.6,"Elgeyo Marakwet, 15.6%",">10"
"113","Nandi","Too hot",3.1,"Nandi, 3.1%",">2-10"
"114","Nandi","User didn't sleep in household",9.9,"Nandi, 9.9%",">2-10"
"115","Nandi","No mosquitoes/malaria",5.6,"Nandi, 5.6%",">2-10"
"116","Nandi","Extra net/saving for later",62.8,"Nandi, 62.8%",">10"
"117","Baringo","Too hot",4.2,"Baringo, 4.2%",">2-10"
"118","Baringo","User didn't sleep in household",9.7,"Baringo, 9.7%",">2-10"
"119","Baringo","No mosquitoes/malaria",25.2,"Baringo, 25.2%",">10"
"120","Baringo","Extra net/saving for later",39.8,"Baringo, 39.8%",">10"
"121","Laikipia","Too hot",3.5,"Laikipia, 3.5%",">2-10"
"122","Laikipia","User didn't sleep in household",22,"Laikipia, 22%",">10"
"123","Laikipia","No mosquitoes/malaria",33.4,"Laikipia, 33.4%",">10"
"124","Laikipia","Extra net/saving for later",19.4,"Laikipia, 19.4%",">10"
"125","Nakuru","Too hot",16.4,"Nakuru, 16.4%",">10"
"126","Nakuru","User didn't sleep in household",14.7,"Nakuru, 14.7%",">10"
"127","Nakuru","No mosquitoes/malaria",41.6,"Nakuru, 41.6%",">10"
"128","Nakuru","Extra net/saving for later",13.4,"Nakuru, 13.4%",">10"
"129","Narok","Too hot",1.4,"Narok, 1.4%","1-2"
"130","Narok","User didn't sleep in household",10.1,"Narok, 10.1%",">10"
"131","Narok","No mosquitoes/malaria",12.9,"Narok, 12.9%",">10"
"132","Narok","Extra net/saving for later",59.9,"Narok, 59.9%",">10"
"133","Kajiado","Too hot",10.3,"Kajiado, 10.3%",">10"
"134","Kajiado","User didn't sleep in household",9,"Kajiado, 9%",">2-10"
"135","Kajiado","No mosquitoes/malaria",21.4,"Kajiado, 21.4%",">10"
"136","Kajiado","Extra net/saving for later",39.2,"Kajiado, 39.2%",">10"
"137","Kericho","Too hot",1,"Kericho, 1%","1-2"
"138","Kericho","User didn't sleep in household",12.8,"Kericho, 12.8%",">10"
"139","Kericho","No mosquitoes/malaria",1.7,"Kericho, 1.7%","1-2"
"140","Kericho","Extra net/saving for later",77.7,"Kericho, 77.7%",">10"
"141","Bomet","Too hot",0.7,"Bomet, 0.7%","< 1"
"142","Bomet","User didn't sleep in household",9.3,"Bomet, 9.3%",">2-10"
"143","Bomet","No mosquitoes/malaria",4.9,"Bomet, 4.9%",">2-10"
"144","Bomet","Extra net/saving for later",76.1,"Bomet, 76.1%",">10"
"145","Kakamega","Too hot",1.1,"Kakamega, 1.1%","1-2"
"146","Kakamega","User didn't sleep in household",6.3,"Kakamega, 6.3%",">2-10"
"147","Kakamega","No mosquitoes/malaria",2.7,"Kakamega, 2.7%",">2-10"
"148","Kakamega","Extra net/saving for later",67.4,"Kakamega, 67.4%",">10"
"149","Vihiga","Too hot",2,"Vihiga, 2%","1-2"
"150","Vihiga","User didn't sleep in household",18.5,"Vihiga, 18.5%",">10"
"151","Vihiga","No mosquitoes/malaria",0.7,"Vihiga, 0.7%","< 1"
"152","Vihiga","Extra net/saving for later",66.4,"Vihiga, 66.4%",">10"
"153","Bungoma","Too hot",2,"Bungoma, 2%","1-2"
"154","Bungoma","User didn't sleep in household",9,"Bungoma, 9%",">2-10"
"155","Bungoma","No mosquitoes/malaria",1.7,"Bungoma, 1.7%","1-2"
"156","Bungoma","Extra net/saving for later",72.8,"Bungoma, 72.8%",">10"
"157","Busia","Too hot",1.3,"Busia, 1.3%","1-2"
"158","Busia","User didn't sleep in household",7.1,"Busia, 7.1%",">2-10"
"159","Busia","No mosquitoes/malaria",3.3,"Busia, 3.3%",">2-10"
"160","Busia","Extra net/saving for later",81.2,"Busia, 81.2%",">10"
"161","Siaya","Too hot",0.6,"Siaya, 0.6%","< 1"
"162","Siaya","User didn't sleep in household",11.8,"Siaya, 11.8%",">10"
"163","Siaya","No mosquitoes/malaria",1.5,"Siaya, 1.5%","1-2"
"164","Siaya","Extra net/saving for later",80.6,"Siaya, 80.6%",">10"
"165","Kisumu","Too hot",3.9,"Kisumu, 3.9%",">2-10"
"166","Kisumu","User didn't sleep in household",7.2,"Kisumu, 7.2%",">2-10"
"167","Kisumu","No mosquitoes/malaria",4.9,"Kisumu, 4.9%",">2-10"
"168","Kisumu","Extra net/saving for later",73.8,"Kisumu, 73.8%",">10"
"169","Homa Bay","Too hot",0.5,"Homa Bay, 0.5%","< 1"
"170","Homa Bay","User didn't sleep in household",10.8,"Homa Bay, 10.8%",">10"
"171","Homa Bay","No mosquitoes/malaria",3.7,"Homa Bay, 3.7%",">2-10"
"172","Homa Bay","Extra net/saving for later",67.5,"Homa Bay, 67.5%",">10"
"173","Migori","Too hot",1.3,"Migori, 1.3%","1-2"
"174","Migori","User didn't sleep in household",15.5,"Migori, 15.5%",">10"
"175","Migori","No mosquitoes/malaria",0.9,"Migori, 0.9%","< 1"
"176","Migori","Extra net/saving for later",71.9,"Migori, 71.9%",">10"
"177","Kisii","Too hot",0.8,"Kisii, 0.8%","< 1"
"178","Kisii","User didn't sleep in household",13.3,"Kisii, 13.3%",">10"
"179","Kisii","No mosquitoes/malaria",2.1,"Kisii, 2.1%",">2-10"
"180","Kisii","Extra net/saving for later",77.7,"Kisii, 77.7%",">10"
"181","Nyamira","Too hot",0.2,"Nyamira, 0.2%","< 1"
"182","Nyamira","User didn't sleep in household",17.7,"Nyamira, 17.7%",">10"
"183","Nyamira","No mosquitoes/malaria",1,"Nyamira, 1%","1-2"
"184","Nyamira","Extra net/saving for later",74.4,"Nyamira, 74.4%",">10"
"185","Nairobi","Too hot",8.6,"Nairobi, 8.6%",">2-10"
"186","Nairobi","User didn't sleep in household",17.2,"Nairobi, 17.2%",">10"
"187","Nairobi","No mosquitoes/malaria",24.2,"Nairobi, 24.2%",">10"
"188","Nairobi","Extra net/saving for later",24.3,"Nairobi, 24.3%",">10"
