Value,Category,Proportion,Background characteristics
Middle,Govt Health Facility,1.4,Wealth quintile
Middle,Private Health Facility,0.3,Wealth quintile
Middle,Pharmacy,0.3,Wealth quintile
Middle,Shop/market,7,Wealth quintile
Middle,Community Health Worker,0,Wealth quintile
Middle,Religious institution,0,Wealth quintile
Middle,School,0.1,Wealth quintile
Middle,Other,1.8,Wealth quintile
Fourth,Mass distribution campaign,66.3,Wealth quintile
Fourth,ANC visit,11,Wealth quintile
Fourth,Immunization visit,3.6,Wealth quintile
Fourth,Govt Health Facility,1.8,Wealth quintile
Fourth,Private Health Facility,0.1,Wealth quintile
Fourth,Pharmacy,0.4,Wealth quintile
Fourth,Shop/market,13.1,Wealth quintile
Fourth,Community Health Worker,0,Wealth quintile
Fourth,Religious institution,0.1,Wealth quintile
Fourth,School,0.1,Wealth quintile
Fourth,Other,2.9,Wealth quintile
Highest,Mass distribution campaign,41.5,Wealth quintile
Highest,ANC visit,13.5,Wealth quintile
Highest,Immunization visit,3.4,Wealth quintile
Highest,Govt Health Facility,1.9,Wealth quintile
Highest,Private Health Facility,0.3,Wealth quintile
Highest,Pharmacy,0.6,Wealth quintile
Highest,Shop/market,35.4,Wealth quintile
Highest,Community Health Worker,0,Wealth quintile
Highest,Religious institution,0,Wealth quintile
Highest,School,0.1,Wealth quintile
Highest,Other,2.9,Wealth quintile
