County,Category,Proportion,Participants,Names
Uasin Gishu,Taking meds to control BP,23.8,Women,"Uasin Gishu, 23.8%"
Elgeyo Marakwet,Diagnosed with HBP/Hypertension,7.6,Women,"Elgeyo Marakwet, 7.6%"
Elgeyo Marakwet,Taking meds to control BP,NA,Women,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with HBP/Hypertension,5.1,Women,"Nandi, 5.1%"
Nandi,Taking meds to control BP,NA,Women,"Nandi, NA%"
Baringo,Diagnosed with HBP/Hypertension,8.3,Women,"Baringo, 8.3%"
Baringo,Taking meds to control BP,25.8,Women,"Baringo, 25.8%"
Laikipia,Diagnosed with HBP/Hypertension,15.6,Women,"Laikipia, 15.6%"
Laikipia,Taking meds to control BP,33.6,Women,"Laikipia, 33.6%"
Nakuru,Diagnosed with HBP/Hypertension,8.6,Women,"Nakuru, 8.6%"
Nakuru,Taking meds to control BP,23.3,Women,"Nakuru, 23.3%"
Narok,Diagnosed with HBP/Hypertension,5,Women,"Narok, 5%"
Narok,Taking meds to control BP,NA,Women,"Narok, NA%"
Kajiado,Diagnosed with HBP/Hypertension,13.1,Women,"Kajiado, 13.1%"
Kajiado,Taking meds to control BP,30.6,Women,"Kajiado, 30.6%"
Kericho,Diagnosed with HBP/Hypertension,7.1,Women,"Kericho, 7.1%"
Kericho,Taking meds to control BP,39.7,Women,"Kericho, 39.7%"
Bomet,Diagnosed with HBP/Hypertension,7.3,Women,"Bomet, 7.3%"
Bomet,Taking meds to control BP,18.5,Women,"Bomet, 18.5%"
Kakamega,Diagnosed with HBP/Hypertension,8.6,Women,"Kakamega, 8.6%"
Kakamega,Taking meds to control BP,30.5,Women,"Kakamega, 30.5%"
Vihiga,Diagnosed with HBP/Hypertension,7.5,Women,"Vihiga, 7.5%"
Vihiga,Taking meds to control BP,16.9,Women,"Vihiga, 16.9%"
Bungoma,Diagnosed with HBP/Hypertension,9.8,Women,"Bungoma, 9.8%"
Bungoma,Taking meds to control BP,50.3,Women,"Bungoma, 50.3%"
Busia,Diagnosed with HBP/Hypertension,3.4,Women,"Busia, 3.4%"
Busia,Taking meds to control BP,NA,Women,"Busia, NA%"
Siaya,Diagnosed with HBP/Hypertension,3.4,Women,"Siaya, 3.4%"
Siaya,Taking meds to control BP,NA,Women,"Siaya, NA%"
Kisumu,Diagnosed with HBP/Hypertension,8.9,Women,"Kisumu, 8.9%"
Kisumu,Taking meds to control BP,26.3,Women,"Kisumu, 26.3%"
Homa Bay,Diagnosed with HBP/Hypertension,10.3,Women,"Homa Bay, 10.3%"
Homa Bay,Taking meds to control BP,28.2,Women,"Homa Bay, 28.2%"
Migori,Diagnosed with HBP/Hypertension,7.2,Women,"Migori, 7.2%"
Migori,Taking meds to control BP,58.9,Women,"Migori, 58.9%"
Kisii,Diagnosed with HBP/Hypertension,3.6,Women,"Kisii, 3.6%"
Kisii,Taking meds to control BP,NA,Women,"Kisii, NA%"
Nyamira,Diagnosed with HBP/Hypertension,6.1,Women,"Nyamira, 6.1%"
Nyamira,Taking meds to control BP,NA,Women,"Nyamira, NA%"
Nairobi,Diagnosed with HBP/Hypertension,10.7,Women,"Nairobi, 10.7%"
Nairobi,Taking meds to control BP,41.6,Women,"Nairobi, 41.6%"
Mombasa,Diagnosed with HBP/Hypertension,3.6,Men,"Mombasa, 3.6%"
Mombasa,Taking meds to control BP,NA,Men,"Mombasa, NA%"
Kwale,Diagnosed with HBP/Hypertension,1.6,Men,"Kwale, 1.6%"
Kwale,Taking meds to control BP,NA,Men,"Kwale, NA%"
Kilifi,Diagnosed with HBP/Hypertension,3.7,Men,"Kilifi, 3.7%"
Kilifi,Taking meds to control BP,NA,Men,"Kilifi, NA%"
Tana River,Diagnosed with HBP/Hypertension,3.8,Men,"Tana River, 3.8%"
Tana River,Taking meds to control BP,NA,Men,"Tana River, NA%"
Lamu,Diagnosed with HBP/Hypertension,3.9,Men,"Lamu, 3.9%"
Lamu,Taking meds to control BP,NA,Men,"Lamu, NA%"
Taita Taveta,Diagnosed with HBP/Hypertension,4.6,Men,"Taita Taveta, 4.6%"
Taita Taveta,Taking meds to control BP,NA,Men,"Taita Taveta, NA%"
Garissa,Diagnosed with HBP/Hypertension,1.5,Men,"Garissa, 1.5%"
Garissa,Taking meds to control BP,NA,Men,"Garissa, NA%"
Wajir,Diagnosed with HBP/Hypertension,2,Men,"Wajir, 2%"
Wajir,Taking meds to control BP,NA,Men,"Wajir, NA%"
Mandera,Diagnosed with HBP/Hypertension,0.8,Men,"Mandera, 0.8%"
Mandera,Taking meds to control BP,NA,Men,"Mandera, NA%"
Marsabit,Diagnosed with HBP/Hypertension,2.5,Men,"Marsabit, 2.5%"
Marsabit,Taking meds to control BP,NA,Men,"Marsabit, NA%"
Isiolo,Diagnosed with HBP/Hypertension,2.5,Men,"Isiolo, 2.5%"
Isiolo,Taking meds to control BP,NA,Men,"Isiolo, NA%"
Meru,Diagnosed with HBP/Hypertension,4.4,Men,"Meru, 4.4%"
Meru,Taking meds to control BP,NA,Men,"Meru, NA%"
Tharaka Nithi,Diagnosed with HBP/Hypertension,4.4,Men,"Tharaka Nithi, 4.4%"
Tharaka Nithi,Taking meds to control BP,NA,Men,"Tharaka Nithi, NA%"
Embu,Diagnosed with HBP/Hypertension,5.9,Men,"Embu, 5.9%"
Embu,Taking meds to control BP,NA,Men,"Embu, NA%"
Kitui,Diagnosed with HBP/Hypertension,0.7,Men,"Kitui, 0.7%"
Kitui,Taking meds to control BP,NA,Men,"Kitui, NA%"
Machakos,Diagnosed with HBP/Hypertension,1.2,Men,"Machakos, 1.2%"
Machakos,Taking meds to control BP,NA,Men,"Machakos, NA%"
Makueni,Diagnosed with HBP/Hypertension,0.7,Men,"Makueni, 0.7%"
Makueni,Taking meds to control BP,NA,Men,"Makueni, NA%"
Nyandarua,Diagnosed with HBP/Hypertension,5.4,Men,"Nyandarua, 5.4%"
Nyandarua,Taking meds to control BP,NA,Men,"Nyandarua, NA%"
Nyeri,Diagnosed with HBP/Hypertension,5,Men,"Nyeri, 5%"
Nyeri,Taking meds to control BP,NA,Men,"Nyeri, NA%"
Kirinyaga,Diagnosed with HBP/Hypertension,1.9,Men,"Kirinyaga, 1.9%"
Kirinyaga,Taking meds to control BP,NA,Men,"Kirinyaga, NA%"
Muranga,Diagnosed with HBP/Hypertension,3.1,Men,"Muranga, 3.1%"
Muranga,Taking meds to control BP,NA,Men,"Muranga, NA%"
Kiambu,Diagnosed with HBP/Hypertension,3.1,Men,"Kiambu, 3.1%"
Kiambu,Taking meds to control BP,NA,Men,"Kiambu, NA%"
Turkana,Diagnosed with HBP/Hypertension,4.4,Men,"Turkana, 4.4%"
Turkana,Taking meds to control BP,NA,Men,"Turkana, NA%"
West Pokot,Diagnosed with HBP/Hypertension,1,Men,"West Pokot, 1%"
West Pokot,Taking meds to control BP,NA,Men,"West Pokot, NA%"
Samburu,Diagnosed with HBP/Hypertension,4.7,Men,"Samburu, 4.7%"
Samburu,Taking meds to control BP,NA,Men,"Samburu, NA%"
Trans Nzoia,Diagnosed with HBP/Hypertension,1.4,Men,"Trans Nzoia, 1.4%"
Trans Nzoia,Taking meds to control BP,NA,Men,"Trans Nzoia, NA%"
Uasin Gishu,Diagnosed with HBP/Hypertension,2.8,Men,"Uasin Gishu, 2.8%"
Uasin Gishu,Taking meds to control BP,NA,Men,"Uasin Gishu, NA%"
Elgeyo Marakwet,Diagnosed with HBP/Hypertension,0.6,Men,"Elgeyo Marakwet, 0.6%"
Elgeyo Marakwet,Taking meds to control BP,NA,Men,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with HBP/Hypertension,2.7,Men,"Nandi, 2.7%"
Nandi,Taking meds to control BP,NA,Men,"Nandi, NA%"
Baringo,Diagnosed with HBP/Hypertension,4,Men,"Baringo, 4%"
Baringo,Taking meds to control BP,NA,Men,"Baringo, NA%"
Laikipia,Diagnosed with HBP/Hypertension,4.4,Men,"Laikipia, 4.4%"
Laikipia,Taking meds to control BP,NA,Men,"Laikipia, NA%"
Nakuru,Diagnosed with HBP/Hypertension,1.2,Men,"Nakuru, 1.2%"
Nakuru,Taking meds to control BP,NA,Men,"Nakuru, NA%"
Narok,Diagnosed with HBP/Hypertension,3,Men,"Narok, 3%"
Narok,Taking meds to control BP,NA,Men,"Narok, NA%"
Kajiado,Diagnosed with HBP/Hypertension,2.5,Men,"Kajiado, 2.5%"
Kajiado,Taking meds to control BP,NA,Men,"Kajiado, NA%"
Kericho,Diagnosed with HBP/Hypertension,2.2,Men,"Kericho, 2.2%"
Kericho,Taking meds to control BP,NA,Men,"Kericho, NA%"
Bomet,Diagnosed with HBP/Hypertension,1.2,Men,"Bomet, 1.2%"
Bomet,Taking meds to control BP,NA,Men,"Bomet, NA%"
Kakamega,Diagnosed with HBP/Hypertension,2.1,Men,"Kakamega, 2.1%"
Kakamega,Taking meds to control BP,NA,Men,"Kakamega, NA%"
Vihiga,Diagnosed with HBP/Hypertension,5,Men,"Vihiga, 5%"
Vihiga,Taking meds to control BP,NA,Men,"Vihiga, NA%"
Bungoma,Diagnosed with HBP/Hypertension,2.6,Men,"Bungoma, 2.6%"
Bungoma,Taking meds to control BP,NA,Men,"Bungoma, NA%"
Busia,Diagnosed with HBP/Hypertension,3,Men,"Busia, 3%"
Busia,Taking meds to control BP,NA,Men,"Busia, NA%"
Siaya,Diagnosed with HBP/Hypertension,2.2,Men,"Siaya, 2.2%"
Siaya,Taking meds to control BP,NA,Men,"Siaya, NA%"
Kisumu,Diagnosed with HBP/Hypertension,2.1,Men,"Kisumu, 2.1%"
Kisumu,Taking meds to control BP,NA,Men,"Kisumu, NA%"
Homa Bay,Diagnosed with HBP/Hypertension,5.8,Men,"Homa Bay, 5.8%"
Homa Bay,Taking meds to control BP,NA,Men,"Homa Bay, NA%"
Migori,Diagnosed with HBP/Hypertension,3.8,Men,"Migori, 3.8%"
Migori,Taking meds to control BP,NA,Men,"Migori, NA%"
Kisii,Diagnosed with HBP/Hypertension,1.9,Men,"Kisii, 1.9%"
Kisii,Taking meds to control BP,NA,Men,"Kisii, NA%"
Nyamira,Diagnosed with HBP/Hypertension,3.9,Men,"Nyamira, 3.9%"
Nyamira,Taking meds to control BP,NA,Men,"Nyamira, NA%"
Nairobi,Diagnosed with HBP/Hypertension,4.3,Men,"Nairobi, 4.3%"
Nairobi,Taking meds to control BP,NA,Men,"Nairobi, NA%"
