"","county","category","proportion","proportion_groups"
"138","Elgeyo Marakwet","Infant mortality",32,">26-38"
"139","Elgeyo Marakwet","Child mortality",1,"≤ 8"
"140","Elgeyo Marakwet","Under 5 mortality",33,">26-38"
"141","Nandi","Neonatal mortality",24,">17-26"
"142","Nandi","Post neonatal mortality",9,">8-17"
"143","Nandi","Infant mortality",33,">26-38"
"144","Nandi","Child mortality",7,"≤ 8"
"145","Nandi","Under 5 mortality",39,">38"
"146","Baringo","Neonatal mortality",33,">26-38"
"147","Baringo","Post neonatal mortality",17,">8-17"
"148","Baringo","Infant mortality",50,">38"
"149","Baringo","Child mortality",5,"≤ 8"
"150","Baringo","Under 5 mortality",55,">38"
"151","Laikipia","Neonatal mortality",20,">17-26"
"152","Laikipia","Post neonatal mortality",23,">17-26"
"153","Laikipia","Infant mortality",44,">38"
"154","Laikipia","Child mortality",7,"≤ 8"
"155","Laikipia","Under 5 mortality",50,">38"
"156","Nakuru","Neonatal mortality",25,">17-26"
"157","Nakuru","Post neonatal mortality",16,">8-17"
"158","Nakuru","Infant mortality",41,">38"
"159","Nakuru","Child mortality",10,">8-17"
"160","Nakuru","Under 5 mortality",51,">38"
"161","Narok","Neonatal mortality",16,">8-17"
"162","Narok","Post neonatal mortality",8,"≤ 8"
"163","Narok","Infant mortality",24,">17-26"
"164","Narok","Child mortality",2,"≤ 8"
"165","Narok","Under 5 mortality",26,">17-26"
"166","Kajiado","Neonatal mortality",14,">8-17"
"167","Kajiado","Post neonatal mortality",12,">8-17"
"168","Kajiado","Infant mortality",25,">17-26"
"169","Kajiado","Child mortality",7,"≤ 8"
"170","Kajiado","Under 5 mortality",32,">26-38"
"171","Kericho","Neonatal mortality",17,">8-17"
"172","Kericho","Post neonatal mortality",8,"≤ 8"
"173","Kericho","Infant mortality",25,">17-26"
"174","Kericho","Child mortality",7,"≤ 8"
"175","Kericho","Under 5 mortality",31,">26-38"
"176","Bomet","Neonatal mortality",17,">8-17"
"177","Bomet","Post neonatal mortality",9,">8-17"
"178","Bomet","Infant mortality",26,">17-26"
"179","Bomet","Child mortality",3,"≤ 8"
"180","Bomet","Under 5 mortality",28,">26-38"
"181","Kakamega","Neonatal mortality",16,">8-17"
"182","Kakamega","Post neonatal mortality",11,">8-17"
"183","Kakamega","Infant mortality",28,">26-38"
"184","Kakamega","Child mortality",18,">17-26"
"185","Kakamega","Under 5 mortality",45,">38"
"186","Vihiga","Neonatal mortality",16,">8-17"
"187","Vihiga","Post neonatal mortality",18,">17-26"
"188","Vihiga","Infant mortality",34,">26-38"
"189","Vihiga","Child mortality",17,">8-17"
"190","Vihiga","Under 5 mortality",51,">38"
"191","Bungoma","Neonatal mortality",25,">17-26"
"192","Bungoma","Post neonatal mortality",15,">8-17"
"193","Bungoma","Infant mortality",39,">38"
"194","Bungoma","Child mortality",16,">8-17"
"195","Bungoma","Under 5 mortality",55,">38"
"196","Busia","Neonatal mortality",22,">17-26"
"197","Busia","Post neonatal mortality",12,">8-17"
"198","Busia","Infant mortality",34,">26-38"
"199","Busia","Child mortality",20,">17-26"
"200","Busia","Under 5 mortality",53,">38"
"201","Siaya","Neonatal mortality",24,">17-26"
"202","Siaya","Post neonatal mortality",22,">17-26"
"203","Siaya","Infant mortality",45,">38"
"204","Siaya","Child mortality",19,">17-26"
"205","Siaya","Under 5 mortality",63,">38"
"206","Kisumu","Neonatal mortality",21,">17-26"
"207","Kisumu","Post neonatal mortality",19,">17-26"
"208","Kisumu","Infant mortality",40,">38"
"209","Kisumu","Child mortality",5,"≤ 8"
"210","Kisumu","Under 5 mortality",45,">38"
"211","Homa Bay","Neonatal mortality",32,">26-38"
"212","Homa Bay","Post neonatal mortality",11,">8-17"
"213","Homa Bay","Infant mortality",42,">38"
"214","Homa Bay","Child mortality",20,">17-26"
"215","Homa Bay","Under 5 mortality",61,">38"
"216","Migori","Neonatal mortality",37,">26-38"
"217","Migori","Post neonatal mortality",16,">8-17"
"218","Migori","Infant mortality",53,">38"
"219","Migori","Child mortality",21,">17-26"
"220","Migori","Under 5 mortality",73,">38"
"221","Kisii","Neonatal mortality",21,">17-26"
"222","Kisii","Post neonatal mortality",3,"≤ 8"
"223","Kisii","Infant mortality",24,">17-26"
"224","Kisii","Child mortality",16,">8-17"
"225","Kisii","Under 5 mortality",40,">38"
"226","Nyamira","Neonatal mortality",27,">26-38"
"227","Nyamira","Post neonatal mortality",4,"≤ 8"
"228","Nyamira","Infant mortality",31,">26-38"
"229","Nyamira","Child mortality",12,">8-17"
"230","Nyamira","Under 5 mortality",42,">38"
"231","Nairobi","Neonatal mortality",20,">17-26"
"232","Nairobi","Post neonatal mortality",20,">17-26"
"233","Nairobi","Infant mortality",40,">38"
"234","Nairobi","Child mortality",4,"≤ 8"
"235","Nairobi","Under 5 mortality",44,">38"
