County,Category,Proportion,Participants,Names,proportion_groups
Turkana,Diagnosed with Depression,3.9,Women,"Turkana, 3.9%",>3-5
Turkana,Receiving treatment,NA,Women,"Turkana, NA%",NA
West Pokot,Diagnosed with Depression,4.2,Women,"West Pokot, 4.2%",>3-5
West Pokot,Receiving treatment,NA,Women,"West Pokot, NA%",NA
Samburu,Diagnosed with Depression,0.4,Women,"Samburu, 0.4%",≤ 1
Samburu,Receiving treatment,NA,Women,"Samburu, NA%",NA
Trans Nzoia,Diagnosed with Depression,2.8,Women,"Trans Nzoia, 2.8%",>2-3
Trans Nzoia,Receiving treatment,NA,Women,"Trans Nzoia, NA%",NA
Uasin Gishu,Diagnosed with Depression,7.8,Women,"Uasin Gishu, 7.8%",>5
Uasin Gishu,Receiving treatment,22.4,Women,"Uasin Gishu, 22.4%",>5
Elgeyo Marakwet,Diagnosed with Depression,0.9,Women,"Elgeyo Marakwet, 0.9%",≤ 1
Elgeyo Marakwet,Receiving treatment,NA,Women,"Elgeyo Marakwet, NA%",NA
Nandi,Diagnosed with Depression,3.4,Women,"Nandi, 3.4%",>3-5
Nandi,Receiving treatment,NA,Women,"Nandi, NA%",NA
Baringo,Diagnosed with Depression,1.5,Women,"Baringo, 1.5%",>1-2
Baringo,Receiving treatment,NA,Women,"Baringo, NA%",NA
Laikipia,Diagnosed with Depression,2.6,Women,"Laikipia, 2.6%",>2-3
Laikipia,Receiving treatment,NA,Women,"Laikipia, NA%",NA
Nakuru,Diagnosed with Depression,3,Women,"Nakuru, 3%",>2-3
Nakuru,Receiving treatment,NA,Women,"Nakuru, NA%",NA
Narok,Diagnosed with Depression,17,Women,"Narok, 17%",>5
Narok,Receiving treatment,12.6,Women,"Narok, 12.6%",>5
Kajiado,Diagnosed with Depression,4.9,Women,"Kajiado, 4.9%",>3-5
Kajiado,Receiving treatment,NA,Women,"Kajiado, NA%",NA
Kericho,Diagnosed with Depression,2.3,Women,"Kericho, 2.3%",>2-3
Kericho,Receiving treatment,NA,Women,"Kericho, NA%",NA
Bomet,Diagnosed with Depression,4.2,Women,"Bomet, 4.2%",>3-5
Bomet,Receiving treatment,NA,Women,"Bomet, NA%",NA
Kakamega,Diagnosed with Depression,3.5,Women,"Kakamega, 3.5%",>3-5
Kakamega,Receiving treatment,NA,Women,"Kakamega, NA%",NA
Vihiga,Diagnosed with Depression,4.4,Women,"Vihiga, 4.4%",>3-5
Vihiga,Receiving treatment,NA,Women,"Vihiga, NA%",NA
Bungoma,Diagnosed with Depression,5.5,Women,"Bungoma, 5.5%",>5
Bungoma,Receiving treatment,45.3,Women,"Bungoma, 45.3%",>5
Busia,Diagnosed with Depression,5.1,Women,"Busia, 5.1%",>5
Busia,Receiving treatment,NA,Women,"Busia, NA%",NA
Siaya,Diagnosed with Depression,1.1,Women,"Siaya, 1.1%",>1-2
Siaya,Receiving treatment,NA,Women,"Siaya, NA%",NA
Kisumu,Diagnosed with Depression,2.6,Women,"Kisumu, 2.6%",>2-3
Kisumu,Receiving treatment,NA,Women,"Kisumu, NA%",NA
Homa Bay,Diagnosed with Depression,2.4,Women,"Homa Bay, 2.4%",>2-3
Homa Bay,Receiving treatment,NA,Women,"Homa Bay, NA%",NA
Migori,Diagnosed with Depression,4.8,Women,"Migori, 4.8%",>3-5
Migori,Receiving treatment,NA,Women,"Migori, NA%",NA
Kisii,Diagnosed with Depression,5.2,Women,"Kisii, 5.2%",>5
Kisii,Receiving treatment,NA,Women,"Kisii, NA%",NA
Nyamira,Diagnosed with Depression,3.7,Women,"Nyamira, 3.7%",>3-5
Nyamira,Receiving treatment,NA,Women,"Nyamira, NA%",NA
Nairobi,Diagnosed with Depression,3,Women,"Nairobi, 3%",>2-3
Nairobi,Receiving treatment,NA,Women,"Nairobi, NA%",NA
Mombasa,Diagnosed with Depression,2.1,Men,"Mombasa, 2.1%",>2-3
Mombasa,Receiving treatment,NA,Men,"Mombasa, NA%",NA
Kwale,Diagnosed with Depression,3.7,Men,"Kwale, 3.7%",>3-5
Kwale,Receiving treatment,NA,Men,"Kwale, NA%",NA
Kilifi,Diagnosed with Depression,0.5,Men,"Kilifi, 0.5%",≤ 1
Kilifi,Receiving treatment,NA,Men,"Kilifi, NA%",NA
Tana River,Diagnosed with Depression,0.8,Men,"Tana River, 0.8%",≤ 1
Tana River,Receiving treatment,NA,Men,"Tana River, NA%",NA
Lamu,Diagnosed with Depression,2,Men,"Lamu, 2%",>1-2
Lamu,Receiving treatment,NA,Men,"Lamu, NA%",NA
Taita Taveta,Diagnosed with Depression,0.3,Men,"Taita Taveta, 0.3%",≤ 1
Taita Taveta,Receiving treatment,NA,Men,"Taita Taveta, NA%",NA
Garissa,Diagnosed with Depression,0,Men,"Garissa, 0%",≤ 1
Garissa,Receiving treatment,NA,Men,"Garissa, NA%",NA
Wajir,Diagnosed with Depression,0.3,Men,"Wajir, 0.3%",≤ 1
Wajir,Receiving treatment,NA,Men,"Wajir, NA%",NA
Mandera,Diagnosed with Depression,0.3,Men,"Mandera, 0.3%",≤ 1
Mandera,Receiving treatment,NA,Men,"Mandera, NA%",NA
Marsabit,Diagnosed with Depression,0.7,Men,"Marsabit, 0.7%",≤ 1
Marsabit,Receiving treatment,NA,Men,"Marsabit, NA%",NA
Isiolo,Diagnosed with Depression,9,Men,"Isiolo, 9%",>5
Isiolo,Receiving treatment,4.5,Men,"Isiolo, 4.5%",>3-5
Meru,Diagnosed with Depression,1.8,Men,"Meru, 1.8%",>1-2
Meru,Receiving treatment,NA,Men,"Meru, NA%",NA
Tharaka Nithi,Diagnosed with Depression,3.1,Men,"Tharaka Nithi, 3.1%",>3-5
Tharaka Nithi,Receiving treatment,NA,Men,"Tharaka Nithi, NA%",NA
Embu,Diagnosed with Depression,2.7,Men,"Embu, 2.7%",>2-3
Embu,Receiving treatment,NA,Men,"Embu, NA%",NA
Kitui,Diagnosed with Depression,0.1,Men,"Kitui, 0.1%",≤ 1
Kitui,Receiving treatment,NA,Men,"Kitui, NA%",NA
Machakos,Diagnosed with Depression,0.5,Men,"Machakos, 0.5%",≤ 1
Machakos,Receiving treatment,NA,Men,"Machakos, NA%",NA
Makueni,Diagnosed with Depression,1.1,Men,"Makueni, 1.1%",>1-2
Makueni,Receiving treatment,NA,Men,"Makueni, NA%",NA
Nyandarua,Diagnosed with Depression,3.1,Men,"Nyandarua, 3.1%",>3-5
Nyandarua,Receiving treatment,NA,Men,"Nyandarua, NA%",NA
Nyeri,Diagnosed with Depression,2.5,Men,"Nyeri, 2.5%",>2-3
Nyeri,Receiving treatment,NA,Men,"Nyeri, NA%",NA
Kirinyaga,Diagnosed with Depression,2.1,Men,"Kirinyaga, 2.1%",>2-3
Kirinyaga,Receiving treatment,NA,Men,"Kirinyaga, NA%",NA
Muranga,Diagnosed with Depression,4.2,Men,"Muranga, 4.2%",>3-5
Muranga,Receiving treatment,NA,Men,"Muranga, NA%",NA
Kiambu,Diagnosed with Depression,2.1,Men,"Kiambu, 2.1%",>2-3
Kiambu,Receiving treatment,NA,Men,"Kiambu, NA%",NA
Turkana,Diagnosed with Depression,1.1,Men,"Turkana, 1.1%",>1-2
Turkana,Receiving treatment,NA,Men,"Turkana, NA%",NA
West Pokot,Diagnosed with Depression,0.2,Men,"West Pokot, 0.2%",≤ 1
West Pokot,Receiving treatment,NA,Men,"West Pokot, NA%",NA
Samburu,Diagnosed with Depression,2.9,Men,"Samburu, 2.9%",>2-3
Samburu,Receiving treatment,NA,Men,"Samburu, NA%",NA
Trans Nzoia,Diagnosed with Depression,1.4,Men,"Trans Nzoia, 1.4%",>1-2
Trans Nzoia,Receiving treatment,NA,Men,"Trans Nzoia, NA%",NA
Uasin Gishu,Diagnosed with Depression,6.9,Men,"Uasin Gishu, 6.9%",>5
Uasin Gishu,Receiving treatment,NA,Men,"Uasin Gishu, NA%",NA
Elgeyo Marakwet,Diagnosed with Depression,1,Men,"Elgeyo Marakwet, 1%",≤ 1
Elgeyo Marakwet,Receiving treatment,NA,Men,"Elgeyo Marakwet, NA%",NA
Nandi,Diagnosed with Depression,0.1,Men,"Nandi, 0.1%",≤ 1
Nandi,Receiving treatment,NA,Men,"Nandi, NA%",NA
Baringo,Diagnosed with Depression,0.2,Men,"Baringo, 0.2%",≤ 1
Baringo,Receiving treatment,NA,Men,"Baringo, NA%",NA
Laikipia,Diagnosed with Depression,9.2,Men,"Laikipia, 9.2%",>5
Laikipia,Receiving treatment,NA,Men,"Laikipia, NA%",NA
Nakuru,Diagnosed with Depression,2.3,Men,"Nakuru, 2.3%",>2-3
Nakuru,Receiving treatment,NA,Men,"Nakuru, NA%",NA
Narok,Diagnosed with Depression,6.6,Men,"Narok, 6.6%",>5
Narok,Receiving treatment,NA,Men,"Narok, NA%",NA
Kajiado,Diagnosed with Depression,0.8,Men,"Kajiado, 0.8%",≤ 1
Kajiado,Receiving treatment,NA,Men,"Kajiado, NA%",NA
Kericho,Diagnosed with Depression,1.2,Men,"Kericho, 1.2%",>1-2
Kericho,Receiving treatment,NA,Men,"Kericho, NA%",NA
Bomet,Diagnosed with Depression,20.5,Men,"Bomet, 20.5%",>5
Bomet,Receiving treatment,3.2,Men,"Bomet, 3.2%",>3-5
Kakamega,Diagnosed with Depression,5.6,Men,"Kakamega, 5.6%",>5
Kakamega,Receiving treatment,NA,Men,"Kakamega, NA%",NA
Vihiga,Diagnosed with Depression,3.5,Men,"Vihiga, 3.5%",>3-5
Vihiga,Receiving treatment,NA,Men,"Vihiga, NA%",NA
Bungoma,Diagnosed with Depression,5.3,Men,"Bungoma, 5.3%",>5
Bungoma,Receiving treatment,NA,Men,"Bungoma, NA%",NA
Busia,Diagnosed with Depression,2.2,Men,"Busia, 2.2%",>2-3
Busia,Receiving treatment,NA,Men,"Busia, NA%",NA
Siaya,Diagnosed with Depression,1.7,Men,"Siaya, 1.7%",>1-2
Siaya,Receiving treatment,NA,Men,"Siaya, NA%",NA
Kisumu,Diagnosed with Depression,1.9,Men,"Kisumu, 1.9%",>1-2
Kisumu,Receiving treatment,NA,Men,"Kisumu, NA%",NA
Homa Bay,Diagnosed with Depression,2.2,Men,"Homa Bay, 2.2%",>2-3
Homa Bay,Receiving treatment,NA,Men,"Homa Bay, NA%",NA
Migori,Diagnosed with Depression,4.7,Men,"Migori, 4.7%",>3-5
Migori,Receiving treatment,NA,Men,"Migori, NA%",NA
Kisii,Diagnosed with Depression,0,Men,"Kisii, 0%",≤ 1
Kisii,Receiving treatment,NA,Men,"Kisii, NA%",NA
Nyamira,Diagnosed with Depression,1.9,Men,"Nyamira, 1.9%",>1-2
Nyamira,Receiving treatment,NA,Men,"Nyamira, NA%",NA
Nairobi,Diagnosed with Depression,4.4,Men,"Nairobi, 4.4%",>3-5
Nairobi,Receiving treatment,NA,Men,"Nairobi, NA%",NA
