County,Category,Proportion,Participants,Names
Machakos,Receiving treatment,NA,Women,"Machakos, NA%"
Makueni,Diagnosed with Arthritis,2,Women,"Makueni, 2%"
Makueni,Receiving treatment,NA,Women,"Makueni, NA%"
Nyandarua,Diagnosed with Arthritis,8.3,Women,"Nyandarua, 8.3%"
Nyandarua,Receiving treatment,27,Women,"Nyandarua, 27%"
Nyeri,Diagnosed with Arthritis,4.6,Women,"Nyeri, 4.6%"
Nyeri,Receiving treatment,NA,Women,"Nyeri, NA%"
Kirinyaga,Diagnosed with Arthritis,7.2,Women,"Kirinyaga, 7.2%"
Kirinyaga,Receiving treatment,NA,Women,"Kirinyaga, NA%"
Muranga,Diagnosed with Arthritis,3.8,Women,"Muranga, 3.8%"
Muranga,Receiving treatment,NA,Women,"Muranga, NA%"
Kiambu,Diagnosed with Arthritis,2.8,Women,"Kiambu, 2.8%"
Kiambu,Receiving treatment,NA,Women,"Kiambu, NA%"
Turkana,Diagnosed with Arthritis,2.1,Women,"Turkana, 2.1%"
Turkana,Receiving treatment,NA,Women,"Turkana, NA%"
West Pokot,Diagnosed with Arthritis,3.3,Women,"West Pokot, 3.3%"
West Pokot,Receiving treatment,NA,Women,"West Pokot, NA%"
Samburu,Diagnosed with Arthritis,1.2,Women,"Samburu, 1.2%"
Samburu,Receiving treatment,NA,Women,"Samburu, NA%"
Trans Nzoia,Diagnosed with Arthritis,0.4,Women,"Trans Nzoia, 0.4%"
Trans Nzoia,Receiving treatment,NA,Women,"Trans Nzoia, NA%"
Uasin Gishu,Diagnosed with Arthritis,5.1,Women,"Uasin Gishu, 5.1%"
Uasin Gishu,Receiving treatment,NA,Women,"Uasin Gishu, NA%"
Elgeyo Marakwet,Diagnosed with Arthritis,0.8,Women,"Elgeyo Marakwet, 0.8%"
Elgeyo Marakwet,Receiving treatment,NA,Women,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with Arthritis,2.4,Women,"Nandi, 2.4%"
Nandi,Receiving treatment,NA,Women,"Nandi, NA%"
Baringo,Diagnosed with Arthritis,7.2,Women,"Baringo, 7.2%"
Baringo,Receiving treatment,49.7,Women,"Baringo, 49.7%"
Laikipia,Diagnosed with Arthritis,4.4,Women,"Laikipia, 4.4%"
Laikipia,Receiving treatment,NA,Women,"Laikipia, NA%"
Nakuru,Diagnosed with Arthritis,4.3,Women,"Nakuru, 4.3%"
Nakuru,Receiving treatment,NA,Women,"Nakuru, NA%"
Narok,Diagnosed with Arthritis,3.2,Women,"Narok, 3.2%"
Narok,Receiving treatment,NA,Women,"Narok, NA%"
Kajiado,Diagnosed with Arthritis,2.6,Women,"Kajiado, 2.6%"
Kajiado,Receiving treatment,NA,Women,"Kajiado, NA%"
Kericho,Diagnosed with Arthritis,0.8,Women,"Kericho, 0.8%"
Kericho,Receiving treatment,NA,Women,"Kericho, NA%"
Bomet,Diagnosed with Arthritis,1.8,Women,"Bomet, 1.8%"
Bomet,Receiving treatment,NA,Women,"Bomet, NA%"
Kakamega,Diagnosed with Arthritis,0.9,Women,"Kakamega, 0.9%"
Kakamega,Receiving treatment,NA,Women,"Kakamega, NA%"
Vihiga,Diagnosed with Arthritis,2.4,Women,"Vihiga, 2.4%"
Vihiga,Receiving treatment,NA,Women,"Vihiga, NA%"
Bungoma,Diagnosed with Arthritis,2.8,Women,"Bungoma, 2.8%"
Bungoma,Receiving treatment,NA,Women,"Bungoma, NA%"
Busia,Diagnosed with Arthritis,0.4,Women,"Busia, 0.4%"
Busia,Receiving treatment,NA,Women,"Busia, NA%"
Siaya,Diagnosed with Arthritis,2.6,Women,"Siaya, 2.6%"
Siaya,Receiving treatment,NA,Women,"Siaya, NA%"
Kisumu,Diagnosed with Arthritis,2,Women,"Kisumu, 2%"
Kisumu,Receiving treatment,NA,Women,"Kisumu, NA%"
Homa Bay,Diagnosed with Arthritis,4.5,Women,"Homa Bay, 4.5%"
Homa Bay,Receiving treatment,NA,Women,"Homa Bay, NA%"
Migori,Diagnosed with Arthritis,1.8,Women,"Migori, 1.8%"
Migori,Receiving treatment,NA,Women,"Migori, NA%"
Kisii,Diagnosed with Arthritis,2,Women,"Kisii, 2%"
Kisii,Receiving treatment,NA,Women,"Kisii, NA%"
Nyamira,Diagnosed with Arthritis,1.2,Women,"Nyamira, 1.2%"
Nyamira,Receiving treatment,NA,Women,"Nyamira, NA%"
Nairobi,Diagnosed with Arthritis,2.6,Women,"Nairobi, 2.6%"
Nairobi,Receiving treatment,NA,Women,"Nairobi, NA%"
Mombasa,Diagnosed with Arthritis,1.3,Men,"Mombasa, 1.3%"
Mombasa,Receiving treatment,NA,Men,"Mombasa, NA%"
Kwale,Diagnosed with Arthritis,0.5,Men,"Kwale, 0.5%"
Kwale,Receiving treatment,NA,Men,"Kwale, NA%"
Kilifi,Diagnosed with Arthritis,1.4,Men,"Kilifi, 1.4%"
Kilifi,Receiving treatment,NA,Men,"Kilifi, NA%"
Tana River,Diagnosed with Arthritis,0.7,Men,"Tana River, 0.7%"
Tana River,Receiving treatment,NA,Men,"Tana River, NA%"
Lamu,Diagnosed with Arthritis,0,Men,"Lamu, 0%"
Lamu,Receiving treatment,NA,Men,"Lamu, NA%"
Taita Taveta,Diagnosed with Arthritis,0,Men,"Taita Taveta, 0%"
Taita Taveta,Receiving treatment,NA,Men,"Taita Taveta, NA%"
Garissa,Diagnosed with Arthritis,0,Men,"Garissa, 0%"
Garissa,Receiving treatment,NA,Men,"Garissa, NA%"
Wajir,Diagnosed with Arthritis,0,Men,"Wajir, 0%"
Wajir,Receiving treatment,NA,Men,"Wajir, NA%"
Mandera,Diagnosed with Arthritis,0,Men,"Mandera, 0%"
Mandera,Receiving treatment,NA,Men,"Mandera, NA%"
Marsabit,Diagnosed with Arthritis,0,Men,"Marsabit, 0%"
Marsabit,Receiving treatment,NA,Men,"Marsabit, NA%"
Isiolo,Diagnosed with Arthritis,1.1,Men,"Isiolo, 1.1%"
Isiolo,Receiving treatment,NA,Men,"Isiolo, NA%"
Meru,Diagnosed with Arthritis,10.4,Men,"Meru, 10.4%"
Meru,Receiving treatment,27.1,Men,"Meru, 27.1%"
Tharaka Nithi,Diagnosed with Arthritis,3.2,Men,"Tharaka Nithi, 3.2%"
Tharaka Nithi,Receiving treatment,NA,Men,"Tharaka Nithi, NA%"
Embu,Diagnosed with Arthritis,2.2,Men,"Embu, 2.2%"
Embu,Receiving treatment,NA,Men,"Embu, NA%"
Kitui,Diagnosed with Arthritis,0,Men,"Kitui, 0%"
Kitui,Receiving treatment,NA,Men,"Kitui, NA%"
Machakos,Diagnosed with Arthritis,0,Men,"Machakos, 0%"
Machakos,Receiving treatment,NA,Men,"Machakos, NA%"
Makueni,Diagnosed with Arthritis,0.7,Men,"Makueni, 0.7%"
Makueni,Receiving treatment,NA,Men,"Makueni, NA%"
Nyandarua,Diagnosed with Arthritis,1.8,Men,"Nyandarua, 1.8%"
Nyandarua,Receiving treatment,NA,Men,"Nyandarua, NA%"
Nyeri,Diagnosed with Arthritis,3,Men,"Nyeri, 3%"
Nyeri,Receiving treatment,NA,Men,"Nyeri, NA%"
Kirinyaga,Diagnosed with Arthritis,1.1,Men,"Kirinyaga, 1.1%"
Kirinyaga,Receiving treatment,NA,Men,"Kirinyaga, NA%"
Muranga,Diagnosed with Arthritis,2.8,Men,"Muranga, 2.8%"
Muranga,Receiving treatment,NA,Men,"Muranga, NA%"
Kiambu,Diagnosed with Arthritis,0.2,Men,"Kiambu, 0.2%"
Kiambu,Receiving treatment,NA,Men,"Kiambu, NA%"
Turkana,Diagnosed with Arthritis,0,Men,"Turkana, 0%"
Turkana,Receiving treatment,NA,Men,"Turkana, NA%"
West Pokot,Diagnosed with Arthritis,0,Men,"West Pokot, 0%"
West Pokot,Receiving treatment,NA,Men,"West Pokot, NA%"
Samburu,Diagnosed with Arthritis,5,Men,"Samburu, 5%"
Samburu,Receiving treatment,NA,Men,"Samburu, NA%"
Trans Nzoia,Diagnosed with Arthritis,1.5,Men,"Trans Nzoia, 1.5%"
Trans Nzoia,Receiving treatment,NA,Men,"Trans Nzoia, NA%"
Uasin Gishu,Diagnosed with Arthritis,0.5,Men,"Uasin Gishu, 0.5%"
Uasin Gishu,Receiving treatment,NA,Men,"Uasin Gishu, NA%"
Elgeyo Marakwet,Diagnosed with Arthritis,0,Men,"Elgeyo Marakwet, 0%"
Elgeyo Marakwet,Receiving treatment,NA,Men,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with Arthritis,0.6,Men,"Nandi, 0.6%"
Nandi,Receiving treatment,NA,Men,"Nandi, NA%"
Baringo,Diagnosed with Arthritis,0.7,Men,"Baringo, 0.7%"
Baringo,Receiving treatment,NA,Men,"Baringo, NA%"
Laikipia,Diagnosed with Arthritis,3.6,Men,"Laikipia, 3.6%"
Laikipia,Receiving treatment,NA,Men,"Laikipia, NA%"
Nakuru,Diagnosed with Arthritis,1.8,Men,"Nakuru, 1.8%"
Nakuru,Receiving treatment,NA,Men,"Nakuru, NA%"
Narok,Diagnosed with Arthritis,1,Men,"Narok, 1%"
Narok,Receiving treatment,NA,Men,"Narok, NA%"
Kajiado,Diagnosed with Arthritis,1.2,Men,"Kajiado, 1.2%"
Kajiado,Receiving treatment,NA,Men,"Kajiado, NA%"
Kericho,Diagnosed with Arthritis,0,Men,"Kericho, 0%"
Kericho,Receiving treatment,NA,Men,"Kericho, NA%"
Bomet,Diagnosed with Arthritis,1.9,Men,"Bomet, 1.9%"
Bomet,Receiving treatment,NA,Men,"Bomet, NA%"
Kakamega,Diagnosed with Arthritis,0.3,Men,"Kakamega, 0.3%"
Kakamega,Receiving treatment,NA,Men,"Kakamega, NA%"
Vihiga,Diagnosed with Arthritis,0.8,Men,"Vihiga, 0.8%"
Vihiga,Receiving treatment,NA,Men,"Vihiga, NA%"
Bungoma,Diagnosed with Arthritis,0.7,Men,"Bungoma, 0.7%"
Bungoma,Receiving treatment,NA,Men,"Bungoma, NA%"
Busia,Diagnosed with Arthritis,0.4,Men,"Busia, 0.4%"
Busia,Receiving treatment,NA,Men,"Busia, NA%"
Siaya,Diagnosed with Arthritis,0,Men,"Siaya, 0%"
Siaya,Receiving treatment,NA,Men,"Siaya, NA%"
Kisumu,Diagnosed with Arthritis,0.3,Men,"Kisumu, 0.3%"
Kisumu,Receiving treatment,NA,Men,"Kisumu, NA%"
Homa Bay,Diagnosed with Arthritis,1.9,Men,"Homa Bay, 1.9%"
Homa Bay,Receiving treatment,NA,Men,"Homa Bay, NA%"
Migori,Diagnosed with Arthritis,0.8,Men,"Migori, 0.8%"
Migori,Receiving treatment,NA,Men,"Migori, NA%"
Kisii,Diagnosed with Arthritis,0.3,Men,"Kisii, 0.3%"
Kisii,Receiving treatment,NA,Men,"Kisii, NA%"
Nyamira,Diagnosed with Arthritis,0,Men,"Nyamira, 0%"
Nyamira,Receiving treatment,NA,Men,"Nyamira, NA%"
Nairobi,Diagnosed with Arthritis,0,Men,"Nairobi, 0%"
Nairobi,Receiving treatment,NA,Men,"Nairobi, NA%"
