County,Category,Proportion,Names
Nakuru,"Diagnosed with
 breast cancer",0.3,"Nakuru, 0.3%"
Narok,"Aware of self examination
 for breast cancer",28.8,"Narok, 28.8%"
Narok,"Examined
 for breast cancer",7,"Narok, 7%"
Narok,"Diagnosed with
 breast cancer",0,"Narok, 0%"
Kajiado,"Aware of self examination
 for breast cancer",55.3,"Kajiado, 55.3%"
Kajiado,"Examined
 for breast cancer",17.7,"Kajiado, 17.7%"
Kajiado,"Diagnosed with
 breast cancer",0,"Kajiado, 0%"
Kericho,"Aware of self examination
 for breast cancer",63.1,"Kericho, 63.1%"
Kericho,"Examined
 for breast cancer",4.8,"Kericho, 4.8%"
Kericho,"Diagnosed with
 breast cancer",0.4,"Kericho, 0.4%"
Bomet,"Aware of self examination
 for breast cancer",43.1,"Bomet, 43.1%"
Bomet,"Examined
 for breast cancer",9.8,"Bomet, 9.8%"
Bomet,"Diagnosed with
 breast cancer",0.3,"Bomet, 0.3%"
Kakamega,"Aware of self examination
 for breast cancer",34.2,"Kakamega, 34.2%"
Kakamega,"Examined
 for breast cancer",12.2,"Kakamega, 12.2%"
Kakamega,"Diagnosed with
 breast cancer",0.4,"Kakamega, 0.4%"
Vihiga,"Aware of self examination
 for breast cancer",39.6,"Vihiga, 39.6%"
Vihiga,"Examined
 for breast cancer",5.4,"Vihiga, 5.4%"
Vihiga,"Diagnosed with
 breast cancer",0,"Vihiga, 0%"
Bungoma,"Aware of self examination
 for breast cancer",39.6,"Bungoma, 39.6%"
Bungoma,"Examined
 for breast cancer",18.9,"Bungoma, 18.9%"
Bungoma,"Diagnosed with
 breast cancer",0.5,"Bungoma, 0.5%"
Busia,"Aware of self examination
 for breast cancer",42.6,"Busia, 42.6%"
Busia,"Examined
 for breast cancer",2.9,"Busia, 2.9%"
Busia,"Diagnosed with
 breast cancer",0,"Busia, 0%"
Siaya,"Aware of self examination
 for breast cancer",29.9,"Siaya, 29.9%"
Siaya,"Examined
 for breast cancer",3.6,"Siaya, 3.6%"
Siaya,"Diagnosed with
 breast cancer",0.3,"Siaya, 0.3%"
Kisumu,"Aware of self examination
 for breast cancer",38.3,"Kisumu, 38.3%"
Kisumu,"Examined
 for breast cancer",11.6,"Kisumu, 11.6%"
Kisumu,"Diagnosed with
 breast cancer",0.3,"Kisumu, 0.3%"
Homa Bay,"Aware of self examination
 for breast cancer",37.9,"Homa Bay, 37.9%"
Homa Bay,"Examined
 for breast cancer",14,"Homa Bay, 14%"
Homa Bay,"Diagnosed with
 breast cancer",0,"Homa Bay, 0%"
Migori,"Aware of self examination
 for breast cancer",27.3,"Migori, 27.3%"
Migori,"Examined
 for breast cancer",10.7,"Migori, 10.7%"
Migori,"Diagnosed with
 breast cancer",0,"Migori, 0%"
Kisii,"Aware of self examination
 for breast cancer",34.9,"Kisii, 34.9%"
Kisii,"Examined
 for breast cancer",8.8,"Kisii, 8.8%"
Kisii,"Diagnosed with
 breast cancer",0,"Kisii, 0%"
Nyamira,"Aware of self examination
 for breast cancer",32.1,"Nyamira, 32.1%"
Nyamira,"Examined
 for breast cancer",8.8,"Nyamira, 8.8%"
Nyamira,"Diagnosed with
 breast cancer",0.6,"Nyamira, 0.6%"
Nairobi,"Aware of self examination
 for breast cancer",56.5,"Nairobi, 56.5%"
Nairobi,"Examined
 for breast cancer",20.4,"Nairobi, 20.4%"
Nairobi,"Diagnosed with
 breast cancer",0,"Nairobi, 0%"
