County,Category,Proportion,proportion_groups
Elgeyo Marakwet,Use in households with 1/+ ITN per 2 persons,39.9,>31-55
Nandi,Use in households with 1/+ ITN,69,>68-74
Nandi,Use in households with 1/+ ITN per 2 persons,76.5,>74
Baringo,Use in households with 1/+ ITN,43.4,>31-55
Baringo,Use in households with 1/+ ITN per 2 persons,66.7,>55-68
Laikipia,Use in households with 1/+ ITN,15.1,≤ 31
Laikipia,Use in households with 1/+ ITN per 2 persons,57.6,>55-68
Nakuru,Use in households with 1/+ ITN,16,≤ 31
Nakuru,Use in households with 1/+ ITN per 2 persons,55.2,>55-68
Narok,Use in households with 1/+ ITN,49.4,>31-55
Narok,Use in households with 1/+ ITN per 2 persons,61.1,>55-68
Kajiado,Use in households with 1/+ ITN,26.9,≤ 31
Kajiado,Use in households with 1/+ ITN per 2 persons,59.6,>55-68
Kericho,Use in households with 1/+ ITN,69.1,>68-74
Kericho,Use in households with 1/+ ITN per 2 persons,79,>74
Bomet,Use in households with 1/+ ITN,73.4,>68-74
Bomet,Use in households with 1/+ ITN per 2 persons,77.1,>74
Kakamega,Use in households with 1/+ ITN,66.6,>55-68
Kakamega,Use in households with 1/+ ITN per 2 persons,73.7,>68-74
Vihiga,Use in households with 1/+ ITN,74.2,>74
Vihiga,Use in households with 1/+ ITN per 2 persons,78.2,>74
Bungoma,Use in households with 1/+ ITN,64.9,>55-68
Bungoma,Use in households with 1/+ ITN per 2 persons,70.2,>68-74
Busia,Use in households with 1/+ ITN,74.5,>74
Busia,Use in households with 1/+ ITN per 2 persons,77.7,>74
Siaya,Use in households with 1/+ ITN,68,>55-68
Siaya,Use in households with 1/+ ITN per 2 persons,75.9,>74
Kisumu,Use in households with 1/+ ITN,61.8,>55-68
Kisumu,Use in households with 1/+ ITN per 2 persons,78.6,>74
Homa Bay,Use in households with 1/+ ITN,61.4,>55-68
Homa Bay,Use in households with 1/+ ITN per 2 persons,67.4,>55-68
Migori,Use in households with 1/+ ITN,69.5,>68-74
Migori,Use in households with 1/+ ITN per 2 persons,76.7,>74
Kisii,Use in households with 1/+ ITN,71.2,>68-74
Kisii,Use in households with 1/+ ITN per 2 persons,79.8,>74
Nyamira,Use in households with 1/+ ITN,78.5,>74
Nyamira,Use in households with 1/+ ITN per 2 persons,82.3,>74
Nairobi,Use in households with 1/+ ITN,16.9,≤ 31
Nairobi,Use in households with 1/+ ITN per 2 persons,66.8,>55-68
