County,Category,Proportion,Participants,Names,proportion_groups
Baringo,Receiving treatment,NA,Men,"Baringo, NA%",NA
Laikipia,Diagnosed with Arthritis,3.6,Men,"Laikipia, 3.6%",>3
Laikipia,Receiving treatment,NA,Men,"Laikipia, NA%",NA
Nakuru,Diagnosed with Arthritis,1.8,Men,"Nakuru, 1.8%",>1-3
Nakuru,Receiving treatment,NA,Men,"Nakuru, NA%",NA
Narok,Diagnosed with Arthritis,1,Men,"Narok, 1%",≤ 1
Narok,Receiving treatment,NA,Men,"Narok, NA%",NA
Kajiado,Diagnosed with Arthritis,1.2,Men,"Kajiado, 1.2%",>1-3
Kajiado,Receiving treatment,NA,Men,"Kajiado, NA%",NA
Kericho,Diagnosed with Arthritis,0,Men,"Kericho, 0%",≤ 1
Kericho,Receiving treatment,NA,Men,"Kericho, NA%",NA
Bomet,Diagnosed with Arthritis,1.9,Men,"Bomet, 1.9%",>1-3
Bomet,Receiving treatment,NA,Men,"Bomet, NA%",NA
Kakamega,Diagnosed with Arthritis,0.3,Men,"Kakamega, 0.3%",≤ 1
Kakamega,Receiving treatment,NA,Men,"Kakamega, NA%",NA
Vihiga,Diagnosed with Arthritis,0.8,Men,"Vihiga, 0.8%",≤ 1
Vihiga,Receiving treatment,NA,Men,"Vihiga, NA%",NA
Bungoma,Diagnosed with Arthritis,0.7,Men,"Bungoma, 0.7%",≤ 1
Bungoma,Receiving treatment,NA,Men,"Bungoma, NA%",NA
Busia,Diagnosed with Arthritis,0.4,Men,"Busia, 0.4%",≤ 1
Busia,Receiving treatment,NA,Men,"Busia, NA%",NA
Siaya,Diagnosed with Arthritis,0,Men,"Siaya, 0%",≤ 1
Siaya,Receiving treatment,NA,Men,"Siaya, NA%",NA
Kisumu,Diagnosed with Arthritis,0.3,Men,"Kisumu, 0.3%",≤ 1
Kisumu,Receiving treatment,NA,Men,"Kisumu, NA%",NA
Homa Bay,Diagnosed with Arthritis,1.9,Men,"Homa Bay, 1.9%",>1-3
Homa Bay,Receiving treatment,NA,Men,"Homa Bay, NA%",NA
Migori,Diagnosed with Arthritis,0.8,Men,"Migori, 0.8%",≤ 1
Migori,Receiving treatment,NA,Men,"Migori, NA%",NA
Kisii,Diagnosed with Arthritis,0.3,Men,"Kisii, 0.3%",≤ 1
Kisii,Receiving treatment,NA,Men,"Kisii, NA%",NA
Nyamira,Diagnosed with Arthritis,0,Men,"Nyamira, 0%",≤ 1
Nyamira,Receiving treatment,NA,Men,"Nyamira, NA%",NA
Nairobi,Diagnosed with Arthritis,0,Men,"Nairobi, 0%",≤ 1
Nairobi,Receiving treatment,NA,Men,"Nairobi, NA%",NA
