County,Category,Proportion,Participants,Names
Laikipia,Diagnosed with Depression,2.6,Women,"Laikipia, 2.6%"
Laikipia,Receiving treatment,NA,Women,"Laikipia, NA%"
Nakuru,Diagnosed with Depression,3,Women,"Nakuru, 3%"
Nakuru,Receiving treatment,NA,Women,"Nakuru, NA%"
Narok,Diagnosed with Depression,17,Women,"Narok, 17%"
Narok,Receiving treatment,12.6,Women,"Narok, 12.6%"
Kajiado,Diagnosed with Depression,4.9,Women,"Kajiado, 4.9%"
Kajiado,Receiving treatment,NA,Women,"Kajiado, NA%"
Kericho,Diagnosed with Depression,2.3,Women,"Kericho, 2.3%"
Kericho,Receiving treatment,NA,Women,"Kericho, NA%"
Bomet,Diagnosed with Depression,4.2,Women,"Bomet, 4.2%"
Bomet,Receiving treatment,NA,Women,"Bomet, NA%"
Kakamega,Diagnosed with Depression,3.5,Women,"Kakamega, 3.5%"
Kakamega,Receiving treatment,NA,Women,"Kakamega, NA%"
Vihiga,Diagnosed with Depression,4.4,Women,"Vihiga, 4.4%"
Vihiga,Receiving treatment,NA,Women,"Vihiga, NA%"
Bungoma,Diagnosed with Depression,5.5,Women,"Bungoma, 5.5%"
Bungoma,Receiving treatment,45.3,Women,"Bungoma, 45.3%"
Busia,Diagnosed with Depression,5.1,Women,"Busia, 5.1%"
Busia,Receiving treatment,NA,Women,"Busia, NA%"
Siaya,Diagnosed with Depression,1.1,Women,"Siaya, 1.1%"
Siaya,Receiving treatment,NA,Women,"Siaya, NA%"
Kisumu,Diagnosed with Depression,2.6,Women,"Kisumu, 2.6%"
Kisumu,Receiving treatment,NA,Women,"Kisumu, NA%"
Homa Bay,Diagnosed with Depression,2.4,Women,"Homa Bay, 2.4%"
Homa Bay,Receiving treatment,NA,Women,"Homa Bay, NA%"
Migori,Diagnosed with Depression,4.8,Women,"Migori, 4.8%"
Migori,Receiving treatment,NA,Women,"Migori, NA%"
Kisii,Diagnosed with Depression,5.2,Women,"Kisii, 5.2%"
Kisii,Receiving treatment,NA,Women,"Kisii, NA%"
Nyamira,Diagnosed with Depression,3.7,Women,"Nyamira, 3.7%"
Nyamira,Receiving treatment,NA,Women,"Nyamira, NA%"
Nairobi,Diagnosed with Depression,3,Women,"Nairobi, 3%"
Nairobi,Receiving treatment,NA,Women,"Nairobi, NA%"
Mombasa,Diagnosed with Depression,2.1,Men,"Mombasa, 2.1%"
Mombasa,Receiving treatment,NA,Men,"Mombasa, NA%"
Kwale,Diagnosed with Depression,3.7,Men,"Kwale, 3.7%"
Kwale,Receiving treatment,NA,Men,"Kwale, NA%"
Kilifi,Diagnosed with Depression,0.5,Men,"Kilifi, 0.5%"
Kilifi,Receiving treatment,NA,Men,"Kilifi, NA%"
Tana River,Diagnosed with Depression,0.8,Men,"Tana River, 0.8%"
Tana River,Receiving treatment,NA,Men,"Tana River, NA%"
Lamu,Diagnosed with Depression,2,Men,"Lamu, 2%"
Lamu,Receiving treatment,NA,Men,"Lamu, NA%"
Taita Taveta,Diagnosed with Depression,0.3,Men,"Taita Taveta, 0.3%"
Taita Taveta,Receiving treatment,NA,Men,"Taita Taveta, NA%"
Garissa,Diagnosed with Depression,0,Men,"Garissa, 0%"
Garissa,Receiving treatment,NA,Men,"Garissa, NA%"
Wajir,Diagnosed with Depression,0.3,Men,"Wajir, 0.3%"
Wajir,Receiving treatment,NA,Men,"Wajir, NA%"
Mandera,Diagnosed with Depression,0.3,Men,"Mandera, 0.3%"
Mandera,Receiving treatment,NA,Men,"Mandera, NA%"
Marsabit,Diagnosed with Depression,0.7,Men,"Marsabit, 0.7%"
Marsabit,Receiving treatment,NA,Men,"Marsabit, NA%"
Isiolo,Diagnosed with Depression,9,Men,"Isiolo, 9%"
Isiolo,Receiving treatment,4.5,Men,"Isiolo, 4.5%"
Meru,Diagnosed with Depression,1.8,Men,"Meru, 1.8%"
Meru,Receiving treatment,NA,Men,"Meru, NA%"
Tharaka Nithi,Diagnosed with Depression,3.1,Men,"Tharaka Nithi, 3.1%"
Tharaka Nithi,Receiving treatment,NA,Men,"Tharaka Nithi, NA%"
Embu,Diagnosed with Depression,2.7,Men,"Embu, 2.7%"
Embu,Receiving treatment,NA,Men,"Embu, NA%"
Kitui,Diagnosed with Depression,0.1,Men,"Kitui, 0.1%"
Kitui,Receiving treatment,NA,Men,"Kitui, NA%"
Machakos,Diagnosed with Depression,0.5,Men,"Machakos, 0.5%"
Machakos,Receiving treatment,NA,Men,"Machakos, NA%"
Makueni,Diagnosed with Depression,1.1,Men,"Makueni, 1.1%"
Makueni,Receiving treatment,NA,Men,"Makueni, NA%"
Nyandarua,Diagnosed with Depression,3.1,Men,"Nyandarua, 3.1%"
Nyandarua,Receiving treatment,NA,Men,"Nyandarua, NA%"
Nyeri,Diagnosed with Depression,2.5,Men,"Nyeri, 2.5%"
Nyeri,Receiving treatment,NA,Men,"Nyeri, NA%"
Kirinyaga,Diagnosed with Depression,2.1,Men,"Kirinyaga, 2.1%"
Kirinyaga,Receiving treatment,NA,Men,"Kirinyaga, NA%"
Muranga,Diagnosed with Depression,4.2,Men,"Muranga, 4.2%"
Muranga,Receiving treatment,NA,Men,"Muranga, NA%"
Kiambu,Diagnosed with Depression,2.1,Men,"Kiambu, 2.1%"
Kiambu,Receiving treatment,NA,Men,"Kiambu, NA%"
Turkana,Diagnosed with Depression,1.1,Men,"Turkana, 1.1%"
Turkana,Receiving treatment,NA,Men,"Turkana, NA%"
West Pokot,Diagnosed with Depression,0.2,Men,"West Pokot, 0.2%"
West Pokot,Receiving treatment,NA,Men,"West Pokot, NA%"
Samburu,Diagnosed with Depression,2.9,Men,"Samburu, 2.9%"
Samburu,Receiving treatment,NA,Men,"Samburu, NA%"
Trans Nzoia,Diagnosed with Depression,1.4,Men,"Trans Nzoia, 1.4%"
Trans Nzoia,Receiving treatment,NA,Men,"Trans Nzoia, NA%"
Uasin Gishu,Diagnosed with Depression,6.9,Men,"Uasin Gishu, 6.9%"
Uasin Gishu,Receiving treatment,NA,Men,"Uasin Gishu, NA%"
Elgeyo Marakwet,Diagnosed with Depression,1,Men,"Elgeyo Marakwet, 1%"
Elgeyo Marakwet,Receiving treatment,NA,Men,"Elgeyo Marakwet, NA%"
Nandi,Diagnosed with Depression,0.1,Men,"Nandi, 0.1%"
Nandi,Receiving treatment,NA,Men,"Nandi, NA%"
Baringo,Diagnosed with Depression,0.2,Men,"Baringo, 0.2%"
Baringo,Receiving treatment,NA,Men,"Baringo, NA%"
Laikipia,Diagnosed with Depression,9.2,Men,"Laikipia, 9.2%"
Laikipia,Receiving treatment,NA,Men,"Laikipia, NA%"
Nakuru,Diagnosed with Depression,2.3,Men,"Nakuru, 2.3%"
Nakuru,Receiving treatment,NA,Men,"Nakuru, NA%"
Narok,Diagnosed with Depression,6.6,Men,"Narok, 6.6%"
Narok,Receiving treatment,NA,Men,"Narok, NA%"
Kajiado,Diagnosed with Depression,0.8,Men,"Kajiado, 0.8%"
Kajiado,Receiving treatment,NA,Men,"Kajiado, NA%"
Kericho,Diagnosed with Depression,1.2,Men,"Kericho, 1.2%"
Kericho,Receiving treatment,NA,Men,"Kericho, NA%"
Bomet,Diagnosed with Depression,20.5,Men,"Bomet, 20.5%"
Bomet,Receiving treatment,3.2,Men,"Bomet, 3.2%"
Kakamega,Diagnosed with Depression,5.6,Men,"Kakamega, 5.6%"
Kakamega,Receiving treatment,NA,Men,"Kakamega, NA%"
Vihiga,Diagnosed with Depression,3.5,Men,"Vihiga, 3.5%"
Vihiga,Receiving treatment,NA,Men,"Vihiga, NA%"
Bungoma,Diagnosed with Depression,5.3,Men,"Bungoma, 5.3%"
Bungoma,Receiving treatment,NA,Men,"Bungoma, NA%"
Busia,Diagnosed with Depression,2.2,Men,"Busia, 2.2%"
Busia,Receiving treatment,NA,Men,"Busia, NA%"
Siaya,Diagnosed with Depression,1.7,Men,"Siaya, 1.7%"
Siaya,Receiving treatment,NA,Men,"Siaya, NA%"
Kisumu,Diagnosed with Depression,1.9,Men,"Kisumu, 1.9%"
Kisumu,Receiving treatment,NA,Men,"Kisumu, NA%"
Homa Bay,Diagnosed with Depression,2.2,Men,"Homa Bay, 2.2%"
Homa Bay,Receiving treatment,NA,Men,"Homa Bay, NA%"
Migori,Diagnosed with Depression,4.7,Men,"Migori, 4.7%"
Migori,Receiving treatment,NA,Men,"Migori, NA%"
Kisii,Diagnosed with Depression,0,Men,"Kisii, 0%"
Kisii,Receiving treatment,NA,Men,"Kisii, NA%"
Nyamira,Diagnosed with Depression,1.9,Men,"Nyamira, 1.9%"
Nyamira,Receiving treatment,NA,Men,"Nyamira, NA%"
Nairobi,Diagnosed with Depression,4.4,Men,"Nairobi, 4.4%"
Nairobi,Receiving treatment,NA,Men,"Nairobi, NA%"
