"","Value","Category","Proportion","Participants","Background characteristics"
"42","35-39","Skilled Farm & Wildlife Related Workers",22,"Women","Age"
"43","35-39","Craft & Related Trades Workers",2,"Women","Age"
"44","35-39","Plant & Machine Operators",1,"Women","Age"
"45","35-39","Elementary Occupations",25,"Women","Age"
"46","40-44","Legislators, Administrators & Managers",11,"Women","Age"
"47","40-44","Professionals",5,"Women","Age"
"48","40-44","Technicians & Associate Professionals",9,"Women","Age"
"49","40-44","Secretarial & Clerical Services",2,"Women","Age"
"50","40-44","Service Workers",16,"Women","Age"
"51","40-44","Skilled Farm & Wildlife Related Workers",28,"Women","Age"
"52","40-44","Craft & Related Trades Workers",2,"Women","Age"
"53","40-44","Plant & Machine Operators",1,"Women","Age"
"54","40-44","Elementary Occupations",25,"Women","Age"
"55","45-49","Legislators, Administrators & Managers",9,"Women","Age"
"56","45-49","Professionals",6,"Women","Age"
"57","45-49","Technicians & Associate Professionals",8,"Women","Age"
"58","45-49","Secretarial & Clerical Services",1,"Women","Age"
"59","45-49","Service Workers",14,"Women","Age"
"60","45-49","Skilled Farm & Wildlife Related Workers",33,"Women","Age"
"61","45-49","Craft & Related Trades Workers",1,"Women","Age"
"62","45-49","Plant & Machine Operators",0.4,"Women","Age"
"63","45-49","Elementary Occupations",25,"Women","Age"
"64","Never married","Legislators, Administrators & Managers",9,"Women","Marital Status"
"65","Never married","Professionals",7,"Women","Marital Status"
"66","Never married","Technicians & Associate Professionals",9,"Women","Marital Status"
"67","Never married","Secretarial & Clerical Services",3,"Women","Marital Status"
"68","Never married","Service Workers",21,"Women","Marital Status"
"69","Never married","Skilled Farm & Wildlife Related Workers",16,"Women","Marital Status"
"70","Never married","Craft & Related Trades Workers",1,"Women","Marital Status"
"71","Never married","Plant & Machine Operators",1,"Women","Marital Status"
"72","Never married","Elementary Occupations",28,"Women","Marital Status"
"73","Married or living together","Legislators, Administrators & Managers",11,"Women","Marital Status"
"74","Married or living together","Professionals",6,"Women","Marital Status"
"75","Married or living together","Technicians & Associate Professionals",9,"Women","Marital Status"
"76","Married or living together","Secretarial & Clerical Services",2,"Women","Marital Status"
"77","Married or living together","Service Workers",21,"Women","Marital Status"
"78","Married or living together","Skilled Farm & Wildlife Related Workers",25,"Women","Marital Status"
"79","Married or living together","Craft & Related Trades Workers",1,"Women","Marital Status"
"80","Married or living together","Plant & Machine Operators",1,"Women","Marital Status"
"81","Married or living together","Elementary Occupations",22,"Women","Marital Status"
"82","Divorced/separated/widowed","Legislators, Administrators & Managers",9,"Women","Marital Status"
"83","Divorced/separated/widowed","Professionals",4,"Women","Marital Status"
"84","Divorced/separated/widowed","Technicians & Associate Professionals",5,"Women","Marital Status"
"85","Divorced/separated/widowed","Secretarial & Clerical Services",2,"Women","Marital Status"
"86","Divorced/separated/widowed","Service Workers",23,"Women","Marital Status"
"87","Divorced/separated/widowed","Skilled Farm & Wildlife Related Workers",16,"Women","Marital Status"
"88","Divorced/separated/widowed","Craft & Related Trades Workers",2,"Women","Marital Status"
"89","Divorced/separated/widowed","Plant & Machine Operators",1,"Women","Marital Status"
"90","Divorced/separated/widowed","Elementary Occupations",36,"Women","Marital Status"
"91","0","Legislators, Administrators & Managers",10,"Women","No. of living children"
"92","0","Professionals",8,"Women","No. of living children"
"93","0","Technicians & Associate Professionals",9,"Women","No. of living children"
"94","0","Secretarial & Clerical Services",4,"Women","No. of living children"
"95","0","Service Workers",21,"Women","No. of living children"
"96","0","Skilled Farm & Wildlife Related Workers",16,"Women","No. of living children"
"97","0","Craft & Related Trades Workers",1,"Women","No. of living children"
"98","0","Plant & Machine Operators",1,"Women","No. of living children"
"99","0","Elementary Occupations",25,"Women","No. of living children"
"100","1-2","Legislators, Administrators & Managers",11,"Women","No. of living children"
"101","1-2","Professionals",6,"Women","No. of living children"
"102","1-2","Technicians & Associate Professionals",11,"Women","No. of living children"
"103","1-2","Secretarial & Clerical Services",3,"Women","No. of living children"
"104","1-2","Service Workers",25,"Women","No. of living children"
"105","1-2","Skilled Farm & Wildlife Related Workers",15,"Women","No. of living children"
"106","1-2","Craft & Related Trades Workers",1,"Women","No. of living children"
"107","1-2","Plant & Machine Operators",1,"Women","No. of living children"
"108","1-2","Elementary Occupations",24,"Women","No. of living children"
"109","3-4","Legislators, Administrators & Managers",11,"Women","No. of living children"
"110","3-4","Professionals",5,"Women","No. of living children"
"111","3-4","Technicians & Associate Professionals",7,"Women","No. of living children"
"112","3-4","Secretarial & Clerical Services",1,"Women","No. of living children"
"113","3-4","Service Workers",20,"Women","No. of living children"
"114","3-4","Skilled Farm & Wildlife Related Workers",27,"Women","No. of living children"
"115","3-4","Craft & Related Trades Workers",1,"Women","No. of living children"
"116","3-4","Plant & Machine Operators",1,"Women","No. of living children"
"117","3-4","Elementary Occupations",26,"Women","No. of living children"
"118","5+","Legislators, Administrators & Managers",8,"Women","No. of living children"
"119","5+","Professionals",3,"Women","No. of living children"
"120","5+","Technicians & Associate Professionals",3,"Women","No. of living children"
"121","5+","Secretarial & Clerical Services",1,"Women","No. of living children"
"122","5+","Service Workers",13,"Women","No. of living children"
"123","5+","Skilled Farm & Wildlife Related Workers",38,"Women","No. of living children"
"124","5+","Craft & Related Trades Workers",2,"Women","No. of living children"
"125","5+","Plant & Machine Operators",1,"Women","No. of living children"
"126","5+","Elementary Occupations",31,"Women","No. of living children"
"127","Urban","Legislators, Administrators & Managers",12,"Women","Residence"
"128","Urban","Professionals",7,"Women","Residence"
"129","Urban","Technicians & Associate Professionals",10,"Women","Residence"
"130","Urban","Secretarial & Clerical Services",3,"Women","Residence"
"131","Urban","Service Workers",29,"Women","Residence"
"132","Urban","Skilled Farm & Wildlife Related Workers",4,"Women","Residence"
"133","Urban","Craft & Related Trades Workers",1,"Women","Residence"
"134","Urban","Plant & Machine Operators",1,"Women","Residence"
"135","Urban","Elementary Occupations",28,"Women","Residence"
"136","Rural","Legislators, Administrators & Managers",9,"Women","Residence"
"137","Rural","Professionals",5,"Women","Residence"
"138","Rural","Technicians & Associate Professionals",7,"Women","Residence"
"139","Rural","Secretarial & Clerical Services",1,"Women","Residence"
"140","Rural","Service Workers",15,"Women","Residence"
"141","Rural","Skilled Farm & Wildlife Related Workers",36,"Women","Residence"
"142","Rural","Craft & Related Trades Workers",1,"Women","Residence"
"143","Rural","Plant & Machine Operators",0.5,"Women","Residence"
"144","Rural","Elementary Occupations",24,"Women","Residence"
"145","No education","Legislators, Administrators & Managers",14,"Women","Education"
"146","No education","Professionals",1,"Women","Education"
"147","No education","Technicians & Associate Professionals",1,"Women","Education"
"148","No education","Secretarial & Clerical Services",1,"Women","Education"
"149","No education","Service Workers",22,"Women","Education"
"150","No education","Skilled Farm & Wildlife Related Workers",24,"Women","Education"
"151","No education","Craft & Related Trades Workers",2,"Women","Education"
"152","No education","Plant & Machine Operators",2,"Women","Education"
"153","No education","Elementary Occupations",32,"Women","Education"
"154","Primary","Legislators, Administrators & Managers",8,"Women","Education"
"155","Primary","Professionals",4,"Women","Education"
"156","Primary","Technicians & Associate Professionals",1,"Women","Education"
"157","Primary","Secretarial & Clerical Services",1,"Women","Education"
"158","Primary","Service Workers",17,"Women","Education"
"159","Primary","Skilled Farm & Wildlife Related Workers",33,"Women","Education"
"160","Primary","Craft & Related Trades Workers",2,"Women","Education"
"161","Primary","Plant & Machine Operators",1,"Women","Education"
"162","Primary","Elementary Occupations",34,"Women","Education"
"163","Secondary","Legislators, Administrators & Managers",12,"Women","Education"
"164","Secondary","Professionals",4,"Women","Education"
"165","Secondary","Technicians & Associate Professionals",4,"Women","Education"
"166","Secondary","Secretarial & Clerical Services",2,"Women","Education"
"167","Secondary","Service Workers",27,"Women","Education"
"168","Secondary","Skilled Farm & Wildlife Related Workers",22,"Women","Education"
"169","Secondary","Craft & Related Trades Workers",1,"Women","Education"
"170","Secondary","Plant & Machine Operators",1,"Women","Education"
"171","Secondary","Elementary Occupations",26,"Women","Education"
"172","More than secondary","Legislators, Administrators & Managers",12,"Women","Education"
"173","More than secondary","Professionals",12,"Women","Education"
"174","More than secondary","Technicians & Associate Professionals",28,"Women","Education"
"175","More than secondary","Secretarial & Clerical Services",5,"Women","Education"
"176","More than secondary","Service Workers",21,"Women","Education"
"177","More than secondary","Skilled Farm & Wildlife Related Workers",5,"Women","Education"
"178","More than secondary","Craft & Related Trades Workers",1,"Women","Education"
"179","More than secondary","Plant & Machine Operators",1,"Women","Education"
"180","More than secondary","Elementary Occupations",10,"Women","Education"
"181","Lowest","Legislators, Administrators & Managers",6,"Women","Wealth Quintile"
"182","Lowest","Professionals",3,"Women","Wealth Quintile"
"183","Lowest","Technicians & Associate Professionals",2,"Women","Wealth Quintile"
"184","Lowest","Secretarial & Clerical Services",1,"Women","Wealth Quintile"
"185","Lowest","Service Workers",13,"Women","Wealth Quintile"
"186","Lowest","Skilled Farm & Wildlife Related Workers",40,"Women","Wealth Quintile"
"187","Lowest","Craft & Related Trades Workers",2,"Women","Wealth Quintile"
"188","Lowest","Plant & Machine Operators",1,"Women","Wealth Quintile"
"189","Lowest","Elementary Occupations",32,"Women","Wealth Quintile"
"190","Second","Legislators, Administrators & Managers",7,"Women","Wealth Quintile"
"191","Second","Professionals",4,"Women","Wealth Quintile"
"192","Second","Technicians & Associate Professionals",4,"Women","Wealth Quintile"
"193","Second","Secretarial & Clerical Services",1,"Women","Wealth Quintile"
"194","Second","Service Workers",12,"Women","Wealth Quintile"
"195","Second","Skilled Farm & Wildlife Related Workers",44,"Women","Wealth Quintile"
"196","Second","Craft & Related Trades Workers",1,"Women","Wealth Quintile"
"197","Second","Plant & Machine Operators",1,"Women","Wealth Quintile"
"198","Second","Elementary Occupations",26,"Women","Wealth Quintile"
"199","Middle","Legislators, Administrators & Managers",10,"Women","Wealth Quintile"
"200","Middle","Professionals",5,"Women","Wealth Quintile"
"201","Middle","Technicians & Associate Professionals",6,"Women","Wealth Quintile"
"202","Middle","Secretarial & Clerical Services",1,"Women","Wealth Quintile"
"203","Middle","Service Workers",18,"Women","Wealth Quintile"
"204","Middle","Skilled Farm & Wildlife Related Workers",33,"Women","Wealth Quintile"
"205","Middle","Craft & Related Trades Workers",1,"Women","Wealth Quintile"
"206","Middle","Plant & Machine Operators",1,"Women","Wealth Quintile"
"207","Middle","Elementary Occupations",23,"Women","Wealth Quintile"
"208","Fourth","Legislators, Administrators & Managers",12,"Women","Wealth Quintile"
"209","Fourth","Professionals",5,"Women","Wealth Quintile"
"210","Fourth","Technicians & Associate Professionals",10,"Women","Wealth Quintile"
"211","Fourth","Secretarial & Clerical Services",2,"Women","Wealth Quintile"
"212","Fourth","Service Workers",25,"Women","Wealth Quintile"
"213","Fourth","Skilled Farm & Wildlife Related Workers",13,"Women","Wealth Quintile"
"214","Fourth","Craft & Related Trades Workers",1,"Women","Wealth Quintile"
"215","Fourth","Plant & Machine Operators",1,"Women","Wealth Quintile"
"216","Fourth","Elementary Occupations",27,"Women","Wealth Quintile"
"217","Highest","Legislators, Administrators & Managers",12,"Women","Wealth Quintile"
"218","Highest","Professionals",9,"Women","Wealth Quintile"
"219","Highest","Technicians & Associate Professionals",14,"Women","Wealth Quintile"
"220","Highest","Secretarial & Clerical Services",4,"Women","Wealth Quintile"
"221","Highest","Service Workers",28,"Women","Wealth Quintile"
"222","Highest","Skilled Farm & Wildlife Related Workers",4,"Women","Wealth Quintile"
"223","Highest","Craft & Related Trades Workers",1,"Women","Wealth Quintile"
"224","Highest","Plant & Machine Operators",1,"Women","Wealth Quintile"
"225","Highest","Elementary Occupations",23,"Women","Wealth Quintile"
"226","15-19","Legislators, Administrators & Managers",3,"Men","Age"
"227","15-19","Professionals",1,"Men","Age"
"228","15-19","Technicians & Associate Professionals",2,"Men","Age"
"229","15-19","Secretarial & Clerical Services",0.4,"Men","Age"
"230","15-19","Service Workers",5,"Men","Age"
"231","15-19","Skilled Farm & Wildlife Related Workers",28,"Men","Age"
"232","15-19","Craft & Related Trades Workers",8,"Men","Age"
"233","15-19","Plant & Machine Operators",9,"Men","Age"
"234","15-19","Elementary Occupations",43,"Men","Age"
"235","20-24","Legislators, Administrators & Managers",7,"Men","Age"
"236","20-24","Professionals",2,"Men","Age"
"237","20-24","Technicians & Associate Professionals",6,"Men","Age"
"238","20-24","Secretarial & Clerical Services",1,"Men","Age"
"239","20-24","Service Workers",8,"Men","Age"
"240","20-24","Skilled Farm & Wildlife Related Workers",16,"Men","Age"
"241","20-24","Craft & Related Trades Workers",13,"Men","Age"
"242","20-24","Plant & Machine Operators",11,"Men","Age"
"243","20-24","Elementary Occupations",30,"Men","Age"
"244","25-29","Legislators, Administrators & Managers",6,"Men","Age"
"245","25-29","Professionals",7,"Men","Age"
"246","25-29","Technicians & Associate Professionals",10,"Men","Age"
"247","25-29","Secretarial & Clerical Services",1,"Men","Age"
"248","25-29","Service Workers",13,"Men","Age"
"249","25-29","Skilled Farm & Wildlife Related Workers",12,"Men","Age"
"250","25-29","Craft & Related Trades Workers",11,"Men","Age"
"251","25-29","Plant & Machine Operators",13,"Men","Age"
"252","25-29","Elementary Occupations",23,"Men","Age"
"253","30-34","Legislators, Administrators & Managers",4,"Men","Age"
"254","30-34","Professionals",6,"Men","Age"
"255","30-34","Technicians & Associate Professionals",8,"Men","Age"
"256","30-34","Secretarial & Clerical Services",2,"Men","Age"
"257","30-34","Service Workers",13,"Men","Age"
"258","30-34","Skilled Farm & Wildlife Related Workers",13,"Men","Age"
"259","30-34","Craft & Related Trades Workers",13,"Men","Age"
"260","30-34","Plant & Machine Operators",12,"Men","Age"
"261","30-34","Elementary Occupations",24,"Men","Age"
"262","35-39","Legislators, Administrators & Managers",5,"Men","Age"
"263","35-39","Professionals",5,"Men","Age"
"264","35-39","Technicians & Associate Professionals",8,"Men","Age"
"265","35-39","Secretarial & Clerical Services",1,"Men","Age"
"266","35-39","Service Workers",12,"Men","Age"
"267","35-39","Skilled Farm & Wildlife Related Workers",20,"Men","Age"
"268","35-39","Craft & Related Trades Workers",11,"Men","Age"
"269","35-39","Plant & Machine Operators",14,"Men","Age"
"270","35-39","Elementary Occupations",23,"Men","Age"
"271","40-44","Legislators, Administrators & Managers",5,"Men","Age"
"272","40-44","Professionals",4,"Men","Age"
"273","40-44","Technicians & Associate Professionals",6,"Men","Age"
"274","40-44","Secretarial & Clerical Services",1,"Men","Age"
"275","40-44","Service Workers",12,"Men","Age"
"276","40-44","Skilled Farm & Wildlife Related Workers",22,"Men","Age"
"277","40-44","Craft & Related Trades Workers",12,"Men","Age"
"278","40-44","Plant & Machine Operators",10,"Men","Age"
"279","40-44","Elementary Occupations",24,"Men","Age"
"280","45-49","Legislators, Administrators & Managers",4,"Men","Age"
"281","45-49","Professionals",4,"Men","Age"
"282","45-49","Technicians & Associate Professionals",9,"Men","Age"
"283","45-49","Secretarial & Clerical Services",1,"Men","Age"
"284","45-49","Service Workers",10,"Men","Age"
"285","45-49","Skilled Farm & Wildlife Related Workers",28,"Men","Age"
"286","45-49","Craft & Related Trades Workers",11,"Men","Age"
"287","45-49","Plant & Machine Operators",7,"Men","Age"
"288","45-49","Elementary Occupations",24,"Men","Age"
"289","50-54","Legislators, Administrators & Managers",6,"Men","Age"
"290","50-54","Professionals",6,"Men","Age"
"291","50-54","Technicians & Associate Professionals",8,"Men","Age"
"292","50-54","Secretarial & Clerical Services",2,"Men","Age"
"293","50-54","Service Workers",12,"Men","Age"
"294","50-54","Skilled Farm & Wildlife Related Workers",26,"Men","Age"
"295","50-54","Craft & Related Trades Workers",11,"Men","Age"
"296","50-54","Plant & Machine Operators",3,"Men","Age"
"297","50-54","Elementary Occupations",23,"Men","Age"
"298","Never married","Legislators, Administrators & Managers",5,"Men","Marital Status"
"299","Never married","Professionals",4,"Men","Marital Status"
"300","Never married","Technicians & Associate Professionals",6,"Men","Marital Status"
"301","Never married","Secretarial & Clerical Services",1,"Men","Marital Status"
"302","Never married","Service Workers",8,"Men","Marital Status"
"303","Never married","Skilled Farm & Wildlife Related Workers",19,"Men","Marital Status"
"304","Never married","Craft & Related Trades Workers",10,"Men","Marital Status"
"305","Never married","Plant & Machine Operators",9,"Men","Marital Status"
"306","Never married","Elementary Occupations",34,"Men","Marital Status"
"307","Married or living together","Legislators, Administrators & Managers",5,"Men","Marital Status"
"308","Married or living together","Professionals",5,"Men","Marital Status"
"309","Married or living together","Technicians & Associate Professionals",8,"Men","Marital Status"
"310","Married or living together","Secretarial & Clerical Services",2,"Men","Marital Status"
"311","Married or living together","Service Workers",12,"Men","Marital Status"
"312","Married or living together","Skilled Farm & Wildlife Related Workers",18,"Men","Marital Status"
"313","Married or living together","Craft & Related Trades Workers",12,"Men","Marital Status"
"314","Married or living together","Plant & Machine Operators",13,"Men","Marital Status"
"315","Married or living together","Elementary Occupations",22,"Men","Marital Status"
"316","Divorced/separated/widowed","Legislators, Administrators & Managers",3,"Men","Marital Status"
"317","Divorced/separated/widowed","Professionals",2,"Men","Marital Status"
"318","Divorced/separated/widowed","Technicians & Associate Professionals",4,"Men","Marital Status"
"319","Divorced/separated/widowed","Secretarial & Clerical Services",0.3,"Men","Marital Status"
"320","Divorced/separated/widowed","Service Workers",12,"Men","Marital Status"
"321","Divorced/separated/widowed","Skilled Farm & Wildlife Related Workers",18,"Men","Marital Status"
"322","Divorced/separated/widowed","Craft & Related Trades Workers",13,"Men","Marital Status"
"323","Divorced/separated/widowed","Plant & Machine Operators",13,"Men","Marital Status"
"324","Divorced/separated/widowed","Elementary Occupations",33,"Men","Marital Status"
"325","0","Legislators, Administrators & Managers",5,"Men","No. of living children"
"326","0","Professionals",4,"Men","No. of living children"
"327","0","Technicians & Associate Professionals",6,"Men","No. of living children"
"328","0","Secretarial & Clerical Services",1,"Men","No. of living children"
"329","0","Service Workers",8,"Men","No. of living children"
"330","0","Skilled Farm & Wildlife Related Workers",19,"Men","No. of living children"
"331","0","Craft & Related Trades Workers",10,"Men","No. of living children"
"332","0","Plant & Machine Operators",9,"Men","No. of living children"
"333","0","Elementary Occupations",33,"Men","No. of living children"
"334","1-2","Legislators, Administrators & Managers",5,"Men","No. of living children"
"335","1-2","Professionals",6,"Men","No. of living children"
"336","1-2","Technicians & Associate Professionals",9,"Men","No. of living children"
"337","1-2","Secretarial & Clerical Services",2,"Men","No. of living children"
"338","1-2","Service Workers",13,"Men","No. of living children"
"339","1-2","Skilled Farm & Wildlife Related Workers",13,"Men","No. of living children"
"340","1-2","Craft & Related Trades Workers",12,"Men","No. of living children"
"341","1-2","Plant & Machine Operators",13,"Men","No. of living children"
"342","1-2","Elementary Occupations",23,"Men","No. of living children"
"343","3-4","Legislators, Administrators & Managers",4,"Men","No. of living children"
"344","3-4","Professionals",3,"Men","No. of living children"
"345","3-4","Technicians & Associate Professionals",7,"Men","No. of living children"
"346","3-4","Secretarial & Clerical Services",1,"Men","No. of living children"
"347","3-4","Service Workers",12,"Men","No. of living children"
"348","3-4","Skilled Farm & Wildlife Related Workers",22,"Men","No. of living children"
"349","3-4","Craft & Related Trades Workers",13,"Men","No. of living children"
"350","3-4","Plant & Machine Operators",14,"Men","No. of living children"
"351","3-4","Elementary Occupations",23,"Men","No. of living children"
"352","5+","Legislators, Administrators & Managers",4,"Men","No. of living children"
"353","5+","Professionals",2,"Men","No. of living children"
"354","5+","Technicians & Associate Professionals",6,"Men","No. of living children"
"355","5+","Secretarial & Clerical Services",1,"Men","No. of living children"
"356","5+","Service Workers",10,"Men","No. of living children"
"357","5+","Skilled Farm & Wildlife Related Workers",28,"Men","No. of living children"
"358","5+","Craft & Related Trades Workers",12,"Men","No. of living children"
"359","5+","Plant & Machine Operators",10,"Men","No. of living children"
"360","5+","Elementary Occupations",24,"Men","No. of living children"
"361","Urban","Legislators, Administrators & Managers",7,"Men","Residence"
"362","Urban","Professionals",8,"Men","Residence"
"363","Urban","Technicians & Associate Professionals",9,"Men","Residence"
"364","Urban","Secretarial & Clerical Services",2,"Men","Residence"
"365","Urban","Service Workers",16,"Men","Residence"
"366","Urban","Skilled Farm & Wildlife Related Workers",5,"Men","Residence"
"367","Urban","Craft & Related Trades Workers",12,"Men","Residence"
"368","Urban","Plant & Machine Operators",12,"Men","Residence"
"369","Urban","Elementary Occupations",23,"Men","Residence"
"370","Rural","Legislators, Administrators & Managers",4,"Men","Residence"
"371","Rural","Professionals",2,"Men","Residence"
"372","Rural","Technicians & Associate Professionals",5,"Men","Residence"
"373","Rural","Secretarial & Clerical Services",0.5,"Men","Residence"
"374","Rural","Service Workers",7,"Men","Residence"
"375","Rural","Skilled Farm & Wildlife Related Workers",28,"Men","Residence"
"376","Rural","Craft & Related Trades Workers",11,"Men","Residence"
"377","Rural","Plant & Machine Operators",11,"Men","Residence"
"378","Rural","Elementary Occupations",30,"Men","Residence"
"379","No education","Legislators, Administrators & Managers",3,"Men","Education"
"380","No education","Professionals",2,"Men","Education"
"381","No education","Technicians & Associate Professionals",2,"Men","Education"
"382","No education","Secretarial & Clerical Services",0.1,"Men","Education"
"383","No education","Service Workers",8,"Men","Education"
"384","No education","Skilled Farm & Wildlife Related Workers",25,"Men","Education"
"385","No education","Craft & Related Trades Workers",7,"Men","Education"
"386","No education","Plant & Machine Operators",8,"Men","Education"
"387","No education","Elementary Occupations",43,"Men","Education"
"388","Primary","Legislators, Administrators & Managers",3,"Men","Education"
"389","Primary","Professionals",1,"Men","Education"
"390","Primary","Technicians & Associate Professionals",2,"Men","Education"
"391","Primary","Secretarial & Clerical Services",0.4,"Men","Education"
"392","Primary","Service Workers",7,"Men","Education"
"393","Primary","Skilled Farm & Wildlife Related Workers",24,"Men","Education"
"394","Primary","Craft & Related Trades Workers",13,"Men","Education"
"395","Primary","Plant & Machine Operators",12,"Men","Education"
"396","Primary","Elementary Occupations",35,"Men","Education"
"397","Secondary","Legislators, Administrators & Managers",5,"Men","Education"
"398","Secondary","Professionals",2,"Men","Education"
"399","Secondary","Technicians & Associate Professionals",3,"Men","Education"
"400","Secondary","Secretarial & Clerical Services",1,"Men","Education"
"401","Secondary","Service Workers",12,"Men","Education"
"402","Secondary","Skilled Farm & Wildlife Related Workers",20,"Men","Education"
"403","Secondary","Craft & Related Trades Workers",12,"Men","Education"
"404","Secondary","Plant & Machine Operators",14,"Men","Education"
"405","Secondary","Elementary Occupations",27,"Men","Education"
"406","More than secondary","Legislators, Administrators & Managers",7,"Men","Education"
"407","More than secondary","Professionals",13,"Men","Education"
"408","More than secondary","Technicians & Associate Professionals",21,"Men","Education"
"409","More than secondary","Secretarial & Clerical Services",2,"Men","Education"
"410","More than secondary","Service Workers",13,"Men","Education"
"411","More than secondary","Skilled Farm & Wildlife Related Workers",8,"Men","Education"
"412","More than secondary","Craft & Related Trades Workers",8,"Men","Education"
"413","More than secondary","Plant & Machine Operators",7,"Men","Education"
"414","More than secondary","Elementary Occupations",13,"Men","Education"
"415","Lowest","Legislators, Administrators & Managers",2,"Men","Wealth Quintile"
"416","Lowest","Professionals",1,"Men","Wealth Quintile"
"417","Lowest","Technicians & Associate Professionals",2,"Men","Wealth Quintile"
"418","Lowest","Secretarial & Clerical Services",0.1,"Men","Wealth Quintile"
"419","Lowest","Service Workers",5,"Men","Wealth Quintile"
"420","Lowest","Skilled Farm & Wildlife Related Workers",30,"Men","Wealth Quintile"
"421","Lowest","Craft & Related Trades Workers",9,"Men","Wealth Quintile"
"422","Lowest","Plant & Machine Operators",9,"Men","Wealth Quintile"
"423","Lowest","Elementary Occupations",40,"Men","Wealth Quintile"
"424","Second","Legislators, Administrators & Managers",2,"Men","Wealth Quintile"
"425","Second","Professionals",1,"Men","Wealth Quintile"
"426","Second","Technicians & Associate Professionals",3,"Men","Wealth Quintile"
"427","Second","Secretarial & Clerical Services",0.5,"Men","Wealth Quintile"
"428","Second","Service Workers",7,"Men","Wealth Quintile"
"429","Second","Skilled Farm & Wildlife Related Workers",28,"Men","Wealth Quintile"
"430","Second","Craft & Related Trades Workers",11,"Men","Wealth Quintile"
"431","Second","Plant & Machine Operators",12,"Men","Wealth Quintile"
"432","Second","Elementary Occupations",32,"Men","Wealth Quintile"
"433","Middle","Legislators, Administrators & Managers",4,"Men","Wealth Quintile"
"434","Middle","Professionals",2,"Men","Wealth Quintile"
"435","Middle","Technicians & Associate Professionals",5,"Men","Wealth Quintile"
"436","Middle","Secretarial & Clerical Services",1,"Men","Wealth Quintile"
"437","Middle","Service Workers",8,"Men","Wealth Quintile"
"438","Middle","Skilled Farm & Wildlife Related Workers",23,"Men","Wealth Quintile"
"439","Middle","Craft & Related Trades Workers",14,"Men","Wealth Quintile"
"440","Middle","Plant & Machine Operators",11,"Men","Wealth Quintile"
"441","Middle","Elementary Occupations",30,"Men","Wealth Quintile"
"442","Fourth","Legislators, Administrators & Managers",6,"Men","Wealth Quintile"
"443","Fourth","Professionals",5,"Men","Wealth Quintile"
"444","Fourth","Technicians & Associate Professionals",9,"Men","Wealth Quintile"
"445","Fourth","Secretarial & Clerical Services",1,"Men","Wealth Quintile"
"446","Fourth","Service Workers",12,"Men","Wealth Quintile"
"447","Fourth","Skilled Farm & Wildlife Related Workers",14,"Men","Wealth Quintile"
"448","Fourth","Craft & Related Trades Workers",14,"Men","Wealth Quintile"
"449","Fourth","Plant & Machine Operators",12,"Men","Wealth Quintile"
"450","Fourth","Elementary Occupations",25,"Men","Wealth Quintile"
"451","Highest","Legislators, Administrators & Managers",8,"Men","Wealth Quintile"
