"","County","Category","Proportion","Participants","Names","cat"
"53","Taita Taveta","Plant & Machine Operators",0.3,"Women","Taita Taveta, 0.3%","<1.9"
"54","Taita Taveta","Elementary Occupations",30.4,"Women","Taita Taveta, 30.4%",">18.4"
"55","Garissa","Legislators, Administrators & Managers",9.1,"Women","Garissa, 9.1%","5.5-9.4"
"56","Garissa","Professionals",6.7,"Women","Garissa, 6.7%","5.5-9.4"
"57","Garissa","Technicians & Associate Professionals",10.5,"Women","Garissa, 10.5%","9.5-18.4"
"58","Garissa","Secretarial & Clerical Services",1.7,"Women","Garissa, 1.7%","<1.9"
"59","Garissa","Service Workers",22.1,"Women","Garissa, 22.1%",">18.4"
"60","Garissa","Skilled Farm & Wildlife Related Workers",0,"Women","Garissa, 0%","<1.9"
"61","Garissa","Craft & Related Trades Workers",1.3,"Women","Garissa, 1.3%","<1.9"
"62","Garissa","Plant & Machine Operators",4.1,"Women","Garissa, 4.1%","1.9-5.4"
"63","Garissa","Elementary Occupations",39.9,"Women","Garissa, 39.9%",">18.4"
"64","Wajir","Legislators, Administrators & Managers",24.5,"Women","Wajir, 24.5%",">18.4"
"65","Wajir","Professionals",7.4,"Women","Wajir, 7.4%","5.5-9.4"
"66","Wajir","Technicians & Associate Professionals",6.3,"Women","Wajir, 6.3%","5.5-9.4"
"67","Wajir","Secretarial & Clerical Services",0.9,"Women","Wajir, 0.9%","<1.9"
"68","Wajir","Service Workers",24.4,"Women","Wajir, 24.4%",">18.4"
"69","Wajir","Skilled Farm & Wildlife Related Workers",6.3,"Women","Wajir, 6.3%","5.5-9.4"
"70","Wajir","Craft & Related Trades Workers",2.5,"Women","Wajir, 2.5%","1.9-5.4"
"71","Wajir","Plant & Machine Operators",0,"Women","Wajir, 0%","<1.9"
"72","Wajir","Elementary Occupations",24.6,"Women","Wajir, 24.6%",">18.4"
"73","Mandera","Legislators, Administrators & Managers",NA,"Women","Mandera, NA%",NA
"74","Mandera","Professionals",NA,"Women","Mandera, NA%",NA
"75","Mandera","Technicians & Associate Professionals",NA,"Women","Mandera, NA%",NA
"76","Mandera","Secretarial & Clerical Services",NA,"Women","Mandera, NA%",NA
"77","Mandera","Service Workers",NA,"Women","Mandera, NA%",NA
"78","Mandera","Skilled Farm & Wildlife Related Workers",NA,"Women","Mandera, NA%",NA
"79","Mandera","Craft & Related Trades Workers",NA,"Women","Mandera, NA%",NA
"80","Mandera","Plant & Machine Operators",NA,"Women","Mandera, NA%",NA
"81","Mandera","Elementary Occupations",NA,"Women","Mandera, NA%",NA
"82","Marsabit","Legislators, Administrators & Managers",NA,"Women","Marsabit, NA%",NA
"83","Marsabit","Professionals",NA,"Women","Marsabit, NA%",NA
"84","Marsabit","Technicians & Associate Professionals",NA,"Women","Marsabit, NA%",NA
"85","Marsabit","Secretarial & Clerical Services",NA,"Women","Marsabit, NA%",NA
"86","Marsabit","Service Workers",NA,"Women","Marsabit, NA%",NA
"87","Marsabit","Skilled Farm & Wildlife Related Workers",NA,"Women","Marsabit, NA%",NA
"88","Marsabit","Craft & Related Trades Workers",NA,"Women","Marsabit, NA%",NA
"89","Marsabit","Plant & Machine Operators",NA,"Women","Marsabit, NA%",NA
"90","Marsabit","Elementary Occupations",NA,"Women","Marsabit, NA%",NA
"91","Isiolo","Legislators, Administrators & Managers",18,"Women","Isiolo, 18%","9.5-18.4"
"92","Isiolo","Professionals",6.5,"Women","Isiolo, 6.5%","5.5-9.4"
"93","Isiolo","Technicians & Associate Professionals",11.6,"Women","Isiolo, 11.6%","9.5-18.4"
"94","Isiolo","Secretarial & Clerical Services",2.4,"Women","Isiolo, 2.4%","1.9-5.4"
"95","Isiolo","Service Workers",19,"Women","Isiolo, 19%",">18.4"
"96","Isiolo","Skilled Farm & Wildlife Related Workers",6.8,"Women","Isiolo, 6.8%","5.5-9.4"
"97","Isiolo","Craft & Related Trades Workers",0.3,"Women","Isiolo, 0.3%","<1.9"
"98","Isiolo","Plant & Machine Operators",0.6,"Women","Isiolo, 0.6%","<1.9"
"99","Isiolo","Elementary Occupations",34.3,"Women","Isiolo, 34.3%",">18.4"
"100","Meru","Legislators, Administrators & Managers",7.7,"Women","Meru, 7.7%","5.5-9.4"
"101","Meru","Professionals",3.9,"Women","Meru, 3.9%","1.9-5.4"
"102","Meru","Technicians & Associate Professionals",5.5,"Women","Meru, 5.5%","5.5-9.4"
"103","Meru","Secretarial & Clerical Services",1.1,"Women","Meru, 1.1%","<1.9"
"104","Meru","Service Workers",14.8,"Women","Meru, 14.8%","9.5-18.4"
"105","Meru","Skilled Farm & Wildlife Related Workers",45.2,"Women","Meru, 45.2%",">18.4"
"106","Meru","Craft & Related Trades Workers",0.1,"Women","Meru, 0.1%","<1.9"
"107","Meru","Plant & Machine Operators",0.8,"Women","Meru, 0.8%","<1.9"
"108","Meru","Elementary Occupations",20.2,"Women","Meru, 20.2%",">18.4"
"109","Tharaka Nithi","Legislators, Administrators & Managers",7.1,"Women","Tharaka Nithi, 7.1%","5.5-9.4"
"110","Tharaka Nithi","Professionals",3.7,"Women","Tharaka Nithi, 3.7%","1.9-5.4"
"111","Tharaka Nithi","Technicians & Associate Professionals",8.9,"Women","Tharaka Nithi, 8.9%","5.5-9.4"
"112","Tharaka Nithi","Secretarial & Clerical Services",1.8,"Women","Tharaka Nithi, 1.8%","<1.9"
"113","Tharaka Nithi","Service Workers",19.8,"Women","Tharaka Nithi, 19.8%",">18.4"
"114","Tharaka Nithi","Skilled Farm & Wildlife Related Workers",35.7,"Women","Tharaka Nithi, 35.7%",">18.4"
"115","Tharaka Nithi","Craft & Related Trades Workers",0.5,"Women","Tharaka Nithi, 0.5%","<1.9"
"116","Tharaka Nithi","Plant & Machine Operators",0.3,"Women","Tharaka Nithi, 0.3%","<1.9"
"117","Tharaka Nithi","Elementary Occupations",20,"Women","Tharaka Nithi, 20%",">18.4"
"118","Embu","Legislators, Administrators & Managers",27,"Women","Embu, 27%",">18.4"
"119","Embu","Professionals",5,"Women","Embu, 5%","1.9-5.4"
"120","Embu","Technicians & Associate Professionals",6.3,"Women","Embu, 6.3%","5.5-9.4"
"121","Embu","Secretarial & Clerical Services",2.5,"Women","Embu, 2.5%","1.9-5.4"
"122","Embu","Service Workers",8.6,"Women","Embu, 8.6%","5.5-9.4"
"123","Embu","Skilled Farm & Wildlife Related Workers",32.4,"Women","Embu, 32.4%",">18.4"
"124","Embu","Craft & Related Trades Workers",0.2,"Women","Embu, 0.2%","<1.9"
"125","Embu","Plant & Machine Operators",0.7,"Women","Embu, 0.7%","<1.9"
"126","Embu","Elementary Occupations",15.2,"Women","Embu, 15.2%","9.5-18.4"
"127","Kitui","Legislators, Administrators & Managers",16.3,"Women","Kitui, 16.3%","9.5-18.4"
"128","Kitui","Professionals",7.4,"Women","Kitui, 7.4%","5.5-9.4"
"129","Kitui","Technicians & Associate Professionals",10.3,"Women","Kitui, 10.3%","9.5-18.4"
"130","Kitui","Secretarial & Clerical Services",4.7,"Women","Kitui, 4.7%","1.9-5.4"
"131","Kitui","Service Workers",19.5,"Women","Kitui, 19.5%",">18.4"
"132","Kitui","Skilled Farm & Wildlife Related Workers",15.3,"Women","Kitui, 15.3%","9.5-18.4"
"133","Kitui","Craft & Related Trades Workers",0.6,"Women","Kitui, 0.6%","<1.9"
"134","Kitui","Plant & Machine Operators",0,"Women","Kitui, 0%","<1.9"
"135","Kitui","Elementary Occupations",24.9,"Women","Kitui, 24.9%",">18.4"
"136","Machakos","Legislators, Administrators & Managers",19.8,"Women","Machakos, 19.8%",">18.4"
"137","Machakos","Professionals",7.3,"Women","Machakos, 7.3%","5.5-9.4"
"138","Machakos","Technicians & Associate Professionals",9.4,"Women","Machakos, 9.4%","5.5-9.4"
"139","Machakos","Secretarial & Clerical Services",2.4,"Women","Machakos, 2.4%","1.9-5.4"
"140","Machakos","Service Workers",25,"Women","Machakos, 25%",">18.4"
"141","Machakos","Skilled Farm & Wildlife Related Workers",7.2,"Women","Machakos, 7.2%","5.5-9.4"
"142","Machakos","Craft & Related Trades Workers",0.5,"Women","Machakos, 0.5%","<1.9"
"143","Machakos","Plant & Machine Operators",1.8,"Women","Machakos, 1.8%","<1.9"
"144","Machakos","Elementary Occupations",24,"Women","Machakos, 24%",">18.4"
"145","Makueni","Legislators, Administrators & Managers",15.2,"Women","Makueni, 15.2%","9.5-18.4"
"146","Makueni","Professionals",4,"Women","Makueni, 4%","1.9-5.4"
"147","Makueni","Technicians & Associate Professionals",11.5,"Women","Makueni, 11.5%","9.5-18.4"
"148","Makueni","Secretarial & Clerical Services",2.4,"Women","Makueni, 2.4%","1.9-5.4"
"149","Makueni","Service Workers",24.5,"Women","Makueni, 24.5%",">18.4"
"150","Makueni","Skilled Farm & Wildlife Related Workers",6.3,"Women","Makueni, 6.3%","5.5-9.4"
"151","Makueni","Craft & Related Trades Workers",0.2,"Women","Makueni, 0.2%","<1.9"
"152","Makueni","Plant & Machine Operators",0.1,"Women","Makueni, 0.1%","<1.9"
"153","Makueni","Elementary Occupations",34.3,"Women","Makueni, 34.3%",">18.4"
"154","Nyandarua","Legislators, Administrators & Managers",10.3,"Women","Nyandarua, 10.3%","9.5-18.4"
"155","Nyandarua","Professionals",3.4,"Women","Nyandarua, 3.4%","1.9-5.4"
"156","Nyandarua","Technicians & Associate Professionals",4.3,"Women","Nyandarua, 4.3%","1.9-5.4"
"157","Nyandarua","Secretarial & Clerical Services",0.5,"Women","Nyandarua, 0.5%","<1.9"
"158","Nyandarua","Service Workers",12,"Women","Nyandarua, 12%","9.5-18.4"
"159","Nyandarua","Skilled Farm & Wildlife Related Workers",52.3,"Women","Nyandarua, 52.3%",">18.4"
"160","Nyandarua","Craft & Related Trades Workers",0.4,"Women","Nyandarua, 0.4%","<1.9"
"161","Nyandarua","Plant & Machine Operators",0.3,"Women","Nyandarua, 0.3%","<1.9"
"162","Nyandarua","Elementary Occupations",15.9,"Women","Nyandarua, 15.9%","9.5-18.4"
"163","Nyeri","Legislators, Administrators & Managers",16.6,"Women","Nyeri, 16.6%","9.5-18.4"
"164","Nyeri","Professionals",6.7,"Women","Nyeri, 6.7%","5.5-9.4"
"165","Nyeri","Technicians & Associate Professionals",9.8,"Women","Nyeri, 9.8%","9.5-18.4"
"166","Nyeri","Secretarial & Clerical Services",3,"Women","Nyeri, 3%","1.9-5.4"
"167","Nyeri","Service Workers",16.6,"Women","Nyeri, 16.6%","9.5-18.4"
"168","Nyeri","Skilled Farm & Wildlife Related Workers",23.2,"Women","Nyeri, 23.2%",">18.4"
"169","Nyeri","Craft & Related Trades Workers",1.3,"Women","Nyeri, 1.3%","<1.9"
"170","Nyeri","Plant & Machine Operators",0.3,"Women","Nyeri, 0.3%","<1.9"
"171","Nyeri","Elementary Occupations",19.8,"Women","Nyeri, 19.8%",">18.4"
"172","Kirinyaga","Legislators, Administrators & Managers",10.9,"Women","Kirinyaga, 10.9%","9.5-18.4"
"173","Kirinyaga","Professionals",4.7,"Women","Kirinyaga, 4.7%","1.9-5.4"
"174","Kirinyaga","Technicians & Associate Professionals",6,"Women","Kirinyaga, 6%","5.5-9.4"
"175","Kirinyaga","Secretarial & Clerical Services",2.8,"Women","Kirinyaga, 2.8%","1.9-5.4"
"176","Kirinyaga","Service Workers",21.7,"Women","Kirinyaga, 21.7%",">18.4"
"177","Kirinyaga","Skilled Farm & Wildlife Related Workers",19.8,"Women","Kirinyaga, 19.8%",">18.4"
"178","Kirinyaga","Craft & Related Trades Workers",1.3,"Women","Kirinyaga, 1.3%","<1.9"
"179","Kirinyaga","Plant & Machine Operators",0,"Women","Kirinyaga, 0%","<1.9"
"180","Kirinyaga","Elementary Occupations",31,"Women","Kirinyaga, 31%",">18.4"
"181","Muranga","Legislators, Administrators & Managers",6.4,"Women","Muranga, 6.4%","5.5-9.4"
"182","Muranga","Professionals",5.7,"Women","Muranga, 5.7%","5.5-9.4"
"183","Muranga","Technicians & Associate Professionals",5.5,"Women","Muranga, 5.5%","5.5-9.4"
"184","Muranga","Secretarial & Clerical Services",0.8,"Women","Muranga, 0.8%","<1.9"
"185","Muranga","Service Workers",17.9,"Women","Muranga, 17.9%","9.5-18.4"
"186","Muranga","Skilled Farm & Wildlife Related Workers",31.6,"Women","Muranga, 31.6%",">18.4"
"187","Muranga","Craft & Related Trades Workers",1.3,"Women","Muranga, 1.3%","<1.9"
"188","Muranga","Plant & Machine Operators",0.3,"Women","Muranga, 0.3%","<1.9"
"189","Muranga","Elementary Occupations",29.1,"Women","Muranga, 29.1%",">18.4"
"190","Kiambu","Legislators, Administrators & Managers",9.2,"Women","Kiambu, 9.2%","5.5-9.4"
"191","Kiambu","Professionals",5.2,"Women","Kiambu, 5.2%","1.9-5.4"
"192","Kiambu","Technicians & Associate Professionals",7.5,"Women","Kiambu, 7.5%","5.5-9.4"
"193","Kiambu","Secretarial & Clerical Services",1.8,"Women","Kiambu, 1.8%","<1.9"
"194","Kiambu","Service Workers",23.1,"Women","Kiambu, 23.1%",">18.4"
"195","Kiambu","Skilled Farm & Wildlife Related Workers",14.3,"Women","Kiambu, 14.3%","9.5-18.4"
"196","Kiambu","Craft & Related Trades Workers",1.7,"Women","Kiambu, 1.7%","<1.9"
"197","Kiambu","Plant & Machine Operators",0.7,"Women","Kiambu, 0.7%","<1.9"
"198","Kiambu","Elementary Occupations",31.9,"Women","Kiambu, 31.9%",">18.4"
"199","Turkana","Legislators, Administrators & Managers",7.7,"Women","Turkana, 7.7%","5.5-9.4"
"200","Turkana","Professionals",2.1,"Women","Turkana, 2.1%","1.9-5.4"
"201","Turkana","Technicians & Associate Professionals",7,"Women","Turkana, 7%","5.5-9.4"
"202","Turkana","Secretarial & Clerical Services",0.2,"Women","Turkana, 0.2%","<1.9"
"203","Turkana","Service Workers",39.2,"Women","Turkana, 39.2%",">18.4"
"204","Turkana","Skilled Farm & Wildlife Related Workers",9.4,"Women","Turkana, 9.4%","5.5-9.4"
"205","Turkana","Craft & Related Trades Workers",4.2,"Women","Turkana, 4.2%","1.9-5.4"
"206","Turkana","Plant & Machine Operators",5.6,"Women","Turkana, 5.6%","5.5-9.4"
"207","Turkana","Elementary Occupations",22.8,"Women","Turkana, 22.8%",">18.4"
"208","West Pokot","Legislators, Administrators & Managers",10.9,"Women","West Pokot, 10.9%","9.5-18.4"
"209","West Pokot","Professionals",5.1,"Women","West Pokot, 5.1%","1.9-5.4"
"210","West Pokot","Technicians & Associate Professionals",15.2,"Women","West Pokot, 15.2%","9.5-18.4"
"211","West Pokot","Secretarial & Clerical Services",1.6,"Women","West Pokot, 1.6%","<1.9"
"212","West Pokot","Service Workers",21.3,"Women","West Pokot, 21.3%",">18.4"
"213","West Pokot","Skilled Farm & Wildlife Related Workers",40.4,"Women","West Pokot, 40.4%",">18.4"
"214","West Pokot","Craft & Related Trades Workers",0.7,"Women","West Pokot, 0.7%","<1.9"
"215","West Pokot","Plant & Machine Operators",0.5,"Women","West Pokot, 0.5%","<1.9"
"216","West Pokot","Elementary Occupations",3.8,"Women","West Pokot, 3.8%","1.9-5.4"
"217","Samburu","Legislators, Administrators & Managers",22.2,"Women","Samburu, 22.2%",">18.4"
"218","Samburu","Professionals",2.7,"Women","Samburu, 2.7%","1.9-5.4"
"219","Samburu","Technicians & Associate Professionals",9.1,"Women","Samburu, 9.1%","5.5-9.4"
"220","Samburu","Secretarial & Clerical Services",1.6,"Women","Samburu, 1.6%","<1.9"
"221","Samburu","Service Workers",24.9,"Women","Samburu, 24.9%",">18.4"
"222","Samburu","Skilled Farm & Wildlife Related Workers",2.9,"Women","Samburu, 2.9%","1.9-5.4"
"223","Samburu","Craft & Related Trades Workers",3.2,"Women","Samburu, 3.2%","1.9-5.4"
"224","Samburu","Plant & Machine Operators",0.9,"Women","Samburu, 0.9%","<1.9"
"225","Samburu","Elementary Occupations",32.2,"Women","Samburu, 32.2%",">18.4"
"226","Trans Nzoia","Legislators, Administrators & Managers",6.1,"Women","Trans Nzoia, 6.1%","5.5-9.4"
"227","Trans Nzoia","Professionals",5.9,"Women","Trans Nzoia, 5.9%","5.5-9.4"
"228","Trans Nzoia","Technicians & Associate Professionals",11.6,"Women","Trans Nzoia, 11.6%","9.5-18.4"
"229","Trans Nzoia","Secretarial & Clerical Services",1.6,"Women","Trans Nzoia, 1.6%","<1.9"
"230","Trans Nzoia","Service Workers",19.6,"Women","Trans Nzoia, 19.6%",">18.4"
"231","Trans Nzoia","Skilled Farm & Wildlife Related Workers",7.8,"Women","Trans Nzoia, 7.8%","5.5-9.4"
"232","Trans Nzoia","Craft & Related Trades Workers",0.6,"Women","Trans Nzoia, 0.6%","<1.9"
"233","Trans Nzoia","Plant & Machine Operators",1.3,"Women","Trans Nzoia, 1.3%","<1.9"
"234","Trans Nzoia","Elementary Occupations",43.4,"Women","Trans Nzoia, 43.4%",">18.4"
"235","Uasin Gishu","Legislators, Administrators & Managers",9.3,"Women","Uasin Gishu, 9.3%","5.5-9.4"
"236","Uasin Gishu","Professionals",7.5,"Women","Uasin Gishu, 7.5%","5.5-9.4"
"237","Uasin Gishu","Technicians & Associate Professionals",10.5,"Women","Uasin Gishu, 10.5%","9.5-18.4"
"238","Uasin Gishu","Secretarial & Clerical Services",5,"Women","Uasin Gishu, 5%","1.9-5.4"
"239","Uasin Gishu","Service Workers",23.3,"Women","Uasin Gishu, 23.3%",">18.4"
"240","Uasin Gishu","Skilled Farm & Wildlife Related Workers",14.6,"Women","Uasin Gishu, 14.6%","9.5-18.4"
"241","Uasin Gishu","Craft & Related Trades Workers",2,"Women","Uasin Gishu, 2%","1.9-5.4"
"242","Uasin Gishu","Plant & Machine Operators",1.3,"Women","Uasin Gishu, 1.3%","<1.9"
"243","Uasin Gishu","Elementary Occupations",22.7,"Women","Uasin Gishu, 22.7%",">18.4"
"244","Elgeyo Marakwet","Legislators, Administrators & Managers",9.9,"Women","Elgeyo Marakwet, 9.9%","9.5-18.4"
"245","Elgeyo Marakwet","Professionals",4.7,"Women","Elgeyo Marakwet, 4.7%","1.9-5.4"
"246","Elgeyo Marakwet","Technicians & Associate Professionals",18.4,"Women","Elgeyo Marakwet, 18.4%","9.5-18.4"
"247","Elgeyo Marakwet","Secretarial & Clerical Services",0.7,"Women","Elgeyo Marakwet, 0.7%","<1.9"
"248","Elgeyo Marakwet","Service Workers",9.6,"Women","Elgeyo Marakwet, 9.6%","9.5-18.4"
"249","Elgeyo Marakwet","Skilled Farm & Wildlife Related Workers",43.6,"Women","Elgeyo Marakwet, 43.6%",">18.4"
"250","Elgeyo Marakwet","Craft & Related Trades Workers",0,"Women","Elgeyo Marakwet, 0%","<1.9"
"251","Elgeyo Marakwet","Plant & Machine Operators",0,"Women","Elgeyo Marakwet, 0%","<1.9"
"252","Elgeyo Marakwet","Elementary Occupations",13.1,"Women","Elgeyo Marakwet, 13.1%","9.5-18.4"
"253","Nandi","Legislators, Administrators & Managers",8.3,"Women","Nandi, 8.3%","5.5-9.4"
"254","Nandi","Professionals",2.9,"Women","Nandi, 2.9%","1.9-5.4"
"255","Nandi","Technicians & Associate Professionals",7.8,"Women","Nandi, 7.8%","5.5-9.4"
"256","Nandi","Secretarial & Clerical Services",0.8,"Women","Nandi, 0.8%","<1.9"
"257","Nandi","Service Workers",15.8,"Women","Nandi, 15.8%","9.5-18.4"
"258","Nandi","Skilled Farm & Wildlife Related Workers",53.3,"Women","Nandi, 53.3%",">18.4"
"259","Nandi","Craft & Related Trades Workers",0.6,"Women","Nandi, 0.6%","<1.9"
"260","Nandi","Plant & Machine Operators",0,"Women","Nandi, 0%","<1.9"
"261","Nandi","Elementary Occupations",10.5,"Women","Nandi, 10.5%","9.5-18.4"
"262","Baringo","Legislators, Administrators & Managers",19.9,"Women","Baringo, 19.9%",">18.4"
"263","Baringo","Professionals",3,"Women","Baringo, 3%","1.9-5.4"
"264","Baringo","Technicians & Associate Professionals",10,"Women","Baringo, 10%","9.5-18.4"
"265","Baringo","Secretarial & Clerical Services",0.3,"Women","Baringo, 0.3%","<1.9"
"266","Baringo","Service Workers",12.7,"Women","Baringo, 12.7%","9.5-18.4"
"267","Baringo","Skilled Farm & Wildlife Related Workers",26.8,"Women","Baringo, 26.8%",">18.4"
"268","Baringo","Craft & Related Trades Workers",0.6,"Women","Baringo, 0.6%","<1.9"
"269","Baringo","Plant & Machine Operators",0.4,"Women","Baringo, 0.4%","<1.9"
"270","Baringo","Elementary Occupations",24.4,"Women","Baringo, 24.4%",">18.4"
"271","Laikipia","Legislators, Administrators & Managers",3.9,"Women","Laikipia, 3.9%","1.9-5.4"
"272","Laikipia","Professionals",2.2,"Women","Laikipia, 2.2%","1.9-5.4"
"273","Laikipia","Technicians & Associate Professionals",5.5,"Women","Laikipia, 5.5%","5.5-9.4"
"274","Laikipia","Secretarial & Clerical Services",1.7,"Women","Laikipia, 1.7%","<1.9"
"275","Laikipia","Service Workers",24,"Women","Laikipia, 24%",">18.4"
"276","Laikipia","Skilled Farm & Wildlife Related Workers",27.9,"Women","Laikipia, 27.9%",">18.4"
"277","Laikipia","Craft & Related Trades Workers",1.1,"Women","Laikipia, 1.1%","<1.9"
"278","Laikipia","Plant & Machine Operators",0.3,"Women","Laikipia, 0.3%","<1.9"
"279","Laikipia","Elementary Occupations",29.8,"Women","Laikipia, 29.8%",">18.4"
"280","Nakuru","Legislators, Administrators & Managers",8.9,"Women","Nakuru, 8.9%","5.5-9.4"
"281","Nakuru","Professionals",6.4,"Women","Nakuru, 6.4%","5.5-9.4"
"282","Nakuru","Technicians & Associate Professionals",6.5,"Women","Nakuru, 6.5%","5.5-9.4"
"283","Nakuru","Secretarial & Clerical Services",2.3,"Women","Nakuru, 2.3%","1.9-5.4"
"284","Nakuru","Service Workers",21.8,"Women","Nakuru, 21.8%",">18.4"
"285","Nakuru","Skilled Farm & Wildlife Related Workers",20.9,"Women","Nakuru, 20.9%",">18.4"
"286","Nakuru","Craft & Related Trades Workers",0.6,"Women","Nakuru, 0.6%","<1.9"
"287","Nakuru","Plant & Machine Operators",0.2,"Women","Nakuru, 0.2%","<1.9"
"288","Nakuru","Elementary Occupations",28.3,"Women","Nakuru, 28.3%",">18.4"
"289","Narok","Legislators, Administrators & Managers",12.5,"Women","Narok, 12.5%","9.5-18.4"
"290","Narok","Professionals",3.7,"Women","Narok, 3.7%","1.9-5.4"
"291","Narok","Technicians & Associate Professionals",10.7,"Women","Narok, 10.7%","9.5-18.4"
"292","Narok","Secretarial & Clerical Services",0.8,"Women","Narok, 0.8%","<1.9"
"293","Narok","Service Workers",17.4,"Women","Narok, 17.4%","9.5-18.4"
"294","Narok","Skilled Farm & Wildlife Related Workers",32.4,"Women","Narok, 32.4%",">18.4"
"295","Narok","Craft & Related Trades Workers",2.5,"Women","Narok, 2.5%","1.9-5.4"
"296","Narok","Plant & Machine Operators",0,"Women","Narok, 0%","<1.9"
