Name,BCG,DPT1,DPT2,DPT3,OPV,OPV1,OPV2,OPV3,FULL_VACCINATION,year
Laikipia,93.9,97.1,97.1,91.9,88.2,97.1,95.3,76.9,55.5,2022
Nakuru,99.1,99.1,99.1,99.1,92.9,99.1,99.1,91.1,69.2,2022
Narok,98.7,97.5,97.5,90.8,53.9,97,94.2,75.9,30.8,2022
Kajiado,96.9,91.9,85.6,73.6,81.4,96.9,88.9,71,43.5,2022
Kericho,94.1,95.4,95.4,93,82.4,95.4,94.3,71.6,47.6,2022
Bomet,98.5,98.5,95.7,89.8,87.7,98.5,98.5,91.2,63.9,2022
Kakamega,100,100,100,97.1,93.2,99.6,98.2,91.8,72.8,2022
Vihiga,100,100,100,95.9,93.6,100,100,88.6,70.1,2022
Bungoma,100,98.7,97.3,97.3,82.9,97.7,97.7,89.3,65.9,2022
Busia,98.2,100,100,96.5,89.5,100,97.3,73.4,55.8,2022
Siaya,99.3,99.3,97.5,93.9,95.1,99.3,95.6,84.4,69.9,2022
Kisumu,97.7,100,87.6,87.6,91.4,98.7,98.7,85.2,62.6,2022
Homa Bay,98.3,97.5,94.7,86.2,94.1,97.6,91.4,74.8,52.6,2022
Migori,99.6,99.6,98.3,91.3,91.8,98,95.7,84.9,71.4,2022
Kisii,99.1,99.1,95.7,95.7,98.5,99.1,95.6,88.5,81.6,2022
Nyamira,100,100,96,95.5,94.8,97.4,94.8,88.8,55.8,2022
Nairobi,96.8,97.4,93.4,87.7,93.4,95.3,95.3,67.8,45.8,2022
Mombasa,100,100,98.3,95.6,78.9,100,98.3,93.8,78.6,2014
Kwale,98.6,96.7,96.7,95.1,73.5,99.4,95.9,94.6,84.5,2014
Kilifi,94.3,95.3,95.3,87.5,81.9,96.2,95.8,88.8,74.1,2014
Tana River,97.1,97.1,95,89.9,41.8,97.1,93.8,89.4,70.2,2014
Lamu,94.2,99.3,97,84.7,62.1,100,97.7,94.2,67.4,2014
Taita Taveta,98.4,98.4,98.4,97.5,87.1,100,100,97.5,88.8,2014
Garissa,80.3,94.4,93.9,91.6,49.8,94.4,88.2,84.1,57.9,2014
Wajir,91,90.8,86.2,79.1,39.2,91.7,87.4,77,49.5,2014
Mandera,71.8,68.3,56.5,48.8,31.3,71.8,60.1,52.3,42.7,2014
Marsabit,92.6,96.4,93.4,85.7,41.2,99,95.6,88.3,67.5,2014
Isiolo,96.4,98.6,96.5,94.4,72,98.6,95.9,93.7,82.3,2014
Meru,99.2,100,100,93.6,69,100,100,92.4,83.9,2014
Tharaka Nithi,100,98.3,98.3,96.8,95.3,100,100,98.3,95.3,2014
Embu,100,100,100,99.2,89.9,100,100,92.7,85.5,2014
Kitui,96.1,96.1,93.1,81.5,42.7,97.7,93.1,81.9,56.8,2014
Machakos,100,100,100,97.8,86,98.4,98.4,96.2,90,2014
Makueni,100,100,100,99.1,75.6,100,96.2,95.3,89.7,2014
Nyandarua,100,100,98.1,90.8,84.9,100,98.1,94.6,81.4,2014
Nyeri,98.7,97.2,97.2,94.9,84.4,100,100,95.1,84.3,2014
Kirinyaga,100,100,100,100,60.3,100,100,100,92.3,2014
Muranga,99,99,95.7,89.9,78,99,95.7,89.9,86.4,2014
Kiambu,100,100,100,99,81.8,100,100,99,97.2,2014
Turkana,94.5,94.4,91.5,86.2,63.7,94.4,90.8,83.9,61.8,2014
West Pokot,78.9,86.4,80.6,68.3,35.3,87.3,78.6,60.5,31.2,2014
Samburu,96.8,93.2,89.7,86.9,48.4,96.6,92.6,87.9,64.1,2014
Trans Nzoia,100,100,98.1,77.8,56.8,100,98.3,89.8,63.9,2014
Uasin Gishu,95.9,97.3,95.9,91.5,54.3,95.9,94.6,90.2,72.3,2014
Elgeyo Marakwet,100,100,97.9,97.9,78.4,99.4,97.9,95.3,85.2,2014
Nandi,99.4,100,100,99.4,69.1,100,100,99.4,96.3,2014
Baringo,100,100,98.3,94.5,60.5,100,99,94.1,69.4,2014
Laikipia,98.7,98.7,98.7,89.7,72,98.7,96.3,91.1,79.3,2014
Nakuru,97.2,97.9,96.1,90.9,74.6,97.9,95.1,90.4,74.7,2014
Narok,95,96.3,91.2,83,37.6,98.4,95,82.1,58.5,2014
Kajiado,97.7,97,92.4,79.1,51.9,96.2,87.6,68.5,56.4,2014
Kericho,100,100,100,95.7,81,100,100,93,71.8,2014
Bomet,100,100,99.2,98,62.4,100,100,95.6,81.3,2014
Kakamega,94.9,98.9,94.9,89.5,43.4,98.9,94.9,89.5,73.1,2014
Vihiga,98.3,98.3,98.3,97,75,98.3,98.3,94.4,94.4,2014
Bungoma,95.3,95,95,88.9,51.3,96.2,95.7,90.5,75.9,2014
Busia,98,96.9,95.3,90.4,54.1,100,98.4,94.1,80.4,2014
Siaya,98.4,100,100,93.9,78.6,100,100,91.9,78,2014
Kisumu,97.2,97.6,97.6,87,76.3,97.6,96.4,87.7,78.9,2014
Homa Bay,94.5,97.9,97.2,82.3,64.8,97.9,95.3,84.7,64.4,2014
Migori,87.6,99.6,97.7,89.9,39.9,98.9,96.9,92.4,57.2,2014
Kisii,100,97.8,97.8,95.3,90.5,99.1,99.1,97.2,82.2,2014
Nyamira,99,99,99,97.6,88,100,100,97,92.1,2014
Nairobi,97.6,97.3,93.6,88,71.4,98.3,96.9,91.3,74.4,2014
