County,Gender,variable,value,Year
Machakos,Female,Can read part of a sentence,7.5,2014
Makueni,Female,Can read part of a sentence,4.7,2014
Nyandarua,Female,Can read part of a sentence,3.7,2014
Nyeri,Female,Can read part of a sentence,4.7,2014
Kirinyaga,Female,Can read part of a sentence,3.5,2014
Muranga,Female,Can read part of a sentence,5.9,2014
Kiambu,Female,Can read part of a sentence,7.6,2014
Turkana,Female,Can read part of a sentence,3.4,2014
West Pokot,Female,Can read part of a sentence,20.9,2014
Samburu,Female,Can read part of a sentence,11.2,2014
Trans Nzoia,Female,Can read part of a sentence,6.5,2014
Uasin Gishu,Female,Can read part of a sentence,5.6,2014
Elgeyo Marakwet,Female,Can read part of a sentence,5.9,2014
Nandi,Female,Can read part of a sentence,13.6,2014
Baringo,Female,Can read part of a sentence,12.3,2014
Laikipia,Female,Can read part of a sentence,7.5,2014
Nakuru,Female,Can read part of a sentence,6.1,2014
Narok,Female,Can read part of a sentence,4.6,2014
Kajiado,Female,Can read part of a sentence,3.9,2014
Kericho,Female,Can read part of a sentence,12.3,2014
Bomet,Female,Can read part of a sentence,14.2,2014
Kakamega,Female,Can read part of a sentence,4.8,2014
Vihiga,Female,Can read part of a sentence,6.5,2014
Bungoma,Female,Can read part of a sentence,12.2,2014
Busia,Female,Can read part of a sentence,17.2,2014
Siaya,Female,Can read part of a sentence,11.3,2014
Kisumu,Female,Can read part of a sentence,6.5,2014
Homa Bay,Female,Can read part of a sentence,17.6,2014
Migori,Female,Can read part of a sentence,10.3,2014
Kisii,Female,Can read part of a sentence,10.7,2014
Nyamira,Female,Can read part of a sentence,15.5,2014
Nairobi,Female,Can read part of a sentence,5.6,2014
Mombasa,Male,Can read part of a sentence,2.4,2014
Kwale,Male,Can read part of a sentence,11.6,2014
Kilifi,Male,Can read part of a sentence,1.9,2014
Tana River,Male,Can read part of a sentence,6.6,2014
Lamu,Male,Can read part of a sentence,4.2,2014
Taita Taveta,Male,Can read part of a sentence,3.2,2014
Garissa,Male,Can read part of a sentence,11.1,2014
Wajir,Male,Can read part of a sentence,8.9,2014
Mandera,Male,Can read part of a sentence,7.9,2014
Marsabit,Male,Can read part of a sentence,20.8,2014
Isiolo,Male,Can read part of a sentence,22.3,2014
Meru,Male,Can read part of a sentence,3.9,2014
Tharaka Nithi,Male,Can read part of a sentence,2.3,2014
Embu,Male,Can read part of a sentence,9.8,2014
Kitui,Male,Can read part of a sentence,11.9,2014
Machakos,Male,Can read part of a sentence,4.6,2014
Makueni,Male,Can read part of a sentence,3.3,2014
Nyandarua,Male,Can read part of a sentence,10.1,2014
Nyeri,Male,Can read part of a sentence,5.6,2014
Kirinyaga,Male,Can read part of a sentence,5.8,2014
Muranga,Male,Can read part of a sentence,4.1,2014
Kiambu,Male,Can read part of a sentence,3.5,2014
Turkana,Male,Can read part of a sentence,24.2,2014
West Pokot,Male,Can read part of a sentence,8.7,2014
Samburu,Male,Can read part of a sentence,13.3,2014
Trans Nzoia,Male,Can read part of a sentence,3.9,2014
Uasin Gishu,Male,Can read part of a sentence,5.9,2014
Elgeyo Marakwet,Male,Can read part of a sentence,5,2014
Nandi,Male,Can read part of a sentence,14.8,2014
Baringo,Male,Can read part of a sentence,5.1,2014
Laikipia,Male,Can read part of a sentence,2.2,2014
Nakuru,Male,Can read part of a sentence,8.6,2014
Narok,Male,Can read part of a sentence,25.9,2014
Kajiado,Male,Can read part of a sentence,5.9,2014
Kericho,Male,Can read part of a sentence,7.6,2014
Bomet,Male,Can read part of a sentence,17.5,2014
Kakamega,Male,Can read part of a sentence,5.7,2014
Vihiga,Male,Can read part of a sentence,27.7,2014
Bungoma,Male,Can read part of a sentence,2.7,2014
Busia,Male,Can read part of a sentence,1.4,2014
Siaya,Male,Can read part of a sentence,6.5,2014
Kisumu,Male,Can read part of a sentence,14,2014
Homa Bay,Male,Can read part of a sentence,1.5,2014
Migori,Male,Can read part of a sentence,8.5,2014
Kisii,Male,Can read part of a sentence,10.1,2014
Nyamira,Male,Can read part of a sentence,21.4,2014
Nairobi,Male,Can read part of a sentence,3.3,2014
Mombasa,Female,Cannot read at all,6.5,2014
Kwale,Female,Cannot read at all,26.4,2014
Kilifi,Female,Cannot read at all,24.9,2014
Tana River,Female,Cannot read at all,45,2014
Lamu,Female,Cannot read at all,15.6,2014
Taita Taveta,Female,Cannot read at all,3.7,2014
Garissa,Female,Cannot read at all,73.2,2014
Wajir,Female,Cannot read at all,79.3,2014
Mandera,Female,Cannot read at all,75.7,2014
Marsabit,Female,Cannot read at all,64.5,2014
Isiolo,Female,Cannot read at all,42,2014
Meru,Female,Cannot read at all,13.9,2014
Tharaka Nithi,Female,Cannot read at all,15.2,2014
Embu,Female,Cannot read at all,4.4,2014
Kitui,Female,Cannot read at all,8.3,2014
Machakos,Female,Cannot read at all,3.9,2014
Makueni,Female,Cannot read at all,3,2014
Nyandarua,Female,Cannot read at all,5.1,2014
Nyeri,Female,Cannot read at all,3.7,2014
Kirinyaga,Female,Cannot read at all,7.6,2014
Muranga,Female,Cannot read at all,5.8,2014
Kiambu,Female,Cannot read at all,3.2,2014
Turkana,Female,Cannot read at all,75.2,2014
West Pokot,Female,Cannot read at all,49.9,2014
Samburu,Female,Cannot read at all,59.3,2014
Trans Nzoia,Female,Cannot read at all,14.2,2014
Uasin Gishu,Female,Cannot read at all,5.9,2014
Elgeyo Marakwet,Female,Cannot read at all,3,2014
Nandi,Female,Cannot read at all,1.4,2014
Baringo,Female,Cannot read at all,12.3,2014
Laikipia,Female,Cannot read at all,16.7,2014
Nakuru,Female,Cannot read at all,5.6,2014
Narok,Female,Cannot read at all,25.9,2014
Kajiado,Female,Cannot read at all,16.7,2014
Kericho,Female,Cannot read at all,9.8,2014
Bomet,Female,Cannot read at all,10.4,2014
Kakamega,Female,Cannot read at all,6.8,2014
Vihiga,Female,Cannot read at all,6.7,2014
Bungoma,Female,Cannot read at all,10.5,2014
Busia,Female,Cannot read at all,12.3,2014
Siaya,Female,Cannot read at all,8.1,2014
Kisumu,Female,Cannot read at all,6.8,2014
Homa Bay,Female,Cannot read at all,5.6,2014
Migori,Female,Cannot read at all,13.2,2014
Kisii,Female,Cannot read at all,8.4,2014
Nyamira,Female,Cannot read at all,1.5,2014
Nairobi,Female,Cannot read at all,3,2014
Mombasa,Male,Cannot read at all,1.1,2014
Kwale,Male,Cannot read at all,12.4,2014
Kilifi,Male,Cannot read at all,5.5,2014
Tana River,Male,Cannot read at all,18.8,2014
Lamu,Male,Cannot read at all,12.4,2014
Taita Taveta,Male,Cannot read at all,4.3,2014
Garissa,Male,Cannot read at all,27.8,2014
Wajir,Male,Cannot read at all,33.9,2014
Mandera,Male,Cannot read at all,37.4,2014
Marsabit,Male,Cannot read at all,36.4,2014
Isiolo,Male,Cannot read at all,12.1,2014
Meru,Male,Cannot read at all,9.6,2014
Tharaka Nithi,Male,Cannot read at all,9.5,2014
Embu,Male,Cannot read at all,7.8,2014
Kitui,Male,Cannot read at all,15.3,2014
Machakos,Male,Cannot read at all,1.4,2014
Makueni,Male,Cannot read at all,4.5,2014
Nyandarua,Male,Cannot read at all,2.9,2014
Nyeri,Male,Cannot read at all,4,2014
Kirinyaga,Male,Cannot read at all,6.3,2014
Muranga,Male,Cannot read at all,9.3,2014
Kiambu,Male,Cannot read at all,1.8,2014
Turkana,Male,Cannot read at all,47.2,2014
West Pokot,Male,Cannot read at all,28.7,2014
Samburu,Male,Cannot read at all,29.2,2014
Trans Nzoia,Male,Cannot read at all,12.1,2014
Uasin Gishu,Male,Cannot read at all,2.7,2014
Elgeyo Marakwet,Male,Cannot read at all,4.1,2014
Nandi,Male,Cannot read at all,5.9,2014
Baringo,Male,Cannot read at all,14.5,2014
Laikipia,Male,Cannot read at all,11.4,2014
Nakuru,Male,Cannot read at all,4.7,2014
Narok,Male,Cannot read at all,17.9,2014
Kajiado,Male,Cannot read at all,10.7,2014
Kericho,Male,Cannot read at all,2.6,2014
Bomet,Male,Cannot read at all,7.1,2014
Kakamega,Male,Cannot read at all,5.9,2014
Vihiga,Male,Cannot read at all,3.7,2014
Bungoma,Male,Cannot read at all,19.8,2014
Busia,Male,Cannot read at all,18.7,2014
Siaya,Male,Cannot read at all,4.4,2014
Kisumu,Male,Cannot read at all,1.9,2014
Homa Bay,Male,Cannot read at all,9.8,2014
Migori,Male,Cannot read at all,7.1,2014
Kisii,Male,Cannot read at all,3.4,2014
Nyamira,Male,Cannot read at all,0,2014
Nairobi,Male,Cannot read at all,1.4,2014
Mombasa,Female,Blind/visually impaired,0.2,2014
Kwale,Female,Blind/visually impaired,0.2,2014
Kilifi,Female,Blind/visually impaired,0,2014
Tana River,Female,Blind/visually impaired,1.4,2014
Lamu,Female,Blind/visually impaired,0.1,2014
Taita Taveta,Female,Blind/visually impaired,0,2014
Garissa,Female,Blind/visually impaired,0.2,2014
Wajir,Female,Blind/visually impaired,0,2014
Mandera,Female,Blind/visually impaired,0,2014
Marsabit,Female,Blind/visually impaired,0,2014
Isiolo,Female,Blind/visually impaired,0,2014
Meru,Female,Blind/visually impaired,0,2014
Tharaka Nithi,Female,Blind/visually impaired,0.2,2014
Embu,Female,Blind/visually impaired,0,2014
Kitui,Female,Blind/visually impaired,0,2014
Machakos,Female,Blind/visually impaired,0.8,2014
Makueni,Female,Blind/visually impaired,0,2014
Nyandarua,Female,Blind/visually impaired,0.2,2014
Nyeri,Female,Blind/visually impaired,0,2014
Kirinyaga,Female,Blind/visually impaired,0,2014
Muranga,Female,Blind/visually impaired,0.3,2014
Kiambu,Female,Blind/visually impaired,0,2014
Turkana,Female,Blind/visually impaired,0.3,2014
West Pokot,Female,Blind/visually impaired,0.1,2014
Samburu,Female,Blind/visually impaired,0,2014
Trans Nzoia,Female,Blind/visually impaired,0.1,2014
Uasin Gishu,Female,Blind/visually impaired,0,2014
Elgeyo Marakwet,Female,Blind/visually impaired,0.1,2014
Nandi,Female,Blind/visually impaired,0.2,2014
Baringo,Female,Blind/visually impaired,0.3,2014
Laikipia,Female,Blind/visually impaired,0,2014
Nakuru,Female,Blind/visually impaired,0,2014
Narok,Female,Blind/visually impaired,0.1,2014
Kajiado,Female,Blind/visually impaired,0,2014
Kericho,Female,Blind/visually impaired,0.7,2014
Bomet,Female,Blind/visually impaired,0.1,2014
Kakamega,Female,Blind/visually impaired,1.1,2014
Vihiga,Female,Blind/visually impaired,0,2014
Bungoma,Female,Blind/visually impaired,0.3,2014
Busia,Female,Blind/visually impaired,0.7,2014
Siaya,Female,Blind/visually impaired,0,2014
Kisumu,Female,Blind/visually impaired,0.4,2014
Homa Bay,Female,Blind/visually impaired,0.6,2014
Migori,Female,Blind/visually impaired,0.8,2014
Kisii,Female,Blind/visually impaired,0.3,2014
Nyamira,Female,Blind/visually impaired,0,2014
Nairobi,Female,Blind/visually impaired,0.2,2014
Mombasa,Male,Blind/visually impaired,0,2014
Kwale,Male,Blind/visually impaired,0,2014
Kilifi,Male,Blind/visually impaired,0,2014
Tana River,Male,Blind/visually impaired,0.4,2014
Lamu,Male,Blind/visually impaired,0.6,2014
Taita Taveta,Male,Blind/visually impaired,0.4,2014
Garissa,Male,Blind/visually impaired,0,2014
Wajir,Male,Blind/visually impaired,0,2014
Mandera,Male,Blind/visually impaired,0,2014
Marsabit,Male,Blind/visually impaired,0,2014
Isiolo,Male,Blind/visually impaired,0,2014
Meru,Male,Blind/visually impaired,0,2014
Tharaka Nithi,Male,Blind/visually impaired,0,2014
Embu,Male,Blind/visually impaired,0,2014
Kitui,Male,Blind/visually impaired,0,2014
Machakos,Male,Blind/visually impaired,0,2014
Makueni,Male,Blind/visually impaired,0,2014
Nyandarua,Male,Blind/visually impaired,0,2014
Nyeri,Male,Blind/visually impaired,0.4,2014
Kirinyaga,Male,Blind/visually impaired,0,2014
Muranga,Male,Blind/visually impaired,0,2014
Kiambu,Male,Blind/visually impaired,0,2014
Turkana,Male,Blind/visually impaired,0,2014
West Pokot,Male,Blind/visually impaired,0,2014
Samburu,Male,Blind/visually impaired,0,2014
Trans Nzoia,Male,Blind/visually impaired,0,2014
Uasin Gishu,Male,Blind/visually impaired,0,2014
Elgeyo Marakwet,Male,Blind/visually impaired,0,2014
Nandi,Male,Blind/visually impaired,0,2014
Baringo,Male,Blind/visually impaired,0.7,2014
Laikipia,Male,Blind/visually impaired,0,2014
Nakuru,Male,Blind/visually impaired,0,2014
Narok,Male,Blind/visually impaired,0,2014
Kajiado,Male,Blind/visually impaired,0,2014
Kericho,Male,Blind/visually impaired,0,2014
Bomet,Male,Blind/visually impaired,0,2014
Kakamega,Male,Blind/visually impaired,0,2014
Vihiga,Male,Blind/visually impaired,0,2014
Bungoma,Male,Blind/visually impaired,0,2014
Busia,Male,Blind/visually impaired,0,2014
Siaya,Male,Blind/visually impaired,0,2014
Kisumu,Male,Blind/visually impaired,0.2,2014
Homa Bay,Male,Blind/visually impaired,1,2014
Migori,Male,Blind/visually impaired,0,2014
Kisii,Male,Blind/visually impaired,0,2014
Nyamira,Male,Blind/visually impaired,0.3,2014
Nairobi,Male,Blind/visually impaired,0,2014
Mombasa,Female,Percentage literate,92.6,2014
Kwale,Female,Percentage literate,72.7,2014
Kilifi,Female,Percentage literate,75.1,2014
Tana River,Female,Percentage literate,53.5,2014
Lamu,Female,Percentage literate,84.2,2014
Taita Taveta,Female,Percentage literate,96.1,2014
Garissa,Female,Percentage literate,26.3,2014
Wajir,Female,Percentage literate,20.7,2014
Mandera,Female,Percentage literate,24,2014
Marsabit,Female,Percentage literate,35.5,2014
Isiolo,Female,Percentage literate,58,2014
Meru,Female,Percentage literate,86.1,2014
Tharaka Nithi,Female,Percentage literate,84.1,2014
Embu,Female,Percentage literate,95.4,2014
Kitui,Female,Percentage literate,91.7,2014
Machakos,Female,Percentage literate,95.3,2014
Makueni,Female,Percentage literate,96.9,2014
Nyandarua,Female,Percentage literate,94.3,2014
Nyeri,Female,Percentage literate,96.3,2014
Kirinyaga,Female,Percentage literate,91.5,2014
Muranga,Female,Percentage literate,93.9,2014
Kiambu,Female,Percentage literate,95.8,2014
Turkana,Female,Percentage literate,24.5,2014
West Pokot,Female,Percentage literate,50,2014
Samburu,Female,Percentage literate,40.1,2014
Trans Nzoia,Female,Percentage literate,85.6,2014
Uasin Gishu,Female,Percentage literate,93.9,2014
Elgeyo Marakwet,Female,Percentage literate,96.8,2014
Nandi,Female,Percentage literate,98.4,2014
Baringo,Female,Percentage literate,86.3,2014
Laikipia,Female,Percentage literate,83,2014
Nakuru,Female,Percentage literate,94,2014
Narok,Female,Percentage literate,74,2014
Kajiado,Female,Percentage literate,83.1,2014
Kericho,Female,Percentage literate,89.3,2014
Bomet,Female,Percentage literate,89.4,2014
Kakamega,Female,Percentage literate,92.1,2014
Vihiga,Female,Percentage literate,93.1,2014
Bungoma,Female,Percentage literate,88.7,2014
Busia,Female,Percentage literate,87,2014
Siaya,Female,Percentage literate,91.5,2014
Kisumu,Female,Percentage literate,92.6,2014
Homa Bay,Female,Percentage literate,93.8,2014
Migori,Female,Percentage literate,85.7,2014
Kisii,Female,Percentage literate,91.2,2014
Nyamira,Female,Percentage literate,98.2,2014
Nairobi,Female,Percentage literate,96.5,2014
Mombasa,Male,Percentage literate,98.9,2014
Kwale,Male,Percentage literate,87.6,2014
Kilifi,Male,Percentage literate,94.1,2014
Tana River,Male,Percentage literate,80.8,2014
Lamu,Male,Percentage literate,87.1,2014
Taita Taveta,Male,Percentage literate,94.8,2014
Garissa,Male,Percentage literate,72.2,2014
Wajir,Male,Percentage literate,64.7,2014
Mandera,Male,Percentage literate,62.2,2014
Marsabit,Male,Percentage literate,63.6,2014
Isiolo,Male,Percentage literate,87.9,2014
Meru,Male,Percentage literate,90.4,2014
Tharaka Nithi,Male,Percentage literate,90.5,2014
Embu,Male,Percentage literate,92.2,2014
Kitui,Male,Percentage literate,84.7,2014
Machakos,Male,Percentage literate,98.6,2014
Makueni,Male,Percentage literate,95.5,2014
Nyandarua,Male,Percentage literate,97,2014
Nyeri,Male,Percentage literate,95.6,2014
Kirinyaga,Male,Percentage literate,93.7,2014
Muranga,Male,Percentage literate,90.7,2014
Kiambu,Male,Percentage literate,98.2,2014
Turkana,Male,Percentage literate,52.8,2014
West Pokot,Male,Percentage literate,71.3,2014
Samburu,Male,Percentage literate,70.8,2014
Trans Nzoia,Male,Percentage literate,87.9,2014
Uasin Gishu,Male,Percentage literate,97.3,2014
Elgeyo Marakwet,Male,Percentage literate,95.5,2014
Nandi,Male,Percentage literate,94.1,2014
Baringo,Male,Percentage literate,84.9,2014
Laikipia,Male,Percentage literate,88.6,2014
Nakuru,Male,Percentage literate,95.3,2014
Narok,Male,Percentage literate,81.1,2014
Kajiado,Male,Percentage literate,89.3,2014
Kericho,Male,Percentage literate,97.1,2014
Bomet,Male,Percentage literate,92.9,2014
Kakamega,Male,Percentage literate,94.1,2014
Vihiga,Male,Percentage literate,95.5,2014
Bungoma,Male,Percentage literate,79.5,2014
Busia,Male,Percentage literate,81.3,2014
Siaya,Male,Percentage literate,95.4,2014
Kisumu,Male,Percentage literate,97.9,2014
Homa Bay,Male,Percentage literate,88.8,2014
Migori,Male,Percentage literate,92.9,2014
Kisii,Male,Percentage literate,96.6,2014
