County,Category,Proportion,year,type,percentage_change
Kirinyaga,"Households with >=1 ITN
per 2 people",47.4,2022,Household possession of ITNs,-12.7
Muranga,Households with >=1 ITN,35.9,2022,Household possession of ITNs,-17.8
Muranga,"Households with >=1 ITN
per 2 people",22,2022,Household possession of ITNs,-18.8
Kiambu,Households with >=1 ITN,27.8,2022,Household possession of ITNs,-30.3
Kiambu,"Households with >=1 ITN
per 2 people",16,2022,Household possession of ITNs,-36.5
Turkana,Households with >=1 ITN,49.4,2022,Household possession of ITNs,6.9
Turkana,"Households with >=1 ITN
per 2 people",18.8,2022,Household possession of ITNs,15.3
West Pokot,Households with >=1 ITN,78.8,2022,Household possession of ITNs,30.9
West Pokot,"Households with >=1 ITN
per 2 people",41.5,2022,Household possession of ITNs,95.8
Samburu,Households with >=1 ITN,19.9,2022,Household possession of ITNs,5.9
Samburu,"Households with >=1 ITN
per 2 people",7.4,2022,Household possession of ITNs,-14.9
Trans Nzoia,Households with >=1 ITN,86,2022,Household possession of ITNs,21.8
Trans Nzoia,"Households with >=1 ITN
per 2 people",69.3,2022,Household possession of ITNs,80.5
Uasin Gishu,Households with >=1 ITN,69.3,2022,Household possession of ITNs,-3.8
Uasin Gishu,"Households with >=1 ITN
per 2 people",56.8,2022,Household possession of ITNs,14.3
Elgeyo Marakwet,Households with >=1 ITN,25.3,2022,Household possession of ITNs,15.5
Elgeyo Marakwet,"Households with >=1 ITN
per 2 people",10.1,2022,Household possession of ITNs,0
Nandi,Households with >=1 ITN,84,2022,Household possession of ITNs,6.6
Nandi,"Households with >=1 ITN
per 2 people",69,2022,Household possession of ITNs,64.7
Baringo,Households with >=1 ITN,63.8,2022,Household possession of ITNs,6.7
Baringo,"Households with >=1 ITN
per 2 people",37.6,2022,Household possession of ITNs,14.6
Laikipia,Households with >=1 ITN,24.9,2022,Household possession of ITNs,42.3
Laikipia,"Households with >=1 ITN
per 2 people",15.9,2022,Household possession of ITNs,50
Nakuru,Households with >=1 ITN,27.5,2022,Household possession of ITNs,-27.1
Nakuru,"Households with >=1 ITN
per 2 people",15.3,2022,Household possession of ITNs,-32.6
Narok,Households with >=1 ITN,76,2022,Household possession of ITNs,45.6
Narok,"Households with >=1 ITN
per 2 people",54,2022,Household possession of ITNs,112.6
Kajiado,Households with >=1 ITN,38.8,2022,Household possession of ITNs,-22.1
Kajiado,"Households with >=1 ITN
per 2 people",20.9,2022,Household possession of ITNs,-37.2
Kericho,Households with >=1 ITN,84.1,2022,Household possession of ITNs,5.8
Kericho,"Households with >=1 ITN
per 2 people",65.9,2022,Household possession of ITNs,45.2
Bomet,Households with >=1 ITN,92.3,2022,Household possession of ITNs,18.9
Bomet,"Households with >=1 ITN
per 2 people",77.3,2022,Household possession of ITNs,65.2
Kakamega,Households with >=1 ITN,89.1,2022,Household possession of ITNs,13.1
Kakamega,"Households with >=1 ITN
per 2 people",66.9,2022,Household possession of ITNs,42.3
Vihiga,Households with >=1 ITN,92.5,2022,Household possession of ITNs,11.6
Vihiga,"Households with >=1 ITN
per 2 people",75.8,2022,Household possession of ITNs,68.8
Bungoma,Households with >=1 ITN,89.4,2022,Household possession of ITNs,7.8
Bungoma,"Households with >=1 ITN
per 2 people",70.6,2022,Household possession of ITNs,69.3
Busia,Households with >=1 ITN,93.5,2022,Household possession of ITNs,11.4
Busia,"Households with >=1 ITN
per 2 people",67.4,2022,Household possession of ITNs,38.1
Siaya,Households with >=1 ITN,86.7,2022,Household possession of ITNs,10
Siaya,"Households with >=1 ITN
per 2 people",58.6,2022,Household possession of ITNs,40.9
Kisumu,Households with >=1 ITN,76,2022,Household possession of ITNs,-13.2
Kisumu,"Households with >=1 ITN
per 2 people",47,2022,Household possession of ITNs,-10.6
Homa Bay,Households with >=1 ITN,89.2,2022,Household possession of ITNs,20.1
Homa Bay,"Households with >=1 ITN
per 2 people",60.2,2022,Household possession of ITNs,60.5
Migori,Households with >=1 ITN,87.7,2022,Household possession of ITNs,17.6
Migori,"Households with >=1 ITN
per 2 people",54.2,2022,Household possession of ITNs,78.9
Kisii,Households with >=1 ITN,85,2022,Household possession of ITNs,-1.3
Kisii,"Households with >=1 ITN
per 2 people",67.4,2022,Household possession of ITNs,23.9
Nyamira,Households with >=1 ITN,93.6,2022,Household possession of ITNs,10.8
Nyamira,"Households with >=1 ITN
per 2 people",80,2022,Household possession of ITNs,40.1
Nairobi,Households with >=1 ITN,23.4,2022,Household possession of ITNs,-46
Nairobi,"Households with >=1 ITN
per 2 people",14.3,2022,Household possession of ITNs,-49.8
Mombasa,Stunting,21.1,2014,Child nutritional status,NA
Kwale,Stunting,29.7,2014,Child nutritional status,NA
Kilifi,Stunting,39.1,2014,Child nutritional status,NA
Tana River,Stunting,28.1,2014,Child nutritional status,NA
Lamu,Stunting,29.2,2014,Child nutritional status,NA
Taita Taveta,Stunting,23.8,2014,Child nutritional status,NA
Garissa,Stunting,15.6,2014,Child nutritional status,NA
Wajir,Stunting,26.4,2014,Child nutritional status,NA
Mandera,Stunting,36.1,2014,Child nutritional status,NA
Marsabit,Stunting,26.5,2014,Child nutritional status,NA
Isiolo,Stunting,19.1,2014,Child nutritional status,NA
Meru,Stunting,25.2,2014,Child nutritional status,NA
Tharaka Nithi,Stunting,32.9,2014,Child nutritional status,NA
Embu,Stunting,26.8,2014,Child nutritional status,NA
Kitui,Stunting,45.8,2014,Child nutritional status,NA
Machakos,Stunting,26.5,2014,Child nutritional status,NA
Makueni,Stunting,25.1,2014,Child nutritional status,NA
Nyandarua,Stunting,29.4,2014,Child nutritional status,NA
Nyeri,Stunting,15.1,2014,Child nutritional status,NA
Kirinyaga,Stunting,17.2,2014,Child nutritional status,NA
Muranga,Stunting,19.3,2014,Child nutritional status,NA
Kiambu,Stunting,15.7,2014,Child nutritional status,NA
Turkana,Stunting,23.9,2014,Child nutritional status,NA
West Pokot,Stunting,45.9,2014,Child nutritional status,NA
Samburu,Stunting,30.1,2014,Child nutritional status,NA
Trans Nzoia,Stunting,29.2,2014,Child nutritional status,NA
Uasin Gishu,Stunting,31.2,2014,Child nutritional status,NA
Elgeyo Marakwet,Stunting,29.9,2014,Child nutritional status,NA
Nandi,Stunting,29.9,2014,Child nutritional status,NA
Baringo,Stunting,29.5,2014,Child nutritional status,NA
Laikipia,Stunting,26.9,2014,Child nutritional status,NA
Nakuru,Stunting,27.6,2014,Child nutritional status,NA
Narok,Stunting,32.9,2014,Child nutritional status,NA
Kajiado,Stunting,18.2,2014,Child nutritional status,NA
Kericho,Stunting,28.7,2014,Child nutritional status,NA
Bomet,Stunting,35.5,2014,Child nutritional status,NA
Kakamega,Stunting,28.4,2014,Child nutritional status,NA
Vihiga,Stunting,23.5,2014,Child nutritional status,NA
Bungoma,Stunting,24.4,2014,Child nutritional status,NA
Busia,Stunting,22,2014,Child nutritional status,NA
Siaya,Stunting,24.7,2014,Child nutritional status,NA
Kisumu,Stunting,18,2014,Child nutritional status,NA
Homa Bay,Stunting,18.7,2014,Child nutritional status,NA
Migori,Stunting,26.4,2014,Child nutritional status,NA
Kisii,Stunting,25.5,2014,Child nutritional status,NA
Nyamira,Stunting,25.5,2014,Child nutritional status,NA
Nairobi,Stunting,17.2,2014,Child nutritional status,NA
Mombasa,Wasting,4.1,2014,Child nutritional status,NA
Kwale,Wasting,4.4,2014,Child nutritional status,NA
Kilifi,Wasting,4.1,2014,Child nutritional status,NA
Tana River,Wasting,5.7,2014,Child nutritional status,NA
Lamu,Wasting,4.2,2014,Child nutritional status,NA
Taita Taveta,Wasting,7.2,2014,Child nutritional status,NA
Garissa,Wasting,11.4,2014,Child nutritional status,NA
Wajir,Wasting,14.2,2014,Child nutritional status,NA
Mandera,Wasting,14.8,2014,Child nutritional status,NA
Marsabit,Wasting,16.3,2014,Child nutritional status,NA
Isiolo,Wasting,9.1,2014,Child nutritional status,NA
Meru,Wasting,2.9,2014,Child nutritional status,NA
Tharaka Nithi,Wasting,3.3,2014,Child nutritional status,NA
Embu,Wasting,3,2014,Child nutritional status,NA
Kitui,Wasting,3.4,2014,Child nutritional status,NA
Machakos,Wasting,6.5,2014,Child nutritional status,NA
Makueni,Wasting,2.1,2014,Child nutritional status,NA
Nyandarua,Wasting,2,2014,Child nutritional status,NA
Nyeri,Wasting,2.4,2014,Child nutritional status,NA
Kirinyaga,Wasting,3.9,2014,Child nutritional status,NA
Muranga,Wasting,1.4,2014,Child nutritional status,NA
Kiambu,Wasting,2.3,2014,Child nutritional status,NA
Turkana,Wasting,22.9,2014,Child nutritional status,NA
West Pokot,Wasting,14.3,2014,Child nutritional status,NA
Samburu,Wasting,13.6,2014,Child nutritional status,NA
Trans Nzoia,Wasting,3.9,2014,Child nutritional status,NA
Uasin Gishu,Wasting,3,2014,Child nutritional status,NA
Elgeyo Marakwet,Wasting,4.3,2014,Child nutritional status,NA
Nandi,Wasting,3.9,2014,Child nutritional status,NA
Baringo,Wasting,6.9,2014,Child nutritional status,NA
Laikipia,Wasting,4.4,2014,Child nutritional status,NA
Nakuru,Wasting,4.5,2014,Child nutritional status,NA
Narok,Wasting,2.4,2014,Child nutritional status,NA
Kajiado,Wasting,3,2014,Child nutritional status,NA
Kericho,Wasting,5.6,2014,Child nutritional status,NA
Bomet,Wasting,1.8,2014,Child nutritional status,NA
Kakamega,Wasting,1.8,2014,Child nutritional status,NA
Vihiga,Wasting,2.6,2014,Child nutritional status,NA
Bungoma,Wasting,1.8,2014,Child nutritional status,NA
Busia,Wasting,2.2,2014,Child nutritional status,NA
Siaya,Wasting,0.2,2014,Child nutritional status,NA
Kisumu,Wasting,0.8,2014,Child nutritional status,NA
Homa Bay,Wasting,2.3,2014,Child nutritional status,NA
Migori,Wasting,4,2014,Child nutritional status,NA
Kisii,Wasting,1.7,2014,Child nutritional status,NA
Nyamira,Wasting,4.1,2014,Child nutritional status,NA
Nairobi,Wasting,2.5,2014,Child nutritional status,NA
Mombasa,Underweight,9.6,2014,Child nutritional status,NA
Kwale,Underweight,11.8,2014,Child nutritional status,NA
Kilifi,Underweight,16.9,2014,Child nutritional status,NA
Tana River,Underweight,18.6,2014,Child nutritional status,NA
Lamu,Underweight,11.8,2014,Child nutritional status,NA
Taita Taveta,Underweight,7.8,2014,Child nutritional status,NA
Garissa,Underweight,13.1,2014,Child nutritional status,NA
Wajir,Underweight,21.1,2014,Child nutritional status,NA
Mandera,Underweight,24.9,2014,Child nutritional status,NA
Marsabit,Underweight,30.1,2014,Child nutritional status,NA
Isiolo,Underweight,12.9,2014,Child nutritional status,NA
Meru,Underweight,8.1,2014,Child nutritional status,NA
Tharaka Nithi,Underweight,10.8,2014,Child nutritional status,NA
Embu,Underweight,11.1,2014,Child nutritional status,NA
Kitui,Underweight,19.7,2014,Child nutritional status,NA
Machakos,Underweight,8.1,2014,Child nutritional status,NA
Makueni,Underweight,10.2,2014,Child nutritional status,NA
Nyandarua,Underweight,6.8,2014,Child nutritional status,NA
Nyeri,Underweight,2.5,2014,Child nutritional status,NA
Kirinyaga,Underweight,7.7,2014,Child nutritional status,NA
Muranga,Underweight,5.6,2014,Child nutritional status,NA
Kiambu,Underweight,5.1,2014,Child nutritional status,NA
Turkana,Underweight,34,2014,Child nutritional status,NA
West Pokot,Underweight,38.5,2014,Child nutritional status,NA
Samburu,Underweight,28.9,2014,Child nutritional status,NA
Trans Nzoia,Underweight,15.3,2014,Child nutritional status,NA
Uasin Gishu,Underweight,11.5,2014,Child nutritional status,NA
Elgeyo Marakwet,Underweight,12.6,2014,Child nutritional status,NA
Nandi,Underweight,11.1,2014,Child nutritional status,NA
Baringo,Underweight,20.2,2014,Child nutritional status,NA
Laikipia,Underweight,13.9,2014,Child nutritional status,NA
Nakuru,Underweight,10.2,2014,Child nutritional status,NA
Narok,Underweight,11.6,2014,Child nutritional status,NA
Kajiado,Underweight,8.1,2014,Child nutritional status,NA
Kericho,Underweight,12.4,2014,Child nutritional status,NA
Bomet,Underweight,12,2014,Child nutritional status,NA
Kakamega,Underweight,10.1,2014,Child nutritional status,NA
Vihiga,Underweight,5.9,2014,Child nutritional status,NA
Bungoma,Underweight,9,2014,Child nutritional status,NA
Busia,Underweight,9,2014,Child nutritional status,NA
Siaya,Underweight,7.8,2014,Child nutritional status,NA
Kisumu,Underweight,6.6,2014,Child nutritional status,NA
Homa Bay,Underweight,5.4,2014,Child nutritional status,NA
Migori,Underweight,8.6,2014,Child nutritional status,NA
Kisii,Underweight,8.4,2014,Child nutritional status,NA
Nyamira,Underweight,9.6,2014,Child nutritional status,NA
Nairobi,Underweight,3.8,2014,Child nutritional status,NA
Mombasa,Households with >=1 ITN,56.9,2014,Household possession of ITNs,NA
Mombasa,"Households with >=1 ITN
per 2 people",38.9,2014,Household possession of ITNs,NA
Kwale,Households with >=1 ITN,81,2014,Household possession of ITNs,NA
Kwale,"Households with >=1 ITN
per 2 people",47.8,2014,Household possession of ITNs,NA
Kilifi,Households with >=1 ITN,73.1,2014,Household possession of ITNs,NA
Kilifi,"Households with >=1 ITN
per 2 people",41.5,2014,Household possession of ITNs,NA
Tana River,Households with >=1 ITN,65.3,2014,Household possession of ITNs,NA
Tana River,"Households with >=1 ITN
per 2 people",33,2014,Household possession of ITNs,NA
Lamu,Households with >=1 ITN,71.1,2014,Household possession of ITNs,NA
Lamu,"Households with >=1 ITN
per 2 people",51.2,2014,Household possession of ITNs,NA
Taita Taveta,Households with >=1 ITN,80.4,2014,Household possession of ITNs,NA
Taita Taveta,"Households with >=1 ITN
per 2 people",60.6,2014,Household possession of ITNs,NA
Garissa,Households with >=1 ITN,61.1,2014,Household possession of ITNs,NA
Garissa,"Households with >=1 ITN
per 2 people",34.4,2014,Household possession of ITNs,NA
Wajir,Households with >=1 ITN,53.6,2014,Household possession of ITNs,NA
Wajir,"Households with >=1 ITN
per 2 people",18.1,2014,Household possession of ITNs,NA
Mandera,Households with >=1 ITN,28.7,2014,Household possession of ITNs,NA
Mandera,"Households with >=1 ITN
per 2 people",10.9,2014,Household possession of ITNs,NA
Marsabit,Households with >=1 ITN,24.7,2014,Household possession of ITNs,NA
Marsabit,"Households with >=1 ITN
per 2 people",7,2014,Household possession of ITNs,NA
Isiolo,Households with >=1 ITN,62.7,2014,Household possession of ITNs,NA
Isiolo,"Households with >=1 ITN
per 2 people",31.5,2014,Household possession of ITNs,NA
Meru,Households with >=1 ITN,53.5,2014,Household possession of ITNs,NA
Meru,"Households with >=1 ITN
per 2 people",30.6,2014,Household possession of ITNs,NA
Tharaka Nithi,Households with >=1 ITN,67.2,2014,Household possession of ITNs,NA
Tharaka Nithi,"Households with >=1 ITN
per 2 people",45.8,2014,Household possession of ITNs,NA
Embu,Households with >=1 ITN,55.9,2014,Household possession of ITNs,NA
Embu,"Households with >=1 ITN
per 2 people",35.3,2014,Household possession of ITNs,NA
Kitui,Households with >=1 ITN,61.1,2014,Household possession of ITNs,NA
Kitui,"Households with >=1 ITN
per 2 people",29.3,2014,Household possession of ITNs,NA
Machakos,Households with >=1 ITN,56,2014,Household possession of ITNs,NA
Machakos,"Households with >=1 ITN
per 2 people",31.5,2014,Household possession of ITNs,NA
Makueni,Households with >=1 ITN,55.3,2014,Household possession of ITNs,NA
Makueni,"Households with >=1 ITN
per 2 people",27.7,2014,Household possession of ITNs,NA
Nyandarua,Households with >=1 ITN,12.5,2014,Household possession of ITNs,NA
Nyandarua,"Households with >=1 ITN
per 2 people",7.1,2014,Household possession of ITNs,NA
Nyeri,Households with >=1 ITN,19.7,2014,Household possession of ITNs,NA
Nyeri,"Households with >=1 ITN
per 2 people",11.9,2014,Household possession of ITNs,NA
Kirinyaga,Households with >=1 ITN,68.5,2014,Household possession of ITNs,NA
Kirinyaga,"Households with >=1 ITN
per 2 people",54.3,2014,Household possession of ITNs,NA
Muranga,Households with >=1 ITN,43.7,2014,Household possession of ITNs,NA
Muranga,"Households with >=1 ITN
per 2 people",27.1,2014,Household possession of ITNs,NA
Kiambu,Households with >=1 ITN,39.9,2014,Household possession of ITNs,NA
Kiambu,"Households with >=1 ITN
per 2 people",25.2,2014,Household possession of ITNs,NA
