County,Category,year,type,Prop,Proportion
Muranga,Stunting,2022,Child nutritional status,Proportion (2022),10.1
Muranga,Stunting,2022,Child nutritional status,Percentage change,-47.7
Kiambu,Stunting,2022,Child nutritional status,Proportion (2022),15.3
Kiambu,Stunting,2022,Child nutritional status,Percentage change,-2.5
Turkana,Stunting,2022,Child nutritional status,Proportion (2022),23
Turkana,Stunting,2022,Child nutritional status,Percentage change,-3.8
West Pokot,Stunting,2022,Child nutritional status,Proportion (2022),33.5
West Pokot,Stunting,2022,Child nutritional status,Percentage change,-27
Samburu,Stunting,2022,Child nutritional status,Proportion (2022),31.4
Samburu,Stunting,2022,Child nutritional status,Percentage change,4.3
Trans Nzoia,Stunting,2022,Child nutritional status,Proportion (2022),21.3
Trans Nzoia,Stunting,2022,Child nutritional status,Percentage change,-27.1
Uasin Gishu,Stunting,2022,Child nutritional status,Proportion (2022),14.2
Uasin Gishu,Stunting,2022,Child nutritional status,Percentage change,-54.5
Elgeyo Marakwet,Stunting,2022,Child nutritional status,Proportion (2022),21.8
Elgeyo Marakwet,Stunting,2022,Child nutritional status,Percentage change,-27.1
Nandi,Stunting,2022,Child nutritional status,Proportion (2022),15.1
Nandi,Stunting,2022,Child nutritional status,Percentage change,-49.5
Baringo,Stunting,2022,Child nutritional status,Proportion (2022),21.2
Baringo,Stunting,2022,Child nutritional status,Percentage change,-28.1
Laikipia,Stunting,2022,Child nutritional status,Proportion (2022),12.6
Laikipia,Stunting,2022,Child nutritional status,Percentage change,-53.2
Nakuru,Stunting,2022,Child nutritional status,Proportion (2022),18.5
Nakuru,Stunting,2022,Child nutritional status,Percentage change,-33
Narok,Stunting,2022,Child nutritional status,Proportion (2022),21.5
Narok,Stunting,2022,Child nutritional status,Percentage change,-34.7
Kajiado,Stunting,2022,Child nutritional status,Proportion (2022),14
Kajiado,Stunting,2022,Child nutritional status,Percentage change,-23.1
Kericho,Stunting,2022,Child nutritional status,Proportion (2022),19.3
Kericho,Stunting,2022,Child nutritional status,Percentage change,-32.8
Bomet,Stunting,2022,Child nutritional status,Proportion (2022),22.1
Bomet,Stunting,2022,Child nutritional status,Percentage change,-37.7
Kakamega,Stunting,2022,Child nutritional status,Proportion (2022),11.5
Kakamega,Stunting,2022,Child nutritional status,Percentage change,-59.5
Vihiga,Stunting,2022,Child nutritional status,Proportion (2022),16.6
Vihiga,Stunting,2022,Child nutritional status,Percentage change,-29.4
Bungoma,Stunting,2022,Child nutritional status,Proportion (2022),19
Bungoma,Stunting,2022,Child nutritional status,Percentage change,-22.1
Busia,Stunting,2022,Child nutritional status,Proportion (2022),15
Busia,Stunting,2022,Child nutritional status,Percentage change,-31.8
Siaya,Stunting,2022,Child nutritional status,Proportion (2022),19.2
Siaya,Stunting,2022,Child nutritional status,Percentage change,-22.3
Kisumu,Stunting,2022,Child nutritional status,Proportion (2022),9.1
Kisumu,Stunting,2022,Child nutritional status,Percentage change,-49.4
Homa Bay,Stunting,2022,Child nutritional status,Proportion (2022),12.5
Homa Bay,Stunting,2022,Child nutritional status,Percentage change,-33.2
Migori,Stunting,2022,Child nutritional status,Proportion (2022),14.8
Migori,Stunting,2022,Child nutritional status,Percentage change,-43.9
Kisii,Stunting,2022,Child nutritional status,Proportion (2022),16.3
Kisii,Stunting,2022,Child nutritional status,Percentage change,-36.1
Nyamira,Stunting,2022,Child nutritional status,Proportion (2022),13.5
Nyamira,Stunting,2022,Child nutritional status,Percentage change,-47.1
Nairobi,Stunting,2022,Child nutritional status,Proportion (2022),11.1
Nairobi,Stunting,2022,Child nutritional status,Percentage change,-35.5
Mombasa,Wasting,2022,Child nutritional status,Proportion (2022),4.6
Mombasa,Wasting,2022,Child nutritional status,Percentage change,12.2
Kwale,Wasting,2022,Child nutritional status,Proportion (2022),6.2
Kwale,Wasting,2022,Child nutritional status,Percentage change,40.9
Kilifi,Wasting,2022,Child nutritional status,Proportion (2022),7.2
Kilifi,Wasting,2022,Child nutritional status,Percentage change,75.6
Tana River,Wasting,2022,Child nutritional status,Proportion (2022),11.3
Tana River,Wasting,2022,Child nutritional status,Percentage change,98.2
Lamu,Wasting,2022,Child nutritional status,Proportion (2022),3.5
Lamu,Wasting,2022,Child nutritional status,Percentage change,-16.7
Taita Taveta,Wasting,2022,Child nutritional status,Proportion (2022),4.1
Taita Taveta,Wasting,2022,Child nutritional status,Percentage change,-43.1
Garissa,Wasting,2022,Child nutritional status,Proportion (2022),15.3
Garissa,Wasting,2022,Child nutritional status,Percentage change,34.2
Wajir,Wasting,2022,Child nutritional status,Proportion (2022),22.8
Wajir,Wasting,2022,Child nutritional status,Percentage change,60.6
Mandera,Wasting,2022,Child nutritional status,Proportion (2022),17.3
Mandera,Wasting,2022,Child nutritional status,Percentage change,16.9
Marsabit,Wasting,2022,Child nutritional status,Proportion (2022),20.4
Marsabit,Wasting,2022,Child nutritional status,Percentage change,25.2
Isiolo,Wasting,2022,Child nutritional status,Proportion (2022),7.2
Isiolo,Wasting,2022,Child nutritional status,Percentage change,-20.9
Meru,Wasting,2022,Child nutritional status,Proportion (2022),6
Meru,Wasting,2022,Child nutritional status,Percentage change,106.9
Tharaka Nithi,Wasting,2022,Child nutritional status,Proportion (2022),3.1
Tharaka Nithi,Wasting,2022,Child nutritional status,Percentage change,-6.1
Embu,Wasting,2022,Child nutritional status,Proportion (2022),5.3
Embu,Wasting,2022,Child nutritional status,Percentage change,76.7
Kitui,Wasting,2022,Child nutritional status,Proportion (2022),4.9
Kitui,Wasting,2022,Child nutritional status,Percentage change,44.1
Machakos,Wasting,2022,Child nutritional status,Proportion (2022),3.5
Machakos,Wasting,2022,Child nutritional status,Percentage change,-46.2
Makueni,Wasting,2022,Child nutritional status,Proportion (2022),4
Makueni,Wasting,2022,Child nutritional status,Percentage change,90.5
Nyandarua,Wasting,2022,Child nutritional status,Proportion (2022),1.9
Nyandarua,Wasting,2022,Child nutritional status,Percentage change,-5
Nyeri,Wasting,2022,Child nutritional status,Proportion (2022),2.7
Nyeri,Wasting,2022,Child nutritional status,Percentage change,12.5
Kirinyaga,Wasting,2022,Child nutritional status,Proportion (2022),2.2
Kirinyaga,Wasting,2022,Child nutritional status,Percentage change,-43.6
Muranga,Wasting,2022,Child nutritional status,Proportion (2022),1.7
Muranga,Wasting,2022,Child nutritional status,Percentage change,21.4
Kiambu,Wasting,2022,Child nutritional status,Proportion (2022),3.2
Kiambu,Wasting,2022,Child nutritional status,Percentage change,39.1
Turkana,Wasting,2022,Child nutritional status,Proportion (2022),22.6
Turkana,Wasting,2022,Child nutritional status,Percentage change,-1.3
West Pokot,Wasting,2022,Child nutritional status,Proportion (2022),11
West Pokot,Wasting,2022,Child nutritional status,Percentage change,-23.1
Samburu,Wasting,2022,Child nutritional status,Proportion (2022),15.4
Samburu,Wasting,2022,Child nutritional status,Percentage change,13.2
Trans Nzoia,Wasting,2022,Child nutritional status,Proportion (2022),3.2
Trans Nzoia,Wasting,2022,Child nutritional status,Percentage change,-17.9
Uasin Gishu,Wasting,2022,Child nutritional status,Proportion (2022),4
Uasin Gishu,Wasting,2022,Child nutritional status,Percentage change,33.3
Elgeyo Marakwet,Wasting,2022,Child nutritional status,Proportion (2022),4.8
Elgeyo Marakwet,Wasting,2022,Child nutritional status,Percentage change,11.6
Nandi,Wasting,2022,Child nutritional status,Proportion (2022),4
Nandi,Wasting,2022,Child nutritional status,Percentage change,2.6
Baringo,Wasting,2022,Child nutritional status,Proportion (2022),13.6
Baringo,Wasting,2022,Child nutritional status,Percentage change,97.1
Laikipia,Wasting,2022,Child nutritional status,Proportion (2022),2.6
Laikipia,Wasting,2022,Child nutritional status,Percentage change,-40.9
Nakuru,Wasting,2022,Child nutritional status,Proportion (2022),3
Nakuru,Wasting,2022,Child nutritional status,Percentage change,-33.3
Narok,Wasting,2022,Child nutritional status,Proportion (2022),2.1
Narok,Wasting,2022,Child nutritional status,Percentage change,-12.5
Kajiado,Wasting,2022,Child nutritional status,Proportion (2022),7.6
Kajiado,Wasting,2022,Child nutritional status,Percentage change,153.3
Kericho,Wasting,2022,Child nutritional status,Proportion (2022),2.5
Kericho,Wasting,2022,Child nutritional status,Percentage change,-55.4
Bomet,Wasting,2022,Child nutritional status,Proportion (2022),3.3
Bomet,Wasting,2022,Child nutritional status,Percentage change,83.3
Kakamega,Wasting,2022,Child nutritional status,Proportion (2022),1.5
Kakamega,Wasting,2022,Child nutritional status,Percentage change,-16.7
Vihiga,Wasting,2022,Child nutritional status,Proportion (2022),2.4
Vihiga,Wasting,2022,Child nutritional status,Percentage change,-7.7
Bungoma,Wasting,2022,Child nutritional status,Proportion (2022),2.3
Bungoma,Wasting,2022,Child nutritional status,Percentage change,27.8
Busia,Wasting,2022,Child nutritional status,Proportion (2022),2.8
Busia,Wasting,2022,Child nutritional status,Percentage change,27.3
Siaya,Wasting,2022,Child nutritional status,Proportion (2022),1.7
Siaya,Wasting,2022,Child nutritional status,Percentage change,750
Kisumu,Wasting,2022,Child nutritional status,Proportion (2022),3
Kisumu,Wasting,2022,Child nutritional status,Percentage change,275
Homa Bay,Wasting,2022,Child nutritional status,Proportion (2022),1.8
Homa Bay,Wasting,2022,Child nutritional status,Percentage change,-21.7
Migori,Wasting,2022,Child nutritional status,Proportion (2022),2.4
Migori,Wasting,2022,Child nutritional status,Percentage change,-40
Kisii,Wasting,2022,Child nutritional status,Proportion (2022),2.9
Kisii,Wasting,2022,Child nutritional status,Percentage change,70.6
Nyamira,Wasting,2022,Child nutritional status,Proportion (2022),1.2
Nyamira,Wasting,2022,Child nutritional status,Percentage change,-70.7
Nairobi,Wasting,2022,Child nutritional status,Proportion (2022),2.5
Nairobi,Wasting,2022,Child nutritional status,Percentage change,0
Mombasa,Underweight,2022,Child nutritional status,Proportion (2022),9.8
Mombasa,Underweight,2022,Child nutritional status,Percentage change,2.1
Kwale,Underweight,2022,Child nutritional status,Proportion (2022),13.7
Kwale,Underweight,2022,Child nutritional status,Percentage change,16.1
Kilifi,Underweight,2022,Child nutritional status,Proportion (2022),19.5
Kilifi,Underweight,2022,Child nutritional status,Percentage change,15.4
Tana River,Underweight,2022,Child nutritional status,Proportion (2022),16.8
Tana River,Underweight,2022,Child nutritional status,Percentage change,-9.7
Lamu,Underweight,2022,Child nutritional status,Proportion (2022),12.5
Lamu,Underweight,2022,Child nutritional status,Percentage change,5.9
Taita Taveta,Underweight,2022,Child nutritional status,Proportion (2022),12.6
Taita Taveta,Underweight,2022,Child nutritional status,Percentage change,61.5
Garissa,Underweight,2022,Child nutritional status,Proportion (2022),14.1
Garissa,Underweight,2022,Child nutritional status,Percentage change,7.6
Wajir,Underweight,2022,Child nutritional status,Proportion (2022),16.2
Wajir,Underweight,2022,Child nutritional status,Percentage change,-23.2
Mandera,Underweight,2022,Child nutritional status,Proportion (2022),23.2
Mandera,Underweight,2022,Child nutritional status,Percentage change,-6.8
Marsabit,Underweight,2022,Child nutritional status,Proportion (2022),25.9
Marsabit,Underweight,2022,Child nutritional status,Percentage change,-14
Isiolo,Underweight,2022,Child nutritional status,Proportion (2022),11.5
Isiolo,Underweight,2022,Child nutritional status,Percentage change,-10.9
Meru,Underweight,2022,Child nutritional status,Proportion (2022),10.8
Meru,Underweight,2022,Child nutritional status,Percentage change,33.3
Tharaka Nithi,Underweight,2022,Child nutritional status,Proportion (2022),7.7
Tharaka Nithi,Underweight,2022,Child nutritional status,Percentage change,-28.7
Embu,Underweight,2022,Child nutritional status,Proportion (2022),11.3
Embu,Underweight,2022,Child nutritional status,Percentage change,1.8
Kitui,Underweight,2022,Child nutritional status,Proportion (2022),13.9
Kitui,Underweight,2022,Child nutritional status,Percentage change,-29.4
Machakos,Underweight,2022,Child nutritional status,Proportion (2022),8.1
Machakos,Underweight,2022,Child nutritional status,Percentage change,0
Makueni,Underweight,2022,Child nutritional status,Proportion (2022),8.7
Makueni,Underweight,2022,Child nutritional status,Percentage change,-14.7
Nyandarua,Underweight,2022,Child nutritional status,Proportion (2022),4
Nyandarua,Underweight,2022,Child nutritional status,Percentage change,-41.2
Nyeri,Underweight,2022,Child nutritional status,Proportion (2022),4
Nyeri,Underweight,2022,Child nutritional status,Percentage change,60
Kirinyaga,Underweight,2022,Child nutritional status,Proportion (2022),5.7
Kirinyaga,Underweight,2022,Child nutritional status,Percentage change,-26
Muranga,Underweight,2022,Child nutritional status,Proportion (2022),5.9
Muranga,Underweight,2022,Child nutritional status,Percentage change,5.4
Kiambu,Underweight,2022,Child nutritional status,Proportion (2022),6
Kiambu,Underweight,2022,Child nutritional status,Percentage change,17.6
Turkana,Underweight,2022,Child nutritional status,Proportion (2022),31.7
Turkana,Underweight,2022,Child nutritional status,Percentage change,-6.8
West Pokot,Underweight,2022,Child nutritional status,Proportion (2022),27.1
West Pokot,Underweight,2022,Child nutritional status,Percentage change,-29.6
Samburu,Underweight,2022,Child nutritional status,Proportion (2022),30.2
Samburu,Underweight,2022,Child nutritional status,Percentage change,4.5
Trans Nzoia,Underweight,2022,Child nutritional status,Proportion (2022),11.1
Trans Nzoia,Underweight,2022,Child nutritional status,Percentage change,-27.5
Uasin Gishu,Underweight,2022,Child nutritional status,Proportion (2022),6.4
Uasin Gishu,Underweight,2022,Child nutritional status,Percentage change,-44.3
Elgeyo Marakwet,Underweight,2022,Child nutritional status,Proportion (2022),13.9
Elgeyo Marakwet,Underweight,2022,Child nutritional status,Percentage change,10.3
Nandi,Underweight,2022,Child nutritional status,Proportion (2022),9
Nandi,Underweight,2022,Child nutritional status,Percentage change,-18.9
Baringo,Underweight,2022,Child nutritional status,Proportion (2022),19.9
Baringo,Underweight,2022,Child nutritional status,Percentage change,-1.5
Laikipia,Underweight,2022,Child nutritional status,Proportion (2022),6.6
Laikipia,Underweight,2022,Child nutritional status,Percentage change,-52.5
Nakuru,Underweight,2022,Child nutritional status,Proportion (2022),9.2
Nakuru,Underweight,2022,Child nutritional status,Percentage change,-9.8
Narok,Underweight,2022,Child nutritional status,Proportion (2022),10.7
Narok,Underweight,2022,Child nutritional status,Percentage change,-7.8
Kajiado,Underweight,2022,Child nutritional status,Proportion (2022),9.6
Kajiado,Underweight,2022,Child nutritional status,Percentage change,18.5
Kericho,Underweight,2022,Child nutritional status,Proportion (2022),9.2
Kericho,Underweight,2022,Child nutritional status,Percentage change,-25.8
Bomet,Underweight,2022,Child nutritional status,Proportion (2022),9.8
Bomet,Underweight,2022,Child nutritional status,Percentage change,-18.3
Kakamega,Underweight,2022,Child nutritional status,Proportion (2022),6.4
Kakamega,Underweight,2022,Child nutritional status,Percentage change,-36.6
Vihiga,Underweight,2022,Child nutritional status,Proportion (2022),9.2
Vihiga,Underweight,2022,Child nutritional status,Percentage change,55.9
Bungoma,Underweight,2022,Child nutritional status,Proportion (2022),9.6
Bungoma,Underweight,2022,Child nutritional status,Percentage change,6.7
Busia,Underweight,2022,Child nutritional status,Proportion (2022),6.3
Busia,Underweight,2022,Child nutritional status,Percentage change,-30
Siaya,Underweight,2022,Child nutritional status,Proportion (2022),7
Siaya,Underweight,2022,Child nutritional status,Percentage change,-10.3
Kisumu,Underweight,2022,Child nutritional status,Proportion (2022),3.5
Kisumu,Underweight,2022,Child nutritional status,Percentage change,-47
Homa Bay,Underweight,2022,Child nutritional status,Proportion (2022),6.1
Homa Bay,Underweight,2022,Child nutritional status,Percentage change,13
Migori,Underweight,2022,Child nutritional status,Proportion (2022),5
Migori,Underweight,2022,Child nutritional status,Percentage change,-41.9
Kisii,Underweight,2022,Child nutritional status,Proportion (2022),7.8
Kisii,Underweight,2022,Child nutritional status,Percentage change,-7.1
Nyamira,Underweight,2022,Child nutritional status,Proportion (2022),3.4
Nyamira,Underweight,2022,Child nutritional status,Percentage change,-64.6
Nairobi,Underweight,2022,Child nutritional status,Proportion (2022),5.3
Nairobi,Underweight,2022,Child nutritional status,Percentage change,39.5
Mombasa,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),63.3
Mombasa,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,11.2
Mombasa,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),45.5
Mombasa,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,17
Kwale,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),74
Kwale,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-8.6
Kwale,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),47.5
Kwale,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-0.6
Kilifi,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),74.4
Kilifi,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,1.8
Kilifi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),48.2
Kilifi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,16.1
Tana River,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),71.3
Tana River,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,9.2
Tana River,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),34.3
Tana River,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,3.9
Lamu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),65.9
Lamu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-7.3
Lamu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),43.3
Lamu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-15.4
Taita Taveta,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),87.3
Taita Taveta,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,8.6
Taita Taveta,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),74.3
Taita Taveta,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,22.6
Garissa,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),19.7
Garissa,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-67.8
Garissa,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),6.8
Garissa,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-80.2
Wajir,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),43.6
Wajir,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-18.7
Wajir,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),15.5
Wajir,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-14.4
Mandera,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),15.7
Mandera,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-45.3
Mandera,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),4.8
Mandera,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-56
Marsabit,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),27.1
Marsabit,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,9.7
Marsabit,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),7.4
Marsabit,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,5.7
Isiolo,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),51.7
Isiolo,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-17.5
Isiolo,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),23.4
Isiolo,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-25.7
Meru,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),36.2
Meru,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-32.3
Meru,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),16.8
Meru,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-45.1
Tharaka Nithi,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),52.8
Tharaka Nithi,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-21.4
Tharaka Nithi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),34.7
Tharaka Nithi,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-24.2
Embu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),40.1
Embu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-28.3
Embu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),24.1
Embu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-31.7
Kitui,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),33
Kitui,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-46
Kitui,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),15.1
Kitui,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-48.5
Machakos,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),55.9
Machakos,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-0.2
Machakos,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),38.8
Machakos,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,23.2
Makueni,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),48.1
Makueni,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-13
Makueni,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),25.8
Makueni,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-6.9
Nyandarua,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),9.9
Nyandarua,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-20.8
Nyandarua,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),5.8
Nyandarua,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-18.3
Nyeri,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),18.1
Nyeri,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-8.1
Nyeri,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),12.1
Nyeri,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,1.7
Kirinyaga,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),57.3
Kirinyaga,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-16.4
Kirinyaga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),47.4
Kirinyaga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-12.7
Muranga,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),35.9
Muranga,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-17.8
Muranga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),22
Muranga,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-18.8
Kiambu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),27.8
Kiambu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,-30.3
Kiambu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),16
Kiambu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-36.5
Turkana,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),49.4
Turkana,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,6.9
Turkana,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),18.8
Turkana,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,15.3
West Pokot,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),78.8
West Pokot,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,30.9
West Pokot,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),41.5
West Pokot,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,95.8
Samburu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),19.9
Samburu,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,5.9
Samburu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),7.4
Samburu,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,-14.9
Trans Nzoia,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),86
Trans Nzoia,Households with >=1 ITN,2022,Household possession of ITNs,Percentage change,21.8
Trans Nzoia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Proportion (2022),69.3
Trans Nzoia,"Households with >=1 ITN
per 2 people",2022,Household possession of ITNs,Percentage change,80.5
Uasin Gishu,Households with >=1 ITN,2022,Household possession of ITNs,Proportion (2022),69.3
