County,Maternal care,Percent
Kakamega,Health facility delivery,90.0
Kakamega,Postnatal check,60.5
Vihiga,ANC from a skilled provider,99.1
Vihiga,At least four ANC visits,79.4
Vihiga,Took iron supplements,98.2
Vihiga,Neonatal tetanus,84.8
Vihiga,Skilled delivery,97.2
Vihiga,Health facility delivery,90.9
Vihiga,Postnatal check,86.8
Bungoma,ANC from a skilled provider,98.6
Bungoma,At least four ANC visits,72.5
Bungoma,Took iron supplements,90.3
Bungoma,Neonatal tetanus,74.2
Bungoma,Skilled delivery,87.2
Bungoma,Health facility delivery,79.3
Bungoma,Postnatal check,51.6
Busia,ANC from a skilled provider,99.4
Busia,At least four ANC visits,70.7
Busia,Took iron supplements,94.5
Busia,Neonatal tetanus,91.5
Busia,Skilled delivery,87.6
Busia,Health facility delivery,83.7
Busia,Postnatal check,90.5
Siaya,ANC from a skilled provider,99.1
Siaya,At least four ANC visits,65.1
Siaya,Took iron supplements,89.3
Siaya,Neonatal tetanus,64.9
Siaya,Skilled delivery,94.9
Siaya,Health facility delivery,84.4
Siaya,Postnatal check,80.1
Kisumu,ANC from a skilled provider,98.0
Kisumu,At least four ANC visits,63.3
Kisumu,Took iron supplements,94.8
Kisumu,Neonatal tetanus,73.5
Kisumu,Skilled delivery,97.9
Kisumu,Health facility delivery,94.4
Kisumu,Postnatal check,87.9
Homa Bay,ANC from a skilled provider,95.1
Homa Bay,At least four ANC visits,68.8
Homa Bay,Took iron supplements,89.1
Homa Bay,Neonatal tetanus,57.3
Homa Bay,Skilled delivery,91.2
Homa Bay,Health facility delivery,86.4
Homa Bay,Postnatal check,72.2
Migori,ANC from a skilled provider,100.0
Migori,At least four ANC visits,58.5
Migori,Took iron supplements,92.2
Migori,Neonatal tetanus,59.2
Migori,Skilled delivery,92.6
Migori,Health facility delivery,89.2
Migori,Postnatal check,70.5
Kisii,ANC from a skilled provider,98.5
Kisii,At least four ANC visits,62.7
Kisii,Took iron supplements,94.7
Kisii,Neonatal tetanus,84.4
Kisii,Skilled delivery,93.5
Kisii,Health facility delivery,76.0
Kisii,Postnatal check,71.5
Nyamira,ANC from a skilled provider,100.0
Nyamira,At least four ANC visits,65.8
Nyamira,Took iron supplements,93.6
Nyamira,Neonatal tetanus,76.9
Nyamira,Skilled delivery,92.6
Nyamira,Health facility delivery,91.5
Nyamira,Postnatal check,85.2
Nairobi City,ANC from a skilled provider,100.0
Nairobi City,At least four ANC visits,80.5
Nairobi City,Took iron supplements,91.2
Nairobi City,Neonatal tetanus,74.5
Nairobi City,Skilled delivery,99.4
Nairobi City,Health facility delivery,93.4
Nairobi City,Postnatal check,80.1
