Value,Category,Proportion,Background characteristics
Primary,Stool disposed of appropriately,70.3,Mother's education
Primary,Child used toilet,1.0,Mother's education
Primary,Put/rinsed into toilet,69.3,Mother's education
Primary,Buried,1.8,Mother's education
Primary,Put/rinsed into drain/ditch,8.1,Mother's education
Primary,Thrown into garbage,14.9,Mother's education
Primary,Left in the open,4.2,Mother's education
Primary,Other,0.7,Mother's education
Secondary,Stool disposed of appropriately,69.8,Mother's education
Secondary,Child used toilet,1.1,Mother's education
Secondary,Put/rinsed into toilet,68.7,Mother's education
Secondary,Buried,1.4,Mother's education
Secondary,Put/rinsed into drain/ditch,5.2,Mother's education
Secondary,Thrown into garbage,21.9,Mother's education
Secondary,Left in the open,1.3,Mother's education
Secondary,Other,0.5,Mother's education
More than secondary,Stool disposed of appropriately,55.3,Mother's education
More than secondary,Child used toilet,1.6,Mother's education
More than secondary,Put/rinsed into toilet,53.7,Mother's education
More than secondary,Buried,0.6,Mother's education
More than secondary,Put/rinsed into drain/ditch,5.4,Mother's education
More than secondary,Thrown into garbage,36.9,Mother's education
More than secondary,Left in the open,1.5,Mother's education
More than secondary,Other,0.3,Mother's education
Lowest,Stool disposed of appropriately,50.9,Wealth quintile
Lowest,Child used toilet,1.4,Wealth quintile
Lowest,Put/rinsed into toilet,49.5,Wealth quintile
Lowest,Buried,9.9,Wealth quintile
Lowest,Put/rinsed into drain/ditch,11.3,Wealth quintile
Lowest,Thrown into garbage,13.9,Wealth quintile
Lowest,Left in the open,13.2,Wealth quintile
Lowest,Other,0.7,Wealth quintile
Second,Stool disposed of appropriately,80.7,Wealth quintile
Second,Child used toilet,1.1,Wealth quintile
Second,Put/rinsed into toilet,79.7,Wealth quintile
Second,Buried,0.8,Wealth quintile
Second,Put/rinsed into drain/ditch,9.1,Wealth quintile
Second,Thrown into garbage,6.3,Wealth quintile
Second,Left in the open,2.8,Wealth quintile
Second,Other,0.2,Wealth quintile
Middle,Stool disposed of appropriately,80.0,Wealth quintile
Middle,Child used toilet,1.4,Wealth quintile
Middle,Put/rinsed into toilet,78.6,Wealth quintile
Middle,Buried,0.8,Wealth quintile
Middle,Put/rinsed into drain/ditch,7.6,Wealth quintile
Middle,Thrown into garbage,8.7,Wealth quintile
Middle,Left in the open,2.0,Wealth quintile
Middle,Other,0.9,Wealth quintile
Fourth,Stool disposed of appropriately,66.0,Wealth quintile
Fourth,Child used toilet,0.7,Wealth quintile
Fourth,Put/rinsed into toilet,65.3,Wealth quintile
Fourth,Buried,0.6,Wealth quintile
Fourth,Put/rinsed into drain/ditch,3.8,Wealth quintile
Fourth,Thrown into garbage,28.4,Wealth quintile
Fourth,Left in the open,0.8,Wealth quintile
Fourth,Other,0.4,Wealth quintile
Highest,Stool disposed of appropriately,39.5,Wealth quintile
Highest,Child used toilet,1.1,Wealth quintile
Highest,Put/rinsed into toilet,38.4,Wealth quintile
Highest,Buried,0.3,Wealth quintile
Highest,Put/rinsed into drain/ditch,1.7,Wealth quintile
Highest,Thrown into garbage,57.4,Wealth quintile
Highest,Left in the open,0.8,Wealth quintile
Highest,Other,0.3,Wealth quintile
