"","County","Category","Proportion","Names","cat"
"86","Isiolo","Thrown into garbage",15.6,"Isiolo, 15.6%","10.4-57.1"
"87","Isiolo","Left in the open",11.5,"Isiolo, 11.5%","10.4-57.1"
"88","Isiolo","Other",0,"Isiolo, 0%","<2"
"89","Meru","Stool disposed of appropriately",100,"Meru, 100%",">57.1"
"90","Meru","Child used toilet",2.5,"Meru, 2.5%","2.0-10.3"
"91","Meru","Put/rinsed into toilet",90.4,"Meru, 90.4%",">57.1"
"92","Meru","Buried",1,"Meru, 1%","<2"
"93","Meru","Put/rinsed into drain/ditch",1.6,"Meru, 1.6%","<2"
"94","Meru","Thrown into garbage",4.5,"Meru, 4.5%","2.0-10.3"
"95","Meru","Left in the open",0,"Meru, 0%","<2"
"96","Meru","Other",0,"Meru, 0%","<2"
"97","Tharaka Nithi","Stool disposed of appropriately",100,"Tharaka Nithi, 100%",">57.1"
"98","Tharaka Nithi","Child used toilet",1.9,"Tharaka Nithi, 1.9%","<2"
"99","Tharaka Nithi","Put/rinsed into toilet",87.8,"Tharaka Nithi, 87.8%",">57.1"
"100","Tharaka Nithi","Buried",0,"Tharaka Nithi, 0%","<2"
"101","Tharaka Nithi","Put/rinsed into drain/ditch",2.1,"Tharaka Nithi, 2.1%","2.0-10.3"
"102","Tharaka Nithi","Thrown into garbage",6,"Tharaka Nithi, 6%","2.0-10.3"
"103","Tharaka Nithi","Left in the open",0,"Tharaka Nithi, 0%","<2"
"104","Tharaka Nithi","Other",2.1,"Tharaka Nithi, 2.1%","2.0-10.3"
"105","Embu","Stool disposed of appropriately",100,"Embu, 100%",">57.1"
"106","Embu","Child used toilet",0,"Embu, 0%","<2"
"107","Embu","Put/rinsed into toilet",68.2,"Embu, 68.2%",">57.1"
"108","Embu","Buried",0,"Embu, 0%","<2"
"109","Embu","Put/rinsed into drain/ditch",5.9,"Embu, 5.9%","2.0-10.3"
"110","Embu","Thrown into garbage",25.8,"Embu, 25.8%","10.4-57.1"
"111","Embu","Left in the open",0,"Embu, 0%","<2"
"112","Embu","Other",0,"Embu, 0%","<2"
"113","Kitui","Stool disposed of appropriately",100,"Kitui, 100%",">57.1"
"114","Kitui","Child used toilet",7.1,"Kitui, 7.1%","2.0-10.3"
"115","Kitui","Put/rinsed into toilet",46.9,"Kitui, 46.9%","10.4-57.1"
"116","Kitui","Buried",6.9,"Kitui, 6.9%","2.0-10.3"
"117","Kitui","Put/rinsed into drain/ditch",12.9,"Kitui, 12.9%","10.4-57.1"
"118","Kitui","Thrown into garbage",21.4,"Kitui, 21.4%","10.4-57.1"
"119","Kitui","Left in the open",1.7,"Kitui, 1.7%","<2"
"120","Kitui","Other",3.2,"Kitui, 3.2%","2.0-10.3"
"121","Machakos","Stool disposed of appropriately",100,"Machakos, 100%",">57.1"
"122","Machakos","Child used toilet",0,"Machakos, 0%","<2"
"123","Machakos","Put/rinsed into toilet",52.5,"Machakos, 52.5%","10.4-57.1"
"124","Machakos","Buried",4.2,"Machakos, 4.2%","2.0-10.3"
"125","Machakos","Put/rinsed into drain/ditch",1.8,"Machakos, 1.8%","<2"
"126","Machakos","Thrown into garbage",34.2,"Machakos, 34.2%","10.4-57.1"
"127","Machakos","Left in the open",3.8,"Machakos, 3.8%","2.0-10.3"
"128","Machakos","Other",3.4,"Machakos, 3.4%","2.0-10.3"
"129","Makueni","Stool disposed of appropriately",100,"Makueni, 100%",">57.1"
"130","Makueni","Child used toilet",2.6,"Makueni, 2.6%","2.0-10.3"
"131","Makueni","Put/rinsed into toilet",95.4,"Makueni, 95.4%",">57.1"
"132","Makueni","Buried",0,"Makueni, 0%","<2"
"133","Makueni","Put/rinsed into drain/ditch",0,"Makueni, 0%","<2"
"134","Makueni","Thrown into garbage",2,"Makueni, 2%","2.0-10.3"
"135","Makueni","Left in the open",0,"Makueni, 0%","<2"
"136","Makueni","Other",0,"Makueni, 0%","<2"
"137","Nyandarua","Stool disposed of appropriately",100,"Nyandarua, 100%",">57.1"
"138","Nyandarua","Child used toilet",4.1,"Nyandarua, 4.1%","2.0-10.3"
"139","Nyandarua","Put/rinsed into toilet",74.8,"Nyandarua, 74.8%",">57.1"
"140","Nyandarua","Buried",0,"Nyandarua, 0%","<2"
"141","Nyandarua","Put/rinsed into drain/ditch",3.5,"Nyandarua, 3.5%","2.0-10.3"
"142","Nyandarua","Thrown into garbage",16.8,"Nyandarua, 16.8%","10.4-57.1"
"143","Nyandarua","Left in the open",0,"Nyandarua, 0%","<2"
"144","Nyandarua","Other",0.8,"Nyandarua, 0.8%","<2"
"145","Nyeri","Stool disposed of appropriately",100,"Nyeri, 100%",">57.1"
"146","Nyeri","Child used toilet",1,"Nyeri, 1%","<2"
"147","Nyeri","Put/rinsed into toilet",79.3,"Nyeri, 79.3%",">57.1"
"148","Nyeri","Buried",0,"Nyeri, 0%","<2"
"149","Nyeri","Put/rinsed into drain/ditch",6.1,"Nyeri, 6.1%","2.0-10.3"
"150","Nyeri","Thrown into garbage",13.6,"Nyeri, 13.6%","10.4-57.1"
"151","Nyeri","Left in the open",0,"Nyeri, 0%","<2"
"152","Nyeri","Other",0,"Nyeri, 0%","<2"
"153","Kirinyaga","Stool disposed of appropriately",100,"Kirinyaga, 100%",">57.1"
"154","Kirinyaga","Child used toilet",1.9,"Kirinyaga, 1.9%","<2"
"155","Kirinyaga","Put/rinsed into toilet",57.2,"Kirinyaga, 57.2%",">57.1"
"156","Kirinyaga","Buried",0,"Kirinyaga, 0%","<2"
"157","Kirinyaga","Put/rinsed into drain/ditch",12.6,"Kirinyaga, 12.6%","10.4-57.1"
"158","Kirinyaga","Thrown into garbage",28.3,"Kirinyaga, 28.3%","10.4-57.1"
"159","Kirinyaga","Left in the open",0,"Kirinyaga, 0%","<2"
"160","Kirinyaga","Other",0,"Kirinyaga, 0%","<2"
"161","Muranga","Stool disposed of appropriately",100,"Muranga, 100%",">57.1"
"162","Muranga","Child used toilet",0,"Muranga, 0%","<2"
"163","Muranga","Put/rinsed into toilet",90.3,"Muranga, 90.3%",">57.1"
"164","Muranga","Buried",0,"Muranga, 0%","<2"
"165","Muranga","Put/rinsed into drain/ditch",0,"Muranga, 0%","<2"
"166","Muranga","Thrown into garbage",8.8,"Muranga, 8.8%","2.0-10.3"
"167","Muranga","Left in the open",0,"Muranga, 0%","<2"
"168","Muranga","Other",0.9,"Muranga, 0.9%","<2"
"169","Kiambu","Stool disposed of appropriately",100,"Kiambu, 100%",">57.1"
"170","Kiambu","Child used toilet",0,"Kiambu, 0%","<2"
"171","Kiambu","Put/rinsed into toilet",54,"Kiambu, 54%","10.4-57.1"
"172","Kiambu","Buried",0,"Kiambu, 0%","<2"
"173","Kiambu","Put/rinsed into drain/ditch",3.6,"Kiambu, 3.6%","2.0-10.3"
"174","Kiambu","Thrown into garbage",41.4,"Kiambu, 41.4%","10.4-57.1"
"175","Kiambu","Left in the open",0,"Kiambu, 0%","<2"
"176","Kiambu","Other",1,"Kiambu, 1%","<2"
"177","Turkana","Stool disposed of appropriately",100,"Turkana, 100%",">57.1"
"178","Turkana","Child used toilet",0.4,"Turkana, 0.4%","<2"
"179","Turkana","Put/rinsed into toilet",14.1,"Turkana, 14.1%","10.4-57.1"
"180","Turkana","Buried",26,"Turkana, 26%","10.4-57.1"
"181","Turkana","Put/rinsed into drain/ditch",0,"Turkana, 0%","<2"
"182","Turkana","Thrown into garbage",35.2,"Turkana, 35.2%","10.4-57.1"
"183","Turkana","Left in the open",22.6,"Turkana, 22.6%","10.4-57.1"
"184","Turkana","Other",1.7,"Turkana, 1.7%","<2"
"185","West Pokot","Stool disposed of appropriately",100,"West Pokot, 100%",">57.1"
"186","West Pokot","Child used toilet",0.8,"West Pokot, 0.8%","<2"
"187","West Pokot","Put/rinsed into toilet",68.9,"West Pokot, 68.9%",">57.1"
"188","West Pokot","Buried",16.8,"West Pokot, 16.8%","10.4-57.1"
"189","West Pokot","Put/rinsed into drain/ditch",5.3,"West Pokot, 5.3%","2.0-10.3"
"190","West Pokot","Thrown into garbage",6.1,"West Pokot, 6.1%","2.0-10.3"
"191","West Pokot","Left in the open",2.2,"West Pokot, 2.2%","2.0-10.3"
"192","West Pokot","Other",0,"West Pokot, 0%","<2"
"193","Samburu","Stool disposed of appropriately",100,"Samburu, 100%",">57.1"
"194","Samburu","Child used toilet",0,"Samburu, 0%","<2"
"195","Samburu","Put/rinsed into toilet",29.4,"Samburu, 29.4%","10.4-57.1"
"196","Samburu","Buried",1.3,"Samburu, 1.3%","<2"
"197","Samburu","Put/rinsed into drain/ditch",23.3,"Samburu, 23.3%","10.4-57.1"
"198","Samburu","Thrown into garbage",27.8,"Samburu, 27.8%","10.4-57.1"
"199","Samburu","Left in the open",17.7,"Samburu, 17.7%","10.4-57.1"
"200","Samburu","Other",0.5,"Samburu, 0.5%","<2"
"201","Trans Nzoia","Stool disposed of appropriately",100,"Trans Nzoia, 100%",">57.1"
"202","Trans Nzoia","Child used toilet",2,"Trans Nzoia, 2%","2.0-10.3"
"203","Trans Nzoia","Put/rinsed into toilet",72.5,"Trans Nzoia, 72.5%",">57.1"
"204","Trans Nzoia","Buried",3.4,"Trans Nzoia, 3.4%","2.0-10.3"
"205","Trans Nzoia","Put/rinsed into drain/ditch",14.3,"Trans Nzoia, 14.3%","10.4-57.1"
"206","Trans Nzoia","Thrown into garbage",6.2,"Trans Nzoia, 6.2%","2.0-10.3"
"207","Trans Nzoia","Left in the open",1.6,"Trans Nzoia, 1.6%","<2"
"208","Trans Nzoia","Other",0,"Trans Nzoia, 0%","<2"
"209","Uasin Gishu","Stool disposed of appropriately",100,"Uasin Gishu, 100%",">57.1"
"210","Uasin Gishu","Child used toilet",1.8,"Uasin Gishu, 1.8%","<2"
"211","Uasin Gishu","Put/rinsed into toilet",55.7,"Uasin Gishu, 55.7%","10.4-57.1"
"212","Uasin Gishu","Buried",0,"Uasin Gishu, 0%","<2"
"213","Uasin Gishu","Put/rinsed into drain/ditch",13.3,"Uasin Gishu, 13.3%","10.4-57.1"
"214","Uasin Gishu","Thrown into garbage",26.8,"Uasin Gishu, 26.8%","10.4-57.1"
"215","Uasin Gishu","Left in the open",2.4,"Uasin Gishu, 2.4%","2.0-10.3"
"216","Uasin Gishu","Other",0,"Uasin Gishu, 0%","<2"
"217","Elgeyo Marakwet","Stool disposed of appropriately",100,"Elgeyo Marakwet, 100%",">57.1"
"218","Elgeyo Marakwet","Child used toilet",0,"Elgeyo Marakwet, 0%","<2"
"219","Elgeyo Marakwet","Put/rinsed into toilet",83.6,"Elgeyo Marakwet, 83.6%",">57.1"
"220","Elgeyo Marakwet","Buried",0,"Elgeyo Marakwet, 0%","<2"
"221","Elgeyo Marakwet","Put/rinsed into drain/ditch",10.7,"Elgeyo Marakwet, 10.7%","10.4-57.1"
"222","Elgeyo Marakwet","Thrown into garbage",5.7,"Elgeyo Marakwet, 5.7%","2.0-10.3"
"223","Elgeyo Marakwet","Left in the open",0,"Elgeyo Marakwet, 0%","<2"
"224","Elgeyo Marakwet","Other",0,"Elgeyo Marakwet, 0%","<2"
"225","Nandi","Stool disposed of appropriately",100,"Nandi, 100%",">57.1"
"226","Nandi","Child used toilet",0,"Nandi, 0%","<2"
"227","Nandi","Put/rinsed into toilet",91.9,"Nandi, 91.9%",">57.1"
"228","Nandi","Buried",0,"Nandi, 0%","<2"
"229","Nandi","Put/rinsed into drain/ditch",4,"Nandi, 4%","2.0-10.3"
"230","Nandi","Thrown into garbage",2.5,"Nandi, 2.5%","2.0-10.3"
"231","Nandi","Left in the open",1.7,"Nandi, 1.7%","<2"
"232","Nandi","Other",0,"Nandi, 0%","<2"
"233","Baringo","Stool disposed of appropriately",100,"Baringo, 100%",">57.1"
"234","Baringo","Child used toilet",0.6,"Baringo, 0.6%","<2"
"235","Baringo","Put/rinsed into toilet",51.1,"Baringo, 51.1%","10.4-57.1"
"236","Baringo","Buried",2.4,"Baringo, 2.4%","2.0-10.3"
"237","Baringo","Put/rinsed into drain/ditch",20.6,"Baringo, 20.6%","10.4-57.1"
"238","Baringo","Thrown into garbage",8.1,"Baringo, 8.1%","2.0-10.3"
"239","Baringo","Left in the open",14.6,"Baringo, 14.6%","10.4-57.1"
"240","Baringo","Other",2.5,"Baringo, 2.5%","2.0-10.3"
"241","Laikipia","Stool disposed of appropriately",100,"Laikipia, 100%",">57.1"
"242","Laikipia","Child used toilet",8.4,"Laikipia, 8.4%","2.0-10.3"
"243","Laikipia","Put/rinsed into toilet",59.5,"Laikipia, 59.5%",">57.1"
"244","Laikipia","Buried",4.2,"Laikipia, 4.2%","2.0-10.3"
"245","Laikipia","Put/rinsed into drain/ditch",4.3,"Laikipia, 4.3%","2.0-10.3"
"246","Laikipia","Thrown into garbage",21.7,"Laikipia, 21.7%","10.4-57.1"
"247","Laikipia","Left in the open",1.9,"Laikipia, 1.9%","<2"
"248","Laikipia","Other",0,"Laikipia, 0%","<2"
"249","Nakuru","Stool disposed of appropriately",100,"Nakuru, 100%",">57.1"
"250","Nakuru","Child used toilet",1.2,"Nakuru, 1.2%","<2"
"251","Nakuru","Put/rinsed into toilet",76.6,"Nakuru, 76.6%",">57.1"
"252","Nakuru","Buried",0,"Nakuru, 0%","<2"
"253","Nakuru","Put/rinsed into drain/ditch",3.8,"Nakuru, 3.8%","2.0-10.3"
"254","Nakuru","Thrown into garbage",11.2,"Nakuru, 11.2%","10.4-57.1"
"255","Nakuru","Left in the open",7.1,"Nakuru, 7.1%","2.0-10.3"
"256","Nakuru","Other",0,"Nakuru, 0%","<2"
"257","Narok","Stool disposed of appropriately",100,"Narok, 100%",">57.1"
"258","Narok","Child used toilet",0,"Narok, 0%","<2"
"259","Narok","Put/rinsed into toilet",40.1,"Narok, 40.1%","10.4-57.1"
"260","Narok","Buried",1,"Narok, 1%","<2"
"261","Narok","Put/rinsed into drain/ditch",31,"Narok, 31%","10.4-57.1"
"262","Narok","Thrown into garbage",2.1,"Narok, 2.1%","2.0-10.3"
"263","Narok","Left in the open",23.6,"Narok, 23.6%","10.4-57.1"
"264","Narok","Other",2.1,"Narok, 2.1%","2.0-10.3"
"265","Kajiado","Stool disposed of appropriately",100,"Kajiado, 100%",">57.1"
"266","Kajiado","Child used toilet",0,"Kajiado, 0%","<2"
"267","Kajiado","Put/rinsed into toilet",39.3,"Kajiado, 39.3%","10.4-57.1"
"268","Kajiado","Buried",2.3,"Kajiado, 2.3%","2.0-10.3"
"269","Kajiado","Put/rinsed into drain/ditch",4,"Kajiado, 4%","2.0-10.3"
"270","Kajiado","Thrown into garbage",31,"Kajiado, 31%","10.4-57.1"
"271","Kajiado","Left in the open",23.4,"Kajiado, 23.4%","10.4-57.1"
"272","Kajiado","Other",0,"Kajiado, 0%","<2"
"273","Kericho","Stool disposed of appropriately",100,"Kericho, 100%",">57.1"
"274","Kericho","Child used toilet",1.3,"Kericho, 1.3%","<2"
"275","Kericho","Put/rinsed into toilet",98.4,"Kericho, 98.4%",">57.1"
"276","Kericho","Buried",0,"Kericho, 0%","<2"
"277","Kericho","Put/rinsed into drain/ditch",0,"Kericho, 0%","<2"
"278","Kericho","Thrown into garbage",0.4,"Kericho, 0.4%","<2"
"279","Kericho","Left in the open",0,"Kericho, 0%","<2"
"280","Kericho","Other",0,"Kericho, 0%","<2"
"281","Bomet","Stool disposed of appropriately",100,"Bomet, 100%",">57.1"
"282","Bomet","Child used toilet",0,"Bomet, 0%","<2"
"283","Bomet","Put/rinsed into toilet",76.5,"Bomet, 76.5%",">57.1"
"284","Bomet","Buried",0,"Bomet, 0%","<2"
"285","Bomet","Put/rinsed into drain/ditch",20.7,"Bomet, 20.7%","10.4-57.1"
"286","Bomet","Thrown into garbage",1.4,"Bomet, 1.4%","<2"
"287","Bomet","Left in the open",1.4,"Bomet, 1.4%","<2"
"288","Bomet","Other",0,"Bomet, 0%","<2"
"289","Kakamega","Stool disposed of appropriately",100,"Kakamega, 100%",">57.1"
"290","Kakamega","Child used toilet",0,"Kakamega, 0%","<2"
"291","Kakamega","Put/rinsed into toilet",90.3,"Kakamega, 90.3%",">57.1"
"292","Kakamega","Buried",0,"Kakamega, 0%","<2"
"293","Kakamega","Put/rinsed into drain/ditch",5.9,"Kakamega, 5.9%","2.0-10.3"
"294","Kakamega","Thrown into garbage",3.1,"Kakamega, 3.1%","2.0-10.3"
"295","Kakamega","Left in the open",0,"Kakamega, 0%","<2"
"296","Kakamega","Other",0.7,"Kakamega, 0.7%","<2"
"297","Vihiga","Stool disposed of appropriately",100,"Vihiga, 100%",">57.1"
"298","Vihiga","Child used toilet",0,"Vihiga, 0%","<2"
"299","Vihiga","Put/rinsed into toilet",95,"Vihiga, 95%",">57.1"
"300","Vihiga","Buried",0,"Vihiga, 0%","<2"
"301","Vihiga","Put/rinsed into drain/ditch",3.9,"Vihiga, 3.9%","2.0-10.3"
"302","Vihiga","Thrown into garbage",1.1,"Vihiga, 1.1%","<2"
"303","Vihiga","Left in the open",0,"Vihiga, 0%","<2"
"304","Vihiga","Other",0,"Vihiga, 0%","<2"
"305","Bungoma","Stool disposed of appropriately",100,"Bungoma, 100%",">57.1"
"306","Bungoma","Child used toilet",0,"Bungoma, 0%","<2"
"307","Bungoma","Put/rinsed into toilet",90.6,"Bungoma, 90.6%",">57.1"
"308","Bungoma","Buried",0,"Bungoma, 0%","<2"
"309","Bungoma","Put/rinsed into drain/ditch",6.6,"Bungoma, 6.6%","2.0-10.3"
"310","Bungoma","Thrown into garbage",2.8,"Bungoma, 2.8%","2.0-10.3"
"311","Bungoma","Left in the open",0,"Bungoma, 0%","<2"
"312","Bungoma","Other",0,"Bungoma, 0%","<2"
"313","Busia","Stool disposed of appropriately",100,"Busia, 100%",">57.1"
"314","Busia","Child used toilet",0,"Busia, 0%","<2"
"315","Busia","Put/rinsed into toilet",97.9,"Busia, 97.9%",">57.1"
"316","Busia","Buried",0,"Busia, 0%","<2"
"317","Busia","Put/rinsed into drain/ditch",1.3,"Busia, 1.3%","<2"
"318","Busia","Thrown into garbage",0.9,"Busia, 0.9%","<2"
"319","Busia","Left in the open",0,"Busia, 0%","<2"
"320","Busia","Other",0,"Busia, 0%","<2"
"321","Siaya","Stool disposed of appropriately",100,"Siaya, 100%",">57.1"
"322","Siaya","Child used toilet",0,"Siaya, 0%","<2"
"323","Siaya","Put/rinsed into toilet",67.2,"Siaya, 67.2%",">57.1"
"324","Siaya","Buried",2.2,"Siaya, 2.2%","2.0-10.3"
"325","Siaya","Put/rinsed into drain/ditch",21.4,"Siaya, 21.4%","10.4-57.1"
"326","Siaya","Thrown into garbage",4.4,"Siaya, 4.4%","2.0-10.3"
"327","Siaya","Left in the open",4.7,"Siaya, 4.7%","2.0-10.3"
"328","Siaya","Other",0,"Siaya, 0%","<2"
"329","Kisumu","Stool disposed of appropriately",100,"Kisumu, 100%",">57.1"
"330","Kisumu","Child used toilet",1,"Kisumu, 1%","<2"
"331","Kisumu","Put/rinsed into toilet",85.9,"Kisumu, 85.9%",">57.1"
"332","Kisumu","Buried",0,"Kisumu, 0%","<2"
"333","Kisumu","Put/rinsed into drain/ditch",0,"Kisumu, 0%","<2"
"334","Kisumu","Thrown into garbage",13.1,"Kisumu, 13.1%","10.4-57.1"
"335","Kisumu","Left in the open",0,"Kisumu, 0%","<2"
"336","Kisumu","Other",0,"Kisumu, 0%","<2"
"337","Homa Bay","Stool disposed of appropriately",100,"Homa Bay, 100%",">57.1"
"338","Homa Bay","Child used toilet",1.3,"Homa Bay, 1.3%","<2"
"339","Homa Bay","Put/rinsed into toilet",74.6,"Homa Bay, 74.6%",">57.1"
"340","Homa Bay","Buried",4.5,"Homa Bay, 4.5%","2.0-10.3"
"341","Homa Bay","Put/rinsed into drain/ditch",2.5,"Homa Bay, 2.5%","2.0-10.3"
"342","Homa Bay","Thrown into garbage",13.3,"Homa Bay, 13.3%","10.4-57.1"
"343","Homa Bay","Left in the open",2.1,"Homa Bay, 2.1%","2.0-10.3"
"344","Homa Bay","Other",1.5,"Homa Bay, 1.5%","<2"
"345","Migori","Stool disposed of appropriately",100,"Migori, 100%",">57.1"
"346","Migori","Child used toilet",0.7,"Migori, 0.7%","<2"
"347","Migori","Put/rinsed into toilet",73.6,"Migori, 73.6%",">57.1"
"348","Migori","Buried",1.9,"Migori, 1.9%","<2"
"349","Migori","Put/rinsed into drain/ditch",15.5,"Migori, 15.5%","10.4-57.1"
"350","Migori","Thrown into garbage",4.7,"Migori, 4.7%","2.0-10.3"
"351","Migori","Left in the open",2.5,"Migori, 2.5%","2.0-10.3"
"352","Migori","Other",1.2,"Migori, 1.2%","<2"
"353","Kisii","Stool disposed of appropriately",100,"Kisii, 100%",">57.1"
"354","Kisii","Child used toilet",1.2,"Kisii, 1.2%","<2"
"355","Kisii","Put/rinsed into toilet",98.8,"Kisii, 98.8%",">57.1"
"356","Kisii","Buried",0,"Kisii, 0%","<2"
"357","Kisii","Put/rinsed into drain/ditch",0,"Kisii, 0%","<2"
"358","Kisii","Thrown into garbage",0,"Kisii, 0%","<2"
"359","Kisii","Left in the open",0,"Kisii, 0%","<2"
