"","County","Category","Proportion","Names","cat"
"86","Isiolo","Improved facilities",0.3,"Isiolo, 0.3%","<1.0"
"87","Isiolo","Unimproved facilities",17.6,"Isiolo, 17.6%","10.7-47.7"
"88","Isiolo","Open defecation",20.8,"Isiolo, 20.8%","10.7-47.7"
"89","Meru","Appropriate management method",57.4,"Meru, 57.4%",">47.7"
"90","Meru","Connected to sewer",0.7,"Meru, 0.7%","<1.0"
"91","Meru","Safe disposal from on-site facilities",55.1,"Meru, 55.1%",">47.7"
"92","Meru","Unsafe disposal from on-site facilities",0.1,"Meru, 0.1%","<1.0"
"93","Meru","Removal for treatment off-site",1.6,"Meru, 1.6%","0.9-10.6"
"94","Meru","Improved facilities",0.3,"Meru, 0.3%","<1.0"
"95","Meru","Unimproved facilities",41.6,"Meru, 41.6%","10.7-47.7"
"96","Meru","Open defecation",0.6,"Meru, 0.6%","<1.0"
"97","Tharaka Nithi","Appropriate management method",62.7,"Tharaka Nithi, 62.7%",">47.7"
"98","Tharaka Nithi","Connected to sewer",0.6,"Tharaka Nithi, 0.6%","<1.0"
"99","Tharaka Nithi","Safe disposal from on-site facilities",61.7,"Tharaka Nithi, 61.7%",">47.7"
"100","Tharaka Nithi","Unsafe disposal from on-site facilities",0.2,"Tharaka Nithi, 0.2%","<1.0"
"101","Tharaka Nithi","Removal for treatment off-site",0.4,"Tharaka Nithi, 0.4%","<1.0"
"102","Tharaka Nithi","Improved facilities",0.3,"Tharaka Nithi, 0.3%","<1.0"
"103","Tharaka Nithi","Unimproved facilities",35.6,"Tharaka Nithi, 35.6%","10.7-47.7"
"104","Tharaka Nithi","Open defecation",1.1,"Tharaka Nithi, 1.1%","0.9-10.6"
"105","Embu","Appropriate management method",61.1,"Embu, 61.1%",">47.7"
"106","Embu","Connected to sewer",3.5,"Embu, 3.5%","0.9-10.6"
"107","Embu","Safe disposal from on-site facilities",56.3,"Embu, 56.3%",">47.7"
"108","Embu","Unsafe disposal from on-site facilities",0,"Embu, 0%","<1.0"
"109","Embu","Removal for treatment off-site",1.4,"Embu, 1.4%","0.9-10.6"
"110","Embu","Improved facilities",0.4,"Embu, 0.4%","<1.0"
"111","Embu","Unimproved facilities",38.2,"Embu, 38.2%","10.7-47.7"
"112","Embu","Open defecation",0.3,"Embu, 0.3%","<1.0"
"113","Kitui","Appropriate management method",61.5,"Kitui, 61.5%",">47.7"
"114","Kitui","Connected to sewer",1.8,"Kitui, 1.8%","0.9-10.6"
"115","Kitui","Safe disposal from on-site facilities",59.6,"Kitui, 59.6%",">47.7"
"116","Kitui","Unsafe disposal from on-site facilities",0,"Kitui, 0%","<1.0"
"117","Kitui","Removal for treatment off-site",0.1,"Kitui, 0.1%","<1.0"
"118","Kitui","Improved facilities",0,"Kitui, 0%","<1.0"
"119","Kitui","Unimproved facilities",33.3,"Kitui, 33.3%","10.7-47.7"
"120","Kitui","Open defecation",5.1,"Kitui, 5.1%","0.9-10.6"
"121","Machakos","Appropriate management method",83.7,"Machakos, 83.7%",">47.7"
"122","Machakos","Connected to sewer",5.2,"Machakos, 5.2%","0.9-10.6"
"123","Machakos","Safe disposal from on-site facilities",72.1,"Machakos, 72.1%",">47.7"
"124","Machakos","Unsafe disposal from on-site facilities",0.2,"Machakos, 0.2%","<1.0"
"125","Machakos","Removal for treatment off-site",6.4,"Machakos, 6.4%","0.9-10.6"
"126","Machakos","Improved facilities",0.1,"Machakos, 0.1%","<1.0"
"127","Machakos","Unimproved facilities",15.6,"Machakos, 15.6%","10.7-47.7"
"128","Machakos","Open defecation",0.5,"Machakos, 0.5%","<1.0"
"129","Makueni","Appropriate management method",66.6,"Makueni, 66.6%",">47.7"
"130","Makueni","Connected to sewer",0.4,"Makueni, 0.4%","<1.0"
"131","Makueni","Safe disposal from on-site facilities",66,"Makueni, 66%",">47.7"
"132","Makueni","Unsafe disposal from on-site facilities",0,"Makueni, 0%","<1.0"
"133","Makueni","Removal for treatment off-site",0.2,"Makueni, 0.2%","<1.0"
"134","Makueni","Improved facilities",0.4,"Makueni, 0.4%","<1.0"
"135","Makueni","Unimproved facilities",31.6,"Makueni, 31.6%","10.7-47.7"
"136","Makueni","Open defecation",1.5,"Makueni, 1.5%","0.9-10.6"
"137","Nyandarua","Appropriate management method",47,"Nyandarua, 47%","10.7-47.7"
"138","Nyandarua","Connected to sewer",1,"Nyandarua, 1%","0.9-10.6"
"139","Nyandarua","Safe disposal from on-site facilities",42.5,"Nyandarua, 42.5%","10.7-47.7"
"140","Nyandarua","Unsafe disposal from on-site facilities",0,"Nyandarua, 0%","<1.0"
"141","Nyandarua","Removal for treatment off-site",3.5,"Nyandarua, 3.5%","0.9-10.6"
"142","Nyandarua","Improved facilities",0.1,"Nyandarua, 0.1%","<1.0"
"143","Nyandarua","Unimproved facilities",52.9,"Nyandarua, 52.9%",">47.7"
"144","Nyandarua","Open defecation",0,"Nyandarua, 0%","<1.0"
"145","Nyeri","Appropriate management method",75.8,"Nyeri, 75.8%",">47.7"
"146","Nyeri","Connected to sewer",9.2,"Nyeri, 9.2%","0.9-10.6"
"147","Nyeri","Safe disposal from on-site facilities",64.5,"Nyeri, 64.5%",">47.7"
"148","Nyeri","Unsafe disposal from on-site facilities",0.6,"Nyeri, 0.6%","<1.0"
"149","Nyeri","Removal for treatment off-site",2.2,"Nyeri, 2.2%","0.9-10.6"
"150","Nyeri","Improved facilities",1.6,"Nyeri, 1.6%","0.9-10.6"
"151","Nyeri","Unimproved facilities",21.6,"Nyeri, 21.6%","10.7-47.7"
"152","Nyeri","Open defecation",0.4,"Nyeri, 0.4%","<1.0"
"153","Kirinyaga","Appropriate management method",95.5,"Kirinyaga, 95.5%",">47.7"
"154","Kirinyaga","Connected to sewer",0.5,"Kirinyaga, 0.5%","<1.0"
"155","Kirinyaga","Safe disposal from on-site facilities",91.6,"Kirinyaga, 91.6%",">47.7"
"156","Kirinyaga","Unsafe disposal from on-site facilities",0.1,"Kirinyaga, 0.1%","<1.0"
"157","Kirinyaga","Removal for treatment off-site",3.3,"Kirinyaga, 3.3%","0.9-10.6"
"158","Kirinyaga","Improved facilities",0.3,"Kirinyaga, 0.3%","<1.0"
"159","Kirinyaga","Unimproved facilities",4.1,"Kirinyaga, 4.1%","0.9-10.6"
"160","Kirinyaga","Open defecation",0.1,"Kirinyaga, 0.1%","<1.0"
"161","Muranga","Appropriate management method",83.3,"Muranga, 83.3%",">47.7"
"162","Muranga","Connected to sewer",1.3,"Muranga, 1.3%","0.9-10.6"
"163","Muranga","Safe disposal from on-site facilities",80.7,"Muranga, 80.7%",">47.7"
"164","Muranga","Unsafe disposal from on-site facilities",0,"Muranga, 0%","<1.0"
"165","Muranga","Removal for treatment off-site",1.4,"Muranga, 1.4%","0.9-10.6"
"166","Muranga","Improved facilities",0.4,"Muranga, 0.4%","<1.0"
"167","Muranga","Unimproved facilities",16.2,"Muranga, 16.2%","10.7-47.7"
"168","Muranga","Open defecation",0,"Muranga, 0%","<1.0"
"169","Kiambu","Appropriate management method",88.9,"Kiambu, 88.9%",">47.7"
"170","Kiambu","Connected to sewer",8.1,"Kiambu, 8.1%","0.9-10.6"
"171","Kiambu","Safe disposal from on-site facilities",71.3,"Kiambu, 71.3%",">47.7"
"172","Kiambu","Unsafe disposal from on-site facilities",0.7,"Kiambu, 0.7%","<1.0"
"173","Kiambu","Removal for treatment off-site",9.5,"Kiambu, 9.5%","0.9-10.6"
"174","Kiambu","Improved facilities",2.8,"Kiambu, 2.8%","0.9-10.6"
"175","Kiambu","Unimproved facilities",7.6,"Kiambu, 7.6%","0.9-10.6"
"176","Kiambu","Open defecation",0.1,"Kiambu, 0.1%","<1.0"
"177","Turkana","Appropriate management method",24.8,"Turkana, 24.8%","10.7-47.7"
"178","Turkana","Connected to sewer",0.8,"Turkana, 0.8%","<1.0"
"179","Turkana","Safe disposal from on-site facilities",23.2,"Turkana, 23.2%","10.7-47.7"
"180","Turkana","Unsafe disposal from on-site facilities",0.2,"Turkana, 0.2%","<1.0"
"181","Turkana","Removal for treatment off-site",0.7,"Turkana, 0.7%","<1.0"
"182","Turkana","Improved facilities",0,"Turkana, 0%","<1.0"
"183","Turkana","Unimproved facilities",4.2,"Turkana, 4.2%","0.9-10.6"
"184","Turkana","Open defecation",70.8,"Turkana, 70.8%",">47.7"
"185","West Pokot","Appropriate management method",29.6,"West Pokot, 29.6%","10.7-47.7"
"186","West Pokot","Connected to sewer",1.4,"West Pokot, 1.4%","0.9-10.6"
"187","West Pokot","Safe disposal from on-site facilities",27.4,"West Pokot, 27.4%","10.7-47.7"
"188","West Pokot","Unsafe disposal from on-site facilities",0,"West Pokot, 0%","<1.0"
"189","West Pokot","Removal for treatment off-site",0.8,"West Pokot, 0.8%","<1.0"
"190","West Pokot","Improved facilities",0,"West Pokot, 0%","<1.0"
"191","West Pokot","Unimproved facilities",34.1,"West Pokot, 34.1%","10.7-47.7"
"192","West Pokot","Open defecation",36.2,"West Pokot, 36.2%","10.7-47.7"
"193","Samburu","Appropriate management method",36.5,"Samburu, 36.5%","10.7-47.7"
"194","Samburu","Connected to sewer",0.2,"Samburu, 0.2%","<1.0"
"195","Samburu","Safe disposal from on-site facilities",33.6,"Samburu, 33.6%","10.7-47.7"
"196","Samburu","Unsafe disposal from on-site facilities",0,"Samburu, 0%","<1.0"
"197","Samburu","Removal for treatment off-site",2.6,"Samburu, 2.6%","0.9-10.6"
"198","Samburu","Improved facilities",0.2,"Samburu, 0.2%","<1.0"
"199","Samburu","Unimproved facilities",10.7,"Samburu, 10.7%","10.7-47.7"
"200","Samburu","Open defecation",52.6,"Samburu, 52.6%",">47.7"
"201","Trans Nzoia","Appropriate management method",88.8,"Trans Nzoia, 88.8%",">47.7"
"202","Trans Nzoia","Connected to sewer",0.2,"Trans Nzoia, 0.2%","<1.0"
"203","Trans Nzoia","Safe disposal from on-site facilities",87.5,"Trans Nzoia, 87.5%",">47.7"
"204","Trans Nzoia","Unsafe disposal from on-site facilities",0.3,"Trans Nzoia, 0.3%","<1.0"
"205","Trans Nzoia","Removal for treatment off-site",1.2,"Trans Nzoia, 1.2%","0.9-10.6"
"206","Trans Nzoia","Improved facilities",0,"Trans Nzoia, 0%","<1.0"
"207","Trans Nzoia","Unimproved facilities",9.9,"Trans Nzoia, 9.9%","0.9-10.6"
"208","Trans Nzoia","Open defecation",1,"Trans Nzoia, 1%","0.9-10.6"
"209","Uasin Gishu","Appropriate management method",72.4,"Uasin Gishu, 72.4%",">47.7"
"210","Uasin Gishu","Connected to sewer",7.4,"Uasin Gishu, 7.4%","0.9-10.6"
"211","Uasin Gishu","Safe disposal from on-site facilities",53.9,"Uasin Gishu, 53.9%",">47.7"
"212","Uasin Gishu","Unsafe disposal from on-site facilities",0.4,"Uasin Gishu, 0.4%","<1.0"
"213","Uasin Gishu","Removal for treatment off-site",11,"Uasin Gishu, 11%","10.7-47.7"
"214","Uasin Gishu","Improved facilities",0.1,"Uasin Gishu, 0.1%","<1.0"
"215","Uasin Gishu","Unimproved facilities",26.5,"Uasin Gishu, 26.5%","10.7-47.7"
"216","Uasin Gishu","Open defecation",0.6,"Uasin Gishu, 0.6%","<1.0"
"217","Elgeyo Marakwet","Appropriate management method",40.1,"Elgeyo Marakwet, 40.1%","10.7-47.7"
"218","Elgeyo Marakwet","Connected to sewer",0.2,"Elgeyo Marakwet, 0.2%","<1.0"
"219","Elgeyo Marakwet","Safe disposal from on-site facilities",39.7,"Elgeyo Marakwet, 39.7%","10.7-47.7"
"220","Elgeyo Marakwet","Unsafe disposal from on-site facilities",0,"Elgeyo Marakwet, 0%","<1.0"
"221","Elgeyo Marakwet","Removal for treatment off-site",0.2,"Elgeyo Marakwet, 0.2%","<1.0"
"222","Elgeyo Marakwet","Improved facilities",0,"Elgeyo Marakwet, 0%","<1.0"
"223","Elgeyo Marakwet","Unimproved facilities",55.1,"Elgeyo Marakwet, 55.1%",">47.7"
"224","Elgeyo Marakwet","Open defecation",4.7,"Elgeyo Marakwet, 4.7%","0.9-10.6"
"225","Nandi","Appropriate management method",55.9,"Nandi, 55.9%",">47.7"
"226","Nandi","Connected to sewer",0.2,"Nandi, 0.2%","<1.0"
"227","Nandi","Safe disposal from on-site facilities",54.7,"Nandi, 54.7%",">47.7"
"228","Nandi","Unsafe disposal from on-site facilities",0,"Nandi, 0%","<1.0"
"229","Nandi","Removal for treatment off-site",1,"Nandi, 1%","0.9-10.6"
"230","Nandi","Improved facilities",0,"Nandi, 0%","<1.0"
"231","Nandi","Unimproved facilities",42.1,"Nandi, 42.1%","10.7-47.7"
"232","Nandi","Open defecation",2,"Nandi, 2%","0.9-10.6"
"233","Baringo","Appropriate management method",60.4,"Baringo, 60.4%",">47.7"
"234","Baringo","Connected to sewer",0.3,"Baringo, 0.3%","<1.0"
"235","Baringo","Safe disposal from on-site facilities",59.1,"Baringo, 59.1%",">47.7"
"236","Baringo","Unsafe disposal from on-site facilities",0.1,"Baringo, 0.1%","<1.0"
"237","Baringo","Removal for treatment off-site",1,"Baringo, 1%","0.9-10.6"
"238","Baringo","Improved facilities",0,"Baringo, 0%","<1.0"
"239","Baringo","Unimproved facilities",5.9,"Baringo, 5.9%","0.9-10.6"
"240","Baringo","Open defecation",33.6,"Baringo, 33.6%","10.7-47.7"
"241","Laikipia","Appropriate management method",48,"Laikipia, 48%",">47.7"
"242","Laikipia","Connected to sewer",8.3,"Laikipia, 8.3%","0.9-10.6"
"243","Laikipia","Safe disposal from on-site facilities",35.5,"Laikipia, 35.5%","10.7-47.7"
"244","Laikipia","Unsafe disposal from on-site facilities",0.3,"Laikipia, 0.3%","<1.0"
"245","Laikipia","Removal for treatment off-site",4.2,"Laikipia, 4.2%","0.9-10.6"
"246","Laikipia","Improved facilities",0.1,"Laikipia, 0.1%","<1.0"
"247","Laikipia","Unimproved facilities",44.6,"Laikipia, 44.6%","10.7-47.7"
"248","Laikipia","Open defecation",7,"Laikipia, 7%","0.9-10.6"
"249","Nakuru","Appropriate management method",74.5,"Nakuru, 74.5%",">47.7"
"250","Nakuru","Connected to sewer",8.3,"Nakuru, 8.3%","0.9-10.6"
"251","Nakuru","Safe disposal from on-site facilities",63,"Nakuru, 63%",">47.7"
"252","Nakuru","Unsafe disposal from on-site facilities",0.1,"Nakuru, 0.1%","<1.0"
"253","Nakuru","Removal for treatment off-site",3.3,"Nakuru, 3.3%","0.9-10.6"
"254","Nakuru","Improved facilities",0.4,"Nakuru, 0.4%","<1.0"
"255","Nakuru","Unimproved facilities",24.9,"Nakuru, 24.9%","10.7-47.7"
"256","Nakuru","Open defecation",0,"Nakuru, 0%","<1.0"
"257","Narok","Appropriate management method",48.2,"Narok, 48.2%",">47.7"
"258","Narok","Connected to sewer",0.7,"Narok, 0.7%","<1.0"
"259","Narok","Safe disposal from on-site facilities",45.9,"Narok, 45.9%","10.7-47.7"
"260","Narok","Unsafe disposal from on-site facilities",0.1,"Narok, 0.1%","<1.0"
"261","Narok","Removal for treatment off-site",1.6,"Narok, 1.6%","0.9-10.6"
"262","Narok","Improved facilities",0,"Narok, 0%","<1.0"
"263","Narok","Unimproved facilities",26.9,"Narok, 26.9%","10.7-47.7"
"264","Narok","Open defecation",24.7,"Narok, 24.7%","10.7-47.7"
"265","Kajiado","Appropriate management method",76.3,"Kajiado, 76.3%",">47.7"
"266","Kajiado","Connected to sewer",6.2,"Kajiado, 6.2%","0.9-10.6"
"267","Kajiado","Safe disposal from on-site facilities",53.8,"Kajiado, 53.8%",">47.7"
"268","Kajiado","Unsafe disposal from on-site facilities",0.7,"Kajiado, 0.7%","<1.0"
"269","Kajiado","Removal for treatment off-site",16.3,"Kajiado, 16.3%","10.7-47.7"
"270","Kajiado","Improved facilities",0.6,"Kajiado, 0.6%","<1.0"
"271","Kajiado","Unimproved facilities",5.1,"Kajiado, 5.1%","0.9-10.6"
"272","Kajiado","Open defecation",17.3,"Kajiado, 17.3%","10.7-47.7"
"273","Kericho","Appropriate management method",42.3,"Kericho, 42.3%","10.7-47.7"
"274","Kericho","Connected to sewer",0.8,"Kericho, 0.8%","<1.0"
"275","Kericho","Safe disposal from on-site facilities",40.9,"Kericho, 40.9%","10.7-47.7"
"276","Kericho","Unsafe disposal from on-site facilities",0,"Kericho, 0%","<1.0"
"277","Kericho","Removal for treatment off-site",0.6,"Kericho, 0.6%","<1.0"
"278","Kericho","Improved facilities",0,"Kericho, 0%","<1.0"
"279","Kericho","Unimproved facilities",57.7,"Kericho, 57.7%",">47.7"
"280","Kericho","Open defecation",0,"Kericho, 0%","<1.0"
"281","Bomet","Appropriate management method",95,"Bomet, 95%",">47.7"
"282","Bomet","Connected to sewer",0.1,"Bomet, 0.1%","<1.0"
"283","Bomet","Safe disposal from on-site facilities",94.2,"Bomet, 94.2%",">47.7"
"284","Bomet","Unsafe disposal from on-site facilities",0,"Bomet, 0%","<1.0"
"285","Bomet","Removal for treatment off-site",0.8,"Bomet, 0.8%","<1.0"
"286","Bomet","Improved facilities",0,"Bomet, 0%","<1.0"
"287","Bomet","Unimproved facilities",4.5,"Bomet, 4.5%","0.9-10.6"
"288","Bomet","Open defecation",0.5,"Bomet, 0.5%","<1.0"
"289","Kakamega","Appropriate management method",44.7,"Kakamega, 44.7%","10.7-47.7"
"290","Kakamega","Connected to sewer",0.8,"Kakamega, 0.8%","<1.0"
"291","Kakamega","Safe disposal from on-site facilities",43.2,"Kakamega, 43.2%","10.7-47.7"
"292","Kakamega","Unsafe disposal from on-site facilities",0,"Kakamega, 0%","<1.0"
"293","Kakamega","Removal for treatment off-site",0.7,"Kakamega, 0.7%","<1.0"
"294","Kakamega","Improved facilities",0.1,"Kakamega, 0.1%","<1.0"
"295","Kakamega","Unimproved facilities",54.9,"Kakamega, 54.9%",">47.7"
"296","Kakamega","Open defecation",0.2,"Kakamega, 0.2%","<1.0"
"297","Vihiga","Appropriate management method",80,"Vihiga, 80%",">47.7"
"298","Vihiga","Connected to sewer",0,"Vihiga, 0%","<1.0"
"299","Vihiga","Safe disposal from on-site facilities",80,"Vihiga, 80%",">47.7"
"300","Vihiga","Unsafe disposal from on-site facilities",0,"Vihiga, 0%","<1.0"
"301","Vihiga","Removal for treatment off-site",0,"Vihiga, 0%","<1.0"
"302","Vihiga","Improved facilities",0,"Vihiga, 0%","<1.0"
"303","Vihiga","Unimproved facilities",19.4,"Vihiga, 19.4%","10.7-47.7"
"304","Vihiga","Open defecation",0.6,"Vihiga, 0.6%","<1.0"
"305","Bungoma","Appropriate management method",55.3,"Bungoma, 55.3%",">47.7"
"306","Bungoma","Connected to sewer",0.9,"Bungoma, 0.9%","<1.0"
"307","Bungoma","Safe disposal from on-site facilities",53.1,"Bungoma, 53.1%",">47.7"
"308","Bungoma","Unsafe disposal from on-site facilities",0,"Bungoma, 0%","<1.0"
"309","Bungoma","Removal for treatment off-site",1.3,"Bungoma, 1.3%","0.9-10.6"
"310","Bungoma","Improved facilities",0,"Bungoma, 0%","<1.0"
"311","Bungoma","Unimproved facilities",43.4,"Bungoma, 43.4%","10.7-47.7"
"312","Bungoma","Open defecation",1.3,"Bungoma, 1.3%","0.9-10.6"
"313","Busia","Appropriate management method",55.4,"Busia, 55.4%",">47.7"
"314","Busia","Connected to sewer",0.5,"Busia, 0.5%","<1.0"
"315","Busia","Safe disposal from on-site facilities",54.2,"Busia, 54.2%",">47.7"
"316","Busia","Unsafe disposal from on-site facilities",0,"Busia, 0%","<1.0"
"317","Busia","Removal for treatment off-site",0.8,"Busia, 0.8%","<1.0"
"318","Busia","Improved facilities",0.1,"Busia, 0.1%","<1.0"
"319","Busia","Unimproved facilities",43.7,"Busia, 43.7%","10.7-47.7"
"320","Busia","Open defecation",0.8,"Busia, 0.8%","<1.0"
"321","Siaya","Appropriate management method",54.7,"Siaya, 54.7%",">47.7"
"322","Siaya","Connected to sewer",1.2,"Siaya, 1.2%","0.9-10.6"
"323","Siaya","Safe disposal from on-site facilities",53.5,"Siaya, 53.5%",">47.7"
"324","Siaya","Unsafe disposal from on-site facilities",0,"Siaya, 0%","<1.0"
"325","Siaya","Removal for treatment off-site",0,"Siaya, 0%","<1.0"
"326","Siaya","Improved facilities",0.1,"Siaya, 0.1%","<1.0"
"327","Siaya","Unimproved facilities",39,"Siaya, 39%","10.7-47.7"
"328","Siaya","Open defecation",6.2,"Siaya, 6.2%","0.9-10.6"
"329","Kisumu","Appropriate management method",68.6,"Kisumu, 68.6%",">47.7"
"330","Kisumu","Connected to sewer",5.1,"Kisumu, 5.1%","0.9-10.6"
"331","Kisumu","Safe disposal from on-site facilities",59.7,"Kisumu, 59.7%",">47.7"
"332","Kisumu","Unsafe disposal from on-site facilities",0.3,"Kisumu, 0.3%","<1.0"
