"","Value","Category","Proportion","Background characteristics"
"159","Fourth","Left in the open",1,"Wealth quintile"
"160","Fourth","Other",0.4,"Wealth quintile"
"161","Highest","Stool disposed of appropriately",40,"Wealth quintile"
"162","Highest","Child used toilet",1,"Wealth quintile"
"163","Highest","Put/rinsed into toilet",38,"Wealth quintile"
"164","Highest","Buried",0.3,"Wealth quintile"
"165","Highest","Put/rinsed into drain/ditch",2,"Wealth quintile"
"166","Highest","Thrown into garbage",57,"Wealth quintile"
"167","Highest","Left in the open",1,"Wealth quintile"
"168","Highest","Other",0.3,"Wealth quintile"
