"","County","Count","Pregnancy","Percent","label"
"148","Kakamega",328,"Ever pregnant",15.1,"15%"
"149","Vihiga",113,"Live birth",3.9,"4%"
"150","Vihiga",113,"Pregnancy loss",0,"<1%"
"151","Vihiga",113,"Currently pregnant",4.6,"5%"
"152","Vihiga",113,"Ever pregnant",7.7,"8%"
"153","Bungoma",294,"Live birth",14.8,"15%"
"154","Bungoma",294,"Pregnancy loss",1.8,"2%"
"155","Bungoma",294,"Currently pregnant",4.2,"4%"
"156","Bungoma",294,"Ever pregnant",18.6,"19%"
"157","Busia",149,"Live birth",13.1,"13%"
"158","Busia",149,"Pregnancy loss",2.9,"3%"
"159","Busia",149,"Currently pregnant",3,"3%"
"160","Busia",149,"Ever pregnant",18.3,"18%"
"161","Siaya",130,"Live birth",18.4,"18%"
"162","Siaya",130,"Pregnancy loss",0.5,"0%"
"163","Siaya",130,"Currently pregnant",3.3,"3%"
"164","Siaya",130,"Ever pregnant",20.9,"21%"
"165","Kisumu",157,"Live birth",9.2,"9%"
"166","Kisumu",157,"Pregnancy loss",0,"<1%"
"167","Kisumu",157,"Currently pregnant",3.8,"4%"
"168","Kisumu",157,"Ever pregnant",11.1,"11%"
"169","Homa Bay",159,"Live birth",18.7,"19%"
"170","Homa Bay",159,"Pregnancy loss",2.6,"3%"
"171","Homa Bay",159,"Currently pregnant",2.9,"3%"
"172","Homa Bay",159,"Ever pregnant",23.2,"23%"
"173","Migori",159,"Live birth",20.4,"20%"
"174","Migori",159,"Pregnancy loss",0.6,"1%"
"175","Migori",159,"Currently pregnant",4,"4%"
"176","Migori",159,"Ever pregnant",23,"23%"
"177","Kisii",192,"Live birth",13.7,"14%"
"178","Kisii",192,"Pregnancy loss",0.4,"<1%"
"179","Kisii",192,"Currently pregnant",1.5,"2%"
"180","Kisii",192,"Ever pregnant",14.2,"14%"
"181","Nyamira",81,"Live birth",14.7,"15%"
"182","Nyamira",81,"Pregnancy loss",0,"<1%"
"183","Nyamira",81,"Currently pregnant",1.5,"2%"
"184","Nyamira",81,"Ever pregnant",15.5,"16%"
"185","Nairobi",452,"Live birth",8,"8%"
"186","Nairobi",452,"Pregnancy loss",0,"<1%"
"187","Nairobi",452,"Currently pregnant",0.4,"<1%"
"188","Nairobi",452,"Ever pregnant",8.4,"8%"
