County,Category,Proportion,year
Uasin Gishu,women aged 15-49 who are currently pregnant,8.4,2014
Uasin Gishu,Mean number of children ever born to women aged 40-49,5.3,2014
Elgeyo Marakwet,TFR,4.1,2014
Elgeyo Marakwet,women aged 15-49 who are currently pregnant,5.9,2014
Elgeyo Marakwet,Mean number of children ever born to women aged 40-49,5.8,2014
Nandi,TFR,4,2014
Nandi,women aged 15-49 who are currently pregnant,4.8,2014
Nandi,Mean number of children ever born to women aged 40-49,6.1,2014
Baringo,TFR,4.8,2014
Baringo,women aged 15-49 who are currently pregnant,7.8,2014
Baringo,Mean number of children ever born to women aged 40-49,6.2,2014
Laikipia,TFR,3.7,2014
Laikipia,women aged 15-49 who are currently pregnant,7.9,2014
Laikipia,Mean number of children ever born to women aged 40-49,4.9,2014
Nakuru,TFR,3.7,2014
Nakuru,women aged 15-49 who are currently pregnant,5.3,2014
Nakuru,Mean number of children ever born to women aged 40-49,4.7,2014
Narok,TFR,6,2014
Narok,women aged 15-49 who are currently pregnant,10.2,2014
Narok,Mean number of children ever born to women aged 40-49,6.7,2014
Kajiado,TFR,4.5,2014
Kajiado,women aged 15-49 who are currently pregnant,7.7,2014
Kajiado,Mean number of children ever born to women aged 40-49,4.3,2014
Kericho,TFR,4,2014
Kericho,women aged 15-49 who are currently pregnant,5.7,2014
Kericho,Mean number of children ever born to women aged 40-49,5,2014
Bomet,TFR,4.3,2014
Bomet,women aged 15-49 who are currently pregnant,5.5,2014
Bomet,Mean number of children ever born to women aged 40-49,5.7,2014
Kakamega,TFR,4.4,2014
Kakamega,women aged 15-49 who are currently pregnant,7.3,2014
Kakamega,Mean number of children ever born to women aged 40-49,5.4,2014
Vihiga,TFR,4.5,2014
Vihiga,women aged 15-49 who are currently pregnant,6.2,2014
Vihiga,Mean number of children ever born to women aged 40-49,5.3,2014
Bungoma,TFR,5,2014
Bungoma,women aged 15-49 who are currently pregnant,6.2,2014
Bungoma,Mean number of children ever born to women aged 40-49,6.9,2014
Busia,TFR,4.7,2014
Busia,women aged 15-49 who are currently pregnant,6.8,2014
Busia,Mean number of children ever born to women aged 40-49,6.5,2014
Siaya,TFR,4.2,2014
Siaya,women aged 15-49 who are currently pregnant,5.9,2014
Siaya,Mean number of children ever born to women aged 40-49,5.9,2014
Kisumu,TFR,3.6,2014
Kisumu,women aged 15-49 who are currently pregnant,5.3,2014
Kisumu,Mean number of children ever born to women aged 40-49,5.6,2014
Homa Bay,TFR,5.2,2014
Homa Bay,women aged 15-49 who are currently pregnant,6.4,2014
Homa Bay,Mean number of children ever born to women aged 40-49,6.2,2014
Migori,TFR,5.3,2014
Migori,women aged 15-49 who are currently pregnant,9,2014
Migori,Mean number of children ever born to women aged 40-49,7,2014
Kisii,TFR,3.7,2014
Kisii,women aged 15-49 who are currently pregnant,5,2014
Kisii,Mean number of children ever born to women aged 40-49,5.1,2014
Nyamira,TFR,3.5,2014
Nyamira,women aged 15-49 who are currently pregnant,3.2,2014
Nyamira,Mean number of children ever born to women aged 40-49,4.7,2014
Nairobi,TFR,2.7,2014
Nairobi,women aged 15-49 who are currently pregnant,6.8,2014
Nairobi,Mean number of children ever born to women aged 40-49,3.1,2014
