Name,year,category,proportion
West Pokot,2014,Women (40-44),21.3
West Pokot,2014,Women (45-49),21.8
West Pokot,2014,Women (25-49),20
Samburu,2014,Women (25-29),18.7
Samburu,2014,Women (30-34),19.7
Samburu,2014,Women (35-39),20.6
Samburu,2014,Women (40-44),20.8
Samburu,2014,Women (45-49),22.5
Samburu,2014,Women (25-49),19.9
Trans Nzoia,2014,Women (25-29),19.7
Trans Nzoia,2014,Women (30-34),19.6
Trans Nzoia,2014,Women (35-39),20.1
Trans Nzoia,2014,Women (40-44),19
Trans Nzoia,2014,Women (45-49),19.7
Trans Nzoia,2014,Women (25-49),19.6
Uasin Gishu,2014,Women (25-29),20.4
Uasin Gishu,2014,Women (30-34),20.4
Uasin Gishu,2014,Women (35-39),21.1
Uasin Gishu,2014,Women (40-44),19.7
Uasin Gishu,2014,Women (45-49),19.8
Uasin Gishu,2014,Women (25-49),20.3
Elgeyo Marakwet,2014,Women (25-29),20.9
Elgeyo Marakwet,2014,Women (30-34),19.9
Elgeyo Marakwet,2014,Women (35-39),21
Elgeyo Marakwet,2014,Women (40-44),21.2
Elgeyo Marakwet,2014,Women (45-49),20.6
Elgeyo Marakwet,2014,Women (25-49),20.6
Nandi,2014,Women (25-29),20
Nandi,2014,Women (30-34),20.4
Nandi,2014,Women (35-39),19.6
Nandi,2014,Women (40-44),19.6
Nandi,2014,Women (45-49),19.4
Nandi,2014,Women (25-49),19.8
Baringo,2014,Women (25-29),19.9
Baringo,2014,Women (30-34),21.1
Baringo,2014,Women (35-39),21.5
Baringo,2014,Women (40-44),19.8
Baringo,2014,Women (45-49),20
Baringo,2014,Women (25-49),20.4
Laikipia,2014,Women (25-29),21.3
Laikipia,2014,Women (30-34),18.4
Laikipia,2014,Women (35-39),20.2
Laikipia,2014,Women (40-44),20.5
Laikipia,2014,Women (45-49),19.8
Laikipia,2014,Women (25-49),20.2
Nakuru,2014,Women (25-29),20.9
Nakuru,2014,Women (30-34),20.9
Nakuru,2014,Women (35-39),20.9
Nakuru,2014,Women (40-44),19.8
Nakuru,2014,Women (45-49),19.8
Nakuru,2014,Women (25-49),20.6
Narok,2014,Women (25-29),19
Narok,2014,Women (30-34),19.6
Narok,2014,Women (35-39),18.8
Narok,2014,Women (40-44),20.2
Narok,2014,Women (45-49),20.3
Narok,2014,Women (25-49),19.5
Kajiado,2014,Women (25-29),21.6
Kajiado,2014,Women (30-34),20.8
Kajiado,2014,Women (35-39),20.9
Kajiado,2014,Women (40-44),21.3
Kajiado,2014,Women (45-49),22.1
Kajiado,2014,Women (25-49),21.3
Kericho,2014,Women (25-29),19.7
Kericho,2014,Women (30-34),19.2
Kericho,2014,Women (35-39),20.5
Kericho,2014,Women (40-44),20.6
Kericho,2014,Women (45-49),19.5
Kericho,2014,Women (25-49),19.9
Bomet,2014,Women (25-29),19.2
Bomet,2014,Women (30-34),19.2
Bomet,2014,Women (35-39),19.7
Bomet,2014,Women (40-44),19.1
Bomet,2014,Women (45-49),18.9
Bomet,2014,Women (25-49),19.3
Kakamega,2014,Women (25-29),19.4
Kakamega,2014,Women (30-34),19.5
Kakamega,2014,Women (35-39),20.1
Kakamega,2014,Women (40-44),20.3
Kakamega,2014,Women (45-49),19.8
Kakamega,2014,Women (25-49),19.8
Vihiga,2014,Women (25-29),19.7
Vihiga,2014,Women (30-34),20.2
Vihiga,2014,Women (35-39),20.5
Vihiga,2014,Women (40-44),20.8
Vihiga,2014,Women (45-49),20.4
Vihiga,2014,Women (25-49),20.3
Bungoma,2014,Women (25-29),19.4
Bungoma,2014,Women (30-34),19.3
Bungoma,2014,Women (35-39),20.4
Bungoma,2014,Women (40-44),19.3
Bungoma,2014,Women (45-49),19.3
Bungoma,2014,Women (25-49),19.5
Busia,2014,Women (25-29),19.1
Busia,2014,Women (30-34),18.7
Busia,2014,Women (35-39),18.5
Busia,2014,Women (40-44),18.4
Busia,2014,Women (45-49),19.3
Busia,2014,Women (25-49),18.8
Siaya,2014,Women (25-29),18.4
Siaya,2014,Women (30-34),18.8
Siaya,2014,Women (35-39),20.2
Siaya,2014,Women (40-44),18.1
Siaya,2014,Women (45-49),18.4
Siaya,2014,Women (25-49),18.7
Kisumu,2014,Women (25-29),19.6
Kisumu,2014,Women (30-34),18.9
Kisumu,2014,Women (35-39),19.4
Kisumu,2014,Women (40-44),20.2
Kisumu,2014,Women (45-49),19.1
Kisumu,2014,Women (25-49),19.4
Homa Bay,2014,Women (25-29),17.6
Homa Bay,2014,Women (30-34),17.5
Homa Bay,2014,Women (35-39),18.7
Homa Bay,2014,Women (40-44),18.4
Homa Bay,2014,Women (45-49),17.2
Homa Bay,2014,Women (25-49),17.9
Migori,2014,Women (25-29),17.7
Migori,2014,Women (30-34),18
Migori,2014,Women (35-39),18.1
Migori,2014,Women (40-44),18.1
Migori,2014,Women (45-49),17.4
Migori,2014,Women (25-49),17.9
Kisii,2014,Women (25-29),19.5
Kisii,2014,Women (30-34),19.4
Kisii,2014,Women (35-39),20.5
Kisii,2014,Women (40-44),20
Kisii,2014,Women (45-49),19.8
Kisii,2014,Women (25-49),19.9
Nyamira,2014,Women (25-29),19.2
Nyamira,2014,Women (30-34),19.5
Nyamira,2014,Women (35-39),20
Nyamira,2014,Women (40-44),20.9
Nyamira,2014,Women (45-49),18.6
Nyamira,2014,Women (25-49),19.6
Nairobi,2014,Women (25-29),22.7
Nairobi,2014,Women (30-34),21.9
Nairobi,2014,Women (35-39),21.9
Nairobi,2014,Women (40-44),21.4
Nairobi,2014,Women (45-49),22.9
Nairobi,2014,Women (25-49),22.2
Mombasa,2022,Women (20-49),NA
Mombasa,2022,Women (25-49),22.2
Kwale,2022,Women (20-49),NA
Kwale,2022,Women (25-49),20
Kilifi,2022,Women (20-49),NA
Kilifi,2022,Women (25-49),19.9
Tana River,2022,Women (20-49),19.8
Tana River,2022,Women (25-49),19.9
Lamu,2022,Women (20-49),NA
Lamu,2022,Women (25-49),21.3
Taita Taveta,2022,Women (20-49),NA
Taita Taveta,2022,Women (25-49),21.3
Garissa,2022,Women (20-49),NA
Garissa,2022,Women (25-49),20
Wajir,2022,Women (20-49),NA
Wajir,2022,Women (25-49),21
Mandera,2022,Women (20-49),NA
Mandera,2022,Women (25-49),20.7
Marsabit,2022,Women (20-49),NA
Marsabit,2022,Women (25-49),21
Isiolo,2022,Women (20-49),NA
Isiolo,2022,Women (25-49),21
Meru,2022,Women (20-49),NA
Meru,2022,Women (25-49),20.2
Tharaka Nithi,2022,Women (20-49),NA
Tharaka Nithi,2022,Women (25-49),21.2
Embu,2022,Women (20-49),NA
Embu,2022,Women (25-49),21.7
Kitui,2022,Women (20-49),NA
Kitui,2022,Women (25-49),20.7
Machakos,2022,Women (20-49),NA
Machakos,2022,Women (25-49),21.4
Makueni,2022,Women (20-49),NA
Makueni,2022,Women (25-49),21.4
Nyandarua,2022,Women (20-49),NA
Nyandarua,2022,Women (25-49),20.5
Nyeri,2022,Women (20-49),NA
Nyeri,2022,Women (25-49),21.6
Kirinyaga,2022,Women (20-49),NA
Kirinyaga,2022,Women (25-49),21.2
Muranga,2022,Women (20-49),NA
Muranga,2022,Women (25-49),20.8
Kiambu,2022,Women (20-49),NA
Kiambu,2022,Women (25-49),21.9
Turkana,2022,Women (20-49),NA
Turkana,2022,Women (25-49),21.2
West Pokot,2022,Women (20-49),19.6
West Pokot,2022,Women (25-49),19.7
Samburu,2022,Women (20-49),19.4
Samburu,2022,Women (25-49),19.5
Trans Nzoia,2022,Women (20-49),NA
Trans Nzoia,2022,Women (25-49),20
Uasin Gishu,2022,Women (20-49),NA
Uasin Gishu,2022,Women (25-49),21.1
Elgeyo Marakwet,2022,Women (20-49),NA
Elgeyo Marakwet,2022,Women (25-49),21
Nandi,2022,Women (20-49),NA
Nandi,2022,Women (25-49),20
Baringo,2022,Women (20-49),NA
Baringo,2022,Women (25-49),20.8
Laikipia,2022,Women (20-49),NA
Laikipia,2022,Women (25-49),21.1
Nakuru,2022,Women (20-49),NA
Nakuru,2022,Women (25-49),20.9
Narok,2022,Women (20-49),19.6
Narok,2022,Women (25-49),19.2
Kajiado,2022,Women (20-49),NA
Kajiado,2022,Women (25-49),21.5
Kericho,2022,Women (20-49),NA
Kericho,2022,Women (25-49),20.2
Bomet,2022,Women (20-49),19.6
Bomet,2022,Women (25-49),19.3
Kakamega,2022,Women (20-49),NA
Kakamega,2022,Women (25-49),20.3
Vihiga,2022,Women (20-49),NA
Vihiga,2022,Women (25-49),20.6
Bungoma,2022,Women (20-49),NA
Bungoma,2022,Women (25-49),20.1
Busia,2022,Women (20-49),19.6
Busia,2022,Women (25-49),19.2
Siaya,2022,Women (20-49),19.2
Siaya,2022,Women (25-49),18.9
Kisumu,2022,Women (20-49),19.4
Kisumu,2022,Women (25-49),18.9
Homa Bay,2022,Women (20-49),18.6
Homa Bay,2022,Women (25-49),18.4
Migori,2022,Women (20-49),18.2
Migori,2022,Women (25-49),17.9
Kisii,2022,Women (20-49),19.9
Kisii,2022,Women (25-49),19.4
Nyamira,2022,Women (20-49),19.6
Nyamira,2022,Women (25-49),19.4
Nairobi,2022,Women (20-49),NA
Nairobi,2022,Women (25-49),22.3
