Name,year,category,proportion
West Pokot,2014,Women (40-44),21.3
West Pokot,2014,Women (45-49),21.8
West Pokot,2014,Women (25-49),20
Samburu,2014,Women (25-29),18.7
Samburu,2014,Women (30-34),19.7
Samburu,2014,Women (35-39),20.6
Samburu,2014,Women (40-44),20.8
Samburu,2014,Women (45-49),22.5
Samburu,2014,Women (25-49),19.9
Trans Nzoia,2014,Women (25-29),19.7
Trans Nzoia,2014,Women (30-34),19.6
Trans Nzoia,2014,Women (35-39),20.1
Trans Nzoia,2014,Women (40-44),19
Trans Nzoia,2014,Women (45-49),19.7
Trans Nzoia,2014,Women (25-49),19.6
Uasin Gishu,2014,Women (25-29),20.4
Uasin Gishu,2014,Women (30-34),20.4
Uasin Gishu,2014,Women (35-39),21.1
Uasin Gishu,2014,Women (40-44),19.7
Uasin Gishu,2014,Women (45-49),19.8
Uasin Gishu,2014,Women (25-49),20.3
Elgeyo Marakwet,2014,Women (25-29),20.9
Elgeyo Marakwet,2014,Women (30-34),19.9
Elgeyo Marakwet,2014,Women (35-39),21
Elgeyo Marakwet,2014,Women (40-44),21.2
Elgeyo Marakwet,2014,Women (45-49),20.6
Elgeyo Marakwet,2014,Women (25-49),20.6
Nandi,2014,Women (25-29),20
Nandi,2014,Women (30-34),20.4
Nandi,2014,Women (35-39),19.6
Nandi,2014,Women (40-44),19.6
Nandi,2014,Women (45-49),19.4
Nandi,2014,Women (25-49),19.8
Baringo,2014,Women (25-29),19.9
Baringo,2014,Women (30-34),21.1
Baringo,2014,Women (35-39),21.5
Baringo,2014,Women (40-44),19.8
Baringo,2014,Women (45-49),20
Baringo,2014,Women (25-49),20.4
Laikipia,2014,Women (25-29),21.3
Laikipia,2014,Women (30-34),18.4
Laikipia,2014,Women (35-39),20.2
Laikipia,2014,Women (40-44),20.5
Laikipia,2014,Women (45-49),19.8
Laikipia,2014,Women (25-49),20.2
Nakuru,2014,Women (25-29),20.9
Nakuru,2014,Women (30-34),20.9
Nakuru,2014,Women (35-39),20.9
Nakuru,2014,Women (40-44),19.8
Nakuru,2014,Women (45-49),19.8
Nakuru,2014,Women (25-49),20.6
Narok,2014,Women (25-29),19
Narok,2014,Women (30-34),19.6
Narok,2014,Women (35-39),18.8
Narok,2014,Women (40-44),20.2
Narok,2014,Women (45-49),20.3
Narok,2014,Women (25-49),19.5
Kajiado,2014,Women (25-29),21.6
Kajiado,2014,Women (30-34),20.8
Kajiado,2014,Women (35-39),20.9
Kajiado,2014,Women (40-44),21.3
Kajiado,2014,Women (45-49),22.1
Kajiado,2014,Women (25-49),21.3
Kericho,2014,Women (25-29),19.7
Kericho,2014,Women (30-34),19.2
Kericho,2014,Women (35-39),20.5
Kericho,2014,Women (40-44),20.6
Kericho,2014,Women (45-49),19.5
Kericho,2014,Women (25-49),19.9
Bomet,2014,Women (25-29),19.2
Bomet,2014,Women (30-34),19.2
Bomet,2014,Women (35-39),19.7
Bomet,2014,Women (40-44),19.1
Bomet,2014,Women (45-49),18.9
Bomet,2014,Women (25-49),19.3
Kakamega,2014,Women (25-29),19.4
Kakamega,2014,Women (30-34),19.5
Kakamega,2014,Women (35-39),20.1
Kakamega,2014,Women (40-44),20.3
Kakamega,2014,Women (45-49),19.8
Kakamega,2014,Women (25-49),19.8
Vihiga,2014,Women (25-29),19.7
Vihiga,2014,Women (30-34),20.2
Vihiga,2014,Women (35-39),20.5
Vihiga,2014,Women (40-44),20.8
Vihiga,2014,Women (45-49),20.4
Vihiga,2014,Women (25-49),20.3
Bungoma,2014,Women (25-29),19.4
Bungoma,2014,Women (30-34),19.3
Bungoma,2014,Women (35-39),20.4
Bungoma,2014,Women (40-44),19.3
Bungoma,2014,Women (45-49),19.3
Bungoma,2014,Women (25-49),19.5
Busia,2014,Women (25-29),19.1
Busia,2014,Women (30-34),18.7
Busia,2014,Women (35-39),18.5
Busia,2014,Women (40-44),18.4
Busia,2014,Women (45-49),19.3
Busia,2014,Women (25-49),18.8
Siaya,2014,Women (25-29),18.4
Siaya,2014,Women (30-34),18.8
Siaya,2014,Women (35-39),20.2
Siaya,2014,Women (40-44),18.1
Siaya,2014,Women (45-49),18.4
Siaya,2014,Women (25-49),18.7
Kisumu,2014,Women (25-29),19.6
Kisumu,2014,Women (30-34),18.9
Kisumu,2014,Women (35-39),19.4
Kisumu,2014,Women (40-44),20.2
Kisumu,2014,Women (45-49),19.1
Kisumu,2014,Women (25-49),19.4
Homa Bay,2014,Women (25-29),17.6
Homa Bay,2014,Women (30-34),17.5
Homa Bay,2014,Women (35-39),18.7
Homa Bay,2014,Women (40-44),18.4
Homa Bay,2014,Women (45-49),17.2
Homa Bay,2014,Women (25-49),17.9
Migori,2014,Women (25-29),17.7
Migori,2014,Women (30-34),18
Migori,2014,Women (35-39),18.1
Migori,2014,Women (40-44),18.1
Migori,2014,Women (45-49),17.4
Migori,2014,Women (25-49),17.9
Kisii,2014,Women (25-29),19.5
Kisii,2014,Women (30-34),19.4
Kisii,2014,Women (35-39),20.5
Kisii,2014,Women (40-44),20
Kisii,2014,Women (45-49),19.8
Kisii,2014,Women (25-49),19.9
Nyamira,2014,Women (25-29),19.2
Nyamira,2014,Women (30-34),19.5
Nyamira,2014,Women (35-39),20
Nyamira,2014,Women (40-44),20.9
Nyamira,2014,Women (45-49),18.6
Nyamira,2014,Women (25-49),19.6
Nairobi,2014,Women (25-29),22.7
Nairobi,2014,Women (30-34),21.9
Nairobi,2014,Women (35-39),21.9
Nairobi,2014,Women (40-44),21.4
Nairobi,2014,Women (45-49),22.9
Nairobi,2014,Women (25-49),22.2
