Age,Marital_status,Contraceptive_use,Percent
30–34,Unmarried,Female condom,0.0
30–34,Unmarried,Emergency contraception,1.2
30–34,Unmarried,SDM,0.0
30–34,Unmarried,LAM,0.0
30–34,Unmarried,Other,0.0
35–39,Unmarried,Female sterilization,3.2
35–39,Unmarried,Male sterilization,0.0
35–39,Unmarried,IUD,6.0
35–39,Unmarried,Injectables,23.6
35–39,Unmarried,Implants,13.3
35–39,Unmarried,Pill,10.4
35–39,Unmarried,Male condom,8.2
35–39,Unmarried,Female condom,0.0
35–39,Unmarried,Emergency contraception,1.0
35–39,Unmarried,SDM,0.0
35–39,Unmarried,LAM,0.0
35–39,Unmarried,Other,0.0
40–44,Unmarried,Female sterilization,2.0
40–44,Unmarried,Male sterilization,0.0
40–44,Unmarried,IUD,6.8
40–44,Unmarried,Injectables,21.9
40–44,Unmarried,Implants,12.0
40–44,Unmarried,Pill,5.4
40–44,Unmarried,Male condom,14.9
40–44,Unmarried,Female condom,0.0
40–44,Unmarried,Emergency contraception,1.2
40–44,Unmarried,SDM,0.0
40–44,Unmarried,LAM,0.0
40–44,Unmarried,Other,0.0
45–49,Unmarried,Female sterilization,(0.4)
45–49,Unmarried,Male sterilization,(0.0)
45–49,Unmarried,IUD,(3.1)
45–49,Unmarried,Injectables,(7.5)
45–49,Unmarried,Implants,(10.0)
45–49,Unmarried,Pill,(0.0)
45–49,Unmarried,Male condom,(19.0)
45–49,Unmarried,Female condom,(0.0)
45–49,Unmarried,Emergency contraception,(0.0)
45–49,Unmarried,SDM,(0.0)
45–49,Unmarried,LAM,(0.0)
45–49,Unmarried,Other,(0.0)
