characteristic,variable,category,proportion
Primary,Residence,No. of neonatal deaths,128
Primary,Residence,Rate of still birth,16.5
Primary,Residence,Rate of neonatal deaths,19.3
Primary,Residence,Perinatal mortality rate,35.5
Primary,Residence,Pregnancies (28 weeks),6741
Primary,Residence,Ratio of still neonatal,0.9
Secondary,Residence,No. of still births,82
Secondary,Residence,No. of neonatal deaths,97
Secondary,Residence,Rate of still birth,13.7
Secondary,Residence,Rate of neonatal deaths,16.4
Secondary,Residence,Perinatal mortality rate,29.8
Secondary,Residence,Pregnancies (28 weeks),5998
Secondary,Residence,Ratio of still neonatal,0.8
More than secondary,Residence,No. of still births,42
More than secondary,Residence,No. of neonatal deaths,44
More than secondary,Residence,Rate of still birth,13.1
More than secondary,Residence,Rate of neonatal deaths,13.9
More than secondary,Residence,Perinatal mortality rate,26.8
More than secondary,Residence,Pregnancies (28 weeks),3176
More than secondary,Residence,Ratio of still neonatal,1
Lowest,Wealth,No. of still births,64
Lowest,Wealth,No. of neonatal deaths,65
Lowest,Wealth,Rate of still birth,16
Lowest,Wealth,Rate of neonatal deaths,16.6
Lowest,Wealth,Perinatal mortality rate,32.3
Lowest,Wealth,Pregnancies (28 weeks),3983
Lowest,Wealth,Ratio of still neonatal,1
Second,Wealth,No. of still births,38
Second,Wealth,No. of neonatal deaths,48
Second,Wealth,Rate of still birth,11.9
Second,Wealth,Rate of neonatal deaths,15.2
Second,Wealth,Perinatal mortality rate,27
Second,Wealth,Pregnancies (28 weeks),3183
Second,Wealth,Ratio of still neonatal,0.8
Middle,Wealth,No. of still births,52
Middle,Wealth,No. of neonatal deaths,60
Middle,Wealth,Rate of still birth,16.6
Middle,Wealth,Rate of neonatal deaths,19.7
Middle,Wealth,Perinatal mortality rate,36
Middle,Wealth,Pregnancies (28 weeks),3123
Middle,Wealth,Ratio of still neonatal,0.9
Fourth,Wealth,No. of still births,57
Fourth,Wealth,No. of neonatal deaths,71
Fourth,Wealth,Rate of still birth,16
Fourth,Wealth,Rate of neonatal deaths,20
Fourth,Wealth,Perinatal mortality rate,35.6
Fourth,Wealth,Pregnancies (28 weeks),3597
Fourth,Wealth,Ratio of still neonatal,0.8
Highest,Wealth,No. of still births,57
Highest,Wealth,No. of neonatal deaths,56
Highest,Wealth,Rate of still birth,14.8
Highest,Wealth,Rate of neonatal deaths,14.7
Highest,Wealth,Perinatal mortality rate,29.3
Highest,Wealth,Pregnancies (28 weeks),3858
Highest,Wealth,Ratio of still neonatal,1
