Characteristics,Vaccines,Percent,group,indicator
4–5,OPV0,82.9,CountyFullyVaccinated12,Birth
4–5,OPV1,96.9,CountyFullyVaccinated12,Birth
4–5,OPV2,95.1,CountyFullyVaccinated12,Birth
4–5,OPV3,77.9,CountyFullyVaccinated12,Birth
4–5,IPV,86.4,CountyFullyVaccinated12,Birth
4–5,Pneumococcal1,96.4,CountyFullyVaccinated12,Birth
4–5,Pneumococcal2,95.3,CountyFullyVaccinated12,Birth
4–5,Pneumococcal3,91.2,CountyFullyVaccinated12,Birth
4–5,Rotavirus1,95.1,CountyFullyVaccinated12,Birth
4–5,Rotavirus2,90.2,CountyFullyVaccinated12,Birth
4–5,MR1,83.9,CountyFullyVaccinated12,Birth
4–5,"Fully vaccinated
(basic antigens)",75.8,CountyFullyVaccinated12,Birth
4–5,"Fully vaccinated
(national schedule)",51,CountyFullyVaccinated12,Birth
4–5,No vaccinations,2,CountyFullyVaccinated12,Birth
6+,BCG,93.5,CountyFullyVaccinated12,Birth
6+,DPT1,93.9,CountyFullyVaccinated12,Birth
6+,DPT2,89.4,CountyFullyVaccinated12,Birth
6+,DPT3,82.5,CountyFullyVaccinated12,Birth
6+,OPV0,71.1,CountyFullyVaccinated12,Birth
6+,OPV1,93,CountyFullyVaccinated12,Birth
6+,OPV2,89.5,CountyFullyVaccinated12,Birth
6+,OPV3,70.8,CountyFullyVaccinated12,Birth
6+,IPV,80.3,CountyFullyVaccinated12,Birth
6+,Pneumococcal1,93.9,CountyFullyVaccinated12,Birth
6+,Pneumococcal2,92.2,CountyFullyVaccinated12,Birth
6+,Pneumococcal3,84.8,CountyFullyVaccinated12,Birth
6+,Rotavirus1,93.1,CountyFullyVaccinated12,Birth
6+,Rotavirus2,89.1,CountyFullyVaccinated12,Birth
6+,MR1,76.2,CountyFullyVaccinated12,Birth
6+,"Fully vaccinated
(basic antigens)",67,CountyFullyVaccinated12,Birth
6+,"Fully vaccinated
(national schedule)",40.3,CountyFullyVaccinated12,Birth
6+,No vaccinations,4.9,CountyFullyVaccinated12,Birth
Seen,BCG,99.2,CountyFullyVaccinated12,Card
Seen,DPT1,99.4,CountyFullyVaccinated12,Card
Seen,DPT2,98.6,CountyFullyVaccinated12,Card
Seen,DPT3,96,CountyFullyVaccinated12,Card
Seen,OPV0,88.3,CountyFullyVaccinated12,Card
Seen,OPV1,99.5,CountyFullyVaccinated12,Card
Seen,OPV2,98.8,CountyFullyVaccinated12,Card
Seen,OPV3,95.6,CountyFullyVaccinated12,Card
Seen,IPV,86.9,CountyFullyVaccinated12,Card
Seen,Pneumococcal1,98.7,CountyFullyVaccinated12,Card
Seen,Pneumococcal2,97.9,CountyFullyVaccinated12,Card
Seen,Pneumococcal3,95,CountyFullyVaccinated12,Card
Seen,Rotavirus1,98.8,CountyFullyVaccinated12,Card
Seen,Rotavirus2,95.5,CountyFullyVaccinated12,Card
Seen,MR1,90.9,CountyFullyVaccinated12,Card
Seen,"Fully vaccinated
(basic antigens)",87.4,CountyFullyVaccinated12,Card
Seen,"Fully vaccinated
(national schedule)",69.1,CountyFullyVaccinated12,Card
Seen,No vaccinations,0,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",BCG,94.6,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",DPT1,94.3,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",DPT2,83.6,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",DPT3,72,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",OPV0,84.2,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",OPV1,90.8,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",OPV2,83.8,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",OPV3,25.9,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",IPV,93.7,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",Pneumococcal1,94.2,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",Pneumococcal2,92.3,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",Pneumococcal3,83.7,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",Rotavirus1,91.5,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",Rotavirus2,86.6,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",MR1,88.1,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card","Fully vaccinated
(basic antigens)",60.9,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card","Fully vaccinated
(national schedule)",13.4,CountyFullyVaccinated12,Card
"Not seen or 
 no longer has card",No vaccinations,4.3,CountyFullyVaccinated12,Card
Never had card,BCG,33.9,CountyFullyVaccinated12,Card
Never had card,DPT1,37.6,CountyFullyVaccinated12,Card
Never had card,DPT2,29.5,CountyFullyVaccinated12,Card
Never had card,DPT3,23.3,CountyFullyVaccinated12,Card
Never had card,OPV0,19,CountyFullyVaccinated12,Card
Never had card,OPV1,40.4,CountyFullyVaccinated12,Card
Never had card,OPV2,33.4,CountyFullyVaccinated12,Card
Never had card,OPV3,5.5,CountyFullyVaccinated12,Card
Never had card,IPV,31,CountyFullyVaccinated12,Card
Never had card,Pneumococcal1,36.4,CountyFullyVaccinated12,Card
Never had card,Pneumococcal2,32.4,CountyFullyVaccinated12,Card
Never had card,Pneumococcal3,28.7,CountyFullyVaccinated12,Card
Never had card,Rotavirus1,35.8,CountyFullyVaccinated12,Card
Never had card,Rotavirus2,30.8,CountyFullyVaccinated12,Card
Never had card,MR1,26.3,CountyFullyVaccinated12,Card
Never had card,"Fully vaccinated
(basic antigens)",17.4,CountyFullyVaccinated12,Card
Never had card,"Fully vaccinated
(national schedule)",0.2,CountyFullyVaccinated12,Card
Never had card,No vaccinations,59.6,CountyFullyVaccinated12,Card
No education,BCG,88.5,CountyFullyVaccinated12,Education
No education,DPT1,88.3,CountyFullyVaccinated12,Education
No education,DPT2,80.7,CountyFullyVaccinated12,Education
No education,DPT3,73,CountyFullyVaccinated12,Education
No education,OPV0,54.4,CountyFullyVaccinated12,Education
No education,OPV1,87.4,CountyFullyVaccinated12,Education
No education,OPV2,81.8,CountyFullyVaccinated12,Education
No education,OPV3,57.8,CountyFullyVaccinated12,Education
No education,IPV,75.3,CountyFullyVaccinated12,Education
No education,Pneumococcal1,88.5,CountyFullyVaccinated12,Education
No education,Pneumococcal2,84.7,CountyFullyVaccinated12,Education
No education,Pneumococcal3,77.9,CountyFullyVaccinated12,Education
No education,Rotavirus1,87.1,CountyFullyVaccinated12,Education
No education,Rotavirus2,78.9,CountyFullyVaccinated12,Education
No education,MR1,64,CountyFullyVaccinated12,Education
No education,"Fully vaccinated
(basic antigens)",53.6,CountyFullyVaccinated12,Education
No education,"Fully vaccinated
(national schedule)",22.7,CountyFullyVaccinated12,Education
No education,No vaccinations,9.6,CountyFullyVaccinated12,Education
Primary,BCG,98.3,CountyFullyVaccinated12,Education
Primary,DPT1,98.2,CountyFullyVaccinated12,Education
Primary,DPT2,95.1,CountyFullyVaccinated12,Education
Primary,DPT3,90.6,CountyFullyVaccinated12,Education
Primary,OPV0,87.5,CountyFullyVaccinated12,Education
Primary,OPV1,98.2,CountyFullyVaccinated12,Education
Primary,OPV2,96,CountyFullyVaccinated12,Education
Primary,OPV3,80.6,CountyFullyVaccinated12,Education
Primary,IPV,88.9,CountyFullyVaccinated12,Education
Primary,Pneumococcal1,97.2,CountyFullyVaccinated12,Education
Primary,Pneumococcal2,96.5,CountyFullyVaccinated12,Education
Primary,Pneumococcal3,92.2,CountyFullyVaccinated12,Education
Primary,Rotavirus1,97.1,CountyFullyVaccinated12,Education
Primary,Rotavirus2,94,CountyFullyVaccinated12,Education
Primary,MR1,89.4,CountyFullyVaccinated12,Education
Primary,"Fully vaccinated
(basic antigens)",80.8,CountyFullyVaccinated12,Education
Primary,"Fully vaccinated
(national schedule)",55.9,CountyFullyVaccinated12,Education
Primary,No vaccinations,0.8,CountyFullyVaccinated12,Education
Secondary,BCG,97,CountyFullyVaccinated12,Education
Secondary,DPT1,97.8,CountyFullyVaccinated12,Education
Secondary,DPT2,95.2,CountyFullyVaccinated12,Education
Secondary,DPT3,90.6,CountyFullyVaccinated12,Education
Secondary,OPV0,89.9,CountyFullyVaccinated12,Education
Secondary,OPV1,96.4,CountyFullyVaccinated12,Education
Secondary,OPV2,94.7,CountyFullyVaccinated12,Education
Secondary,OPV3,79.6,CountyFullyVaccinated12,Education
Secondary,IPV,88.8,CountyFullyVaccinated12,Education
Secondary,Pneumococcal1,97.5,CountyFullyVaccinated12,Education
Secondary,Pneumococcal2,96.5,CountyFullyVaccinated12,Education
Secondary,Pneumococcal3,91.6,CountyFullyVaccinated12,Education
Secondary,Rotavirus1,96.8,CountyFullyVaccinated12,Education
Secondary,Rotavirus2,93.2,CountyFullyVaccinated12,Education
Secondary,MR1,94.1,CountyFullyVaccinated12,Education
Secondary,"Fully vaccinated
(basic antigens)",83.8,CountyFullyVaccinated12,Education
Secondary,"Fully vaccinated
(national schedule)",60.6,CountyFullyVaccinated12,Education
Secondary,No vaccinations,1.8,CountyFullyVaccinated12,Education
"More than
 secondary",BCG,98.6,CountyFullyVaccinated12,Education
"More than
 secondary",DPT1,98.5,CountyFullyVaccinated12,Education
"More than
 secondary",DPT2,96.4,CountyFullyVaccinated12,Education
"More than
 secondary",DPT3,92.6,CountyFullyVaccinated12,Education
"More than
 secondary",OPV0,93.6,CountyFullyVaccinated12,Education
"More than
 secondary",OPV1,98.1,CountyFullyVaccinated12,Education
"More than
 secondary",OPV2,96.4,CountyFullyVaccinated12,Education
"More than
 secondary",OPV3,81,CountyFullyVaccinated12,Education
"More than
 secondary",IPV,88.4,CountyFullyVaccinated12,Education
"More than
 secondary",Pneumococcal1,97.6,CountyFullyVaccinated12,Education
"More than
 secondary",Pneumococcal2,97.4,CountyFullyVaccinated12,Education
"More than
 secondary",Pneumococcal3,95.8,CountyFullyVaccinated12,Education
"More than
 secondary",Rotavirus1,97,CountyFullyVaccinated12,Education
"More than
 secondary",Rotavirus2,94.7,CountyFullyVaccinated12,Education
"More than
 secondary",MR1,93,CountyFullyVaccinated12,Education
"More than
 secondary","Fully vaccinated
(basic antigens)",86.8,CountyFullyVaccinated12,Education
"More than
 secondary","Fully vaccinated
(national schedule)",61.7,CountyFullyVaccinated12,Education
"More than
 secondary",No vaccinations,1.4,CountyFullyVaccinated12,Education
Urban,BCG,97.1,CountyFullyVaccinated12,Residence
Urban,DPT1,97.3,CountyFullyVaccinated12,Residence
Urban,DPT2,93.2,CountyFullyVaccinated12,Residence
Urban,DPT3,87.9,CountyFullyVaccinated12,Residence
Urban,OPV0,92,CountyFullyVaccinated12,Residence
Urban,OPV1,95.9,CountyFullyVaccinated12,Residence
Urban,OPV2,93.5,CountyFullyVaccinated12,Residence
Urban,OPV3,74.5,CountyFullyVaccinated12,Residence
Urban,IPV,89,CountyFullyVaccinated12,Residence
Urban,Pneumococcal1,96.4,CountyFullyVaccinated12,Residence
Urban,Pneumococcal2,95.9,CountyFullyVaccinated12,Residence
Urban,Pneumococcal3,92,CountyFullyVaccinated12,Residence
Urban,Rotavirus1,96.2,CountyFullyVaccinated12,Residence
Urban,Rotavirus2,93.7,CountyFullyVaccinated12,Residence
Urban,MR1,90.9,CountyFullyVaccinated12,Residence
Urban,"Fully vaccinated
(basic antigens)",79.6,CountyFullyVaccinated12,Residence
Urban,"Fully vaccinated
(national schedule)",55.7,CountyFullyVaccinated12,Residence
Urban,No vaccinations,2.2,CountyFullyVaccinated12,Residence
Rural,BCG,96.8,CountyFullyVaccinated12,Residence
Rural,DPT1,97,CountyFullyVaccinated12,Residence
Rural,DPT2,94.4,CountyFullyVaccinated12,Residence
Rural,DPT3,89.9,CountyFullyVaccinated12,Residence
Rural,OPV0,82.7,CountyFullyVaccinated12,Residence
Rural,OPV1,96.8,CountyFullyVaccinated12,Residence
Rural,OPV2,94.6,CountyFullyVaccinated12,Residence
Rural,OPV3,80.4,CountyFullyVaccinated12,Residence
Rural,IPV,86.4,CountyFullyVaccinated12,Residence
Rural,Pneumococcal1,96.5,CountyFullyVaccinated12,Residence
Rural,Pneumococcal2,95.2,CountyFullyVaccinated12,Residence
Rural,Pneumococcal3,90.7,CountyFullyVaccinated12,Residence
Rural,Rotavirus1,95.9,CountyFullyVaccinated12,Residence
Rural,Rotavirus2,91.5,CountyFullyVaccinated12,Residence
Rural,MR1,87.9,CountyFullyVaccinated12,Residence
Rural,"Fully vaccinated
(basic antigens)",80.3,CountyFullyVaccinated12,Residence
Rural,"Fully vaccinated
(national schedule)",55,CountyFullyVaccinated12,Residence
Rural,No vaccinations,2.1,CountyFullyVaccinated12,Residence
Lowest,BCG,94.9,CountyFullyVaccinated12,Wealth quintile
Lowest,DPT1,95.4,CountyFullyVaccinated12,Wealth quintile
Lowest,DPT2,90.9,CountyFullyVaccinated12,Wealth quintile
Lowest,DPT3,85.1,CountyFullyVaccinated12,Wealth quintile
Lowest,OPV0,69.3,CountyFullyVaccinated12,Wealth quintile
Lowest,OPV1,94.8,CountyFullyVaccinated12,Wealth quintile
Lowest,OPV2,91.1,CountyFullyVaccinated12,Wealth quintile
Lowest,OPV3,76.5,CountyFullyVaccinated12,Wealth quintile
Lowest,IPV,82.6,CountyFullyVaccinated12,Wealth quintile
Lowest,Pneumococcal1,95,CountyFullyVaccinated12,Wealth quintile
Lowest,Pneumococcal2,92.2,CountyFullyVaccinated12,Wealth quintile
Lowest,Pneumococcal3,86.8,CountyFullyVaccinated12,Wealth quintile
Lowest,Rotavirus1,93.7,CountyFullyVaccinated12,Wealth quintile
Lowest,Rotavirus2,87.7,CountyFullyVaccinated12,Wealth quintile
Lowest,MR1,79.6,CountyFullyVaccinated12,Wealth quintile
Lowest,"Fully vaccinated
(basic antigens)",71.1,CountyFullyVaccinated12,Wealth quintile
Lowest,"Fully vaccinated
(national schedule)",42.3,CountyFullyVaccinated12,Wealth quintile
Lowest,No vaccinations,3.5,CountyFullyVaccinated12,Wealth quintile
Second,BCG,97.3,CountyFullyVaccinated12,Wealth quintile
Second,DPT1,97.6,CountyFullyVaccinated12,Wealth quintile
Second,DPT2,96.2,CountyFullyVaccinated12,Wealth quintile
Second,DPT3,92.3,CountyFullyVaccinated12,Wealth quintile
Second,OPV0,90.1,CountyFullyVaccinated12,Wealth quintile
Second,OPV1,97.5,CountyFullyVaccinated12,Wealth quintile
Second,OPV2,96.2,CountyFullyVaccinated12,Wealth quintile
Second,OPV3,81.3,CountyFullyVaccinated12,Wealth quintile
Second,IPV,86.8,CountyFullyVaccinated12,Wealth quintile
Second,Pneumococcal1,97.2,CountyFullyVaccinated12,Wealth quintile
Second,Pneumococcal2,96.7,CountyFullyVaccinated12,Wealth quintile
Second,Pneumococcal3,93.1,CountyFullyVaccinated12,Wealth quintile
Second,Rotavirus1,96.9,CountyFullyVaccinated12,Wealth quintile
Second,Rotavirus2,94,CountyFullyVaccinated12,Wealth quintile
Second,MR1,90.5,CountyFullyVaccinated12,Wealth quintile
Second,"Fully vaccinated
(basic antigens)",82.6,CountyFullyVaccinated12,Wealth quintile
Second,"Fully vaccinated
(national schedule)",59.6,CountyFullyVaccinated12,Wealth quintile
Second,No vaccinations,1.2,CountyFullyVaccinated12,Wealth quintile
Middle,BCG,96.8,CountyFullyVaccinated12,Wealth quintile
Middle,DPT1,96.9,CountyFullyVaccinated12,Wealth quintile
Middle,DPT2,94.2,CountyFullyVaccinated12,Wealth quintile
Middle,DPT3,88.8,CountyFullyVaccinated12,Wealth quintile
Middle,OPV0,87.9,CountyFullyVaccinated12,Wealth quintile
Middle,OPV1,96.3,CountyFullyVaccinated12,Wealth quintile
Middle,OPV2,93.4,CountyFullyVaccinated12,Wealth quintile
Middle,OPV3,79.9,CountyFullyVaccinated12,Wealth quintile
Middle,IPV,89.6,CountyFullyVaccinated12,Wealth quintile
Middle,Pneumococcal1,95.7,CountyFullyVaccinated12,Wealth quintile
Middle,Pneumococcal2,95.1,CountyFullyVaccinated12,Wealth quintile
Middle,Pneumococcal3,90.1,CountyFullyVaccinated12,Wealth quintile
Middle,Rotavirus1,95.3,CountyFullyVaccinated12,Wealth quintile
Middle,Rotavirus2,91.3,CountyFullyVaccinated12,Wealth quintile
Middle,MR1,91.5,CountyFullyVaccinated12,Wealth quintile
Middle,"Fully vaccinated
(basic antigens)",82.5,CountyFullyVaccinated12,Wealth quintile
Middle,"Fully vaccinated
(national schedule)",58.4,CountyFullyVaccinated12,Wealth quintile
Middle,No vaccinations,2.6,CountyFullyVaccinated12,Wealth quintile
Fourth,BCG,97.7,CountyFullyVaccinated12,Wealth quintile
Fourth,DPT1,97.6,CountyFullyVaccinated12,Wealth quintile
Fourth,DPT2,93.9,CountyFullyVaccinated12,Wealth quintile
Fourth,DPT3,90,CountyFullyVaccinated12,Wealth quintile
Fourth,OPV0,92.4,CountyFullyVaccinated12,Wealth quintile
Fourth,OPV1,96.9,CountyFullyVaccinated12,Wealth quintile
Fourth,OPV2,94.9,CountyFullyVaccinated12,Wealth quintile
Fourth,OPV3,77,CountyFullyVaccinated12,Wealth quintile
Fourth,IPV,88.2,CountyFullyVaccinated12,Wealth quintile
Fourth,Pneumococcal1,97.1,CountyFullyVaccinated12,Wealth quintile
Fourth,Pneumococcal2,96.1,CountyFullyVaccinated12,Wealth quintile
Fourth,Pneumococcal3,92.1,CountyFullyVaccinated12,Wealth quintile
Fourth,Rotavirus1,97.5,CountyFullyVaccinated12,Wealth quintile
Fourth,Rotavirus2,93.8,CountyFullyVaccinated12,Wealth quintile
Fourth,MR1,92.4,CountyFullyVaccinated12,Wealth quintile
Fourth,"Fully vaccinated
(basic antigens)",82.7,CountyFullyVaccinated12,Wealth quintile
Fourth,"Fully vaccinated
(national schedule)",59.3,CountyFullyVaccinated12,Wealth quintile
Fourth,No vaccinations,1.8,CountyFullyVaccinated12,Wealth quintile
Highest,BCG,98,CountyFullyVaccinated12,Wealth quintile
Highest,DPT1,98.2,CountyFullyVaccinated12,Wealth quintile
Highest,DPT2,95,CountyFullyVaccinated12,Wealth quintile
Highest,DPT3,90.4,CountyFullyVaccinated12,Wealth quintile
Highest,OPV0,93.4,CountyFullyVaccinated12,Wealth quintile
Highest,OPV1,97,CountyFullyVaccinated12,Wealth quintile
Highest,OPV2,95.8,CountyFullyVaccinated12,Wealth quintile
Highest,OPV3,77.1,CountyFullyVaccinated12,Wealth quintile
Highest,IPV,90.4,CountyFullyVaccinated12,Wealth quintile
Highest,Pneumococcal1,97.5,CountyFullyVaccinated12,Wealth quintile
Highest,Pneumococcal2,97.4,CountyFullyVaccinated12,Wealth quintile
Highest,Pneumococcal3,94.3,CountyFullyVaccinated12,Wealth quintile
Highest,Rotavirus1,96.7,CountyFullyVaccinated12,Wealth quintile
Highest,Rotavirus2,95,CountyFullyVaccinated12,Wealth quintile
Highest,MR1,92.7,CountyFullyVaccinated12,Wealth quintile
Highest,"Fully vaccinated
(basic antigens)",83.1,CountyFullyVaccinated12,Wealth quintile
Highest,"Fully vaccinated
(national schedule)",59.1,CountyFullyVaccinated12,Wealth quintile
Highest,No vaccinations,1.4,CountyFullyVaccinated12,Wealth quintile
Male,MR2,69.7,CountyFullyVaccinated24,Gender
Male,"Fully vaccinated
(national schedule)",38.1,CountyFullyVaccinated24,Gender
Female,MR2,63.8,CountyFullyVaccinated24,Gender
Female,"Fully vaccinated
(national schedule)",36.9,CountyFullyVaccinated24,Gender
1,MR2,72.2,CountyFullyVaccinated24,Birth
1,"Fully vaccinated
(national schedule)",39.9,CountyFullyVaccinated24,Birth
2–3,MR2,70.4,CountyFullyVaccinated24,Birth
2–3,"Fully vaccinated
(national schedule)",39.5,CountyFullyVaccinated24,Birth
4–5,MR2,60.8,CountyFullyVaccinated24,Birth
4–5,"Fully vaccinated
(national schedule)",36.2,CountyFullyVaccinated24,Birth
6+,MR2,46,CountyFullyVaccinated24,Birth
6+,"Fully vaccinated
(national schedule)",24.4,CountyFullyVaccinated24,Birth
Seen,MR2,68.8,CountyFullyVaccinated24,Card
Seen,"Fully vaccinated
(national schedule)",51.5,CountyFullyVaccinated24,Card
"Not seen or 
 no longer has card",MR2,66.3,CountyFullyVaccinated24,Card
"Not seen or 
 no longer has card","Fully vaccinated
(national schedule)",16.2,CountyFullyVaccinated24,Card
Never had card,MR2,18.4,CountyFullyVaccinated24,Card
Never had card,"Fully vaccinated
(national schedule)",0,CountyFullyVaccinated24,Card
No education,MR2,33.4,CountyFullyVaccinated24,Education
No education,"Fully vaccinated
(national schedule)",14.7,CountyFullyVaccinated24,Education
Primary,MR2,63,CountyFullyVaccinated24,Education
Primary,"Fully vaccinated
(national schedule)",34.1,CountyFullyVaccinated24,Education
Secondary,MR2,72.6,CountyFullyVaccinated24,Education
Secondary,"Fully vaccinated
(national schedule)",42.6,CountyFullyVaccinated24,Education
"More than
 secondary",MR2,81.7,CountyFullyVaccinated24,Education
"More than
 secondary","Fully vaccinated
(national schedule)",47.1,CountyFullyVaccinated24,Education
Male,MR2,69.7,CountyFullyVaccinated24,Gender
Male,"Fully vaccinated
(national schedule)",38.1,CountyFullyVaccinated24,Gender
Female,MR2,63.8,CountyFullyVaccinated24,Gender
Female,"Fully vaccinated
(national schedule)",36.9,CountyFullyVaccinated24,Gender
Urban,MR2,71.1,CountyFullyVaccinated24,Residence
Urban,"Fully vaccinated
(national schedule)",37.6,CountyFullyVaccinated24,Residence
Rural,MR2,64.1,CountyFullyVaccinated24,Residence
Rural,"Fully vaccinated
(national schedule)",37.5,CountyFullyVaccinated24,Residence
Lowest,MR2,50.1,CountyFullyVaccinated24,Wealth quintile
Lowest,"Fully vaccinated
(national schedule)",25.3,CountyFullyVaccinated24,Wealth quintile
Second,MR2,66.5,CountyFullyVaccinated24,Wealth quintile
Second,"Fully vaccinated
(national schedule)",40.1,CountyFullyVaccinated24,Wealth quintile
Middle,MR2,68.4,CountyFullyVaccinated24,Wealth quintile
Middle,"Fully vaccinated
(national schedule)",40.5,CountyFullyVaccinated24,Wealth quintile
Fourth,MR2,71.1,CountyFullyVaccinated24,Wealth quintile
Fourth,"Fully vaccinated
(national schedule)",40.5,CountyFullyVaccinated24,Wealth quintile
Highest,MR2,78,CountyFullyVaccinated24,Wealth quintile
Highest,"Fully vaccinated
(national schedule)",42.5,CountyFullyVaccinated24,Wealth quintile
