County,indicator,indicator1,values
Nakuru,HFA,HFA_perc_below2sd,18.5
Narok,HFA,HFA_perc_below3sd,3.5
Narok,HFA,HFA_perc_below2sd,21.5
Kajiado,HFA,HFA_perc_below3sd,4.5
Kajiado,HFA,HFA_perc_below2sd,14
Kericho,HFA,HFA_perc_below3sd,3.7
Kericho,HFA,HFA_perc_below2sd,19.3
Bomet,HFA,HFA_perc_below3sd,4.5
Bomet,HFA,HFA_perc_below2sd,22.1
Kakamega,HFA,HFA_perc_below3sd,2.1
Kakamega,HFA,HFA_perc_below2sd,11.5
Vihiga,HFA,HFA_perc_below3sd,4.2
Vihiga,HFA,HFA_perc_below2sd,16.6
Bungoma,HFA,HFA_perc_below3sd,4
Bungoma,HFA,HFA_perc_below2sd,19
Busia,HFA,HFA_perc_below3sd,3.1
Busia,HFA,HFA_perc_below2sd,15
Siaya,HFA,HFA_perc_below3sd,5.3
Siaya,HFA,HFA_perc_below2sd,19.2
Kisumu,HFA,HFA_perc_below3sd,1.3
Kisumu,HFA,HFA_perc_below2sd,9.1
Homa Bay,HFA,HFA_perc_below3sd,2.3
Homa Bay,HFA,HFA_perc_below2sd,12.5
Migori,HFA,HFA_perc_below3sd,2.5
Migori,HFA,HFA_perc_below2sd,14.8
Kisii,HFA,HFA_perc_below3sd,4.3
Kisii,HFA,HFA_perc_below2sd,16.3
Nyamira,HFA,HFA_perc_below3sd,3
Nyamira,HFA,HFA_perc_below2sd,13.5
Nairobi,HFA,HFA_perc_below3sd,2
Nairobi,HFA,HFA_perc_below2sd,11.1
Mombasa,WFH,WFH_perc_below3sd,0.2
Mombasa,WFH,WFH_perc_below2sd,4.6
Kwale,WFH,WFH_perc_below3sd,1.1
Kwale,WFH,WFH_perc_below2sd,6.2
Kilifi,WFH,WFH_perc_below3sd,0.9
Kilifi,WFH,WFH_perc_below2sd,7.2
Tana River,WFH,WFH_perc_below3sd,1.3
Tana River,WFH,WFH_perc_below2sd,11.3
Lamu,WFH,WFH_perc_below3sd,0.4
Lamu,WFH,WFH_perc_below2sd,3.5
Taita Taveta,WFH,WFH_perc_below3sd,0
Taita Taveta,WFH,WFH_perc_below2sd,4.1
Garissa,WFH,WFH_perc_below3sd,2.6
Garissa,WFH,WFH_perc_below2sd,15.3
Wajir,WFH,WFH_perc_below3sd,3.6
Wajir,WFH,WFH_perc_below2sd,22.8
Mandera,WFH,WFH_perc_below3sd,2.9
Mandera,WFH,WFH_perc_below2sd,17.3
Marsabit,WFH,WFH_perc_below3sd,3.8
Marsabit,WFH,WFH_perc_below2sd,20.4
Isiolo,WFH,WFH_perc_below3sd,1.1
Isiolo,WFH,WFH_perc_below2sd,7.2
Meru,WFH,WFH_perc_below3sd,0
Meru,WFH,WFH_perc_below2sd,6
Tharaka Nithi,WFH,WFH_perc_below3sd,0
Tharaka Nithi,WFH,WFH_perc_below2sd,3.1
Embu,WFH,WFH_perc_below3sd,1.6
Embu,WFH,WFH_perc_below2sd,5.3
Kitui,WFH,WFH_perc_below3sd,1.1
Kitui,WFH,WFH_perc_below2sd,4.9
Machakos,WFH,WFH_perc_below3sd,0
Machakos,WFH,WFH_perc_below2sd,3.5
Makueni,WFH,WFH_perc_below3sd,0
Makueni,WFH,WFH_perc_below2sd,4
Nyandarua,WFH,WFH_perc_below3sd,0.6
Nyandarua,WFH,WFH_perc_below2sd,1.9
Nyeri,WFH,WFH_perc_below3sd,0
Nyeri,WFH,WFH_perc_below2sd,2.7
Kirinyaga,WFH,WFH_perc_below3sd,0
Kirinyaga,WFH,WFH_perc_below2sd,2.2
Muranga,WFH,WFH_perc_below3sd,0
Muranga,WFH,WFH_perc_below2sd,1.7
Kiambu,WFH,WFH_perc_below3sd,1
Kiambu,WFH,WFH_perc_below2sd,3.2
Turkana,WFH,WFH_perc_below3sd,3.5
Turkana,WFH,WFH_perc_below2sd,22.6
West Pokot,WFH,WFH_perc_below3sd,0.9
West Pokot,WFH,WFH_perc_below2sd,11
Samburu,WFH,WFH_perc_below3sd,1.4
Samburu,WFH,WFH_perc_below2sd,15.4
Trans Nzoia,WFH,WFH_perc_below3sd,0
Trans Nzoia,WFH,WFH_perc_below2sd,3.2
Uasin Gishu,WFH,WFH_perc_below3sd,0.9
Uasin Gishu,WFH,WFH_perc_below2sd,4
Elgeyo Marakwet,WFH,WFH_perc_below3sd,1
Elgeyo Marakwet,WFH,WFH_perc_below2sd,4.8
Nandi,WFH,WFH_perc_below3sd,0.3
Nandi,WFH,WFH_perc_below2sd,4
Baringo,WFH,WFH_perc_below3sd,2.3
Baringo,WFH,WFH_perc_below2sd,13.6
Laikipia,WFH,WFH_perc_below3sd,0
Laikipia,WFH,WFH_perc_below2sd,2.6
Nakuru,WFH,WFH_perc_below3sd,0.9
Nakuru,WFH,WFH_perc_below2sd,3
Narok,WFH,WFH_perc_below3sd,0.2
Narok,WFH,WFH_perc_below2sd,2.1
Kajiado,WFH,WFH_perc_below3sd,1.3
Kajiado,WFH,WFH_perc_below2sd,7.6
Kericho,WFH,WFH_perc_below3sd,0.3
Kericho,WFH,WFH_perc_below2sd,2.5
Bomet,WFH,WFH_perc_below3sd,0.2
Bomet,WFH,WFH_perc_below2sd,3.3
Kakamega,WFH,WFH_perc_below3sd,0
Kakamega,WFH,WFH_perc_below2sd,1.5
Vihiga,WFH,WFH_perc_below3sd,0
Vihiga,WFH,WFH_perc_below2sd,2.4
Bungoma,WFH,WFH_perc_below3sd,0
Bungoma,WFH,WFH_perc_below2sd,2.3
Busia,WFH,WFH_perc_below3sd,0
Busia,WFH,WFH_perc_below2sd,2.8
Siaya,WFH,WFH_perc_below3sd,1.1
Siaya,WFH,WFH_perc_below2sd,1.7
Kisumu,WFH,WFH_perc_below3sd,0.5
Kisumu,WFH,WFH_perc_below2sd,3
Homa Bay,WFH,WFH_perc_below3sd,0
Homa Bay,WFH,WFH_perc_below2sd,1.8
Migori,WFH,WFH_perc_below3sd,0
Migori,WFH,WFH_perc_below2sd,2.4
Kisii,WFH,WFH_perc_below3sd,0.3
Kisii,WFH,WFH_perc_below2sd,2.9
Nyamira,WFH,WFH_perc_below3sd,0.1
Nyamira,WFH,WFH_perc_below2sd,1.2
Nairobi,WFH,WFH_perc_below3sd,0
Nairobi,WFH,WFH_perc_below2sd,2.5
Mombasa,WFA,WFA_perc_below3sd,1.5
Mombasa,WFA,WFA_perc_below2sd,9.8
Kwale,WFA,WFA_perc_below3sd,2.8
Kwale,WFA,WFA_perc_below2sd,13.7
Kilifi,WFA,WFA_perc_below3sd,3.1
Kilifi,WFA,WFA_perc_below2sd,19.5
Tana River,WFA,WFA_perc_below3sd,2.6
Tana River,WFA,WFA_perc_below2sd,16.8
Lamu,WFA,WFA_perc_below3sd,1
Lamu,WFA,WFA_perc_below2sd,12.5
Taita Taveta,WFA,WFA_perc_below3sd,2.1
Taita Taveta,WFA,WFA_perc_below2sd,12.6
Garissa,WFA,WFA_perc_below3sd,1.2
Garissa,WFA,WFA_perc_below2sd,14.1
Wajir,WFA,WFA_perc_below3sd,4.3
Wajir,WFA,WFA_perc_below2sd,16.2
Mandera,WFA,WFA_perc_below3sd,5.4
Mandera,WFA,WFA_perc_below2sd,23.2
Marsabit,WFA,WFA_perc_below3sd,6.2
Marsabit,WFA,WFA_perc_below2sd,25.9
Isiolo,WFA,WFA_perc_below3sd,2.4
Isiolo,WFA,WFA_perc_below2sd,11.5
Meru,WFA,WFA_perc_below3sd,1
Meru,WFA,WFA_perc_below2sd,10.8
Tharaka Nithi,WFA,WFA_perc_below3sd,2.2
Tharaka Nithi,WFA,WFA_perc_below2sd,7.7
Embu,WFA,WFA_perc_below3sd,2.6
Embu,WFA,WFA_perc_below2sd,11.3
Kitui,WFA,WFA_perc_below3sd,2.6
Kitui,WFA,WFA_perc_below2sd,13.9
Machakos,WFA,WFA_perc_below3sd,1
Machakos,WFA,WFA_perc_below2sd,8.1
Makueni,WFA,WFA_perc_below3sd,1.2
Makueni,WFA,WFA_perc_below2sd,8.7
Nyandarua,WFA,WFA_perc_below3sd,1.4
Nyandarua,WFA,WFA_perc_below2sd,4
Nyeri,WFA,WFA_perc_below3sd,0.5
Nyeri,WFA,WFA_perc_below2sd,4
Kirinyaga,WFA,WFA_perc_below3sd,0
Kirinyaga,WFA,WFA_perc_below2sd,5.7
Muranga,WFA,WFA_perc_below3sd,0.4
Muranga,WFA,WFA_perc_below2sd,5.9
Kiambu,WFA,WFA_perc_below3sd,2.1
Kiambu,WFA,WFA_perc_below2sd,6
Turkana,WFA,WFA_perc_below3sd,8.8
Turkana,WFA,WFA_perc_below2sd,31.7
West Pokot,WFA,WFA_perc_below3sd,6
West Pokot,WFA,WFA_perc_below2sd,27.1
Samburu,WFA,WFA_perc_below3sd,7.4
Samburu,WFA,WFA_perc_below2sd,30.2
Trans Nzoia,WFA,WFA_perc_below3sd,0.5
Trans Nzoia,WFA,WFA_perc_below2sd,11.1
Uasin Gishu,WFA,WFA_perc_below3sd,1
Uasin Gishu,WFA,WFA_perc_below2sd,6.4
Elgeyo Marakwet,WFA,WFA_perc_below3sd,2.5
Elgeyo Marakwet,WFA,WFA_perc_below2sd,13.9
Nandi,WFA,WFA_perc_below3sd,0.9
Nandi,WFA,WFA_perc_below2sd,9
Baringo,WFA,WFA_perc_below3sd,5.8
Baringo,WFA,WFA_perc_below2sd,19.9
Laikipia,WFA,WFA_perc_below3sd,0.5
Laikipia,WFA,WFA_perc_below2sd,6.6
Nakuru,WFA,WFA_perc_below3sd,2.1
Nakuru,WFA,WFA_perc_below2sd,9.2
Narok,WFA,WFA_perc_below3sd,1
Narok,WFA,WFA_perc_below2sd,10.7
Kajiado,WFA,WFA_perc_below3sd,1.3
Kajiado,WFA,WFA_perc_below2sd,9.6
Kericho,WFA,WFA_perc_below3sd,1.4
Kericho,WFA,WFA_perc_below2sd,9.2
Bomet,WFA,WFA_perc_below3sd,1.3
Bomet,WFA,WFA_perc_below2sd,9.8
Kakamega,WFA,WFA_perc_below3sd,0.8
Kakamega,WFA,WFA_perc_below2sd,6.4
Vihiga,WFA,WFA_perc_below3sd,0.8
Vihiga,WFA,WFA_perc_below2sd,9.2
Bungoma,WFA,WFA_perc_below3sd,1.2
Bungoma,WFA,WFA_perc_below2sd,9.6
Busia,WFA,WFA_perc_below3sd,0.7
Busia,WFA,WFA_perc_below2sd,6.3
Siaya,WFA,WFA_perc_below3sd,2.1
Siaya,WFA,WFA_perc_below2sd,7
Kisumu,WFA,WFA_perc_below3sd,0.8
Kisumu,WFA,WFA_perc_below2sd,3.5
Homa Bay,WFA,WFA_perc_below3sd,1
Homa Bay,WFA,WFA_perc_below2sd,6.1
Migori,WFA,WFA_perc_below3sd,0.3
Migori,WFA,WFA_perc_below2sd,5
Kisii,WFA,WFA_perc_below3sd,1.5
Kisii,WFA,WFA_perc_below2sd,7.8
Nyamira,WFA,WFA_perc_below3sd,0.2
Nyamira,WFA,WFA_perc_below2sd,3.4
Nairobi,WFA,WFA_perc_below3sd,0.4
Nairobi,WFA,WFA_perc_below2sd,5.3
Mombasa,Insecticide treated nets,perc_atleast_1itn,63.3
Mombasa,Insecticide treated nets,avrg_itn_hh,1.2
Mombasa,Insecticide treated nets,perc_atleast_1itn_2pple,45.5
Mombasa,Insecticide treated nets,no_hhs_1person_overnight,1051
Kwale,Insecticide treated nets,perc_atleast_1itn,74
Kwale,Insecticide treated nets,avrg_itn_hh,1.8
Kwale,Insecticide treated nets,perc_atleast_1itn_2pple,47.5
Kwale,Insecticide treated nets,no_hhs_1person_overnight,502
Kilifi,Insecticide treated nets,perc_atleast_1itn,74.4
Kilifi,Insecticide treated nets,avrg_itn_hh,1.8
Kilifi,Insecticide treated nets,perc_atleast_1itn_2pple,48.2
Kilifi,Insecticide treated nets,no_hhs_1person_overnight,989
Tana River,Insecticide treated nets,perc_atleast_1itn,71.3
Tana River,Insecticide treated nets,avrg_itn_hh,1.4
Tana River,Insecticide treated nets,perc_atleast_1itn_2pple,34.3
Tana River,Insecticide treated nets,no_hhs_1person_overnight,180
Lamu,Insecticide treated nets,perc_atleast_1itn,65.9
Lamu,Insecticide treated nets,avrg_itn_hh,1.5
Lamu,Insecticide treated nets,perc_atleast_1itn_2pple,43.3
Lamu,Insecticide treated nets,no_hhs_1person_overnight,107
Taita Taveta,Insecticide treated nets,perc_atleast_1itn,87.3
Taita Taveta,Insecticide treated nets,avrg_itn_hh,2
Taita Taveta,Insecticide treated nets,perc_atleast_1itn_2pple,74.3
Taita Taveta,Insecticide treated nets,no_hhs_1person_overnight,331
Garissa,Insecticide treated nets,perc_atleast_1itn,19.7
Garissa,Insecticide treated nets,avrg_itn_hh,0.3
Garissa,Insecticide treated nets,perc_atleast_1itn_2pple,6.8
Garissa,Insecticide treated nets,no_hhs_1person_overnight,269
Wajir,Insecticide treated nets,perc_atleast_1itn,43.6
Wajir,Insecticide treated nets,avrg_itn_hh,1
Wajir,Insecticide treated nets,perc_atleast_1itn_2pple,15.5
Wajir,Insecticide treated nets,no_hhs_1person_overnight,137
Mandera,Insecticide treated nets,perc_atleast_1itn,15.7
Mandera,Insecticide treated nets,avrg_itn_hh,0.3
Mandera,Insecticide treated nets,perc_atleast_1itn_2pple,4.8
Mandera,Insecticide treated nets,no_hhs_1person_overnight,203
Marsabit,Insecticide treated nets,perc_atleast_1itn,27.1
Marsabit,Insecticide treated nets,avrg_itn_hh,0.4
Marsabit,Insecticide treated nets,perc_atleast_1itn_2pple,7.4
Marsabit,Insecticide treated nets,no_hhs_1person_overnight,170
Isiolo,Insecticide treated nets,perc_atleast_1itn,51.7
Isiolo,Insecticide treated nets,avrg_itn_hh,0.9
Isiolo,Insecticide treated nets,perc_atleast_1itn_2pple,23.4
Isiolo,Insecticide treated nets,no_hhs_1person_overnight,149
Meru,Insecticide treated nets,perc_atleast_1itn,36.2
Meru,Insecticide treated nets,avrg_itn_hh,0.5
Meru,Insecticide treated nets,perc_atleast_1itn_2pple,16.8
Meru,Insecticide treated nets,no_hhs_1person_overnight,1359
Tharaka Nithi,Insecticide treated nets,perc_atleast_1itn,52.8
Tharaka Nithi,Insecticide treated nets,avrg_itn_hh,1
Tharaka Nithi,Insecticide treated nets,perc_atleast_1itn_2pple,34.7
Tharaka Nithi,Insecticide treated nets,no_hhs_1person_overnight,373
Embu,Insecticide treated nets,perc_atleast_1itn,40.1
Embu,Insecticide treated nets,avrg_itn_hh,0.7
Embu,Insecticide treated nets,perc_atleast_1itn_2pple,24.1
Embu,Insecticide treated nets,no_hhs_1person_overnight,522
Kitui,Insecticide treated nets,perc_atleast_1itn,33
Kitui,Insecticide treated nets,avrg_itn_hh,0.5
Kitui,Insecticide treated nets,perc_atleast_1itn_2pple,15.1
Kitui,Insecticide treated nets,no_hhs_1person_overnight,895
Machakos,Insecticide treated nets,perc_atleast_1itn,55.9
Machakos,Insecticide treated nets,avrg_itn_hh,1.1
Machakos,Insecticide treated nets,perc_atleast_1itn_2pple,38.8
Machakos,Insecticide treated nets,no_hhs_1person_overnight,1227
Makueni,Insecticide treated nets,perc_atleast_1itn,48.1
Makueni,Insecticide treated nets,avrg_itn_hh,0.8
Makueni,Insecticide treated nets,perc_atleast_1itn_2pple,25.8
Makueni,Insecticide treated nets,no_hhs_1person_overnight,769
Nyandarua,Insecticide treated nets,perc_atleast_1itn,9.9
Nyandarua,Insecticide treated nets,avrg_itn_hh,0.2
Nyandarua,Insecticide treated nets,perc_atleast_1itn_2pple,5.8
Nyandarua,Insecticide treated nets,no_hhs_1person_overnight,573
Nyeri,Insecticide treated nets,perc_atleast_1itn,18.1
Nyeri,Insecticide treated nets,avrg_itn_hh,0.3
Nyeri,Insecticide treated nets,perc_atleast_1itn_2pple,12.1
Nyeri,Insecticide treated nets,no_hhs_1person_overnight,790
Kirinyaga,Insecticide treated nets,perc_atleast_1itn,57.3
Kirinyaga,Insecticide treated nets,avrg_itn_hh,1.3
Kirinyaga,Insecticide treated nets,perc_atleast_1itn_2pple,47.4
Kirinyaga,Insecticide treated nets,no_hhs_1person_overnight,635
Muranga,Insecticide treated nets,perc_atleast_1itn,35.9
Muranga,Insecticide treated nets,avrg_itn_hh,0.6
Muranga,Insecticide treated nets,perc_atleast_1itn_2pple,22
Muranga,Insecticide treated nets,no_hhs_1person_overnight,1000
Kiambu,Insecticide treated nets,perc_atleast_1itn,27.8
Kiambu,Insecticide treated nets,avrg_itn_hh,0.4
Kiambu,Insecticide treated nets,perc_atleast_1itn_2pple,16
Kiambu,Insecticide treated nets,no_hhs_1person_overnight,2662
Turkana,Insecticide treated nets,perc_atleast_1itn,49.4
Turkana,Insecticide treated nets,avrg_itn_hh,0.8
Turkana,Insecticide treated nets,perc_atleast_1itn_2pple,18.8
Turkana,Insecticide treated nets,no_hhs_1person_overnight,383
West Pokot,Insecticide treated nets,perc_atleast_1itn,78.8
West Pokot,Insecticide treated nets,avrg_itn_hh,1.9
West Pokot,Insecticide treated nets,perc_atleast_1itn_2pple,41.5
West Pokot,Insecticide treated nets,no_hhs_1person_overnight,416
Samburu,Insecticide treated nets,perc_atleast_1itn,19.9
Samburu,Insecticide treated nets,avrg_itn_hh,0.3
Samburu,Insecticide treated nets,perc_atleast_1itn_2pple,7.4
Samburu,Insecticide treated nets,no_hhs_1person_overnight,174
Trans Nzoia,Insecticide treated nets,perc_atleast_1itn,86
Trans Nzoia,Insecticide treated nets,avrg_itn_hh,2.5
Trans Nzoia,Insecticide treated nets,perc_atleast_1itn_2pple,69.3
Trans Nzoia,Insecticide treated nets,no_hhs_1person_overnight,747
Uasin Gishu,Insecticide treated nets,perc_atleast_1itn,69.3
Uasin Gishu,Insecticide treated nets,avrg_itn_hh,1.9
Uasin Gishu,Insecticide treated nets,perc_atleast_1itn_2pple,56.8
Uasin Gishu,Insecticide treated nets,no_hhs_1person_overnight,1112
Elgeyo Marakwet,Insecticide treated nets,perc_atleast_1itn,25.3
Elgeyo Marakwet,Insecticide treated nets,avrg_itn_hh,0.4
Elgeyo Marakwet,Insecticide treated nets,perc_atleast_1itn_2pple,10.1
Elgeyo Marakwet,Insecticide treated nets,no_hhs_1person_overnight,290
Nandi,Insecticide treated nets,perc_atleast_1itn,84
Nandi,Insecticide treated nets,avrg_itn_hh,2.1
Nandi,Insecticide treated nets,perc_atleast_1itn_2pple,69
Nandi,Insecticide treated nets,no_hhs_1person_overnight,728
Baringo,Insecticide treated nets,perc_atleast_1itn,63.8
Baringo,Insecticide treated nets,avrg_itn_hh,1.4
Baringo,Insecticide treated nets,perc_atleast_1itn_2pple,37.6
Baringo,Insecticide treated nets,no_hhs_1person_overnight,429
Laikipia,Insecticide treated nets,perc_atleast_1itn,24.9
Laikipia,Insecticide treated nets,avrg_itn_hh,0.4
Laikipia,Insecticide treated nets,perc_atleast_1itn_2pple,15.9
Laikipia,Insecticide treated nets,no_hhs_1person_overnight,445
Nakuru,Insecticide treated nets,perc_atleast_1itn,27.5
Nakuru,Insecticide treated nets,avrg_itn_hh,0.5
Nakuru,Insecticide treated nets,perc_atleast_1itn_2pple,15.3
Nakuru,Insecticide treated nets,no_hhs_1person_overnight,2006
Narok,Insecticide treated nets,perc_atleast_1itn,76
Narok,Insecticide treated nets,avrg_itn_hh,2.1
Narok,Insecticide treated nets,perc_atleast_1itn_2pple,54
Narok,Insecticide treated nets,no_hhs_1person_overnight,776
Kajiado,Insecticide treated nets,perc_atleast_1itn,38.8
Kajiado,Insecticide treated nets,avrg_itn_hh,0.6
Kajiado,Insecticide treated nets,perc_atleast_1itn_2pple,20.9
Kajiado,Insecticide treated nets,no_hhs_1person_overnight,1072
Kericho,Insecticide treated nets,perc_atleast_1itn,84.1
Kericho,Insecticide treated nets,avrg_itn_hh,2.3
Kericho,Insecticide treated nets,perc_atleast_1itn_2pple,65.9
Kericho,Insecticide treated nets,no_hhs_1person_overnight,745
Bomet,Insecticide treated nets,perc_atleast_1itn,92.3
Bomet,Insecticide treated nets,avrg_itn_hh,2.8
Bomet,Insecticide treated nets,perc_atleast_1itn_2pple,77.3
Bomet,Insecticide treated nets,no_hhs_1person_overnight,659
Kakamega,Insecticide treated nets,perc_atleast_1itn,89.1
Kakamega,Insecticide treated nets,avrg_itn_hh,2.4
Kakamega,Insecticide treated nets,perc_atleast_1itn_2pple,66.9
Kakamega,Insecticide treated nets,no_hhs_1person_overnight,1381
Vihiga,Insecticide treated nets,perc_atleast_1itn,92.5
Vihiga,Insecticide treated nets,avrg_itn_hh,2.6
Vihiga,Insecticide treated nets,perc_atleast_1itn_2pple,75.8
Vihiga,Insecticide treated nets,no_hhs_1person_overnight,412
Bungoma,Insecticide treated nets,perc_atleast_1itn,89.4
Bungoma,Insecticide treated nets,avrg_itn_hh,2.7
Bungoma,Insecticide treated nets,perc_atleast_1itn_2pple,70.6
Bungoma,Insecticide treated nets,no_hhs_1person_overnight,1157
Busia,Insecticide treated nets,perc_atleast_1itn,93.5
Busia,Insecticide treated nets,avrg_itn_hh,2.6
Busia,Insecticide treated nets,perc_atleast_1itn_2pple,67.4
Busia,Insecticide treated nets,no_hhs_1person_overnight,653
Siaya,Insecticide treated nets,perc_atleast_1itn,86.7
Siaya,Insecticide treated nets,avrg_itn_hh,1.9
Siaya,Insecticide treated nets,perc_atleast_1itn_2pple,58.6
Siaya,Insecticide treated nets,no_hhs_1person_overnight,703
Kisumu,Insecticide treated nets,perc_atleast_1itn,76
Kisumu,Insecticide treated nets,avrg_itn_hh,1.5
Kisumu,Insecticide treated nets,perc_atleast_1itn_2pple,47
Kisumu,Insecticide treated nets,no_hhs_1person_overnight,888
Homa Bay,Insecticide treated nets,perc_atleast_1itn,89.2
Homa Bay,Insecticide treated nets,avrg_itn_hh,2.1
Homa Bay,Insecticide treated nets,perc_atleast_1itn_2pple,60.2
Homa Bay,Insecticide treated nets,no_hhs_1person_overnight,766
Migori,Insecticide treated nets,perc_atleast_1itn,87.7
Migori,Insecticide treated nets,avrg_itn_hh,2.1
Migori,Insecticide treated nets,perc_atleast_1itn_2pple,54.2
Migori,Insecticide treated nets,no_hhs_1person_overnight,706
Kisii,Insecticide treated nets,perc_atleast_1itn,85
Kisii,Insecticide treated nets,avrg_itn_hh,2.3
Kisii,Insecticide treated nets,perc_atleast_1itn_2pple,67.4
Kisii,Insecticide treated nets,no_hhs_1person_overnight,917
Nyamira,Insecticide treated nets,perc_atleast_1itn,93.6
Nyamira,Insecticide treated nets,avrg_itn_hh,2.6
Nyamira,Insecticide treated nets,perc_atleast_1itn_2pple,80
Nyamira,Insecticide treated nets,no_hhs_1person_overnight,422
Nairobi,Insecticide treated nets,perc_atleast_1itn,23.4
Nairobi,Insecticide treated nets,avrg_itn_hh,0.4
Nairobi,Insecticide treated nets,perc_atleast_1itn_2pple,14.3
Nairobi,Insecticide treated nets,no_hhs_1person_overnight,4691
Mombasa,Family planning,Contraceptive_use_any_method,46.7
Mombasa,Family planning,Contraceptive_use_modern_method,42.1
Mombasa,Family planning,Female_sterilization,0.8
Mombasa,Family planning,Male_sterilization,0
Mombasa,Family planning,IUD,3.7
Mombasa,Family planning,Injectables,16.6
Mombasa,Family planning,Implants,14.3
Mombasa,Family planning,Pill,3.8
Mombasa,Family planning,Male_condom,1.7
Mombasa,Family planning,Female_condom,0
Mombasa,Family planning,Emergency_contraception,0.2
Mombasa,Family planning,SDM,0.6
Mombasa,Family planning,LAM,0.3
Mombasa,Family planning,Other,0
Kwale,Family planning,Contraceptive_use_any_method,34.6
Kwale,Family planning,Contraceptive_use_modern_method,34.6
Kwale,Family planning,Female_sterilization,0.8
Kwale,Family planning,Male_sterilization,0
Kwale,Family planning,IUD,2.8
Kwale,Family planning,Injectables,18.2
Kwale,Family planning,Implants,9.6
Kwale,Family planning,Pill,2.3
Kwale,Family planning,Male_condom,0.3
Kwale,Family planning,Female_condom,0
Kwale,Family planning,Emergency_contraception,0
Kwale,Family planning,SDM,0.1
Kwale,Family planning,LAM,0.5
Kwale,Family planning,Other,0
Kilifi,Family planning,Contraceptive_use_any_method,48.6
Kilifi,Family planning,Contraceptive_use_modern_method,44.7
Kilifi,Family planning,Female_sterilization,1.6
Kilifi,Family planning,Male_sterilization,0
Kilifi,Family planning,IUD,2.1
Kilifi,Family planning,Injectables,17.4
Kilifi,Family planning,Implants,17.8
Kilifi,Family planning,Pill,3.7
Kilifi,Family planning,Male_condom,0.1
Kilifi,Family planning,Female_condom,0
Kilifi,Family planning,Emergency_contraception,0
Kilifi,Family planning,SDM,1.6
