County,indicator,indicator1,values
Bungoma,Child Vaccinations,CountyFullyVaccinated12,65.9
Bungoma,Child Vaccinations,CountyFullyVaccinated24,29.0
Busia,Child Vaccinations,CountyFullyVaccinated12,55.8
Busia,Child Vaccinations,CountyFullyVaccinated24,60.2
Siaya,Child Vaccinations,CountyFullyVaccinated12,69.9
Siaya,Child Vaccinations,CountyFullyVaccinated24,26.6
Kisumu,Child Vaccinations,CountyFullyVaccinated12,62.6
Kisumu,Child Vaccinations,CountyFullyVaccinated24,30.1
Homa Bay,Child Vaccinations,CountyFullyVaccinated12,52.6
Homa Bay,Child Vaccinations,CountyFullyVaccinated24,28.5
Migori,Child Vaccinations,CountyFullyVaccinated12,71.4
Migori,Child Vaccinations,CountyFullyVaccinated24,37.9
