"Background characteristics","Type of violence experienced","variable","value"
"Physical violence","..Kicked her, dragged her, or beat her up","Sometimes","5.7"
"Physical violence","..Tried to choke her or burn her on purpose","Sometimes","1.6"
"Physical violence","..Attacked her with a knife, gun, or other weapon","Sometimes","1.5"
"Sexual violence","Any sexual violence","Sometimes","5.3"
"Sexual violence","..Physically forced her to have sexual intercourse with him when she did not want to","Sometimes","4.8"
"Sexual violence","..Physically forced her to perform any other sexual acts she did not want to","Sometimes","1.9"
"Sexual violence","..Forced her with threats or in any other way to perform sexual acts she did not want to","Sometimes","1.4"
"Psychological/emotional violence","Any psychological/emotional violence","Sometimes","15.5"
"Psychological/emotional violence","..Said or did something to humiliate her in front of others","Sometimes","7.4"
"Psychological/emotional violence","..Threatened to hurt or harm her or someone she cared about","Sometimes","5.6"
"Psychological/emotional violence","..Insulted her or made her feel bad about herself","Sometimes","13.1"
"Economic violence","Restrict, exploit, or sabotage her ability to acquire or access or maintain economic resources","Sometimes","2.7"
"Economic violence","At least three forms of controlling behaviors","Sometimes","4.6"
"Economic violence","Any form of physical and/or sexual violence","Sometimes","13.9"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Sometimes","19.6"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Sometimes","19.3"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Sometimes","16.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Sometimes","7.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Sometimes","na"
