"Background characteristics","Category","Gender","variable","value"
"Number of reasons for which wife beating is justified","0","Female","Last 12 months","1.6"
"Number of reasons for which wife beating is justified","1","Female","Last 12 months","1.9"
"Number of reasons for which wife beating is justified","2","Female","Last 12 months","2.3"
"Number of reasons for which wife beating is justified","3","Female","Last 12 months","1.9"
"Father beat mother","Yes","Female","Last 12 months","2.7"
"Father beat mother","No","Female","Last 12 months","1.1"
"Father beat mother","Don't know","Female","Last 12 months","3.4"
"Mother beat father","Yes","Female","Last 12 months","9.8"
"Mother beat father","No","Female","Last 12 months","1.4"
"Mother beat father","Don't know","Female","Last 12 months","3.1"
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Female","Last 12 months","2.4"
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Female","Last 12 months","3.2"
"Respondent afraid of spouse/intimate partner","Never afraid","Female","Last 12 months","1.3"
"Spouse's/intimate partner's alcohol consumption","Does not drink alcohol","Male","Last 12 months","10.1"
"Spouse's/intimate partner's alcohol consumption","Drinks alcohol but is never drunk","Male","Last 12 months","13.6"
"Spouse's/intimate partner's alcohol consumption","Is sometimes drunk","Male","Last 12 months","14.6"
"Spouse's/intimate partner's alcohol consumption","Is often drunk","Male","Last 12 months","24.4"
"Husband's education","No education","Male","Last 12 months","na"
"Husband's education","Primary","Male","Last 12 months","na"
"Husband's education","Secondary","Male","Last 12 months","na"
"Husband's education","More than secondary","Male","Last 12 months","na"
"Husband's education","DK/missing","Male","Last 12 months","na"
"Spousal education difference","Husband better educated","Male","Last 12 months","na"
"Spousal education difference","Wife better educated","Male","Last 12 months","na"
"Spousal education difference","Both equally educated","Male","Last 12 months","na"
"Spousal education difference","Neither educated","Male","Last 12 months","na"
"Spousal age difference","Wife older","Male","Last 12 months","na"
"Spousal age difference","Wife is same age","Male","Last 12 months","na"
"Spousal age difference","Wife 1-4 years younger","Male","Last 12 months","na"
"Spousal age difference","Wife 5-9 years younger","Male","Last 12 months","na"
"Spousal age difference","Wife 10 or more years younger","Male","Last 12 months","na"
"Number of decisions in which he/she participates","0","Male","Last 12 months","12.5"
"Number of decisions in which he/she participates","1","Male","Last 12 months","12.6"
"Number of decisions in which he/she participates","2","Male","Last 12 months","-"
"Number of controlling behaviors
displayed by spouse/intimate partner","0","Male","Last 12 months","4.5"
"Number of controlling behaviors
displayed by spouse/intimate partner","1-2","Male","Last 12 months","9.2"
"Number of controlling behaviors
displayed by spouse/intimate partner","3-4","Male","Last 12 months","18.2"
"Number of controlling behaviors
displayed by spouse/intimate partner","5","Male","Last 12 months","14.1"
"Number of reasons for which wife beating is justified","0","Male","Last 12 months","6.4"
"Number of reasons for which wife beating is justified","1","Male","Last 12 months","19.8"
"Number of reasons for which wife beating is justified","2","Male","Last 12 months","22.1"
"Number of reasons for which wife beating is justified","3","Male","Last 12 months","17.8"
"Father beat mother","Yes","Male","Last 12 months","16.5"
"Father beat mother","No","Male","Last 12 months","6.6"
"Father beat mother","Don't know","Male","Last 12 months","7.2"
"Mother beat father","Yes","Male","Last 12 months","16.8"
"Mother beat father","No","Male","Last 12 months","10.3"
"Mother beat father","Don't know","Male","Last 12 months","7.8"
"Respondent afraid of spouse/intimate partner","Most of the time afraid","Male","Last 12 months","28.8"
"Respondent afraid of spouse/intimate partner","Sometimes afraid","Male","Last 12 months","17.4"
"Respondent afraid of spouse/intimate partner","Never afraid","Male","Last 12 months","9.6"
