Background characteristics,Category,Gender,variable,value
Type of violence experienced,Sexual only,Male,"Know where or from whom to seek help if
ever experienced violence",0
Type of violence experienced,Both physical and sexual,Male,"Know where or from whom to seek help if
ever experienced violence",1.7
Age,20-24,Male,"Know where or from whom to seek help if
ever experienced violence",3.5
Age,30-39,Male,"Know where or from whom to seek help if
ever experienced violence",1
Residence,Urban,Male,"Know where or from whom to seek help if
ever experienced violence",0.6
Residence,Rural,Male,"Know where or from whom to seek help if
ever experienced violence",1.7
Marital status,Never married,Male,"Know where or from whom to seek help if
ever experienced violence",0
Marital status,Ever married,Male,"Know where or from whom to seek help if
ever experienced violence",2
Marital status,Married/living together,Male,"Know where or from whom to seek help if
ever experienced violence",0.6
Employment,Employed for cash,Male,"Know where or from whom to seek help if
ever experienced violence",1.6
Education,Primary,Male,"Know where or from whom to seek help if
ever experienced violence",2.9
Education,Secondary,Male,"Know where or from whom to seek help if
ever experienced violence",0.4
Wealth quintile,Middle,Male,"Know where or from whom to seek help if
ever experienced violence",0.9
Wealth quintile,Fourth,Male,"Know where or from whom to seek help if
ever experienced violence",0
Type of violence experienced,Physical only,Female,Sought help to stop violence,37.9
Type of violence experienced,Sexual only,Female,Sought help to stop violence,29.3
Type of violence experienced,Both physical and sexual,Female,Sought help to stop violence,55.3
Age,15-19,Female,Sought help to stop violence,28.5
Age,20-24,Female,Sought help to stop violence,38.7
Age,25-29,Female,Sought help to stop violence,39.8
Age,30-39,Female,Sought help to stop violence,44.6
Age,40-49,Female,Sought help to stop violence,47.7
Residence,Urban,Female,Sought help to stop violence,43.6
Residence,Rural,Female,Sought help to stop violence,40.3
Marital status,Never married,Female,Sought help to stop violence,32.7
Marital status,Never ever had intimate partner,Female,Sought help to stop violence,30.5
Marital status,Ever had intimate partner,Female,Sought help to stop violence,33.4
Marital status,Ever married,Female,Sought help to stop violence,43.9
Marital status,Married/living together,Female,Sought help to stop violence,40.7
Marital status,Divorced/separated/widowed,Female,Sought help to stop violence,53.7
Employment,Employed for cash,Female,Sought help to stop violence,45.6
Employment,Employed not for cash,Female,Sought help to stop violence,42.9
Employment,Not employed,Female,Sought help to stop violence,33.2
Education,No education,Female,Sought help to stop violence,29.6
Education,Primary,Female,Sought help to stop violence,44
Education,Secondary,Female,Sought help to stop violence,40.8
Education,More than secondary,Female,Sought help to stop violence,40
Wealth quintile,Lowest,Female,Sought help to stop violence,38.9
Wealth quintile,Second,Female,Sought help to stop violence,38.7
Wealth quintile,Middle,Female,Sought help to stop violence,43.4
Wealth quintile,Fourth,Female,Sought help to stop violence,41.7
Wealth quintile,Highest,Female,Sought help to stop violence,44.3
Type of violence experienced,Physical only,Male,Sought help to stop violence,28.8
Type of violence experienced,Sexual only,Male,Sought help to stop violence,20.2
Type of violence experienced,Both physical and sexual,Male,Sought help to stop violence,40.4
Age,15-19,Male,Sought help to stop violence,24
Age,20-24,Male,Sought help to stop violence,28
Age,25-29,Male,Sought help to stop violence,34.5
Age,30-39,Male,Sought help to stop violence,28.6
Age,40-49,Male,Sought help to stop violence,34
Residence,Urban,Male,Sought help to stop violence,30.2
Residence,Rural,Male,Sought help to stop violence,28.8
Marital status,Never married,Male,Sought help to stop violence,24.5
Marital status,Never ever had intimate partner,Male,Sought help to stop violence,22.9
Marital status,Ever had intimate partner,Male,Sought help to stop violence,26
Marital status,Ever married,Male,Sought help to stop violence,33.9
Marital status,Married/living together,Male,Sought help to stop violence,33.5
Marital status,Divorced/separated/widowed,Male,Sought help to stop violence,35.3
Employment,Employed for cash,Male,Sought help to stop violence,32.5
Employment,Employed not for cash,Male,Sought help to stop violence,24.4
Employment,Not employed,Male,Sought help to stop violence,18.3
Education,No education,Male,Sought help to stop violence,17.8
Education,Primary,Male,Sought help to stop violence,32.7
Education,Secondary,Male,Sought help to stop violence,26.3
Education,More than secondary,Male,Sought help to stop violence,30.3
Wealth quintile,Lowest,Male,Sought help to stop violence,29.1
Wealth quintile,Second,Male,Sought help to stop violence,34.9
Wealth quintile,Middle,Male,Sought help to stop violence,25.2
Wealth quintile,Fourth,Male,Sought help to stop violence,30.9
Wealth quintile,Highest,Male,Sought help to stop violence,26.6
Type of violence experienced,Physical only,Female,Never sought help but told someone,16.4
Type of violence experienced,Sexual only,Female,Never sought help but told someone,19.9
Type of violence experienced,Both physical and sexual,Female,Never sought help but told someone,15.9
Age,15-19,Female,Never sought help but told someone,15.3
Age,20-24,Female,Never sought help but told someone,16.8
Age,25-29,Female,Never sought help but told someone,17.6
Age,30-39,Female,Never sought help but told someone,18.2
Age,40-49,Female,Never sought help but told someone,14
Residence,Urban,Female,Never sought help but told someone,18.2
Residence,Rural,Female,Never sought help but told someone,15.7
Marital status,Never married,Female,Never sought help but told someone,19.4
Marital status,Never ever had intimate partner,Female,Never sought help but told someone,19.2
Marital status,Ever had intimate partner,Female,Never sought help but told someone,19.5
Marital status,Ever married,Female,Never sought help but told someone,15.9
Marital status,Married/living together,Female,Never sought help but told someone,15.3
Marital status,Divorced/separated/widowed,Female,Never sought help but told someone,17.6
Employment,Employed for cash,Female,Never sought help but told someone,17
Employment,Employed not for cash,Female,Never sought help but told someone,15.6
Employment,Not employed,Female,Never sought help but told someone,16.4
Education,No education,Female,Never sought help but told someone,12.5
Education,Primary,Female,Never sought help but told someone,15.4
Education,Secondary,Female,Never sought help but told someone,16.3
Education,More than secondary,Female,Never sought help but told someone,22.6
Wealth quintile,Lowest,Female,Never sought help but told someone,13.4
Wealth quintile,Second,Female,Never sought help but told someone,17.9
Wealth quintile,Middle,Female,Never sought help but told someone,15.6
Wealth quintile,Fourth,Female,Never sought help but told someone,16.2
Wealth quintile,Highest,Female,Never sought help but told someone,19.4
Type of violence experienced,Physical only,Male,Never sought help but told someone,13
Type of violence experienced,Sexual only,Male,Never sought help but told someone,9.8
Type of violence experienced,Both physical and sexual,Male,Never sought help but told someone,10.8
Age,15-19,Male,Never sought help but told someone,11.3
Age,20-24,Male,Never sought help but told someone,11.1
Age,25-29,Male,Never sought help but told someone,13.2
Age,30-39,Male,Never sought help but told someone,12.1
Age,40-49,Male,Never sought help but told someone,15.5
Residence,Urban,Male,Never sought help but told someone,12.1
Residence,Rural,Male,Never sought help but told someone,12.8
Marital status,Never married,Male,Never sought help but told someone,12.7
Marital status,Never ever had intimate partner,Male,Never sought help but told someone,10.5
Marital status,Ever had intimate partner,Male,Never sought help but told someone,14.7
Marital status,Ever married,Male,Never sought help but told someone,12.4
Marital status,Married/living together,Male,Never sought help but told someone,12.3
Marital status,Divorced/separated/widowed,Male,Never sought help but told someone,12.9
Employment,Employed for cash,Male,Never sought help but told someone,12.8
Employment,Employed not for cash,Male,Never sought help but told someone,16.2
Employment,Not employed,Male,Never sought help but told someone,10.6
Education,No education,Male,Never sought help but told someone,14.3
Education,Primary,Male,Never sought help but told someone,15
Education,Secondary,Male,Never sought help but told someone,11.2
Education,More than secondary,Male,Never sought help but told someone,10.7
Wealth quintile,Lowest,Male,Never sought help but told someone,16.2
Wealth quintile,Second,Male,Never sought help but told someone,13.6
Wealth quintile,Middle,Male,Never sought help but told someone,12.5
Wealth quintile,Fourth,Male,Never sought help but told someone,12
Wealth quintile,Highest,Male,Never sought help but told someone,9.8
Type of violence experienced,Physical only,Female,"Never sought help, never told anyone",45.6
Type of violence experienced,Sexual only,Female,"Never sought help, never told anyone",50.7
Type of violence experienced,Both physical and sexual,Female,"Never sought help, never told anyone",28.9
Age,15-19,Female,"Never sought help, never told anyone",56.2
Age,20-24,Female,"Never sought help, never told anyone",44.5
Age,25-29,Female,"Never sought help, never told anyone",42.5
Age,30-39,Female,"Never sought help, never told anyone",37.2
Age,40-49,Female,"Never sought help, never told anyone",38.3
Residence,Urban,Female,"Never sought help, never told anyone",38.2
Residence,Rural,Female,"Never sought help, never told anyone",44
Marital status,Never married,Female,"Never sought help, never told anyone",47.9
Marital status,Never ever had intimate partner,Female,"Never sought help, never told anyone",50.3
Marital status,Ever had intimate partner,Female,"Never sought help, never told anyone",47.1
Marital status,Ever married,Female,"Never sought help, never told anyone",40.2
Marital status,Married/living together,Female,"Never sought help, never told anyone",43.9
Marital status,Divorced/separated/widowed,Female,"Never sought help, never told anyone",28.7
Employment,Employed for cash,Female,"Never sought help, never told anyone",37.5
Employment,Employed not for cash,Female,"Never sought help, never told anyone",41.5
Employment,Not employed,Female,"Never sought help, never told anyone",50.4
Education,No education,Female,"Never sought help, never told anyone",57.8
Education,Primary,Female,"Never sought help, never told anyone",40.6
Education,Secondary,Female,"Never sought help, never told anyone",42.9
Education,More than secondary,Female,"Never sought help, never told anyone",37.4
Wealth quintile,Lowest,Female,"Never sought help, never told anyone",47.7
Wealth quintile,Second,Female,"Never sought help, never told anyone",43.4
Wealth quintile,Middle,Female,"Never sought help, never told anyone",41
Wealth quintile,Fourth,Female,"Never sought help, never told anyone",42
Wealth quintile,Highest,Female,"Never sought help, never told anyone",36.3
Type of violence experienced,Physical only,Male,"Never sought help, never told anyone",58.2
Type of violence experienced,Sexual only,Male,"Never sought help, never told anyone",70.1
Type of violence experienced,Both physical and sexual,Male,"Never sought help, never told anyone",48.8
Age,15-19,Male,"Never sought help, never told anyone",64.7
Age,20-24,Male,"Never sought help, never told anyone",60.9
Age,25-29,Male,"Never sought help, never told anyone",52.3
Age,30-39,Male,"Never sought help, never told anyone",59.3
Age,40-49,Male,"Never sought help, never told anyone",50.5
Residence,Urban,Male,"Never sought help, never told anyone",57.7
Residence,Rural,Male,"Never sought help, never told anyone",58.4
Marital status,Never married,Male,"Never sought help, never told anyone",62.8
Marital status,Never ever had intimate partner,Male,"Never sought help, never told anyone",66.6
Marital status,Ever had intimate partner,Male,"Never sought help, never told anyone",59.3
Marital status,Ever married,Male,"Never sought help, never told anyone",53.7
Marital status,Married/living together,Male,"Never sought help, never told anyone",54.2
Marital status,Divorced/separated/widowed,Male,"Never sought help, never told anyone",51.8
Employment,Employed for cash,Male,"Never sought help, never told anyone",54.7
Employment,Employed not for cash,Male,"Never sought help, never told anyone",59.4
Employment,Not employed,Male,"Never sought help, never told anyone",71.1
Education,No education,Male,"Never sought help, never told anyone",67.9
Education,Primary,Male,"Never sought help, never told anyone",52.3
Education,Secondary,Male,"Never sought help, never told anyone",62.5
Education,More than secondary,Male,"Never sought help, never told anyone",59
Wealth quintile,Lowest,Male,"Never sought help, never told anyone",54.7
Wealth quintile,Second,Male,"Never sought help, never told anyone",51.5
Wealth quintile,Middle,Male,"Never sought help, never told anyone",62.3
Wealth quintile,Fourth,Male,"Never sought help, never told anyone",57.1
Wealth quintile,Highest,Male,"Never sought help, never told anyone",63.6
