"Background characteristics","Type of violence experienced","variable","value"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Experienced in the last 12 months","4.7"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Experienced in the last 12 months","19.3"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Experienced in the last 12 months","7.5"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Experienced in the last 12 months","8.4"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Experienced in the last 12 months","22.4"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Experienced in the last 12 months","28.9"
"Controlling behavior","Any controlling behavior","Often","27.3"
"Controlling behavior","..Is jealous or angry if he talks to other women","Often","15.0"
"Controlling behavior","..Wrongly accuses him of being unfaithful","Often","6.5"
"Controlling behavior","..Does not permit him to meet him male friends","Often","4.1"
"Controlling behavior","..Tries to limit him contact with his family","Often","0.8"
"Controlling behavior","..Insists on knowing where he is at all times","Often","15.9"
"Physical violence","Any physical violence","Often","0.7"
"Physical violence","..Pushed him, shook him, or threw something at him","Often","0.3"
"Physical violence","..Slapped him","Often","0.1"
"Physical violence","..Twisted his arm or pulled his hair","Often","0.4"
"Physical violence","..Punched him with her fist or with something that could hurt him","Often","0.1"
"Physical violence","..Kicked him, dragged him, or beat him up","Often","0.1"
"Physical violence","..Tried to choke him or burn him on purpose","Often","0.0"
"Physical violence","..Attacked him with a knife, gun, or other weapon","Often","0.0"
"Sexual violence","Any sexual violence","Often","0.6"
"Sexual violence","..Physically forced him to have sexual intercourse with her when he did not want to","Often","0.3"
"Sexual violence","..Physically forced him to perform any other sexual acts he did not want to","Often","0.3"
"Sexual violence","..Forced him with threats or in any other way to perform sexual acts he did not want to","Often","0.2"
"Psychological/emotional violence","Any psychological/emotional violence","Often","2.9"
"Psychological/emotional violence","..Said or did something to humiliate him in front of others","Often","1.5"
"Psychological/emotional violence","..Threatened to hurt or harm him or someone he cared about","Often","0.4"
"Psychological/emotional violence","..Insulted him or made him feel bad about himself","Often","1.5"
"Economic violence","Restrict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Often","0.5"
"Economic violence","At least three forms of controlling behaviors","Often","15.3"
"Economic violence","Any form of physical and/or sexual violence","Often","1.1"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Often","3.6"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Often","7.7"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Often","0.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Often","0.0"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Often","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Often","na"
"Controlling behavior","Any controlling behavior","Sometimes","36.8"
"Controlling behavior","..Is jealous or angry if he talks to other women","Sometimes","39.0"
"Controlling behavior","..Wrongly accuses him of being unfaithful","Sometimes","26.8"
"Controlling behavior","..Does not permit him to meet him male friends","Sometimes","10.0"
"Controlling behavior","..Tries to limit him contact with his family","Sometimes","4.3"
"Controlling behavior","..Insists on knowing where he is at all times","Sometimes","18.5"
"Physical violence","Any physical violence","Sometimes","4.7"
"Physical violence","..Pushed him, shook him, or threw something at him","Sometimes","2.9"
"Physical violence","..Slapped him","Sometimes","1.9"
"Physical violence","..Twisted his arm or pulled his hair","Sometimes","1.0"
"Physical violence","..Punched him with her fist or with something that could hurt him","Sometimes","0.9"
"Physical violence","..Kicked him, dragged him, or beat him up","Sometimes","0.4"
"Physical violence","..Tried to choke him or burn him on purpose","Sometimes","0.4"
"Physical violence","..Attacked him with a knife, gun, or other weapon","Sometimes","0.5"
"Sexual violence","Any sexual violence","Sometimes","3.7"
"Sexual violence","..Physically forced him to have sexual intercourse with her when he did not want to","Sometimes","2.8"
"Sexual violence","..Physically forced him to perform any other sexual acts he did not want to","Sometimes","1.2"
"Sexual violence","..Forced him with threats or in any other way to perform sexual acts he did not want to","Sometimes","0.8"
"Psychological/emotional violence","Any psychological/emotional violence","Sometimes","16.3"
"Psychological/emotional violence","..Said or did something to humiliate him in front of others","Sometimes","8.6"
"Psychological/emotional violence","..Threatened to hurt or harm him or someone he cared about","Sometimes","3.1"
"Psychological/emotional violence","..Insulted him or made him feel bad about himself","Sometimes","9.4"
"Economic violence","Restrict, exploit, or sabotage his ability to acquire or access or maintain economic resources","Sometimes","1.0"
"Economic violence","At least three forms of controlling behaviors","Sometimes","10.1"
"Economic violence","Any form of physical and/or sexual violence","Sometimes","6.8"
"Economic violence","Any form of  psychological/emotional or physical or sexual violence","Sometimes","18.3"
"Economic violence","Any form of economic, psychological/emotional or physical or sexual violence","Sometimes","20.1"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Physical violence","Sometimes","5.4"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Sexual violence","Sometimes","4.7"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Psychological/emotional violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Economic violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of physical or sexual violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of emotional or physical or sexual violence","Sometimes","na"
"Intimate-partner violence perpetrated by any current or previous spouse or intimate partner
","Any form of economic, psychological/emotional or physical or sexual violence","Sometimes","na"
