Background characteristics,Type of violence experienced,variable,value,Gender
Controlling behavior,Does not permit him to meet him male friends,Experienced in the last 12 months,14.1,Male
Controlling behavior,Tries to limit him contact with his family,Experienced in the last 12 months,5,Male
Controlling behavior,Insists on knowing where he is at all times,Experienced in the last 12 months,34.4,Male
Physical violence,y physical violence,Experienced in the last 12 months,5.5,Male
Physical violence,"Pushed him, shook him, or threw something at him",Experienced in the last 12 months,3.2,Male
Physical violence,Slapped him,Experienced in the last 12 months,2,Male
Physical violence,Twisted his arm or pulled his hair,Experienced in the last 12 months,1.4,Male
Physical violence,Punched him with her fist or with something that could hurt him,Experienced in the last 12 months,1,Male
Physical violence,"Kicked him, dragged him, or beat him up",Experienced in the last 12 months,0.5,Male
Physical violence,Tried to choke him or burn him on purpose,Experienced in the last 12 months,0.4,Male
Physical violence,"Attacked him with a knife, gun, or other weapon",Experienced in the last 12 months,0.5,Male
Sexual violence,y sexual violence,Experienced in the last 12 months,4.3,Male
Sexual violence,Physically forced him to have sexual intercourse with her when he did not want to,Experienced in the last 12 months,3.1,Male
Sexual violence,Physically forced him to perform any other sexual acts he did not want to,Experienced in the last 12 months,1.5,Male
Sexual violence,Forced him with threats or in any other way to perform sexual acts he did not want to,Experienced in the last 12 months,1,Male
Psychological/emotional violence,y psychological/emotional violence,Experienced in the last 12 months,19.3,Male
Psychological/emotional violence,Said or did something to humiliate him in front of others,Experienced in the last 12 months,10.1,Male
Psychological/emotional violence,Threatened to hurt or harm him or someone he cared about,Experienced in the last 12 months,3.4,Male
Psychological/emotional violence,Insulted him or made him feel bad about himself,Experienced in the last 12 months,11,Male
Economic violence,"strict, exploit, or sabotage his ability to acquire or access or maintain economic resources",Experienced in the last 12 months,1.5,Male
Economic violence, least three forms of controlling behaviors,Experienced in the last 12 months,25.4,Male
Economic violence,y form of physical and/or sexual violence,Experienced in the last 12 months,7.9,Male
Economic violence,y form of  psychological/emotional or physical or sexual violence,Experienced in the last 12 months,21.9,Male
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Experienced in the last 12 months,27.8,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Experienced in the last 12 months,5.4,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Experienced in the last 12 months,4.7,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Experienced in the last 12 months,19.3,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Experienced in the last 12 months,7.5,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Experienced in the last 12 months,8.4,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Experienced in the last 12 months,22.4,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Experienced in the last 12 months,28.9,Male
Controlling behavior,y controlling behavior,Often,27.3,Male
Controlling behavior,Is jealous or angry if he talks to other women,Often,15,Male
Controlling behavior,Wrongly accuses him of being unfaithful,Often,6.5,Male
Controlling behavior,Does not permit him to meet him male friends,Often,4.1,Male
Controlling behavior,Tries to limit him contact with his family,Often,0.8,Male
Controlling behavior,Insists on knowing where he is at all times,Often,15.9,Male
Physical violence,y physical violence,Often,0.7,Male
Physical violence,"Pushed him, shook him, or threw something at him",Often,0.3,Male
Physical violence,Slapped him,Often,0.1,Male
Physical violence,Twisted his arm or pulled his hair,Often,0.4,Male
Physical violence,Punched him with her fist or with something that could hurt him,Often,0.1,Male
Physical violence,"Kicked him, dragged him, or beat him up",Often,0.1,Male
Physical violence,Tried to choke him or burn him on purpose,Often,0,Male
Physical violence,"Attacked him with a knife, gun, or other weapon",Often,0,Male
Sexual violence,y sexual violence,Often,0.6,Male
Sexual violence,Physically forced him to have sexual intercourse with her when he did not want to,Often,0.3,Male
Sexual violence,Physically forced him to perform any other sexual acts he did not want to,Often,0.3,Male
Sexual violence,Forced him with threats or in any other way to perform sexual acts he did not want to,Often,0.2,Male
Psychological/emotional violence,y psychological/emotional violence,Often,2.9,Male
Psychological/emotional violence,Said or did something to humiliate him in front of others,Often,1.5,Male
Psychological/emotional violence,Threatened to hurt or harm him or someone he cared about,Often,0.4,Male
Psychological/emotional violence,Insulted him or made him feel bad about himself,Often,1.5,Male
Economic violence,"strict, exploit, or sabotage his ability to acquire or access or maintain economic resources",Often,0.5,Male
Economic violence, least three forms of controlling behaviors,Often,15.3,Male
Economic violence,y form of physical and/or sexual violence,Often,1.1,Male
Economic violence,y form of  psychological/emotional or physical or sexual violence,Often,3.6,Male
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Often,7.7,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Often,0,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Often,0,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Often,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Often,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Often,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Often,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Often,NA,Male
Controlling behavior,y controlling behavior,Sometimes,36.8,Male
Controlling behavior,Is jealous or angry if he talks to other women,Sometimes,39,Male
Controlling behavior,Wrongly accuses him of being unfaithful,Sometimes,26.8,Male
Controlling behavior,Does not permit him to meet him male friends,Sometimes,10,Male
Controlling behavior,Tries to limit him contact with his family,Sometimes,4.3,Male
Controlling behavior,Insists on knowing where he is at all times,Sometimes,18.5,Male
Physical violence,y physical violence,Sometimes,4.7,Male
Physical violence,"Pushed him, shook him, or threw something at him",Sometimes,2.9,Male
Physical violence,Slapped him,Sometimes,1.9,Male
Physical violence,Twisted his arm or pulled his hair,Sometimes,1,Male
Physical violence,Punched him with her fist or with something that could hurt him,Sometimes,0.9,Male
Physical violence,"Kicked him, dragged him, or beat him up",Sometimes,0.4,Male
Physical violence,Tried to choke him or burn him on purpose,Sometimes,0.4,Male
Physical violence,"Attacked him with a knife, gun, or other weapon",Sometimes,0.5,Male
Sexual violence,y sexual violence,Sometimes,3.7,Male
Sexual violence,Physically forced him to have sexual intercourse with her when he did not want to,Sometimes,2.8,Male
Sexual violence,Physically forced him to perform any other sexual acts he did not want to,Sometimes,1.2,Male
Sexual violence,Forced him with threats or in any other way to perform sexual acts he did not want to,Sometimes,0.8,Male
Psychological/emotional violence,y psychological/emotional violence,Sometimes,16.3,Male
Psychological/emotional violence,Said or did something to humiliate him in front of others,Sometimes,8.6,Male
Psychological/emotional violence,Threatened to hurt or harm him or someone he cared about,Sometimes,3.1,Male
Psychological/emotional violence,Insulted him or made him feel bad about himself,Sometimes,9.4,Male
Economic violence,"strict, exploit, or sabotage his ability to acquire or access or maintain economic resources",Sometimes,1,Male
Economic violence, least three forms of controlling behaviors,Sometimes,10.1,Male
Economic violence,y form of physical and/or sexual violence,Sometimes,6.8,Male
Economic violence,y form of  psychological/emotional or physical or sexual violence,Sometimes,18.3,Male
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Sometimes,20.1,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Sometimes,5.4,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Sometimes,4.7,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Sometimes,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Sometimes,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Sometimes,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Sometimes,NA,Male
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Sometimes,NA,Male
Controlling behavior,y controlling behavior,Ever experienced,62,Female
Controlling behavior,Is jealous or angry if she talks to other men,Ever experienced,52.4,Female
Controlling behavior,Wrongly accuses her of being unfaithful,Ever experienced,20.8,Female
Controlling behavior,Does not permit her to meet her female friends,Ever experienced,15.6,Female
Controlling behavior,Tries to limit her contact with her family,Ever experienced,9.1,Female
Controlling behavior,Insists on knowing where she is at all times,Ever experienced,34.5,Female
Physical violence,y physical violence,Ever experienced,27.8,Female
Physical violence,"Pushed her, shook her, or threw something at her",Ever experienced,13.2,Female
Physical violence,Slapped her,Ever experienced,22.9,Female
Physical violence,Twisted her arm or pulled her hair,Ever experienced,7.6,Female
Physical violence,Punched her with his fist or with something that could hurt her,Ever experienced,10.6,Female
Physical violence,"Kicked her, dragged her, or beat her up",Ever experienced,13.7,Female
Physical violence,Tried to choke her or burn her on purpose,Ever experienced,3.5,Female
Physical violence,"Attacked her with a knife, gun, or other weapon",Ever experienced,3.9,Female
Sexual violence,y sexual violence,Ever experienced,10.3,Female
Sexual violence,Physically forced her to have sexual intercourse with him when she did not want to,Ever experienced,9.5,Female
Sexual violence,Physically forced her to perform any other sexual acts she did not want to,Ever experienced,3.7,Female
Sexual violence,Forced her with threats or in any other way to perform sexual acts she did not want to,Ever experienced,2.8,Female
Psychological/emotional violence,y psychological/emotional violence,Ever experienced,29.9,Female
Psychological/emotional violence,Said or did something to humiliate her in front of others,Ever experienced,15.4,Female
Psychological/emotional violence,Threatened to hurt or harm her or someone she cared about,Ever experienced,12.1,Female
Psychological/emotional violence,Insulted her or made her feel bad about herself,Ever experienced,24.8,Female
Economic violence,"strict, exploit, or sabotage her ability to acquire or access or maintain economic resources",Ever experienced,10.7,Female
Economic violence, least three forms of controlling behaviors,Ever experienced,19.9,Female
Economic violence,y form of physical and/or sexual violence,Ever experienced,30.6,Female
Economic violence,y form of  psychological/emotional or physical or sexual violence,Ever experienced,39.6,Female
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Ever experienced,41.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Ever experienced,31,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Ever experienced,12.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Ever experienced,32,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Ever experienced,10.7,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Ever experienced,34.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Ever experienced,43,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Ever experienced,44.5,Female
Controlling behavior,y controlling behavior,Experienced in the last 12 months,51.3,Female
Controlling behavior,Is jealous or angry if she talks to other men,Experienced in the last 12 months,41.1,Female
Controlling behavior,Wrongly accuses her of being unfaithful,Experienced in the last 12 months,15.4,Female
Controlling behavior,Does not permit her to meet her female friends,Experienced in the last 12 months,12,Female
Controlling behavior,Tries to limit her contact with her family,Experienced in the last 12 months,6.5,Female
Controlling behavior,Insists on knowing where she is at all times,Experienced in the last 12 months,29,Female
Physical violence,y physical violence,Experienced in the last 12 months,15.8,Female
Physical violence,"Pushed her, shook her, or threw something at her",Experienced in the last 12 months,8,Female
Physical violence,Slapped her,Experienced in the last 12 months,12.3,Female
Physical violence,Twisted her arm or pulled her hair,Experienced in the last 12 months,4.7,Female
Physical violence,Punched her with his fist or with something that could hurt her,Experienced in the last 12 months,6,Female
Physical violence,"Kicked her, dragged her, or beat her up",Experienced in the last 12 months,7.5,Female
Physical violence,Tried to choke her or burn her on purpose,Experienced in the last 12 months,2.2,Female
Physical violence,"Attacked her with a knife, gun, or other weapon",Experienced in the last 12 months,2,Female
Sexual violence,y sexual violence,Experienced in the last 12 months,7,Female
Sexual violence,Physically forced her to have sexual intercourse with him when she did not want to,Experienced in the last 12 months,6.2,Female
Sexual violence,Physically forced her to perform any other sexual acts she did not want to,Experienced in the last 12 months,2.6,Female
Sexual violence,Forced her with threats or in any other way to perform sexual acts she did not want to,Experienced in the last 12 months,1.9,Female
Psychological/emotional violence,y psychological/emotional violence,Experienced in the last 12 months,22,Female
Psychological/emotional violence,Said or did something to humiliate her in front of others,Experienced in the last 12 months,10.4,Female
Psychological/emotional violence,Threatened to hurt or harm her or someone she cared about,Experienced in the last 12 months,8,Female
Psychological/emotional violence,Insulted her or made her feel bad about herself,Experienced in the last 12 months,18.2,Female
Economic violence,"strict, exploit, or sabotage her ability to acquire or access or maintain economic resources",Experienced in the last 12 months,5,Female
Economic violence, least three forms of controlling behaviors,Experienced in the last 12 months,16.3,Female
Economic violence,y form of physical and/or sexual violence,Experienced in the last 12 months,18.6,Female
Economic violence,y form of  psychological/emotional or physical or sexual violence,Experienced in the last 12 months,27.9,Female
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Experienced in the last 12 months,29.2,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Experienced in the last 12 months,16,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Experienced in the last 12 months,7.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Experienced in the last 12 months,22.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Experienced in the last 12 months,7.3,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Experienced in the last 12 months,18.8,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Experienced in the last 12 months,28.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Experienced in the last 12 months,30.8,Female
Controlling behavior,y controlling behavior,Often,25.2,Female
Controlling behavior,Is jealous or angry if she talks to other men,Often,14.7,Female
Controlling behavior,Wrongly accuses her of being unfaithful,Often,4.5,Female
Controlling behavior,Does not permit her to meet her female friends,Often,4.7,Female
Controlling behavior,Tries to limit her contact with her family,Often,2.6,Female
Controlling behavior,Insists on knowing where she is at all times,Often,15.6,Female
Physical violence,y physical violence,Often,3.9,Female
Physical violence,"Pushed her, shook her, or threw something at her",Often,1.9,Female
Physical violence,Slapped her,Often,2.5,Female
Physical violence,Twisted her arm or pulled her hair,Often,1.2,Female
Physical violence,Punched her with his fist or with something that could hurt her,Often,1.6,Female
Physical violence,"Kicked her, dragged her, or beat her up",Often,1.8,Female
Physical violence,Tried to choke her or burn her on purpose,Often,0.6,Female
Physical violence,"Attacked her with a knife, gun, or other weapon",Often,0.6,Female
Sexual violence,y sexual violence,Often,1.7,Female
Sexual violence,Physically forced her to have sexual intercourse with him when she did not want to,Often,1.5,Female
Sexual violence,Physically forced her to perform any other sexual acts she did not want to,Often,0.7,Female
Sexual violence,Forced her with threats or in any other way to perform sexual acts she did not want to,Often,0.5,Female
Psychological/emotional violence,y psychological/emotional violence,Often,6.5,Female
Psychological/emotional violence,Said or did something to humiliate her in front of others,Often,2.9,Female
Psychological/emotional violence,Threatened to hurt or harm her or someone she cared about,Often,2.4,Female
Psychological/emotional violence,Insulted her or made her feel bad about herself,Often,5,Female
Economic violence,"strict, exploit, or sabotage her ability to acquire or access or maintain economic resources",Often,2.2,Female
Economic violence, least three forms of controlling behaviors,Often,11.7,Female
Economic violence,y form of physical and/or sexual violence,Often,4.7,Female
Economic violence,y form of  psychological/emotional or physical or sexual violence,Often,8.3,Female
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Often,10,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Often,0,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Often,0,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Often,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Often,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Often,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Often,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Often,NA,Female
Controlling behavior,y controlling behavior,Sometimes,26.1,Female
Controlling behavior,Is jealous or angry if she talks to other men,Sometimes,26.4,Female
Controlling behavior,Wrongly accuses her of being unfaithful,Sometimes,10.9,Female
Controlling behavior,Does not permit her to meet her female friends,Sometimes,7.3,Female
Controlling behavior,Tries to limit her contact with her family,Sometimes,3.8,Female
Controlling behavior,Insists on knowing where she is at all times,Sometimes,13.4,Female
Physical violence,y physical violence,Sometimes,11.9,Female
Physical violence,"Pushed her, shook her, or threw something at her",Sometimes,6.1,Female
Physical violence,Slapped her,Sometimes,9.8,Female
Physical violence,Twisted her arm or pulled her hair,Sometimes,3.5,Female
Physical violence,Punched her with his fist or with something that could hurt her,Sometimes,4.4,Female
Physical violence,"Kicked her, dragged her, or beat her up",Sometimes,5.7,Female
Physical violence,Tried to choke her or burn her on purpose,Sometimes,1.6,Female
Physical violence,"Attacked her with a knife, gun, or other weapon",Sometimes,1.5,Female
Sexual violence,y sexual violence,Sometimes,5.3,Female
Sexual violence,Physically forced her to have sexual intercourse with him when she did not want to,Sometimes,4.8,Female
Sexual violence,Physically forced her to perform any other sexual acts she did not want to,Sometimes,1.9,Female
Sexual violence,Forced her with threats or in any other way to perform sexual acts she did not want to,Sometimes,1.4,Female
Psychological/emotional violence,y psychological/emotional violence,Sometimes,15.5,Female
Psychological/emotional violence,Said or did something to humiliate her in front of others,Sometimes,7.4,Female
Psychological/emotional violence,Threatened to hurt or harm her or someone she cared about,Sometimes,5.6,Female
Psychological/emotional violence,Insulted her or made her feel bad about herself,Sometimes,13.1,Female
Economic violence,"strict, exploit, or sabotage her ability to acquire or access or maintain economic resources",Sometimes,2.7,Female
Economic violence, least three forms of controlling behaviors,Sometimes,4.6,Female
Economic violence,y form of physical and/or sexual violence,Sometimes,13.9,Female
Economic violence,y form of  psychological/emotional or physical or sexual violence,Sometimes,19.6,Female
Economic violence,"y form of economic, psychological/emotional or physical or sexual violence",Sometimes,19.3,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ysical violence,Sometimes,16,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,xual violence,Sometimes,7.1,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,ychological/emotional violence,Sometimes,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,onomic violence,Sometimes,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of physical or sexual violence,Sometimes,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,y form of emotional or physical or sexual violence,Sometimes,NA,Female
Intimate-partner violence perpetrated by any current or previous spouse or intimate partner,"y form of economic, psychological/emotional or physical or sexual violence",Sometimes,NA,Female
