County,Participants,indicators,values,names1
Kiambu,Women_15-24,hivprevention_knowledge,50.8,"Kiambu, 50.8%"
Turkana,Women_15-24,limit_sex,75.6,"Turkana, 75.6%"
Turkana,Women_15-24,using_condoms,67,"Turkana, 67%"
Turkana,Women_15-24,hivprevention_knowledge,23.2,"Turkana, 23.2%"
West Pokot,Women_15-24,limit_sex,79.6,"West Pokot, 79.6%"
West Pokot,Women_15-24,using_condoms,74.7,"West Pokot, 74.7%"
West Pokot,Women_15-24,hivprevention_knowledge,43.7,"West Pokot, 43.7%"
Samburu,Women_15-24,limit_sex,84.8,"Samburu, 84.8%"
Samburu,Women_15-24,using_condoms,67.3,"Samburu, 67.3%"
Samburu,Women_15-24,hivprevention_knowledge,31.8,"Samburu, 31.8%"
Trans Nzoia,Women_15-24,limit_sex,98.6,"Trans Nzoia, 98.6%"
Trans Nzoia,Women_15-24,using_condoms,91.1,"Trans Nzoia, 91.1%"
Trans Nzoia,Women_15-24,hivprevention_knowledge,74,"Trans Nzoia, 74%"
Uasin Gishu,Women_15-24,limit_sex,90.5,"Uasin Gishu, 90.5%"
Uasin Gishu,Women_15-24,using_condoms,79.5,"Uasin Gishu, 79.5%"
Uasin Gishu,Women_15-24,hivprevention_knowledge,56.6,"Uasin Gishu, 56.6%"
Elgeyo Marakwet,Women_15-24,limit_sex,92.4,"Elgeyo Marakwet, 92.4%"
Elgeyo Marakwet,Women_15-24,using_condoms,82.1,"Elgeyo Marakwet, 82.1%"
Elgeyo Marakwet,Women_15-24,hivprevention_knowledge,53.6,"Elgeyo Marakwet, 53.6%"
Nandi,Women_15-24,limit_sex,87,"Nandi, 87%"
Nandi,Women_15-24,using_condoms,76.6,"Nandi, 76.6%"
Nandi,Women_15-24,hivprevention_knowledge,43,"Nandi, 43%"
Baringo,Women_15-24,limit_sex,88.4,"Baringo, 88.4%"
Baringo,Women_15-24,using_condoms,69.5,"Baringo, 69.5%"
Baringo,Women_15-24,hivprevention_knowledge,46.8,"Baringo, 46.8%"
Laikipia,Women_15-24,limit_sex,88,"Laikipia, 88%"
Laikipia,Women_15-24,using_condoms,81.1,"Laikipia, 81.1%"
Laikipia,Women_15-24,hivprevention_knowledge,50,"Laikipia, 50%"
Nakuru,Women_15-24,limit_sex,89.1,"Nakuru, 89.1%"
Nakuru,Women_15-24,using_condoms,84.2,"Nakuru, 84.2%"
Nakuru,Women_15-24,hivprevention_knowledge,54.3,"Nakuru, 54.3%"
Narok,Women_15-24,limit_sex,87.8,"Narok, 87.8%"
Narok,Women_15-24,using_condoms,76.2,"Narok, 76.2%"
Narok,Women_15-24,hivprevention_knowledge,49.7,"Narok, 49.7%"
Kajiado,Women_15-24,limit_sex,90.6,"Kajiado, 90.6%"
Kajiado,Women_15-24,using_condoms,80.2,"Kajiado, 80.2%"
Kajiado,Women_15-24,hivprevention_knowledge,60,"Kajiado, 60%"
Kericho,Women_15-24,limit_sex,87.4,"Kericho, 87.4%"
Kericho,Women_15-24,using_condoms,88.6,"Kericho, 88.6%"
Kericho,Women_15-24,hivprevention_knowledge,49,"Kericho, 49%"
Bomet,Women_15-24,limit_sex,94.5,"Bomet, 94.5%"
Bomet,Women_15-24,using_condoms,82.3,"Bomet, 82.3%"
Bomet,Women_15-24,hivprevention_knowledge,58.2,"Bomet, 58.2%"
Kakamega,Women_15-24,limit_sex,88.8,"Kakamega, 88.8%"
Kakamega,Women_15-24,using_condoms,75.1,"Kakamega, 75.1%"
Kakamega,Women_15-24,hivprevention_knowledge,50.6,"Kakamega, 50.6%"
Vihiga,Women_15-24,limit_sex,83.7,"Vihiga, 83.7%"
Vihiga,Women_15-24,using_condoms,75.5,"Vihiga, 75.5%"
Vihiga,Women_15-24,hivprevention_knowledge,58.5,"Vihiga, 58.5%"
Bungoma,Women_15-24,limit_sex,85.3,"Bungoma, 85.3%"
Bungoma,Women_15-24,using_condoms,68.7,"Bungoma, 68.7%"
Bungoma,Women_15-24,hivprevention_knowledge,32.4,"Bungoma, 32.4%"
Busia,Women_15-24,limit_sex,93.3,"Busia, 93.3%"
Busia,Women_15-24,using_condoms,83.1,"Busia, 83.1%"
Busia,Women_15-24,hivprevention_knowledge,63.3,"Busia, 63.3%"
Siaya,Women_15-24,limit_sex,90.8,"Siaya, 90.8%"
Siaya,Women_15-24,using_condoms,90.4,"Siaya, 90.4%"
Siaya,Women_15-24,hivprevention_knowledge,71.5,"Siaya, 71.5%"
Kisumu,Women_15-24,limit_sex,95.6,"Kisumu, 95.6%"
Kisumu,Women_15-24,using_condoms,95.8,"Kisumu, 95.8%"
Kisumu,Women_15-24,hivprevention_knowledge,73.5,"Kisumu, 73.5%"
Homa Bay,Women_15-24,limit_sex,90.8,"Homa Bay, 90.8%"
Homa Bay,Women_15-24,using_condoms,86.7,"Homa Bay, 86.7%"
Homa Bay,Women_15-24,hivprevention_knowledge,58.4,"Homa Bay, 58.4%"
Migori,Women_15-24,limit_sex,82.8,"Migori, 82.8%"
Migori,Women_15-24,using_condoms,71.9,"Migori, 71.9%"
Migori,Women_15-24,hivprevention_knowledge,44.8,"Migori, 44.8%"
Kisii,Women_15-24,limit_sex,97.3,"Kisii, 97.3%"
Kisii,Women_15-24,using_condoms,92.1,"Kisii, 92.1%"
Kisii,Women_15-24,hivprevention_knowledge,78.8,"Kisii, 78.8%"
Nyamira,Women_15-24,limit_sex,96.6,"Nyamira, 96.6%"
Nyamira,Women_15-24,using_condoms,86.9,"Nyamira, 86.9%"
Nyamira,Women_15-24,hivprevention_knowledge,78.2,"Nyamira, 78.2%"
Nairobi,Women_15-24,limit_sex,89.7,"Nairobi, 89.7%"
Nairobi,Women_15-24,using_condoms,87.8,"Nairobi, 87.8%"
Nairobi,Women_15-24,hivprevention_knowledge,58,"Nairobi, 58%"
Mombasa,Men_15-24,limit_sex,97.2,"Mombasa, 97.2%"
Mombasa,Men_15-24,using_condoms,70,"Mombasa, 70%"
Mombasa,Men_15-24,hivprevention_knowledge,60.9,"Mombasa, 60.9%"
Kwale,Men_15-24,limit_sex,95.1,"Kwale, 95.1%"
Kwale,Men_15-24,using_condoms,63.5,"Kwale, 63.5%"
Kwale,Men_15-24,hivprevention_knowledge,42.8,"Kwale, 42.8%"
Kilifi,Men_15-24,limit_sex,84.5,"Kilifi, 84.5%"
Kilifi,Men_15-24,using_condoms,74.1,"Kilifi, 74.1%"
Kilifi,Men_15-24,hivprevention_knowledge,51,"Kilifi, 51%"
Tana River,Men_15-24,limit_sex,53.7,"Tana River, 53.7%"
Tana River,Men_15-24,using_condoms,57.3,"Tana River, 57.3%"
Tana River,Men_15-24,hivprevention_knowledge,32.3,"Tana River, 32.3%"
Lamu,Men_15-24,limit_sex,95.5,"Lamu, 95.5%"
Lamu,Men_15-24,using_condoms,97.9,"Lamu, 97.9%"
Lamu,Men_15-24,hivprevention_knowledge,84.7,"Lamu, 84.7%"
Taita Taveta,Men_15-24,limit_sex,89.5,"Taita Taveta, 89.5%"
Taita Taveta,Men_15-24,using_condoms,82.4,"Taita Taveta, 82.4%"
Taita Taveta,Men_15-24,hivprevention_knowledge,49,"Taita Taveta, 49%"
Garissa,Men_15-24,limit_sex,99.8,"Garissa, 99.8%"
Garissa,Men_15-24,using_condoms,95.4,"Garissa, 95.4%"
Garissa,Men_15-24,hivprevention_knowledge,88.7,"Garissa, 88.7%"
Wajir,Men_15-24,limit_sex,87.1,"Wajir, 87.1%"
Wajir,Men_15-24,using_condoms,73.9,"Wajir, 73.9%"
Wajir,Men_15-24,hivprevention_knowledge,43.1,"Wajir, 43.1%"
Mandera,Men_15-24,limit_sex,61.5,"Mandera, 61.5%"
Mandera,Men_15-24,using_condoms,57.3,"Mandera, 57.3%"
Mandera,Men_15-24,hivprevention_knowledge,16.8,"Mandera, 16.8%"
Marsabit,Men_15-24,limit_sex,89.5,"Marsabit, 89.5%"
Marsabit,Men_15-24,using_condoms,58.4,"Marsabit, 58.4%"
Marsabit,Men_15-24,hivprevention_knowledge,34.7,"Marsabit, 34.7%"
Isiolo,Men_15-24,limit_sex,95.9,"Isiolo, 95.9%"
Isiolo,Men_15-24,using_condoms,83.7,"Isiolo, 83.7%"
Isiolo,Men_15-24,hivprevention_knowledge,58.6,"Isiolo, 58.6%"
Meru,Men_15-24,limit_sex,86.8,"Meru, 86.8%"
Meru,Men_15-24,using_condoms,81.6,"Meru, 81.6%"
Meru,Men_15-24,hivprevention_knowledge,50.2,"Meru, 50.2%"
Tharaka Nithi,Men_15-24,limit_sex,92.5,"Tharaka Nithi, 92.5%"
Tharaka Nithi,Men_15-24,using_condoms,80.9,"Tharaka Nithi, 80.9%"
Tharaka Nithi,Men_15-24,hivprevention_knowledge,51.8,"Tharaka Nithi, 51.8%"
Embu,Men_15-24,limit_sex,75.5,"Embu, 75.5%"
Embu,Men_15-24,using_condoms,75,"Embu, 75%"
Embu,Men_15-24,hivprevention_knowledge,56.5,"Embu, 56.5%"
Kitui,Men_15-24,limit_sex,94.4,"Kitui, 94.4%"
Kitui,Men_15-24,using_condoms,96.7,"Kitui, 96.7%"
Kitui,Men_15-24,hivprevention_knowledge,80.9,"Kitui, 80.9%"
Machakos,Men_15-24,limit_sex,86.8,"Machakos, 86.8%"
Machakos,Men_15-24,using_condoms,84.9,"Machakos, 84.9%"
Machakos,Men_15-24,hivprevention_knowledge,54.5,"Machakos, 54.5%"
Makueni,Men_15-24,limit_sex,98.4,"Makueni, 98.4%"
Makueni,Men_15-24,using_condoms,86.9,"Makueni, 86.9%"
Makueni,Men_15-24,hivprevention_knowledge,52.5,"Makueni, 52.5%"
Nyandarua,Men_15-24,limit_sex,79.7,"Nyandarua, 79.7%"
Nyandarua,Men_15-24,using_condoms,85.3,"Nyandarua, 85.3%"
Nyandarua,Men_15-24,hivprevention_knowledge,47,"Nyandarua, 47%"
Nyeri,Men_15-24,limit_sex,80.2,"Nyeri, 80.2%"
Nyeri,Men_15-24,using_condoms,88,"Nyeri, 88%"
Nyeri,Men_15-24,hivprevention_knowledge,53.7,"Nyeri, 53.7%"
Kirinyaga,Men_15-24,limit_sex,90.6,"Kirinyaga, 90.6%"
Kirinyaga,Men_15-24,using_condoms,93.3,"Kirinyaga, 93.3%"
Kirinyaga,Men_15-24,hivprevention_knowledge,74,"Kirinyaga, 74%"
Muranga,Men_15-24,limit_sex,97.4,"Muranga, 97.4%"
Muranga,Men_15-24,using_condoms,96,"Muranga, 96%"
Muranga,Men_15-24,hivprevention_knowledge,64,"Muranga, 64%"
Kiambu,Men_15-24,limit_sex,80.7,"Kiambu, 80.7%"
Kiambu,Men_15-24,using_condoms,72.2,"Kiambu, 72.2%"
Kiambu,Men_15-24,hivprevention_knowledge,37.5,"Kiambu, 37.5%"
Turkana,Men_15-24,limit_sex,73.8,"Turkana, 73.8%"
Turkana,Men_15-24,using_condoms,70.1,"Turkana, 70.1%"
Turkana,Men_15-24,hivprevention_knowledge,49.4,"Turkana, 49.4%"
West Pokot,Men_15-24,limit_sex,94.9,"West Pokot, 94.9%"
West Pokot,Men_15-24,using_condoms,90.8,"West Pokot, 90.8%"
West Pokot,Men_15-24,hivprevention_knowledge,77.2,"West Pokot, 77.2%"
Samburu,Men_15-24,limit_sex,88.5,"Samburu, 88.5%"
Samburu,Men_15-24,using_condoms,73.5,"Samburu, 73.5%"
Samburu,Men_15-24,hivprevention_knowledge,30.6,"Samburu, 30.6%"
Trans Nzoia,Men_15-24,limit_sex,93.7,"Trans Nzoia, 93.7%"
Trans Nzoia,Men_15-24,using_condoms,82.9,"Trans Nzoia, 82.9%"
Trans Nzoia,Men_15-24,hivprevention_knowledge,64.3,"Trans Nzoia, 64.3%"
Uasin Gishu,Men_15-24,limit_sex,82.6,"Uasin Gishu, 82.6%"
Uasin Gishu,Men_15-24,using_condoms,85.5,"Uasin Gishu, 85.5%"
Uasin Gishu,Men_15-24,hivprevention_knowledge,63,"Uasin Gishu, 63%"
Elgeyo Marakwet,Men_15-24,limit_sex,69.6,"Elgeyo Marakwet, 69.6%"
Elgeyo Marakwet,Men_15-24,using_condoms,77.8,"Elgeyo Marakwet, 77.8%"
Elgeyo Marakwet,Men_15-24,hivprevention_knowledge,43.7,"Elgeyo Marakwet, 43.7%"
Nandi,Men_15-24,limit_sex,77,"Nandi, 77%"
Nandi,Men_15-24,using_condoms,85,"Nandi, 85%"
Nandi,Men_15-24,hivprevention_knowledge,61.9,"Nandi, 61.9%"
Baringo,Men_15-24,limit_sex,69.9,"Baringo, 69.9%"
Baringo,Men_15-24,using_condoms,78.6,"Baringo, 78.6%"
Baringo,Men_15-24,hivprevention_knowledge,45.2,"Baringo, 45.2%"
Laikipia,Men_15-24,limit_sex,90.2,"Laikipia, 90.2%"
Laikipia,Men_15-24,using_condoms,75.9,"Laikipia, 75.9%"
Laikipia,Men_15-24,hivprevention_knowledge,44.4,"Laikipia, 44.4%"
Nakuru,Men_15-24,limit_sex,76.5,"Nakuru, 76.5%"
Nakuru,Men_15-24,using_condoms,75.9,"Nakuru, 75.9%"
Nakuru,Men_15-24,hivprevention_knowledge,35.1,"Nakuru, 35.1%"
Narok,Men_15-24,limit_sex,87.3,"Narok, 87.3%"
Narok,Men_15-24,using_condoms,69.5,"Narok, 69.5%"
Narok,Men_15-24,hivprevention_knowledge,35.6,"Narok, 35.6%"
Kajiado,Men_15-24,limit_sex,92.3,"Kajiado, 92.3%"
Kajiado,Men_15-24,using_condoms,88.5,"Kajiado, 88.5%"
Kajiado,Men_15-24,hivprevention_knowledge,50.4,"Kajiado, 50.4%"
Kericho,Men_15-24,limit_sex,98.5,"Kericho, 98.5%"
Kericho,Men_15-24,using_condoms,97,"Kericho, 97%"
Kericho,Men_15-24,hivprevention_knowledge,85.4,"Kericho, 85.4%"
Bomet,Men_15-24,limit_sex,91.7,"Bomet, 91.7%"
Bomet,Men_15-24,using_condoms,94.1,"Bomet, 94.1%"
Bomet,Men_15-24,hivprevention_knowledge,54.2,"Bomet, 54.2%"
Kakamega,Men_15-24,limit_sex,97.3,"Kakamega, 97.3%"
Kakamega,Men_15-24,using_condoms,86,"Kakamega, 86%"
Kakamega,Men_15-24,hivprevention_knowledge,44.3,"Kakamega, 44.3%"
Vihiga,Men_15-24,limit_sex,81.6,"Vihiga, 81.6%"
Vihiga,Men_15-24,using_condoms,76.5,"Vihiga, 76.5%"
Vihiga,Men_15-24,hivprevention_knowledge,50.1,"Vihiga, 50.1%"
Bungoma,Men_15-24,limit_sex,80,"Bungoma, 80%"
Bungoma,Men_15-24,using_condoms,69.4,"Bungoma, 69.4%"
Bungoma,Men_15-24,hivprevention_knowledge,36.1,"Bungoma, 36.1%"
Busia,Men_15-24,limit_sex,82.9,"Busia, 82.9%"
Busia,Men_15-24,using_condoms,75.9,"Busia, 75.9%"
Busia,Men_15-24,hivprevention_knowledge,38.3,"Busia, 38.3%"
Siaya,Men_15-24,limit_sex,91.5,"Siaya, 91.5%"
Siaya,Men_15-24,using_condoms,83,"Siaya, 83%"
Siaya,Men_15-24,hivprevention_knowledge,39.9,"Siaya, 39.9%"
Kisumu,Men_15-24,limit_sex,99.4,"Kisumu, 99.4%"
Kisumu,Men_15-24,using_condoms,97,"Kisumu, 97%"
Kisumu,Men_15-24,hivprevention_knowledge,78.9,"Kisumu, 78.9%"
Homa Bay,Men_15-24,limit_sex,77,"Homa Bay, 77%"
Homa Bay,Men_15-24,using_condoms,82.3,"Homa Bay, 82.3%"
Homa Bay,Men_15-24,hivprevention_knowledge,49.4,"Homa Bay, 49.4%"
Migori,Men_15-24,limit_sex,99.1,"Migori, 99.1%"
Migori,Men_15-24,using_condoms,94.5,"Migori, 94.5%"
Migori,Men_15-24,hivprevention_knowledge,62.7,"Migori, 62.7%"
Kisii,Men_15-24,limit_sex,99.2,"Kisii, 99.2%"
Kisii,Men_15-24,using_condoms,97.7,"Kisii, 97.7%"
Kisii,Men_15-24,hivprevention_knowledge,95,"Kisii, 95%"
Nyamira,Men_15-24,limit_sex,84.6,"Nyamira, 84.6%"
Nyamira,Men_15-24,using_condoms,75.6,"Nyamira, 75.6%"
Nyamira,Men_15-24,hivprevention_knowledge,51.9,"Nyamira, 51.9%"
Nairobi,Men_15-24,limit_sex,98.9,"Nairobi, 98.9%"
Nairobi,Men_15-24,using_condoms,95.6,"Nairobi, 95.6%"
Nairobi,Men_15-24,hivprevention_knowledge,74.2,"Nairobi, 74.2%"
