"","County","Participants","indicators","values","names1","cats"
"75","Samburu","Women (15-24 years)","hivprevention_knowledge",31.8,"Samburu, 31.8%","<40%"
"76","Trans Nzoia","Women (15-24 years)","limit_sex",98.6,"Trans Nzoia, 98.6%",">80%"
"77","Trans Nzoia","Women (15-24 years)","using_condoms",91.1,"Trans Nzoia, 91.1%",">80%"
"78","Trans Nzoia","Women (15-24 years)","hivprevention_knowledge",74,"Trans Nzoia, 74%","40-80%"
"79","Uasin Gishu","Women (15-24 years)","limit_sex",90.5,"Uasin Gishu, 90.5%",">80%"
"80","Uasin Gishu","Women (15-24 years)","using_condoms",79.5,"Uasin Gishu, 79.5%","40-80%"
"81","Uasin Gishu","Women (15-24 years)","hivprevention_knowledge",56.6,"Uasin Gishu, 56.6%","40-80%"
"82","Elgeyo Marakwet","Women (15-24 years)","limit_sex",92.4,"Elgeyo Marakwet, 92.4%",">80%"
"83","Elgeyo Marakwet","Women (15-24 years)","using_condoms",82.1,"Elgeyo Marakwet, 82.1%",">80%"
"84","Elgeyo Marakwet","Women (15-24 years)","hivprevention_knowledge",53.6,"Elgeyo Marakwet, 53.6%","40-80%"
"85","Nandi","Women (15-24 years)","limit_sex",87,"Nandi, 87%",">80%"
"86","Nandi","Women (15-24 years)","using_condoms",76.6,"Nandi, 76.6%","40-80%"
"87","Nandi","Women (15-24 years)","hivprevention_knowledge",43,"Nandi, 43%","40-80%"
"88","Baringo","Women (15-24 years)","limit_sex",88.4,"Baringo, 88.4%",">80%"
"89","Baringo","Women (15-24 years)","using_condoms",69.5,"Baringo, 69.5%","40-80%"
"90","Baringo","Women (15-24 years)","hivprevention_knowledge",46.8,"Baringo, 46.8%","40-80%"
"91","Laikipia","Women (15-24 years)","limit_sex",88,"Laikipia, 88%",">80%"
"92","Laikipia","Women (15-24 years)","using_condoms",81.1,"Laikipia, 81.1%",">80%"
"93","Laikipia","Women (15-24 years)","hivprevention_knowledge",50,"Laikipia, 50%","40-80%"
"94","Nakuru","Women (15-24 years)","limit_sex",89.1,"Nakuru, 89.1%",">80%"
"95","Nakuru","Women (15-24 years)","using_condoms",84.2,"Nakuru, 84.2%",">80%"
"96","Nakuru","Women (15-24 years)","hivprevention_knowledge",54.3,"Nakuru, 54.3%","40-80%"
"97","Narok","Women (15-24 years)","limit_sex",87.8,"Narok, 87.8%",">80%"
"98","Narok","Women (15-24 years)","using_condoms",76.2,"Narok, 76.2%","40-80%"
"99","Narok","Women (15-24 years)","hivprevention_knowledge",49.7,"Narok, 49.7%","40-80%"
"100","Kajiado","Women (15-24 years)","limit_sex",90.6,"Kajiado, 90.6%",">80%"
"101","Kajiado","Women (15-24 years)","using_condoms",80.2,"Kajiado, 80.2%","40-80%"
"102","Kajiado","Women (15-24 years)","hivprevention_knowledge",60,"Kajiado, 60%","40-80%"
"103","Kericho","Women (15-24 years)","limit_sex",87.4,"Kericho, 87.4%",">80%"
"104","Kericho","Women (15-24 years)","using_condoms",88.6,"Kericho, 88.6%",">80%"
"105","Kericho","Women (15-24 years)","hivprevention_knowledge",49,"Kericho, 49%","40-80%"
"106","Bomet","Women (15-24 years)","limit_sex",94.5,"Bomet, 94.5%",">80%"
"107","Bomet","Women (15-24 years)","using_condoms",82.3,"Bomet, 82.3%",">80%"
"108","Bomet","Women (15-24 years)","hivprevention_knowledge",58.2,"Bomet, 58.2%","40-80%"
"109","Kakamega","Women (15-24 years)","limit_sex",88.8,"Kakamega, 88.8%",">80%"
"110","Kakamega","Women (15-24 years)","using_condoms",75.1,"Kakamega, 75.1%","40-80%"
"111","Kakamega","Women (15-24 years)","hivprevention_knowledge",50.6,"Kakamega, 50.6%","40-80%"
"112","Vihiga","Women (15-24 years)","limit_sex",83.7,"Vihiga, 83.7%",">80%"
"113","Vihiga","Women (15-24 years)","using_condoms",75.5,"Vihiga, 75.5%","40-80%"
"114","Vihiga","Women (15-24 years)","hivprevention_knowledge",58.5,"Vihiga, 58.5%","40-80%"
"115","Bungoma","Women (15-24 years)","limit_sex",85.3,"Bungoma, 85.3%",">80%"
"116","Bungoma","Women (15-24 years)","using_condoms",68.7,"Bungoma, 68.7%","40-80%"
"117","Bungoma","Women (15-24 years)","hivprevention_knowledge",32.4,"Bungoma, 32.4%","<40%"
"118","Busia","Women (15-24 years)","limit_sex",93.3,"Busia, 93.3%",">80%"
"119","Busia","Women (15-24 years)","using_condoms",83.1,"Busia, 83.1%",">80%"
"120","Busia","Women (15-24 years)","hivprevention_knowledge",63.3,"Busia, 63.3%","40-80%"
"121","Siaya","Women (15-24 years)","limit_sex",90.8,"Siaya, 90.8%",">80%"
"122","Siaya","Women (15-24 years)","using_condoms",90.4,"Siaya, 90.4%",">80%"
"123","Siaya","Women (15-24 years)","hivprevention_knowledge",71.5,"Siaya, 71.5%","40-80%"
"124","Kisumu","Women (15-24 years)","limit_sex",95.6,"Kisumu, 95.6%",">80%"
"125","Kisumu","Women (15-24 years)","using_condoms",95.8,"Kisumu, 95.8%",">80%"
"126","Kisumu","Women (15-24 years)","hivprevention_knowledge",73.5,"Kisumu, 73.5%","40-80%"
"127","Homa Bay","Women (15-24 years)","limit_sex",90.8,"Homa Bay, 90.8%",">80%"
"128","Homa Bay","Women (15-24 years)","using_condoms",86.7,"Homa Bay, 86.7%",">80%"
"129","Homa Bay","Women (15-24 years)","hivprevention_knowledge",58.4,"Homa Bay, 58.4%","40-80%"
"130","Migori","Women (15-24 years)","limit_sex",82.8,"Migori, 82.8%",">80%"
"131","Migori","Women (15-24 years)","using_condoms",71.9,"Migori, 71.9%","40-80%"
"132","Migori","Women (15-24 years)","hivprevention_knowledge",44.8,"Migori, 44.8%","40-80%"
"133","Kisii","Women (15-24 years)","limit_sex",97.3,"Kisii, 97.3%",">80%"
"134","Kisii","Women (15-24 years)","using_condoms",92.1,"Kisii, 92.1%",">80%"
"135","Kisii","Women (15-24 years)","hivprevention_knowledge",78.8,"Kisii, 78.8%","40-80%"
"136","Nyamira","Women (15-24 years)","limit_sex",96.6,"Nyamira, 96.6%",">80%"
"137","Nyamira","Women (15-24 years)","using_condoms",86.9,"Nyamira, 86.9%",">80%"
"138","Nyamira","Women (15-24 years)","hivprevention_knowledge",78.2,"Nyamira, 78.2%","40-80%"
"139","Nairobi","Women (15-24 years)","limit_sex",89.7,"Nairobi, 89.7%",">80%"
"140","Nairobi","Women (15-24 years)","using_condoms",87.8,"Nairobi, 87.8%",">80%"
"141","Nairobi","Women (15-24 years)","hivprevention_knowledge",58,"Nairobi, 58%","40-80%"
"142","Mombasa","Men (15-24 years)","limit_sex",97.2,"Mombasa, 97.2%",">80%"
"143","Mombasa","Men (15-24 years)","using_condoms",70,"Mombasa, 70%","40-80%"
"144","Mombasa","Men (15-24 years)","hivprevention_knowledge",60.9,"Mombasa, 60.9%","40-80%"
"145","Kwale","Men (15-24 years)","limit_sex",95.1,"Kwale, 95.1%",">80%"
"146","Kwale","Men (15-24 years)","using_condoms",63.5,"Kwale, 63.5%","40-80%"
"147","Kwale","Men (15-24 years)","hivprevention_knowledge",42.8,"Kwale, 42.8%","40-80%"
"148","Kilifi","Men (15-24 years)","limit_sex",84.5,"Kilifi, 84.5%",">80%"
"149","Kilifi","Men (15-24 years)","using_condoms",74.1,"Kilifi, 74.1%","40-80%"
"150","Kilifi","Men (15-24 years)","hivprevention_knowledge",51,"Kilifi, 51%","40-80%"
"151","Tana River","Men (15-24 years)","limit_sex",53.7,"Tana River, 53.7%","40-80%"
"152","Tana River","Men (15-24 years)","using_condoms",57.3,"Tana River, 57.3%","40-80%"
"153","Tana River","Men (15-24 years)","hivprevention_knowledge",32.3,"Tana River, 32.3%","<40%"
"154","Lamu","Men (15-24 years)","limit_sex",95.5,"Lamu, 95.5%",">80%"
"155","Lamu","Men (15-24 years)","using_condoms",97.9,"Lamu, 97.9%",">80%"
"156","Lamu","Men (15-24 years)","hivprevention_knowledge",84.7,"Lamu, 84.7%",">80%"
"157","Taita Taveta","Men (15-24 years)","limit_sex",89.5,"Taita Taveta, 89.5%",">80%"
"158","Taita Taveta","Men (15-24 years)","using_condoms",82.4,"Taita Taveta, 82.4%",">80%"
"159","Taita Taveta","Men (15-24 years)","hivprevention_knowledge",49,"Taita Taveta, 49%","40-80%"
"160","Garissa","Men (15-24 years)","limit_sex",99.8,"Garissa, 99.8%",">80%"
"161","Garissa","Men (15-24 years)","using_condoms",95.4,"Garissa, 95.4%",">80%"
"162","Garissa","Men (15-24 years)","hivprevention_knowledge",88.7,"Garissa, 88.7%",">80%"
"163","Wajir","Men (15-24 years)","limit_sex",87.1,"Wajir, 87.1%",">80%"
"164","Wajir","Men (15-24 years)","using_condoms",73.9,"Wajir, 73.9%","40-80%"
"165","Wajir","Men (15-24 years)","hivprevention_knowledge",43.1,"Wajir, 43.1%","40-80%"
"166","Mandera","Men (15-24 years)","limit_sex",61.5,"Mandera, 61.5%","40-80%"
"167","Mandera","Men (15-24 years)","using_condoms",57.3,"Mandera, 57.3%","40-80%"
"168","Mandera","Men (15-24 years)","hivprevention_knowledge",16.8,"Mandera, 16.8%","<40%"
"169","Marsabit","Men (15-24 years)","limit_sex",89.5,"Marsabit, 89.5%",">80%"
"170","Marsabit","Men (15-24 years)","using_condoms",58.4,"Marsabit, 58.4%","40-80%"
"171","Marsabit","Men (15-24 years)","hivprevention_knowledge",34.7,"Marsabit, 34.7%","<40%"
"172","Isiolo","Men (15-24 years)","limit_sex",95.9,"Isiolo, 95.9%",">80%"
"173","Isiolo","Men (15-24 years)","using_condoms",83.7,"Isiolo, 83.7%",">80%"
"174","Isiolo","Men (15-24 years)","hivprevention_knowledge",58.6,"Isiolo, 58.6%","40-80%"
"175","Meru","Men (15-24 years)","limit_sex",86.8,"Meru, 86.8%",">80%"
"176","Meru","Men (15-24 years)","using_condoms",81.6,"Meru, 81.6%",">80%"
"177","Meru","Men (15-24 years)","hivprevention_knowledge",50.2,"Meru, 50.2%","40-80%"
"178","Tharaka Nithi","Men (15-24 years)","limit_sex",92.5,"Tharaka Nithi, 92.5%",">80%"
"179","Tharaka Nithi","Men (15-24 years)","using_condoms",80.9,"Tharaka Nithi, 80.9%","40-80%"
"180","Tharaka Nithi","Men (15-24 years)","hivprevention_knowledge",51.8,"Tharaka Nithi, 51.8%","40-80%"
"181","Embu","Men (15-24 years)","limit_sex",75.5,"Embu, 75.5%","40-80%"
"182","Embu","Men (15-24 years)","using_condoms",75,"Embu, 75%","40-80%"
"183","Embu","Men (15-24 years)","hivprevention_knowledge",56.5,"Embu, 56.5%","40-80%"
"184","Kitui","Men (15-24 years)","limit_sex",94.4,"Kitui, 94.4%",">80%"
"185","Kitui","Men (15-24 years)","using_condoms",96.7,"Kitui, 96.7%",">80%"
"186","Kitui","Men (15-24 years)","hivprevention_knowledge",80.9,"Kitui, 80.9%","40-80%"
"187","Machakos","Men (15-24 years)","limit_sex",86.8,"Machakos, 86.8%",">80%"
"188","Machakos","Men (15-24 years)","using_condoms",84.9,"Machakos, 84.9%",">80%"
"189","Machakos","Men (15-24 years)","hivprevention_knowledge",54.5,"Machakos, 54.5%","40-80%"
"190","Makueni","Men (15-24 years)","limit_sex",98.4,"Makueni, 98.4%",">80%"
"191","Makueni","Men (15-24 years)","using_condoms",86.9,"Makueni, 86.9%",">80%"
"192","Makueni","Men (15-24 years)","hivprevention_knowledge",52.5,"Makueni, 52.5%","40-80%"
"193","Nyandarua","Men (15-24 years)","limit_sex",79.7,"Nyandarua, 79.7%","40-80%"
"194","Nyandarua","Men (15-24 years)","using_condoms",85.3,"Nyandarua, 85.3%",">80%"
"195","Nyandarua","Men (15-24 years)","hivprevention_knowledge",47,"Nyandarua, 47%","40-80%"
"196","Nyeri","Men (15-24 years)","limit_sex",80.2,"Nyeri, 80.2%","40-80%"
"197","Nyeri","Men (15-24 years)","using_condoms",88,"Nyeri, 88%",">80%"
"198","Nyeri","Men (15-24 years)","hivprevention_knowledge",53.7,"Nyeri, 53.7%","40-80%"
"199","Kirinyaga","Men (15-24 years)","limit_sex",90.6,"Kirinyaga, 90.6%",">80%"
"200","Kirinyaga","Men (15-24 years)","using_condoms",93.3,"Kirinyaga, 93.3%",">80%"
"201","Kirinyaga","Men (15-24 years)","hivprevention_knowledge",74,"Kirinyaga, 74%","40-80%"
"202","Muranga","Men (15-24 years)","limit_sex",97.4,"Muranga, 97.4%",">80%"
"203","Muranga","Men (15-24 years)","using_condoms",96,"Muranga, 96%",">80%"
"204","Muranga","Men (15-24 years)","hivprevention_knowledge",64,"Muranga, 64%","40-80%"
"205","Kiambu","Men (15-24 years)","limit_sex",80.7,"Kiambu, 80.7%","40-80%"
"206","Kiambu","Men (15-24 years)","using_condoms",72.2,"Kiambu, 72.2%","40-80%"
"207","Kiambu","Men (15-24 years)","hivprevention_knowledge",37.5,"Kiambu, 37.5%","<40%"
"208","Turkana","Men (15-24 years)","limit_sex",73.8,"Turkana, 73.8%","40-80%"
"209","Turkana","Men (15-24 years)","using_condoms",70.1,"Turkana, 70.1%","40-80%"
"210","Turkana","Men (15-24 years)","hivprevention_knowledge",49.4,"Turkana, 49.4%","40-80%"
"211","West Pokot","Men (15-24 years)","limit_sex",94.9,"West Pokot, 94.9%",">80%"
"212","West Pokot","Men (15-24 years)","using_condoms",90.8,"West Pokot, 90.8%",">80%"
"213","West Pokot","Men (15-24 years)","hivprevention_knowledge",77.2,"West Pokot, 77.2%","40-80%"
"214","Samburu","Men (15-24 years)","limit_sex",88.5,"Samburu, 88.5%",">80%"
"215","Samburu","Men (15-24 years)","using_condoms",73.5,"Samburu, 73.5%","40-80%"
"216","Samburu","Men (15-24 years)","hivprevention_knowledge",30.6,"Samburu, 30.6%","<40%"
"217","Trans Nzoia","Men (15-24 years)","limit_sex",93.7,"Trans Nzoia, 93.7%",">80%"
"218","Trans Nzoia","Men (15-24 years)","using_condoms",82.9,"Trans Nzoia, 82.9%",">80%"
"219","Trans Nzoia","Men (15-24 years)","hivprevention_knowledge",64.3,"Trans Nzoia, 64.3%","40-80%"
"220","Uasin Gishu","Men (15-24 years)","limit_sex",82.6,"Uasin Gishu, 82.6%",">80%"
"221","Uasin Gishu","Men (15-24 years)","using_condoms",85.5,"Uasin Gishu, 85.5%",">80%"
"222","Uasin Gishu","Men (15-24 years)","hivprevention_knowledge",63,"Uasin Gishu, 63%","40-80%"
"223","Elgeyo Marakwet","Men (15-24 years)","limit_sex",69.6,"Elgeyo Marakwet, 69.6%","40-80%"
"224","Elgeyo Marakwet","Men (15-24 years)","using_condoms",77.8,"Elgeyo Marakwet, 77.8%","40-80%"
"225","Elgeyo Marakwet","Men (15-24 years)","hivprevention_knowledge",43.7,"Elgeyo Marakwet, 43.7%","40-80%"
"226","Nandi","Men (15-24 years)","limit_sex",77,"Nandi, 77%","40-80%"
"227","Nandi","Men (15-24 years)","using_condoms",85,"Nandi, 85%",">80%"
"228","Nandi","Men (15-24 years)","hivprevention_knowledge",61.9,"Nandi, 61.9%","40-80%"
"229","Baringo","Men (15-24 years)","limit_sex",69.9,"Baringo, 69.9%","40-80%"
"230","Baringo","Men (15-24 years)","using_condoms",78.6,"Baringo, 78.6%","40-80%"
"231","Baringo","Men (15-24 years)","hivprevention_knowledge",45.2,"Baringo, 45.2%","40-80%"
"232","Laikipia","Men (15-24 years)","limit_sex",90.2,"Laikipia, 90.2%",">80%"
"233","Laikipia","Men (15-24 years)","using_condoms",75.9,"Laikipia, 75.9%","40-80%"
"234","Laikipia","Men (15-24 years)","hivprevention_knowledge",44.4,"Laikipia, 44.4%","40-80%"
"235","Nakuru","Men (15-24 years)","limit_sex",76.5,"Nakuru, 76.5%","40-80%"
"236","Nakuru","Men (15-24 years)","using_condoms",75.9,"Nakuru, 75.9%","40-80%"
"237","Nakuru","Men (15-24 years)","hivprevention_knowledge",35.1,"Nakuru, 35.1%","<40%"
"238","Narok","Men (15-24 years)","limit_sex",87.3,"Narok, 87.3%",">80%"
"239","Narok","Men (15-24 years)","using_condoms",69.5,"Narok, 69.5%","40-80%"
"240","Narok","Men (15-24 years)","hivprevention_knowledge",35.6,"Narok, 35.6%","<40%"
"241","Kajiado","Men (15-24 years)","limit_sex",92.3,"Kajiado, 92.3%",">80%"
"242","Kajiado","Men (15-24 years)","using_condoms",88.5,"Kajiado, 88.5%",">80%"
"243","Kajiado","Men (15-24 years)","hivprevention_knowledge",50.4,"Kajiado, 50.4%","40-80%"
"244","Kericho","Men (15-24 years)","limit_sex",98.5,"Kericho, 98.5%",">80%"
"245","Kericho","Men (15-24 years)","using_condoms",97,"Kericho, 97%",">80%"
"246","Kericho","Men (15-24 years)","hivprevention_knowledge",85.4,"Kericho, 85.4%",">80%"
"247","Bomet","Men (15-24 years)","limit_sex",91.7,"Bomet, 91.7%",">80%"
"248","Bomet","Men (15-24 years)","using_condoms",94.1,"Bomet, 94.1%",">80%"
"249","Bomet","Men (15-24 years)","hivprevention_knowledge",54.2,"Bomet, 54.2%","40-80%"
"250","Kakamega","Men (15-24 years)","limit_sex",97.3,"Kakamega, 97.3%",">80%"
"251","Kakamega","Men (15-24 years)","using_condoms",86,"Kakamega, 86%",">80%"
"252","Kakamega","Men (15-24 years)","hivprevention_knowledge",44.3,"Kakamega, 44.3%","40-80%"
"253","Vihiga","Men (15-24 years)","limit_sex",81.6,"Vihiga, 81.6%",">80%"
"254","Vihiga","Men (15-24 years)","using_condoms",76.5,"Vihiga, 76.5%","40-80%"
"255","Vihiga","Men (15-24 years)","hivprevention_knowledge",50.1,"Vihiga, 50.1%","40-80%"
"256","Bungoma","Men (15-24 years)","limit_sex",80,"Bungoma, 80%","40-80%"
"257","Bungoma","Men (15-24 years)","using_condoms",69.4,"Bungoma, 69.4%","40-80%"
"258","Bungoma","Men (15-24 years)","hivprevention_knowledge",36.1,"Bungoma, 36.1%","<40%"
"259","Busia","Men (15-24 years)","limit_sex",82.9,"Busia, 82.9%",">80%"
"260","Busia","Men (15-24 years)","using_condoms",75.9,"Busia, 75.9%","40-80%"
"261","Busia","Men (15-24 years)","hivprevention_knowledge",38.3,"Busia, 38.3%","<40%"
"262","Siaya","Men (15-24 years)","limit_sex",91.5,"Siaya, 91.5%",">80%"
"263","Siaya","Men (15-24 years)","using_condoms",83,"Siaya, 83%",">80%"
"264","Siaya","Men (15-24 years)","hivprevention_knowledge",39.9,"Siaya, 39.9%","<40%"
"265","Kisumu","Men (15-24 years)","limit_sex",99.4,"Kisumu, 99.4%",">80%"
"266","Kisumu","Men (15-24 years)","using_condoms",97,"Kisumu, 97%",">80%"
"267","Kisumu","Men (15-24 years)","hivprevention_knowledge",78.9,"Kisumu, 78.9%","40-80%"
"268","Homa Bay","Men (15-24 years)","limit_sex",77,"Homa Bay, 77%","40-80%"
"269","Homa Bay","Men (15-24 years)","using_condoms",82.3,"Homa Bay, 82.3%",">80%"
"270","Homa Bay","Men (15-24 years)","hivprevention_knowledge",49.4,"Homa Bay, 49.4%","40-80%"
"271","Migori","Men (15-24 years)","limit_sex",99.1,"Migori, 99.1%",">80%"
"272","Migori","Men (15-24 years)","using_condoms",94.5,"Migori, 94.5%",">80%"
"273","Migori","Men (15-24 years)","hivprevention_knowledge",62.7,"Migori, 62.7%","40-80%"
"274","Kisii","Men (15-24 years)","limit_sex",99.2,"Kisii, 99.2%",">80%"
"275","Kisii","Men (15-24 years)","using_condoms",97.7,"Kisii, 97.7%",">80%"
"276","Kisii","Men (15-24 years)","hivprevention_knowledge",95,"Kisii, 95%",">80%"
"277","Nyamira","Men (15-24 years)","limit_sex",84.6,"Nyamira, 84.6%",">80%"
"278","Nyamira","Men (15-24 years)","using_condoms",75.6,"Nyamira, 75.6%","40-80%"
"279","Nyamira","Men (15-24 years)","hivprevention_knowledge",51.9,"Nyamira, 51.9%","40-80%"
"280","Nairobi","Men (15-24 years)","limit_sex",98.9,"Nairobi, 98.9%",">80%"
"281","Nairobi","Men (15-24 years)","using_condoms",95.6,"Nairobi, 95.6%",">80%"
"282","Nairobi","Men (15-24 years)","hivprevention_knowledge",74.2,"Nairobi, 74.2%","40-80%"
