"","County","Category","Proportion","Participants"
"97","Marsabit","Outdoor sign/billboard",4.1,"Women"
"98","Marsabit","Community meeting/events",43.7,"Women"
"99","Marsabit","Friends/peers",76.2,"Women"
"100","Marsabit","Internet",7.6,"Women"
"101","Isiolo","Radio",50.4,"Women"
"102","Isiolo","Television",54.5,"Women"
"103","Isiolo","Newspaper/magazine",28.1,"Women"
"104","Isiolo","Mobile phone",35.3,"Women"
"105","Isiolo","Social media",35.1,"Women"
"106","Isiolo","Poster/leaflet/brochure",39.3,"Women"
"107","Isiolo","Outdoor sign/billboard",35.2,"Women"
"108","Isiolo","Community meeting/events",47.7,"Women"
"109","Isiolo","Friends/peers",80.2,"Women"
"110","Isiolo","Internet",35.9,"Women"
"111","Meru","Radio",50.9,"Women"
"112","Meru","Television",39.4,"Women"
"113","Meru","Newspaper/magazine",14.3,"Women"
"114","Meru","Mobile phone",11.7,"Women"
"115","Meru","Social media",23.4,"Women"
"116","Meru","Poster/leaflet/brochure",25.2,"Women"
"117","Meru","Outdoor sign/billboard",25.8,"Women"
"118","Meru","Community meeting/events",21.4,"Women"
"119","Meru","Friends/peers",66.3,"Women"
"120","Meru","Internet",20.7,"Women"
"121","Tharaka Nithi","Radio",42.9,"Women"
"122","Tharaka Nithi","Television",30.8,"Women"
"123","Tharaka Nithi","Newspaper/magazine",13,"Women"
"124","Tharaka Nithi","Mobile phone",18.3,"Women"
"125","Tharaka Nithi","Social media",18.8,"Women"
"126","Tharaka Nithi","Poster/leaflet/brochure",42.1,"Women"
"127","Tharaka Nithi","Outdoor sign/billboard",18.4,"Women"
"128","Tharaka Nithi","Community meeting/events",29,"Women"
"129","Tharaka Nithi","Friends/peers",71.2,"Women"
"130","Tharaka Nithi","Internet",18.2,"Women"
"131","Embu","Radio",58.7,"Women"
"132","Embu","Television",46.6,"Women"
"133","Embu","Newspaper/magazine",22.3,"Women"
"134","Embu","Mobile phone",17,"Women"
"135","Embu","Social media",29.3,"Women"
"136","Embu","Poster/leaflet/brochure",47.6,"Women"
"137","Embu","Outdoor sign/billboard",22.6,"Women"
"138","Embu","Community meeting/events",56.1,"Women"
"139","Embu","Friends/peers",75.8,"Women"
"140","Embu","Internet",21.6,"Women"
"141","Kitui","Radio",69,"Women"
"142","Kitui","Television",24.6,"Women"
"143","Kitui","Newspaper/magazine",8.8,"Women"
"144","Kitui","Mobile phone",7.1,"Women"
"145","Kitui","Social media",14.7,"Women"
"146","Kitui","Poster/leaflet/brochure",18.5,"Women"
"147","Kitui","Outdoor sign/billboard",19.2,"Women"
"148","Kitui","Community meeting/events",70,"Women"
"149","Kitui","Friends/peers",87.2,"Women"
"150","Kitui","Internet",17.6,"Women"
"151","Machakos","Radio",53.8,"Women"
"152","Machakos","Television",50.1,"Women"
"153","Machakos","Newspaper/magazine",17.8,"Women"
"154","Machakos","Mobile phone",8.3,"Women"
"155","Machakos","Social media",26.4,"Women"
"156","Machakos","Poster/leaflet/brochure",44.6,"Women"
"157","Machakos","Outdoor sign/billboard",20.8,"Women"
"158","Machakos","Community meeting/events",37.9,"Women"
"159","Machakos","Friends/peers",81.1,"Women"
"160","Machakos","Internet",31,"Women"
"161","Makueni","Radio",57.9,"Women"
"162","Makueni","Television",29.4,"Women"
"163","Makueni","Newspaper/magazine",8.9,"Women"
"164","Makueni","Mobile phone",12.6,"Women"
"165","Makueni","Social media",16,"Women"
"166","Makueni","Poster/leaflet/brochure",26.4,"Women"
"167","Makueni","Outdoor sign/billboard",30.1,"Women"
"168","Makueni","Community meeting/events",56.3,"Women"
"169","Makueni","Friends/peers",80.6,"Women"
"170","Makueni","Internet",22.6,"Women"
"171","Nyandarua","Radio",70.8,"Women"
"172","Nyandarua","Television",68.8,"Women"
"173","Nyandarua","Newspaper/magazine",11.6,"Women"
"174","Nyandarua","Mobile phone",11.6,"Women"
"175","Nyandarua","Social media",23.7,"Women"
"176","Nyandarua","Poster/leaflet/brochure",26.7,"Women"
"177","Nyandarua","Outdoor sign/billboard",35.8,"Women"
"178","Nyandarua","Community meeting/events",35.1,"Women"
"179","Nyandarua","Friends/peers",76.7,"Women"
"180","Nyandarua","Internet",24.5,"Women"
"181","Nyeri","Radio",70.6,"Women"
"182","Nyeri","Television",69.6,"Women"
"183","Nyeri","Newspaper/magazine",31.4,"Women"
"184","Nyeri","Mobile phone",13.4,"Women"
"185","Nyeri","Social media",50.2,"Women"
"186","Nyeri","Poster/leaflet/brochure",43.4,"Women"
"187","Nyeri","Outdoor sign/billboard",39.5,"Women"
"188","Nyeri","Community meeting/events",27.8,"Women"
"189","Nyeri","Friends/peers",81.2,"Women"
"190","Nyeri","Internet",45.5,"Women"
"191","Kirinyaga","Radio",58.1,"Women"
"192","Kirinyaga","Television",65.2,"Women"
"193","Kirinyaga","Newspaper/magazine",11.5,"Women"
"194","Kirinyaga","Mobile phone",8.2,"Women"
"195","Kirinyaga","Social media",38.1,"Women"
"196","Kirinyaga","Poster/leaflet/brochure",51.6,"Women"
"197","Kirinyaga","Outdoor sign/billboard",38.5,"Women"
"198","Kirinyaga","Community meeting/events",67.9,"Women"
"199","Kirinyaga","Friends/peers",88.9,"Women"
"200","Kirinyaga","Internet",36.3,"Women"
"201","Muranga","Radio",72.8,"Women"
"202","Muranga","Television",68.4,"Women"
"203","Muranga","Newspaper/magazine",43.8,"Women"
"204","Muranga","Mobile phone",15.6,"Women"
"205","Muranga","Social media",30.1,"Women"
"206","Muranga","Poster/leaflet/brochure",56.4,"Women"
"207","Muranga","Outdoor sign/billboard",49.9,"Women"
"208","Muranga","Community meeting/events",40.2,"Women"
"209","Muranga","Friends/peers",74.1,"Women"
"210","Muranga","Internet",21.6,"Women"
"211","Kiambu","Radio",50.6,"Women"
"212","Kiambu","Television",57.3,"Women"
"213","Kiambu","Newspaper/magazine",13.2,"Women"
"214","Kiambu","Mobile phone",7.9,"Women"
"215","Kiambu","Social media",44.2,"Women"
"216","Kiambu","Poster/leaflet/brochure",32.2,"Women"
"217","Kiambu","Outdoor sign/billboard",31.5,"Women"
"218","Kiambu","Community meeting/events",22.7,"Women"
"219","Kiambu","Friends/peers",79.2,"Women"
"220","Kiambu","Internet",39.3,"Women"
"221","Turkana","Radio",17.1,"Women"
"222","Turkana","Television",9.3,"Women"
"223","Turkana","Newspaper/magazine",3.8,"Women"
"224","Turkana","Mobile phone",6.4,"Women"
"225","Turkana","Social media",10.7,"Women"
"226","Turkana","Poster/leaflet/brochure",6,"Women"
"227","Turkana","Outdoor sign/billboard",11.3,"Women"
"228","Turkana","Community meeting/events",54.1,"Women"
"229","Turkana","Friends/peers",84.6,"Women"
"230","Turkana","Internet",10.3,"Women"
"231","West Pokot","Radio",56.6,"Women"
"232","West Pokot","Television",23.3,"Women"
"233","West Pokot","Newspaper/magazine",10.5,"Women"
"234","West Pokot","Mobile phone",21.2,"Women"
"235","West Pokot","Social media",12.3,"Women"
"236","West Pokot","Poster/leaflet/brochure",15.2,"Women"
"237","West Pokot","Outdoor sign/billboard",10.7,"Women"
"238","West Pokot","Community meeting/events",58.7,"Women"
"239","West Pokot","Friends/peers",85.8,"Women"
"240","West Pokot","Internet",15.5,"Women"
"241","Samburu","Radio",29.2,"Women"
"242","Samburu","Television",18.6,"Women"
"243","Samburu","Newspaper/magazine",6.7,"Women"
"244","Samburu","Mobile phone",3.3,"Women"
"245","Samburu","Social media",14.8,"Women"
"246","Samburu","Poster/leaflet/brochure",17.4,"Women"
"247","Samburu","Outdoor sign/billboard",16.7,"Women"
"248","Samburu","Community meeting/events",60.7,"Women"
"249","Samburu","Friends/peers",88.6,"Women"
"250","Samburu","Internet",12.2,"Women"
"251","Trans Nzoia","Radio",72,"Women"
"252","Trans Nzoia","Television",53.8,"Women"
"253","Trans Nzoia","Newspaper/magazine",16.8,"Women"
"254","Trans Nzoia","Mobile phone",12,"Women"
"255","Trans Nzoia","Social media",33.7,"Women"
"256","Trans Nzoia","Poster/leaflet/brochure",64.2,"Women"
"257","Trans Nzoia","Outdoor sign/billboard",62.3,"Women"
"258","Trans Nzoia","Community meeting/events",54.7,"Women"
"259","Trans Nzoia","Friends/peers",89.6,"Women"
"260","Trans Nzoia","Internet",30.3,"Women"
"261","Uasin Gishu","Radio",67.5,"Women"
"262","Uasin Gishu","Television",67,"Women"
"263","Uasin Gishu","Newspaper/magazine",28.7,"Women"
"264","Uasin Gishu","Mobile phone",18,"Women"
"265","Uasin Gishu","Social media",49.5,"Women"
"266","Uasin Gishu","Poster/leaflet/brochure",75.1,"Women"
"267","Uasin Gishu","Outdoor sign/billboard",51.3,"Women"
"268","Uasin Gishu","Community meeting/events",47.5,"Women"
"269","Uasin Gishu","Friends/peers",85.8,"Women"
"270","Uasin Gishu","Internet",49.4,"Women"
"271","Elgeyo Marakwet","Radio",66.1,"Women"
"272","Elgeyo Marakwet","Television",43.7,"Women"
"273","Elgeyo Marakwet","Newspaper/magazine",21.3,"Women"
"274","Elgeyo Marakwet","Mobile phone",10.1,"Women"
"275","Elgeyo Marakwet","Social media",23.1,"Women"
"276","Elgeyo Marakwet","Poster/leaflet/brochure",20,"Women"
"277","Elgeyo Marakwet","Outdoor sign/billboard",23.9,"Women"
"278","Elgeyo Marakwet","Community meeting/events",50.7,"Women"
"279","Elgeyo Marakwet","Friends/peers",88.1,"Women"
"280","Elgeyo Marakwet","Internet",24.8,"Women"
"281","Nandi","Radio",60.8,"Women"
"282","Nandi","Television",43.6,"Women"
"283","Nandi","Newspaper/magazine",18.4,"Women"
"284","Nandi","Mobile phone",5.1,"Women"
"285","Nandi","Social media",24.6,"Women"
"286","Nandi","Poster/leaflet/brochure",47.9,"Women"
"287","Nandi","Outdoor sign/billboard",16,"Women"
"288","Nandi","Community meeting/events",36.2,"Women"
"289","Nandi","Friends/peers",77.4,"Women"
"290","Nandi","Internet",22.3,"Women"
"291","Baringo","Radio",65.4,"Women"
"292","Baringo","Television",49.2,"Women"
"293","Baringo","Newspaper/magazine",29.8,"Women"
"294","Baringo","Mobile phone",20.5,"Women"
"295","Baringo","Social media",28.4,"Women"
"296","Baringo","Poster/leaflet/brochure",57.7,"Women"
"297","Baringo","Outdoor sign/billboard",24.7,"Women"
"298","Baringo","Community meeting/events",48.3,"Women"
"299","Baringo","Friends/peers",87.3,"Women"
"300","Baringo","Internet",23.3,"Women"
"301","Laikipia","Radio",44,"Women"
"302","Laikipia","Television",52.1,"Women"
"303","Laikipia","Newspaper/magazine",8.4,"Women"
"304","Laikipia","Mobile phone",7.6,"Women"
"305","Laikipia","Social media",34.2,"Women"
"306","Laikipia","Poster/leaflet/brochure",45,"Women"
"307","Laikipia","Outdoor sign/billboard",42.2,"Women"
"308","Laikipia","Community meeting/events",11.1,"Women"
"309","Laikipia","Friends/peers",74.4,"Women"
"310","Laikipia","Internet",19.7,"Women"
"311","Nakuru","Radio",55.1,"Women"
"312","Nakuru","Television",54.7,"Women"
"313","Nakuru","Newspaper/magazine",18.4,"Women"
"314","Nakuru","Mobile phone",8.8,"Women"
"315","Nakuru","Social media",42.7,"Women"
"316","Nakuru","Poster/leaflet/brochure",29.6,"Women"
"317","Nakuru","Outdoor sign/billboard",30.2,"Women"
"318","Nakuru","Community meeting/events",33.1,"Women"
"319","Nakuru","Friends/peers",76.6,"Women"
"320","Nakuru","Internet",43.1,"Women"
"321","Narok","Radio",75.4,"Women"
"322","Narok","Television",40.1,"Women"
"323","Narok","Newspaper/magazine",18.8,"Women"
"324","Narok","Mobile phone",15.2,"Women"
"325","Narok","Social media",24.7,"Women"
"326","Narok","Poster/leaflet/brochure",38.7,"Women"
"327","Narok","Outdoor sign/billboard",22,"Women"
"328","Narok","Community meeting/events",64.8,"Women"
"329","Narok","Friends/peers",91.1,"Women"
"330","Narok","Internet",20.3,"Women"
"331","Kajiado","Radio",66.4,"Women"
"332","Kajiado","Television",60.7,"Women"
"333","Kajiado","Newspaper/magazine",35.8,"Women"
"334","Kajiado","Mobile phone",13.4,"Women"
"335","Kajiado","Social media",49.3,"Women"
"336","Kajiado","Poster/leaflet/brochure",47.3,"Women"
"337","Kajiado","Outdoor sign/billboard",40.2,"Women"
"338","Kajiado","Community meeting/events",42.1,"Women"
"339","Kajiado","Friends/peers",75.6,"Women"
"340","Kajiado","Internet",53.6,"Women"
"341","Kericho","Radio",78.4,"Women"
"342","Kericho","Television",68.5,"Women"
"343","Kericho","Newspaper/magazine",57.1,"Women"
"344","Kericho","Mobile phone",32.4,"Women"
"345","Kericho","Social media",44.6,"Women"
"346","Kericho","Poster/leaflet/brochure",60.9,"Women"
"347","Kericho","Outdoor sign/billboard",65.5,"Women"
"348","Kericho","Community meeting/events",79.1,"Women"
"349","Kericho","Friends/peers",87.7,"Women"
"350","Kericho","Internet",37.6,"Women"
"351","Bomet","Radio",54.7,"Women"
"352","Bomet","Television",18.3,"Women"
"353","Bomet","Newspaper/magazine",14.7,"Women"
"354","Bomet","Mobile phone",5.4,"Women"
"355","Bomet","Social media",13.6,"Women"
"356","Bomet","Poster/leaflet/brochure",55.1,"Women"
"357","Bomet","Outdoor sign/billboard",14.8,"Women"
"358","Bomet","Community meeting/events",35.4,"Women"
"359","Bomet","Friends/peers",76.5,"Women"
"360","Bomet","Internet",12.1,"Women"
"361","Kakamega","Radio",71,"Women"
"362","Kakamega","Television",44.2,"Women"
"363","Kakamega","Newspaper/magazine",18.6,"Women"
"364","Kakamega","Mobile phone",14.5,"Women"
"365","Kakamega","Social media",25.5,"Women"
"366","Kakamega","Poster/leaflet/brochure",42.2,"Women"
"367","Kakamega","Outdoor sign/billboard",40.9,"Women"
"368","Kakamega","Community meeting/events",54.5,"Women"
"369","Kakamega","Friends/peers",80.1,"Women"
"370","Kakamega","Internet",21.8,"Women"
"371","Vihiga","Radio",50.3,"Women"
"372","Vihiga","Television",30.7,"Women"
"373","Vihiga","Newspaper/magazine",10.2,"Women"
"374","Vihiga","Mobile phone",8.8,"Women"
"375","Vihiga","Social media",21.4,"Women"
"376","Vihiga","Poster/leaflet/brochure",38.6,"Women"
"377","Vihiga","Outdoor sign/billboard",23.5,"Women"
"378","Vihiga","Community meeting/events",44.1,"Women"
"379","Vihiga","Friends/peers",80.7,"Women"
"380","Vihiga","Internet",15.5,"Women"
"381","Bungoma","Radio",69.5,"Women"
"382","Bungoma","Television",45.5,"Women"
"383","Bungoma","Newspaper/magazine",21.3,"Women"
"384","Bungoma","Mobile phone",23,"Women"
"385","Bungoma","Social media",29.1,"Women"
"386","Bungoma","Poster/leaflet/brochure",72.7,"Women"
"387","Bungoma","Outdoor sign/billboard",36.1,"Women"
"388","Bungoma","Community meeting/events",57.8,"Women"
"389","Bungoma","Friends/peers",81.5,"Women"
"390","Bungoma","Internet",26.9,"Women"
"391","Busia","Radio",50.3,"Women"
"392","Busia","Television",32.3,"Women"
"393","Busia","Newspaper/magazine",6.5,"Women"
"394","Busia","Mobile phone",7.7,"Women"
"395","Busia","Social media",12.5,"Women"
"396","Busia","Poster/leaflet/brochure",21.3,"Women"
"397","Busia","Outdoor sign/billboard",7.9,"Women"
"398","Busia","Community meeting/events",31.2,"Women"
"399","Busia","Friends/peers",85.7,"Women"
"400","Busia","Internet",11.1,"Women"
"401","Siaya","Radio",79.6,"Women"
"402","Siaya","Television",62.3,"Women"
"403","Siaya","Newspaper/magazine",32.5,"Women"
"404","Siaya","Mobile phone",18.4,"Women"
"405","Siaya","Social media",24.8,"Women"
"406","Siaya","Poster/leaflet/brochure",58.4,"Women"
"407","Siaya","Outdoor sign/billboard",49.1,"Women"
"408","Siaya","Community meeting/events",63.5,"Women"
"409","Siaya","Friends/peers",79.5,"Women"
"410","Siaya","Internet",28.1,"Women"
"411","Kisumu","Radio",70.1,"Women"
"412","Kisumu","Television",55.7,"Women"
"413","Kisumu","Newspaper/magazine",12.4,"Women"
"414","Kisumu","Mobile phone",12,"Women"
"415","Kisumu","Social media",19.8,"Women"
"416","Kisumu","Poster/leaflet/brochure",62.4,"Women"
"417","Kisumu","Outdoor sign/billboard",71.9,"Women"
"418","Kisumu","Community meeting/events",61.4,"Women"
"419","Kisumu","Friends/peers",92.9,"Women"
"420","Kisumu","Internet",22.4,"Women"
"421","Homa Bay","Radio",67.4,"Women"
"422","Homa Bay","Television",46.5,"Women"
"423","Homa Bay","Newspaper/magazine",24.6,"Women"
"424","Homa Bay","Mobile phone",16.1,"Women"
"425","Homa Bay","Social media",26.3,"Women"
"426","Homa Bay","Poster/leaflet/brochure",32.8,"Women"
"427","Homa Bay","Outdoor sign/billboard",22,"Women"
"428","Homa Bay","Community meeting/events",44,"Women"
"429","Homa Bay","Friends/peers",82.7,"Women"
"430","Homa Bay","Internet",28.5,"Women"
"431","Migori","Radio",65.7,"Women"
"432","Migori","Television",42.8,"Women"
"433","Migori","Newspaper/magazine",8.8,"Women"
"434","Migori","Mobile phone",11.2,"Women"
"435","Migori","Social media",17.9,"Women"
"436","Migori","Poster/leaflet/brochure",32.3,"Women"
"437","Migori","Outdoor sign/billboard",16.7,"Women"
"438","Migori","Community meeting/events",30.5,"Women"
"439","Migori","Friends/peers",79.1,"Women"
"440","Migori","Internet",15.9,"Women"
"441","Kisii","Radio",61.5,"Women"
"442","Kisii","Television",43,"Women"
"443","Kisii","Newspaper/magazine",16.9,"Women"
"444","Kisii","Mobile phone",12.1,"Women"
"445","Kisii","Social media",20.4,"Women"
"446","Kisii","Poster/leaflet/brochure",43.5,"Women"
"447","Kisii","Outdoor sign/billboard",59.4,"Women"
"448","Kisii","Community meeting/events",38.2,"Women"
"449","Kisii","Friends/peers",87.7,"Women"
"450","Kisii","Internet",17.9,"Women"
"451","Nyamira","Radio",73.1,"Women"
"452","Nyamira","Television",51.5,"Women"
"453","Nyamira","Newspaper/magazine",39.3,"Women"
"454","Nyamira","Mobile phone",24.1,"Women"
"455","Nyamira","Social media",21.4,"Women"
"456","Nyamira","Poster/leaflet/brochure",57.3,"Women"
"457","Nyamira","Outdoor sign/billboard",59.9,"Women"
"458","Nyamira","Community meeting/events",52,"Women"
"459","Nyamira","Friends/peers",80.3,"Women"
"460","Nyamira","Internet",20.6,"Women"
"461","Nairobi","Radio",57.4,"Women"
"462","Nairobi","Television",67.7,"Women"
"463","Nairobi","Newspaper/magazine",28.4,"Women"
"464","Nairobi","Mobile phone",17.8,"Women"
"465","Nairobi","Social media",54.8,"Women"
"466","Nairobi","Poster/leaflet/brochure",38.7,"Women"
"467","Nairobi","Outdoor sign/billboard",47.2,"Women"
"468","Nairobi","Community meeting/events",47.4,"Women"
"469","Nairobi","Friends/peers",85.3,"Women"
"470","Nairobi","Internet",50.3,"Women"
"471","Mombasa","Radio",70.7,"Men"
"472","Mombasa","Television",55.7,"Men"
"473","Mombasa","Newspaper/magazine",16.6,"Men"
"474","Mombasa","Mobile phone",4.9,"Men"
"475","Mombasa","Social media",48.2,"Men"
"476","Mombasa","Poster/leaflet/brochure",61.5,"Men"
"477","Mombasa","Outdoor sign/billboard",63.1,"Men"
"478","Mombasa","Friends/peers",85.7,"Men"
"479","Mombasa","Internet",35.6,"Men"
"480","Kwale","Radio",52.3,"Men"
"481","Kwale","Television",39.8,"Men"
"482","Kwale","Newspaper/magazine",16.3,"Men"
"483","Kwale","Mobile phone",14.5,"Men"
"484","Kwale","Social media",32.9,"Men"
"485","Kwale","Poster/leaflet/brochure",40.7,"Men"
"486","Kwale","Outdoor sign/billboard",43.8,"Men"
"487","Kwale","Friends/peers",61.4,"Men"
"488","Kwale","Internet",28.5,"Men"
"489","Kilifi","Radio",57.9,"Men"
"490","Kilifi","Television",42.2,"Men"
"491","Kilifi","Newspaper/magazine",12.1,"Men"
"492","Kilifi","Mobile phone",9.2,"Men"
"493","Kilifi","Social media",18.4,"Men"
"494","Kilifi","Poster/leaflet/brochure",20.4,"Men"
"495","Kilifi","Outdoor sign/billboard",25.1,"Men"
"496","Kilifi","Friends/peers",47.9,"Men"
"497","Kilifi","Internet",25.5,"Men"
"498","Tana River","Radio",50,"Men"
"499","Tana River","Television",34.6,"Men"
"500","Tana River","Newspaper/magazine",22.7,"Men"
"501","Tana River","Mobile phone",12.7,"Men"
"502","Tana River","Social media",21.5,"Men"
"503","Tana River","Poster/leaflet/brochure",24,"Men"
"504","Tana River","Outdoor sign/billboard",63.9,"Men"
"505","Tana River","Friends/peers",79.5,"Men"
"506","Tana River","Internet",30.6,"Men"
"507","Lamu","Radio",46.5,"Men"
"508","Lamu","Television",22.6,"Men"
"509","Lamu","Newspaper/magazine",2.8,"Men"
"510","Lamu","Mobile phone",8.3,"Men"
"511","Lamu","Social media",16.6,"Men"
"512","Lamu","Poster/leaflet/brochure",37.5,"Men"
"513","Lamu","Outdoor sign/billboard",17.2,"Men"
"514","Lamu","Friends/peers",83.7,"Men"
"515","Lamu","Internet",22.6,"Men"
"516","Taita Taveta","Radio",79,"Men"
"517","Taita Taveta","Television",69.2,"Men"
"518","Taita Taveta","Newspaper/magazine",23.3,"Men"
"519","Taita Taveta","Mobile phone",3.2,"Men"
"520","Taita Taveta","Social media",39.4,"Men"
"521","Taita Taveta","Poster/leaflet/brochure",49.7,"Men"
"522","Taita Taveta","Outdoor sign/billboard",32.3,"Men"
"523","Taita Taveta","Friends/peers",64.8,"Men"
"524","Taita Taveta","Internet",44.7,"Men"
"525","Garissa","Radio",53.7,"Men"
"526","Garissa","Television",33.6,"Men"
"527","Garissa","Newspaper/magazine",13.8,"Men"
"528","Garissa","Mobile phone",5.1,"Men"
"529","Garissa","Social media",3.2,"Men"
"530","Garissa","Poster/leaflet/brochure",20.7,"Men"
"531","Garissa","Outdoor sign/billboard",6.9,"Men"
"532","Garissa","Friends/peers",4.3,"Men"
"533","Garissa","Internet",24.4,"Men"
"534","Wajir","Radio",18.6,"Men"
"535","Wajir","Television",10.2,"Men"
"536","Wajir","Newspaper/magazine",9.2,"Men"
"537","Wajir","Mobile phone",4.2,"Men"
"538","Wajir","Social media",15.4,"Men"
"539","Wajir","Poster/leaflet/brochure",12.5,"Men"
"540","Wajir","Outdoor sign/billboard",14.6,"Men"
"541","Wajir","Friends/peers",28.3,"Men"
"542","Wajir","Internet",16,"Men"
"543","Mandera","Radio",15.5,"Men"
"544","Mandera","Television",9.6,"Men"
"545","Mandera","Newspaper/magazine",6.2,"Men"
"546","Mandera","Mobile phone",1.2,"Men"
"547","Mandera","Social media",8.2,"Men"
"548","Mandera","Poster/leaflet/brochure",5.7,"Men"
"549","Mandera","Outdoor sign/billboard",8.4,"Men"
"550","Mandera","Friends/peers",31.4,"Men"
"551","Mandera","Internet",14.6,"Men"
"552","Marsabit","Radio",48.1,"Men"
"553","Marsabit","Television",30.1,"Men"
"554","Marsabit","Newspaper/magazine",6,"Men"
"555","Marsabit","Mobile phone",1.3,"Men"
"556","Marsabit","Social media",20.4,"Men"
"557","Marsabit","Poster/leaflet/brochure",28,"Men"
"558","Marsabit","Outdoor sign/billboard",29.6,"Men"
"559","Marsabit","Friends/peers",62.8,"Men"
"560","Marsabit","Internet",17.1,"Men"
"561","Isiolo","Radio",49.7,"Men"
