Characteristic,variable,category,proportion
Second,Wealth,Poster,37.4
Second,Wealth,Billboard,28.2
Second,Wealth,Events,47.9
Second,Wealth,Friends,80.1
Second,Wealth,Internet,11.6
Second,Wealth,None,9.4
Middle,Wealth,Radio,65.8
Middle,Wealth,Television,51.3
Middle,Wealth,Newspaper,20
Middle,Wealth,Mobile,15.2
Middle,Wealth,Social media,24.3
Middle,Wealth,Poster,43.4
Middle,Wealth,Billboard,34.1
Middle,Wealth,Events,47.5
Middle,Wealth,Friends,80.8
Middle,Wealth,Internet,22
Middle,Wealth,None,7
Fourth,Wealth,Radio,61.8
Fourth,Wealth,Television,63
Fourth,Wealth,Newspaper,23.1
Fourth,Wealth,Mobile,16.1
Fourth,Wealth,Social media,40
Fourth,Wealth,Poster,44.5
Fourth,Wealth,Billboard,41.1
Fourth,Wealth,Events,46.1
Fourth,Wealth,Friends,82.2
Fourth,Wealth,Internet,36.8
Fourth,Wealth,None,5.6
Highest,Wealth,Radio,57.9
Highest,Wealth,Television,69.6
Highest,Wealth,Newspaper,28
Highest,Wealth,Mobile,16.6
Highest,Wealth,Social media,59.9
Highest,Wealth,Poster,46.9
Highest,Wealth,Billboard,45.5
Highest,Wealth,Events,41.6
Highest,Wealth,Friends,83.5
Highest,Wealth,Internet,59
Highest,Wealth,None,4.1
