Reason,variable,Proportion
Infrequent sex/husband away,IUD,1.2
Infrequent sex/husband away,Injectables,10.5
Infrequent sex/husband away,Implants,4.4
Infrequent sex/husband away,Pill,12
Infrequent sex/husband away,Male condom,35
Infrequent sex/husband away,Female condom,NA
Infrequent sex/husband away,Emergency contraception,30.7
Infrequent sex/husband away,SDM,27.5
Infrequent sex/husband away,Rythm,20.7
Infrequent sex/husband away,Withdrawal,12.4
Infrequent sex/husband away,Other,8.9
Infrequent sex/husband away,All methods,11.6
Marital dissolution/separation,IUD,0
Marital dissolution/separation,Injectables,1.2
Marital dissolution/separation,Implants,0.4
Marital dissolution/separation,Pill,1.3
Marital dissolution/separation,Male condom,1
Marital dissolution/separation,Female condom,NA
Marital dissolution/separation,Emergency contraception,1.2
Marital dissolution/separation,SDM,0
Marital dissolution/separation,Rythm,1
Marital dissolution/separation,Withdrawal,3
Marital dissolution/separation,Other,0.7
Marital dissolution/separation,All methods,1
Other,IUD,1.3
Other,Injectables,0.4
Other,Implants,0.3
Other,Pill,0.3
Other,Male condom,0.5
Other,Female condom,NA
Other,Emergency contraception,0
Other,SDM,5.6
Other,Rythm,0
Other,Withdrawal,1.1
Other,Other,3.4
Other,All methods,0.5
Don't know,IUD,2.7
Don't know,Injectables,0.4
Don't know,Implants,0.1
Don't know,Pill,0
Don't know,Male condom,1.4
Don't know,Female condom,NA
Don't know,Emergency contraception,2.8
Don't know,SDM,0
Don't know,Rythm,0
Don't know,Withdrawal,3.1
Don't know,Other,0.2
Don't know,All methods,0.5
Missing,IUD,1.8
Missing,Injectables,1.8
Missing,Implants,1
Missing,Pill,3.9
Missing,Male condom,3.1
Missing,Female condom,NA
Missing,Emergency contraception,2.4
Missing,SDM,10.8
Missing,Rythm,6.9
Missing,Withdrawal,6.9
Missing,Other,3.5
Missing,All methods,2.5
