"Background characteristics","Category","variable","value"
"Number of living children","3-4","Visits to her family or relatives","83.2"
"Number of living children","5+","Visits to her family or relatives","78.5"
"Residence","Urban","Visits to her family or relatives","84.0"
"Residence","Rural","Visits to her family or relatives","80.1"
"Education","No education","Visits to her family or relatives","72.2"
"Education","Primary","Visits to her family or relatives","78.8"
"Education","Secondary","Visits to her family or relatives","81.7"
"Education","More than secondary","Visits to her family or relatives","91.6"
"Wealth quintile","Lowest","Visits to her family or relatives","74.6"
"Wealth quintile","Second","Visits to her family or relatives","79.1"
"Wealth quintile","Middle","Visits to her family or relatives","81.6"
"Wealth quintile","Fourth","Visits to her family or relatives","82.2"
"Wealth quintile","Highest","Visits to her family or relatives","87.6"
"Age","15-19","All three decisions","46.9"
"Age","20-24","All three decisions","57.5"
"Age","25-29","All three decisions","65.4"
"Age","30-34","All three decisions","68.5"
"Age","35-39","All three decisions","67.8"
"Age","40-44","All three decisions","71.2"
"Age","45-49","All three decisions","72.1"
"Employment (last 12 months)","Not employed","All three decisions","60.3"
"Employment (last 12 months)","Employed for cash","All three decisions","70.8"
"Employment (last 12 months)","Employed not for cash","All three decisions","61.7"
"Number of living children","0","All three decisions","65.4"
"Number of living children","1-2","All three decisions","66.2"
"Number of living children","3-4","All three decisions","67.7"
"Number of living children","5+","All three decisions","63.4"
"Residence","Urban","All three decisions","70.6"
"Residence","Rural","All three decisions","63.3"
"Education","No education","All three decisions","55.4"
"Education","Primary","All three decisions","62.8"
"Education","Secondary","All three decisions","66.0"
"Education","More than secondary","All three decisions","78.2"
"Wealth quintile","Lowest","All three decisions","57.4"
"Wealth quintile","Second","All three decisions","62.2"
"Wealth quintile","Middle","All three decisions","65.0"
"Wealth quintile","Fourth","All three decisions","67.6"
"Wealth quintile","Highest","All three decisions","74.6"
"Age","15-19","None of the three decisions","15.1"
"Age","20-24","None of the three decisions","8.2"
"Age","25-29","None of the three decisions","5.8"
"Age","30-34","None of the three decisions","5.0"
"Age","35-39","None of the three decisions","5.3"
"Age","40-44","None of the three decisions","4.9"
"Age","45-49","None of the three decisions","2.9"
"Employment (last 12 months)","Not employed","None of the three decisions","10.3"
"Employment (last 12 months)","Employed for cash","None of the three decisions","2.8"
"Employment (last 12 months)","Employed not for cash","None of the three decisions","6.8"
"Number of living children","0","None of the three decisions","6.7"
"Number of living children","1-2","None of the three decisions","5.4"
"Number of living children","3-4","None of the three decisions","4.8"
"Number of living children","5+","None of the three decisions","8.0"
"Residence","Urban","None of the three decisions","3.9"
"Residence","Rural","None of the three decisions","7.0"
"Education","No education","None of the three decisions","15.3"
"Education","Primary","None of the three decisions","6.3"
"Education","Secondary","None of the three decisions","5.2"
"Education","More than secondary","None of the three decisions","1.7"
"Wealth quintile","Lowest","None of the three decisions","11.7"
"Wealth quintile","Second","None of the three decisions","6.7"
"Wealth quintile","Middle","None of the three decisions","5.5"
"Wealth quintile","Fourth","None of the three decisions","4.4"
"Wealth quintile","Highest","None of the three decisions","2.5"
