"Background characteristics","Category","Gender","variable","value"
"Number of living children","0","Female","Mainly husband","29.3"
"Number of living children","1-2","Female","Mainly husband","37.2"
"Number of living children","3-4","Female","Mainly husband","42.1"
"Number of living children","5+","Female","Mainly husband","46.1"
"Residence","Urban","Female","Mainly husband","37.9"
"Residence","Rural","Female","Mainly husband","41.3"
"Education","No education","Female","Mainly husband","47.9"
"Education","Primary","Female","Mainly husband","43.1"
"Education","Secondary","Female","Mainly husband","37.9"
"Education","More than secondary","Female","Mainly husband","34.0"
"Wealth quintile","Lowest","Female","Mainly husband","45.4"
"Wealth quintile","Second","Female","Mainly husband","42.0"
"Wealth quintile","Middle","Female","Mainly husband","39.7"
"Wealth quintile","Fourth","Female","Mainly husband","38.9"
"Wealth quintile","Highest","Female","Mainly husband","36.5"
"Age","15-19","Male","Mainly husband","*"
"Age","20-24","Male","Mainly husband","46.7"
"Age","25-29","Male","Mainly husband","45.6"
"Age","30-34","Male","Mainly husband","47.4"
"Age","35-39","Male","Mainly husband","39.1"
"Age","40-44","Male","Mainly husband","41.0"
"Age","45-49","Male","Mainly husband","40.3"
"Number of living children","0","Male","Mainly husband","48.2"
"Number of living children","1-2","Male","Mainly husband","44.5"
"Number of living children","3-4","Male","Mainly husband","40.4"
"Number of living children","5+","Male","Mainly husband","42.6"
"Residence","Urban","Male","Mainly husband","46.8"
"Residence","Rural","Male","Mainly husband","40.0"
"Education","No education","Male","Mainly husband","53.6"
"Education","Primary","Male","Mainly husband","41.8"
"Education","Secondary","Male","Mainly husband","42.5"
"Education","More than secondary","Male","Mainly husband","44.4"
"Wealth quintile","Lowest","Male","Mainly husband","40.7"
"Wealth quintile","Second","Male","Mainly husband","36.5"
"Wealth quintile","Middle","Male","Mainly husband","41.7"
"Wealth quintile","Fourth","Male","Mainly husband","46.6"
"Wealth quintile","Highest","Male","Mainly husband","45.7"
"Age","15-19","Female","Other","0.0"
"Age","20-24","Female","Other","0.1"
"Age","25-29","Female","Other","0.0"
"Age","30-34","Female","Other","0.1"
"Age","35-39","Female","Other","0.0"
"Age","40-44","Female","Other","0.1"
"Age","45-49","Female","Other","0.1"
"Number of living children","0","Female","Other","0.2"
"Number of living children","1-2","Female","Other","0.1"
"Number of living children","3-4","Female","Other","0.1"
"Number of living children","5+","Female","Other","0.0"
"Residence","Urban","Female","Other","0.0"
"Residence","Rural","Female","Other","0.1"
"Education","No education","Female","Other","0.1"
"Education","Primary","Female","Other","0.1"
"Education","Secondary","Female","Other","0.1"
"Education","More than secondary","Female","Other","0.0"
"Wealth quintile","Lowest","Female","Other","0.1"
"Wealth quintile","Second","Female","Other","0.2"
"Wealth quintile","Middle","Female","Other","0.0"
"Wealth quintile","Fourth","Female","Other","0.1"
"Wealth quintile","Highest","Female","Other","0.0"
"Age","15-19","Male","Other","*"
"Age","20-24","Male","Other","0.0"
"Age","25-29","Male","Other","0.0"
"Age","30-34","Male","Other","0.0"
"Age","35-39","Male","Other","0.0"
"Age","40-44","Male","Other","0.0"
"Age","45-49","Male","Other","0.0"
"Number of living children","0","Male","Other","0.1"
"Number of living children","1-2","Male","Other","0.0"
"Number of living children","3-4","Male","Other","0.0"
"Number of living children","5+","Male","Other","0.0"
"Residence","Urban","Male","Other","0.0"
"Residence","Rural","Male","Other","0.0"
"Education","No education","Male","Other","0.0"
"Education","Primary","Male","Other","0.0"
"Education","Secondary","Male","Other","0.0"
"Education","More than secondary","Male","Other","0.0"
"Wealth quintile","Lowest","Male","Other","0.0"
"Wealth quintile","Second","Male","Other","0.0"
"Wealth quintile","Middle","Male","Other","0.0"
"Wealth quintile","Fourth","Male","Other","0.0"
"Wealth quintile","Highest","Male","Other","0.0"
