Background characteristics,Category,Gender,variable,value
Wealth quintile,Middle,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",78.5
Wealth quintile,Fourth,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",90.1
Wealth quintile,Highest,Male,"Used a mobile phone for 
financial transactions 
(last 12 months)",94.3
Age,15-19,Female,Have & use a bank account,2.8
Age,20-24,Female,Have & use a bank account,25
Age,25-29,Female,Have & use a bank account,36.5
Age,30-34,Female,Have & use a bank account,37.5
Age,35-39,Female,Have & use a bank account,37.8
Age,40-44,Female,Have & use a bank account,38.2
Age,45-49,Female,Have & use a bank account,35.7
Residence,Urban,Female,Have & use a bank account,41.9
Residence,Rural,Female,Have & use a bank account,19.2
Education,No education,Female,Have & use a bank account,8.1
Education,Primary,Female,Have & use a bank account,13.8
Education,Secondary,Female,Have & use a bank account,22.6
Education,More than secondary,Female,Have & use a bank account,74.1
Wealth quintile,Lowest,Female,Have & use a bank account,5.2
Wealth quintile,Second,Female,Have & use a bank account,9.7
Wealth quintile,Middle,Female,Have & use a bank account,20.7
Wealth quintile,Fourth,Female,Have & use a bank account,34.4
Wealth quintile,Highest,Female,Have & use a bank account,56.2
Age,15-19,Male,Have & use a bank account,3.7
Age,20-24,Male,Have & use a bank account,34.3
Age,25-29,Male,Have & use a bank account,54.8
Age,30-34,Male,Have & use a bank account,55.2
Age,35-39,Male,Have & use a bank account,55.3
Age,40-44,Male,Have & use a bank account,53.9
Age,45-49,Male,Have & use a bank account,51.7
Residence,Urban,Male,Have & use a bank account,56.5
Residence,Rural,Male,Have & use a bank account,27.7
Education,No education,Male,Have & use a bank account,13
Education,Primary,Male,Have & use a bank account,22
Education,Secondary,Male,Have & use a bank account,32.4
Education,More than secondary,Male,Have & use a bank account,85.8
Wealth quintile,Lowest,Male,Have & use a bank account,8.7
Wealth quintile,Second,Male,Have & use a bank account,19.8
Wealth quintile,Middle,Male,Have & use a bank account,31.2
Wealth quintile,Fourth,Male,Have & use a bank account,50.2
Wealth quintile,Highest,Male,Have & use a bank account,72.3
Age,15-19,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",2.1
Age,20-24,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",19.2
Age,25-29,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",28.8
Age,30-34,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",28.4
Age,35-39,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",28.8
Age,40-44,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",29.8
Age,45-49,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",27.4
Residence,Urban,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",33.5
Residence,Rural,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",14
Education,No education,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",4.4
Education,Primary,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",9.2
Education,Secondary,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",16.4
Education,More than secondary,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",62.5
Wealth quintile,Lowest,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",2.5
Wealth quintile,Second,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",6.3
Wealth quintile,Middle,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",13.8
Wealth quintile,Fourth,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",26
Wealth quintile,Highest,Female,"Deposited/ withdrew money 
from own account 
(last 12 months)",47.2
Age,15-19,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",2.7
Age,20-24,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",30.2
Age,25-29,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",45.2
Age,30-34,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",45.6
Age,35-39,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",43.6
Age,40-44,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",42.8
Age,45-49,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",41.3
Residence,Urban,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",49.6
Residence,Rural,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",20.5
Education,No education,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",8.9
Education,Primary,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",14.9
Education,Secondary,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",25.5
Education,More than secondary,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",77.9
Wealth quintile,Lowest,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",4.8
Wealth quintile,Second,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",12.4
Wealth quintile,Middle,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",23.2
Wealth quintile,Fourth,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",41.4
Wealth quintile,Highest,Male,"Deposited/ withdrew money 
from own account 
(last 12 months)",65.9
Age,15-19,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",36.3
Age,20-24,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",84.8
Age,25-29,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90.4
Age,30-34,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",89.6
Age,35-39,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90.7
Age,40-44,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",91.5
Age,45-49,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90.8
Residence,Urban,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",88.1
Residence,Rural,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",73.2
Education,No education,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",57.1
Education,Primary,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",75.1
Education,Secondary,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",76.6
Education,More than secondary,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",99.2
Wealth quintile,Lowest,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",55.8
Wealth quintile,Second,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",71.5
Wealth quintile,Middle,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",79.8
Wealth quintile,Fourth,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",87.5
Wealth quintile,Highest,Female,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",91.6
Age,15-19,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",44.4
Age,20-24,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",89.7
Age,25-29,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",95.8
Age,30-34,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",94.6
Age,35-39,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",94.6
Age,40-44,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92.4
Age,45-49,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",93.6
Residence,Urban,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",92.5
Residence,Rural,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",75.1
Education,No education,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72.1
Education,Primary,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72.9
Education,Secondary,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",81.7
Education,More than secondary,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",99.6
Wealth quintile,Lowest,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",65.6
Wealth quintile,Second,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",72.4
Wealth quintile,Middle,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",79.4
Wealth quintile,Fourth,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",90.4
Wealth quintile,Highest,Male,"Have & use a bank account
or used a mobile phone 
for financial transactions 
(last 12 months)",94.9
