Background characteristics,Category,Gender,variable,value
Wealth quintile,Lowest,Female,"Do not own 
agricultural land",95.3
Wealth quintile,Second,Female,"Do not own 
agricultural land",95.8
Wealth quintile,Middle,Female,"Do not own 
agricultural land",93.9
Wealth quintile,Fourth,Female,"Do not own 
agricultural land",92.8
Wealth quintile,Highest,Female,"Do not own 
agricultural land",90.2
Age,15-19,Male,"Do not own 
agricultural land",99.1
Age,20-24,Male,"Do not own 
agricultural land",96.5
Age,25-29,Male,"Do not own 
agricultural land",94.2
Age,30-34,Male,"Do not own 
agricultural land",89.2
Age,35-39,Male,"Do not own 
agricultural land",85
Age,40-44,Male,"Do not own 
agricultural land",83.6
Age,45-49,Male,"Do not own 
agricultural land",81.8
Residence,Urban,Male,"Do not own 
agricultural land",91.7
Residence,Rural,Male,"Do not own 
agricultural land",92.2
Education,No education,Male,"Do not own 
agricultural land",90.4
Education,Primary,Male,"Do not own 
agricultural land",92.6
Education,Secondary,Male,"Do not own 
agricultural land",93.3
Education,More than secondary,Male,"Do not own 
agricultural land",84.7
Wealth quintile,Lowest,Male,"Do not own 
agricultural land",94.7
Wealth quintile,Second,Male,"Do not own 
agricultural land",93.8
Wealth quintile,Middle,Male,"Do not own 
agricultural land",92
Wealth quintile,Fourth,Male,"Do not own 
agricultural land",92.7
Wealth quintile,Highest,Male,"Do not own 
agricultural land",87.8
Age,15-19,Female,Name is on title deed,9
Age,20-24,Female,Name is on title deed,22
Age,25-29,Female,Name is on title deed,23
Age,30-34,Female,Name is on title deed,36.2
Age,35-39,Female,Name is on title deed,35.5
Age,40-44,Female,Name is on title deed,30.7
Age,45-49,Female,Name is on title deed,32.7
Residence,Urban,Female,Name is on title deed,44.5
Residence,Rural,Female,Name is on title deed,21
Education,No education,Female,Name is on title deed,17.2
Education,Primary,Female,Name is on title deed,23.7
Education,Secondary,Female,Name is on title deed,31
Education,More than secondary,Female,Name is on title deed,43.1
Wealth quintile,Lowest,Female,Name is on title deed,9
Wealth quintile,Second,Female,Name is on title deed,12.2
Wealth quintile,Middle,Female,Name is on title deed,20.8
Wealth quintile,Fourth,Female,Name is on title deed,27.2
Wealth quintile,Highest,Female,Name is on title deed,49.5
Age,15-19,Male,Name is on title deed,0
Age,20-24,Male,Name is on title deed,0
Age,25-29,Male,Name is on title deed,0
Age,30-34,Male,Name is on title deed,0
Age,35-39,Male,Name is on title deed,0
Age,40-44,Male,Name is on title deed,0
Age,45-49,Male,Name is on title deed,0
Residence,Urban,Male,Name is on title deed,0
Residence,Rural,Male,Name is on title deed,0
Education,No education,Male,Name is on title deed,0
Education,Primary,Male,Name is on title deed,0
Education,Secondary,Male,Name is on title deed,0
Education,More than secondary,Male,Name is on title deed,0
Wealth quintile,Lowest,Male,Name is on title deed,0
Wealth quintile,Second,Male,Name is on title deed,0
Wealth quintile,Middle,Male,Name is on title deed,0
Wealth quintile,Fourth,Male,Name is on title deed,0
Wealth quintile,Highest,Male,Name is on title deed,0
Age,15-19,Female,"Name is not 
on title deed",26.6
Age,20-24,Female,"Name is not 
on title deed",23.9
Age,25-29,Female,"Name is not 
on title deed",24
Age,30-34,Female,"Name is not 
on title deed",24.4
Age,35-39,Female,"Name is not 
on title deed",20.2
Age,40-44,Female,"Name is not 
on title deed",26.7
Age,45-49,Female,"Name is not 
on title deed",23.4
Residence,Urban,Female,"Name is not 
on title deed",26.7
Residence,Rural,Female,"Name is not 
on title deed",21.5
Education,No education,Female,"Name is not 
on title deed",25
Education,Primary,Female,"Name is not 
on title deed",22.2
Education,Secondary,Female,"Name is not 
on title deed",21.9
Education,More than secondary,Female,"Name is not 
on title deed",28.1
Wealth quintile,Lowest,Female,"Name is not 
on title deed",20.5
Wealth quintile,Second,Female,"Name is not 
on title deed",19
Wealth quintile,Middle,Female,"Name is not 
on title deed",18.7
Wealth quintile,Fourth,Female,"Name is not 
on title deed",25.2
Wealth quintile,Highest,Female,"Name is not 
on title deed",27.2
Age,15-19,Male,"Name is not 
on title deed",0
Age,20-24,Male,"Name is not 
on title deed",0
Age,25-29,Male,"Name is not 
on title deed",0
Age,30-34,Male,"Name is not 
on title deed",0
Age,35-39,Male,"Name is not 
on title deed",0
Age,40-44,Male,"Name is not 
on title deed",0
Age,45-49,Male,"Name is not 
on title deed",0
Residence,Urban,Male,"Name is not 
on title deed",0
Residence,Rural,Male,"Name is not 
on title deed",0
Education,No education,Male,"Name is not 
on title deed",0
Education,Primary,Male,"Name is not 
on title deed",0
Education,Secondary,Male,"Name is not 
on title deed",0
Education,More than secondary,Male,"Name is not 
on title deed",0
Wealth quintile,Lowest,Male,"Name is not 
on title deed",0
Wealth quintile,Second,Male,"Name is not 
on title deed",0
Wealth quintile,Middle,Male,"Name is not 
on title deed",0
Wealth quintile,Fourth,Male,"Name is not 
on title deed",0
Wealth quintile,Highest,Male,"Name is not 
on title deed",0
Age,15-19,Female,"Does not have 
a title deed",47.8
Age,20-24,Female,"Does not have 
a title deed",51.9
Age,25-29,Female,"Does not have 
a title deed",49.9
Age,30-34,Female,"Does not have 
a title deed",37.7
Age,35-39,Female,"Does not have 
a title deed",42.3
Age,40-44,Female,"Does not have 
a title deed",41.8
Age,45-49,Female,"Does not have 
a title deed",42.8
Residence,Urban,Female,"Does not have 
a title deed",27.3
Residence,Rural,Female,"Does not have 
a title deed",55.2
Education,No education,Female,"Does not have 
a title deed",55.3
Education,Primary,Female,"Does not have 
a title deed",52.4
Education,Secondary,Female,"Does not have 
a title deed",45
Education,More than secondary,Female,"Does not have 
a title deed",26.6
Wealth quintile,Lowest,Female,"Does not have 
a title deed",67.9
Wealth quintile,Second,Female,"Does not have 
a title deed",66.3
Wealth quintile,Middle,Female,"Does not have 
a title deed",58.8
Wealth quintile,Fourth,Female,"Does not have 
a title deed",44.6
Wealth quintile,Highest,Female,"Does not have 
a title deed",22.1
Age,15-19,Male,"Does not have 
a title deed",46.5
Age,20-24,Male,"Does not have 
a title deed",50.6
Age,25-29,Male,"Does not have 
a title deed",54.7
Age,30-34,Male,"Does not have 
a title deed",34.1
Age,35-39,Male,"Does not have 
a title deed",38.8
Age,40-44,Male,"Does not have 
a title deed",44.1
Age,45-49,Male,"Does not have 
a title deed",42.8
Residence,Urban,Male,"Does not have 
a title deed",32.6
Residence,Rural,Male,"Does not have 
a title deed",49.8
Education,No education,Male,"Does not have 
a title deed",56
Education,Primary,Male,"Does not have 
a title deed",55.3
Education,Secondary,Male,"Does not have 
a title deed",40.8
Education,More than secondary,Male,"Does not have 
a title deed",27.1
Wealth quintile,Lowest,Male,"Does not have 
a title deed",60.7
Wealth quintile,Second,Male,"Does not have 
a title deed",62.2
Wealth quintile,Middle,Male,"Does not have 
a title deed",52.4
Wealth quintile,Fourth,Male,"Does not have 
a title deed",37.4
Wealth quintile,Highest,Male,"Does not have 
a title deed",26.3
Age,15-19,Female,Don't know,16.6
Age,20-24,Female,Don't know,2.1
Age,25-29,Female,Don't know,3.1
Age,30-34,Female,Don't know,1.6
Age,35-39,Female,Don't know,2
Age,40-44,Female,Don't know,0.8
Age,45-49,Female,Don't know,1.1
Residence,Urban,Female,Don't know,1.5
Residence,Rural,Female,Don't know,2.4
Education,No education,Female,Don't know,2.5
Education,Primary,Female,Don't know,1.6
Education,Secondary,Female,Don't know,2.1
Education,More than secondary,Female,Don't know,2.3
Wealth quintile,Lowest,Female,Don't know,2.6
Wealth quintile,Second,Female,Don't know,2.5
Wealth quintile,Middle,Female,Don't know,1.8
Wealth quintile,Fourth,Female,Don't know,3
Wealth quintile,Highest,Female,Don't know,1.2
Age,15-19,Male,Don't know,14.5
Age,20-24,Male,Don't know,1.5
Age,25-29,Male,Don't know,0
Age,30-34,Male,Don't know,0
Age,35-39,Male,Don't know,0.1
Age,40-44,Male,Don't know,0.2
Age,45-49,Male,Don't know,0
Residence,Urban,Male,Don't know,0.3
Residence,Rural,Male,Don't know,0.7
Education,No education,Male,Don't know,0
Education,Primary,Male,Don't know,0.3
Education,Secondary,Male,Don't know,1
Education,More than secondary,Male,Don't know,0.2
Wealth quintile,Lowest,Male,Don't know,1.2
Wealth quintile,Second,Male,Don't know,0.7
Wealth quintile,Middle,Male,Don't know,0.8
Wealth quintile,Fourth,Male,Don't know,0.5
Wealth quintile,Highest,Male,Don't know,0.1
