Background characteristics,Category,Gender,variable,value
Non-Agricultural Land Ownership,Does not own,Female,Divorced/separated,95.9
House Ownership,Alone,Male,Divorced/separated,58.3
House Ownership,Jointly with spouse only,Male,Divorced/separated,0.4
House Ownership,Jointly with someone else only,Male,Divorced/separated,1.3
House Ownership,Jointly with spouse and someone else,Male,Divorced/separated,0
House Ownership,Both alone and jointly,Male,Divorced/separated,0.1
House Ownership,Does not own,Male,Divorced/separated,39.9
Agricultural Land Ownership,Alone,Male,Divorced/separated,35.8
Agricultural Land Ownership,Jointly with spouse only,Male,Divorced/separated,0.2
Agricultural Land Ownership,Jointly with someone else only,Male,Divorced/separated,5.6
Agricultural Land Ownership,Jointly with spouse and someone else,Male,Divorced/separated,0
Agricultural Land Ownership,Both alone and jointly,Male,Divorced/separated,0.6
Agricultural Land Ownership,Does not own,Male,Divorced/separated,57.8
Non-Agricultural Land Ownership,Alone,Male,Divorced/separated,7.3
Non-Agricultural Land Ownership,Jointly with spouse only,Male,Divorced/separated,0.3
Non-Agricultural Land Ownership,Jointly with someone else only,Male,Divorced/separated,0.7
Non-Agricultural Land Ownership,Jointly with spouse and someone else,Male,Divorced/separated,0
Non-Agricultural Land Ownership,Both alone and jointly,Male,Divorced/separated,0
Non-Agricultural Land Ownership,Does not own,Male,Divorced/separated,91.7
House Ownership,Alone,Female,Widowed,54.7
House Ownership,Jointly with spouse only,Female,Widowed,9.4
House Ownership,Jointly with someone else only,Female,Widowed,0.6
House Ownership,Jointly with spouse and someone else,Female,Widowed,0.4
House Ownership,Both alone and jointly,Female,Widowed,0
House Ownership,Does not own,Female,Widowed,34.8
Agricultural Land Ownership,Alone,Female,Widowed,37.3
Agricultural Land Ownership,Jointly with spouse only,Female,Widowed,7.7
Agricultural Land Ownership,Jointly with someone else only,Female,Widowed,2.1
Agricultural Land Ownership,Jointly with spouse and someone else,Female,Widowed,1.1
Agricultural Land Ownership,Both alone and jointly,Female,Widowed,0.4
Agricultural Land Ownership,Does not own,Female,Widowed,51.4
Non-Agricultural Land Ownership,Alone,Female,Widowed,10
Non-Agricultural Land Ownership,Jointly with spouse only,Female,Widowed,1.1
Non-Agricultural Land Ownership,Jointly with someone else only,Female,Widowed,0.2
Non-Agricultural Land Ownership,Jointly with spouse and someone else,Female,Widowed,0
Non-Agricultural Land Ownership,Both alone and jointly,Female,Widowed,0.1
Non-Agricultural Land Ownership,Does not own,Female,Widowed,88.5
House Ownership,Alone,Male,Widowed,76.5
House Ownership,Jointly with spouse only,Male,Widowed,0
House Ownership,Jointly with someone else only,Male,Widowed,0
House Ownership,Jointly with spouse and someone else,Male,Widowed,0
House Ownership,Both alone and jointly,Male,Widowed,0
House Ownership,Does not own,Male,Widowed,23.5
Agricultural Land Ownership,Alone,Male,Widowed,57.5
Agricultural Land Ownership,Jointly with spouse only,Male,Widowed,0
Agricultural Land Ownership,Jointly with someone else only,Male,Widowed,3
Agricultural Land Ownership,Jointly with spouse and someone else,Male,Widowed,0
Agricultural Land Ownership,Both alone and jointly,Male,Widowed,0
Agricultural Land Ownership,Does not own,Male,Widowed,39.5
Non-Agricultural Land Ownership,Alone,Male,Widowed,18
Non-Agricultural Land Ownership,Jointly with spouse only,Male,Widowed,0
Non-Agricultural Land Ownership,Jointly with someone else only,Male,Widowed,0.8
Non-Agricultural Land Ownership,Jointly with spouse and someone else,Male,Widowed,0
Non-Agricultural Land Ownership,Both alone and jointly,Male,Widowed,0
Non-Agricultural Land Ownership,Does not own,Male,Widowed,81.1
